layer,neuron
7,1326
16,21397
17,17471
24,7176
24,9182
24,16783
24,22875
25,2322
25,4417
25,11386
25,11515
25,17524
25,18953
25,25655
25,26188
26,135
26,2128
26,2168
26,2171
26,2931
26,3662
26,3869
26,3892
26,5075
26,5147
26,5410
26,7236
26,7249
26,11091
26,14352
26,14505
26,15591
26,17243
26,17907
26,18711
26,19841
26,21645
26,21729
26,22913
26,23222
26,23646
26,24514
26,24671
26,25368
26,25712
26,25851
26,26297
26,26529
26,27327
26,27500
26,27626
26,27932
26,28037
26,28425
26,28754
26,28839
27,176
27,180
27,418
27,660
27,686
27,869
27,882
27,1289
27,1820
27,2241
27,2267
27,2460
27,3045
27,3055
27,3158
27,3246
27,3300
27,3780
27,3793
27,3890
27,4220
27,4539
27,4603
27,4892
27,4903
27,5224
27,5478
27,5750
27,5902
27,5950
27,6065
27,6117
27,6275
27,6384
27,6683
27,6952
27,7291
27,7333
27,7405
27,7572
27,8892
27,8983
27,9347
27,9386
27,9730
27,9795
27,9895
27,9941
27,9969
27,10007
27,10090
27,10555
27,10724
27,10964
27,11009
27,11329
27,11431
27,11912
27,12018
27,12051
27,12538
27,12736
27,13100
27,13120
27,13197
27,13327
27,13377
27,13419
27,13495
27,13499
27,13634
27,13707
27,13712
27,13792
27,13903
27,14106
27,14219
27,14314
27,14466
27,14812
27,14868
27,14899
27,14944
27,15328
27,15340
27,15525
27,15555
27,15902
27,15993
27,16076
27,16266
27,16451
27,16707
27,16841
27,17293
27,17474
27,17759
27,17785
27,17980
27,18238
27,18607
27,18836
27,19190
27,19403
27,19559
27,19654
27,19669
27,19692
27,19967
27,20035
27,20712
27,20797
27,21029
27,21055
27,21208
27,21326
27,21362
27,21624
27,21718
27,21766
27,21858
27,22036
27,22646
27,22677
27,22830
27,22950
27,23160
27,23244
27,23276
27,23511
27,23620
27,23776
27,23936
27,23980
27,24311
27,24506
27,24581
27,24811
27,25025
27,25596
27,25630
27,25778
27,25892
27,26038
27,26225
27,26282
27,26366
27,26474
27,26558
27,26607
27,26657
27,26752
27,26777
27,26936
27,27534
27,27683
27,27709
27,27746
27,27793
27,27821
27,28003
27,28028
27,28079
27,28110
27,28238
27,28274
27,28955
27,29137
27,29272
27,29432
28,146
28,608
28,1074
28,1595
28,1714
28,1905
28,2305
28,2383
28,2400
28,2605
28,2825
28,3274
28,3470
28,3483
28,3807
28,4343
28,4475
28,4501
28,4521
28,4752
28,4771
28,4828
28,4857
28,4879
28,5156
28,5274
28,5562
28,5587
28,5594
28,5786
28,5899
28,5940
28,6102
28,6126
28,6386
28,6670
28,6777
28,6830
28,7336
28,7420
28,7503
28,7902
28,8059
28,8208
28,8220
28,8437
28,8476
28,8528
28,8546
28,8808
28,8812
28,8861
28,8874
28,8893
28,9301
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10009
28,10232
28,10692
28,10823
28,11263
28,11349
28,11418
28,11804
28,12049
28,12328
28,12544
28,12558
28,12723
28,12897
28,12910
28,12973
28,13059
28,13084
28,13239
28,13328
28,13660
28,13713
28,13721
