layer,neuron
7,1326
16,21397
24,7176
24,16783
25,4417
26,2168
26,2931
26,6860
26,22913
26,23646
26,27932
26,28037
26,28425
26,28754
27,176
27,3780
27,4603
27,6117
27,6275
27,7572
27,8679
27,10183
27,10459
27,11009
27,11289
27,12018
27,13862
27,14466
27,15340
27,19190
27,19967
27,20035
27,21718
27,22036
27,23620
27,26607
27,26752
28,1905
28,4752
28,4828
28,6102
28,6105
28,6139
28,6386
28,6519
28,7336
28,8208
28,8528
28,8808
28,8861
28,9002
28,9346
28,9798
28,9904
28,10232
28,11418
28,11861
28,12558
28,12723
28,14668
28,15474
28,15715
28,16516
28,18253
28,18260
28,19093
28,19105
28,20274
28,20475
28,20899
28,23649
28,23918
28,24548
29,536
29,609
29,813
29,1063
29,1541
29,2086
29,2347
29,2573
29,2743
29,3291
29,3343
29,3822
29,4053
29,4157
29,4518
29,4542
29,4831
29,5016
29,5406
29,5554
29,5674
29,5676
29,6094
29,6142
29,6249
29,6550
29,8188
29,8470
29,8738
29,8941
29,9048
29,9161
29,9509
29,9581
29,9873
29,10068
29,10447
29,11027
29,11809
29,11889
29,12660
29,13063
29,13140
29,13324
29,13786
29,14220
29,14623
29,14818
29,15123
29,15527
29,15697
29,15915
29,16934
29,17082
29,17563
29,17800
29,17899
29,17951
29,18188
29,18470
29,18729
29,18803
29,19226
29,19227
29,19296
29,19353
29,19769
29,20578
29,20647
29,20870
29,20931
29,21682
29,21927
29,22571
29,22896
29,23091
29,23600
29,23619
29,24447
29,24520
29,24543
29,24649
29,25094
29,25253
29,25596
29,26640
29,27920
29,27937
29,28050
29,28070
29,28935
29,29426
29,29549
30,827
30,911
30,1422
30,1734
30,2264
30,2382
30,2471
30,2793
30,3003
30,3762
30,3895
30,3997
30,4076
30,4219
30,4297
30,4478
30,4550
30,4581
30,4914
30,5057
30,5236
30,5316
30,5708
30,5855
30,6175
30,6258
30,6915
30,7483
30,7575
30,7886
30,8234
30,8872
30,9544
30,9596
30,9625
30,9660
30,9661
30,9690
30,9734
30,9869
30,9979
30,10294
30,10511
30,10819
30,11093
30,11103
30,11189
30,11389
30,11412
30,11516
30,11531
30,11682
30,11779
30,11792
30,11856
30,12356
30,12374
30,12900
30,13405
30,13411
30,13417
30,13674
30,13943
30,14049
30,14295
30,14306
30,15436
30,15916
30,15925
30,16060
30,16673
30,16696
30,17249
30,17461
30,18080
30,18136
30,18202
30,18383
30,18615
30,18962
30,19042
30,19280
30,19559
30,20332
30,20383
30,20428
30,20820
30,21093
30,21165
30,21500
30,21506
30,21515
30,21882
30,22103
30,22210
30,22287
30,22742
30,22761
30,22779
30,22798
30,22959
30,22985
30,23763
30,23840
30,23976
30,24253
30,24758
30,25224
30,25300
30,26060
30,26167
30,26262
30,26369
30,26592
30,26670
30,26746
30,27038
30,27398
30,27662
30,28796
30,28925
30,29319
30,29332
31,69
31,177
31,302
31,310
31,321
31,381
31,490
31,745
31,1066
31,1115
31,1259
31,1340
31,1404
31,1438
31,1478
31,1490
31,1511
31,1553
31,1719
31,1753
31,2091
31,2159
