layer,neuron
5,793
5,6132
5,9469
5,24627
5,28946
7,1326
11,5143
16,21397
17,2233
24,7176
24,7570
24,16783
24,22875
24,26743
25,4417
25,14982
25,17524
25,25655
26,2168
26,2931
26,5075
26,5147
26,6860
26,7236
26,7249
26,11091
26,12000
26,14352
26,17239
26,21645
26,22873
26,22913
26,23646
26,27500
26,27932
26,28037
26,28338
26,28754
26,28971
26,29323
27,176
27,180
27,686
27,1027
27,1634
27,1910
27,1944
27,2460
27,3300
27,3780
27,3859
27,4124
27,4148
27,4603
27,4800
27,4951
27,5119
27,5928
27,6117
27,6275
27,6429
27,6485
27,6546
27,6952
27,7291
27,7572
27,8679
27,8892
27,9308
27,9347
27,9632
27,9716
27,10090
27,10183
27,11289
27,11559
27,11909
27,12018
27,12224
27,12331
27,12736
27,13197
27,13263
27,13319
27,13327
27,13377
27,13604
27,13634
27,13792
27,13903
27,13951
27,13963
27,14219
27,14230
27,14422
27,14829
27,14944
27,15328
27,15340
27,15719
27,17185
27,17980
27,18238
27,18278
27,18529
27,18607
27,19190
27,19276
27,19327
27,19419
27,19559
27,20035
27,20319
27,20712
27,20868
27,21029
27,21326
27,21718
27,22023
27,22036
27,22122
27,22194
27,22905
27,23177
27,23244
27,23276
27,23620
27,24082
27,24581
27,25341
27,25346
27,25596
27,25682
27,25892
27,26712
27,26752
27,26930
27,26936
27,26955
27,27174
27,27683
27,28003
27,29272
27,29432
27,29457
28,142
28,281
28,369
28,653
28,1369
28,1475
28,1905
28,2164
28,2176
28,2880
28,3411
28,3743
28,4521
28,4752
28,4828
28,5156
28,5296
28,5351
28,5623
28,5899
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6407
28,6519
28,6670
28,6893
28,7336
28,7443
28,7503
28,7843
28,7902
28,7996
28,8170
28,8208
28,8476
28,8528
28,8808
28,8861
28,8874
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,9906
28,10232
28,10693
28,10936
28,11263
28,11349
28,11418
28,11861
28,12049
28,12558
28,12897
28,13059
28,13306
28,13315
28,13660
28,13698
28,14209
28,14668
28,15474
28,15715
28,15840
28,16106
28,16516
28,16548
28,17018
28,17091
28,17159
28,17558
28,17591
28,18260
28,19093
28,19105
28,19169
28,19194
28,19208
28,19538
28,19835
28,20274
28,20475
28,20555
28,20899
28,21055
28,22025
28,22797
28,22807
28,23364
28,23496
28,23649
28,23817
28,23934
28,24002
28,24548
28,24906
28,25096
28,25377
28,25450
28,26668
28,26720
28,26836
28,26929
28,27049
28,27168
28,27172
28,27175
28,27482
28,27687
28,28140
28,28265
28,28286
28,28774
29,221
29,262
29,536
29,607
29,609
29,791
29,813
29,1063
29,1478
29,1541
29,1694
29,1753
29,1945
29,2074
29,2086
29,2347
29,2376
29,2472
29,2474
29,2743
29,3177
29,3243
29,3291
29,3343
29,3382
29,3397
29,3403
29,3517
29,3822
29,3860
29,4023
29,4157
29,4377
29,4518
29,4542
29,4831
29,5016
29,5236
29,5307
29,5348
29,5363
29,5406
29,5554
29,5563
29,5616
29,5674
29,5831
29,6094
29,6142
29,6249
29,6258
29,6355
29,6792
29,6895
29,7477
29,7547
29,7602
29,7640
29,7784
29,7917
29,8188
29,8253
29,8298
29,8470
29,8478
29,8738
29,8743
29,8926
29,8941
29,9048
29,9161
29,9243
29,9786
29,9829
29,9873
29,9943
29,9967
29,9998
29,10049
29,10068
29,10164
29,10325
29,10447
29,10498
29,10644
29,10688
29,10777
29,11027
29,11107
29,11236
29,11286
29,11491
29,11641
29,11653
29,11809
29,11828
29,11889
29,12502
29,12660
29,12864
29,13050
29,13140
29,13149
29,13324
29,13726
29,13786
29,13855
29,13960
29,14192
29,14545
29,14623
29,14818
29,15123
29,15208
29,15440
29,15636
29,15697
29,15747
29,15839
29,16168
29,16787
29,16943
29,17082
29,17563
29,17654
29,17899
29,17909
29,17951
29,18003
29,18188
29,18470
29,18488
29,18505
29,18575
29,18631
29,18677
29,18729
29,18803
29,18890
29,19005
29,19227
29,19296
29,19353
29,19401
29,19473
29,19496
29,19679
29,19769
29,19884
29,20265
29,20404
29,20504
29,20546
29,20578
29,20647
29,20731
29,20870
29,20898
29,20931
29,20941
29,21097
29,21120
29,21163
29,21311
29,21394
29,21422
29,21513
29,21659
29,21682
29,21691
29,21751
29,21927
29,22142
29,22148
29,22166
29,22246
29,22320
29,22482
29,22571
29,22896
29,22947
29,23091
29,23122
29,23180
29,23600
29,23619
29,23819
29,24252
29,24486
29,24520
29,24543
29,24625
29,24649
29,25094
29,25129
29,25253
29,25596
29,25623
29,25856
29,25988
29,26182
29,26303
29,26506
29,27411
29,27564
29,27668
29,27920
29,27937
29,28050
29,28070
29,28167
29,28235
29,28428
29,28514
29,28524
29,28672
29,28935
29,29317
29,29426
29,29549
30,278
30,360
30,430
30,557
30,726
30,827
30,830
30,1019
30,1209
30,1248
30,1378
30,1422
30,1473
30,1644
30,1703
30,1734
30,1810
30,1945
30,1991
30,2103
30,2140
30,2264
30,2319
30,2382
30,2471
30,2570
30,2617
30,2631
30,2708
30,2793
30,3003
30,3010
30,3175
30,3265
30,3374
30,3744
30,3747
30,3762
30,3888
30,3895
30,3929
30,4027
30,4076
30,4219
30,4247
30,4297
30,4473
30,4504
30,4507
30,4581
30,4582
30,4836
30,4891
30,4914
30,4948
30,5052
30,5057
30,5066
30,5100
30,5285
30,5316
30,5328
30,5340
30,5470
30,5704
30,5708
30,5764
30,5778
30,5855
30,5942
30,6175
30,6182
30,6258
30,6368
30,6401
30,6437
30,6634
30,6646
30,6881
30,6914
30,6923
30,7005
30,7014
30,7218
30,7360
30,7483
30,7550
30,7575
30,7637
30,7649
30,7675
30,7698
30,7743
30,7777
30,7782
30,7797
30,8097
30,8164
30,8184
30,8234
30,8237
30,8383
30,8430
30,8563
30,8627
