layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
16,6023
16,21397
16,24414
17,2233
24,7176
24,7570
24,7677
24,9182
24,16783
24,22875
24,26743
24,27994
25,4417
25,11386
25,17524
25,22381
25,25655
25,26188
26,1901
26,2168
26,2629
26,3421
26,3662
26,3892
26,4733
26,5075
26,5147
26,5410
26,7236
26,7249
26,9480
26,11091
26,12000
26,14851
26,15338
26,17243
26,17278
26,18711
26,19308
26,21645
26,22913
26,23222
26,23646
26,24671
26,26046
26,26971
26,27327
26,27500
26,27932
26,28037
26,28308
26,28338
26,28425
26,28754
26,28971
26,29323
27,176
27,180
27,189
27,227
27,687
27,809
27,1027
27,1519
27,1634
27,1944
27,2218
27,2460
27,3300
27,3780
27,4220
27,4723
27,4951
27,5514
27,5715
27,5781
27,6117
27,6275
27,7572
27,8373
27,8679
27,8793
27,8892
27,8983
27,9185
27,9347
27,9969
27,10090
27,10183
27,10555
27,11009
27,11289
27,11431
27,11559
27,12018
27,12331
27,13327
27,13377
27,13419
27,13573
27,13634
27,13712
27,13792
27,13903
27,14219
27,14422
27,14738
27,14944
27,15328
27,15340
27,15555
27,15993
27,17552
27,17980
27,18238
27,18516
27,18607
27,19190
27,19389
27,19403
27,19419
27,19590
27,19998
27,20319
27,20712
27,20868
27,21029
27,21055
27,21326
27,21718
27,21858
27,22036
27,22677
27,23160
27,23244
27,23511
27,23620
27,24581
27,24585
27,24993
27,25596
27,25702
27,25892
27,26038
27,26936
27,26955
27,27174
27,27470
27,27683
27,27746
27,27793
27,27821
27,28003
27,28171
27,28186
27,28274
27,28955
27,29272
27,29432
28,142
28,281
28,369
28,653
28,1369
28,1714
28,1905
28,2305
28,2605
28,2817
28,3068
28,3176
28,3743
28,4475
28,4752
28,4771
28,4828
28,5345
28,5351
28,5623
28,5786
28,5899
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,6747
28,6777
28,6872
28,7336
28,7420
28,7503
28,7661
28,7902
28,8059
28,8170
28,8208
28,8476
28,8528
28,8808
28,8861
28,8874
28,9002
28,9057
28,9346
28,9449
28,9697
28,9790
28,9798
28,9904
28,9906
28,10038
28,10189
28,10232
