layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
11,29560
16,100
16,5325
16,20820
16,21397
17,9903
23,4248
24,3155
24,7176
24,11318
24,16783
24,20330
24,20457
24,29310
25,86
25,1781
25,4417
25,19096
25,26188
25,29308
26,1155
26,2168
26,2931
26,3662
26,4311
26,4465
26,4733
26,6860
26,7707
26,8676
26,11091
26,12000
26,12064
26,13031
26,14580
26,17243
26,19841
26,22798
26,22913
26,23646
26,24465
26,25555
26,26971
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,29323
27,176
27,568
27,3151
27,3780
27,4603
27,5624
27,6117
27,6275
27,6490
27,6847
27,7333
27,7502
27,7572
27,8679
27,8892
27,9185
27,9308
27,9386
27,9732
27,10183
27,10459
27,10805
27,10857
27,10870
27,11009
27,11289
27,12018
27,12994
27,13100
27,13291
27,13495
27,13511
27,13604
27,13707
27,13862
27,13951
27,14219
27,14466
27,14806
27,15218
27,15340
27,15510
27,15555
27,15573
27,15859
27,15902
27,16526
27,17329
27,17923
27,18786
27,18909
27,19190
27,19289
27,19967
27,20035
27,20225
27,21326
27,21633
27,21718
27,22036
27,22194
27,23160
27,23244
27,23504
27,23620
27,23633
27,24082
27,24311
27,24993
27,25683
27,25778
27,25892
27,26106
27,26607
27,26752
27,27138
27,28110
27,28653
27,29137
27,29272
28,394
28,613
28,694
28,1362
28,1448
28,1475
28,1890
28,1905
28,2176
28,2305
28,2341
28,2817
28,3068
28,3176
28,3470
28,3743
28,4475
28,4499
28,4501
28,4738
28,4752
28,4828
28,5156
28,5230
28,5735
28,5938
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6777
28,7290
28,7336
28,7580
28,7902
28,7996
28,8208
28,8220
28,8456
28,8528
28,8808
28,8861
28,8874
28,8931
28,9002
28,9154
28,9346
28,9449
28,9697
28,9766
28,9790
28,9798
28,9904
28,10232
28,10823
28,10936
28,10967
28,11053
28,11349
28,11418
28,11804
28,11821
28,11861
28,12544
28,12558
28,12723
28,12897
28,13328
28,13713
28,13839
28,14114
28,15474
28,15715
28,16237
28,16253
28,16449
28,16516
28,16573
28,17091
28,17956
28,18121
28,18253
28,18260
28,18400
28,18566
28,18658
28,18713
28,19093
28,19105
28,19194
28,19460
28,19704
28,20030
28,20112
28,20172
28,20197
28,20274
28,20416
28,20475
28,20899
28,20913
28,21054
28,21939
28,22025
28,22423
28,22462
28,22807
28,23649
28,23817
28,23918
28,23934
28,24002
28,24548
28,24941
28,25117
28,25535
28,26108
28,26494
28,26928
28,27049
28,27074
28,27090
28,27093
28,27312
28,27989
28,28233
28,28286
28,28443
28,29164
29,317
29,536
29,609
29,642
29,813
29,1063
29,1265
29,1285
29,1292
29,1478
29,1541
29,1736
29,1960
29,2074
29,2086
29,2347
29,2376
29,2404
29,2474
29,2567
29,2573
29,2743
29,2847
29,3188
29,3255
29,3291
29,3343
29,3350
29,3517
29,3606
29,3707
29,3759
29,3822
29,4053
29,4145
29,4157
29,4188
29,4249
29,4301
29,4340
29,4518
29,4542
29,4831
29,5016
29,5087
29,5106
29,5115
29,5348
29,5363
29,5379
29,5406
29,5554
29,5616
29,5674
29,5676
29,5831
29,5908
29,6094
29,6135
29,6142
29,6249
29,6258
29,6355
29,6454
29,6550
29,6859
29,6886
29,6900
29,7293
29,7494
29,7658
29,7769
29,7782
29,8188
29,8224
29,8298
29,8470
29,8478
29,8738
29,8926
29,8941
29,8998
29,9048
29,9161
29,9283
29,9386
29,9509
29,9581
29,9650
29,9696
29,9786
29,9831
29,9873
29,10068
29,10154
29,10228
29,10369
29,10447
29,10483
29,10498
29,10548
29,10624
29,10642
29,10777
29,11027
29,11143
29,11426
29,11736
29,11809
29,11889
29,12002
29,12040
29,12287
29,12502
29,12660
29,13063
29,13140
29,13324
29,13464
29,13702
29,13712
29,13726
29,13786
29,13960
29,14015
29,14220
29,14545
29,14623
29,14741
29,14761
29,14774
29,14818
29,15123
29,15328
29,15512
29,15527
29,15697
29,15915
29,15945
29,16066
29,16476
29,16547
29,16577
29,16759
29,16934
29,17029
29,17082
29,17257
29,17319
29,17443
29,17654
29,17800
29,17807
29,17899
29,18048
29,18188
29,18217
29,18470
29,18522
29,18631
29,18655
29,18729
29,18803
29,18818
29,19099
29,19116
29,19127
29,19151
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19496
29,19600
29,19769
29,20115
29,20367
29,20373
29,20404
29,20504
29,20578
29,20647
29,20870
29,20931
29,21097
29,21212
29,21352
29,21541
29,21585
29,21607
29,21659
29,21682
29,21781
29,21927
29,22069
29,22166
29,22246
29,22310
29,22482
29,22517
29,22571
29,22896
29,22947
29,23004
29,23024
29,23087
29,23091
29,23285
29,23600
29,23609
29,23619
29,24119
29,24164
29,24465
29,24472
29,24520
29,24543
29,24625
29,24649
29,24925
29,25094
29,25129
29,25253
29,25340
29,25596
29,25623
29,25742
29,25743
29,25783
29,26224
29,26303
29,26431
29,26559
29,26640
29,27109
29,27483
29,27564
29,27717
29,27737
29,27800
29,27920
29,27937
29,27958
29,28050
29,28070
29,28454
29,28653
29,28935
29,28974
29,29270
29,29426
29,29482
29,29549
30,192
30,375
30,430
30,726
30,827
30,881
30,911
30,918
30,937
30,1051
30,1165
30,1347
30,1422
30,1467
30,1543
30,1628
30,1703
30,1734
30,1888
30,1945
30,1984
30,2070
30,2186
30,2233
30,2240
30,2261
30,2264
30,2312
30,2382
30,2471
30,2570
30,2573
30,2673
30,2685
30,2793
30,2989
30,3003
30,3058
30,3144
30,3265
30,3374
30,3747
30,3762
30,3895
30,3997
30,4027
30,4057
30,4076
30,4210
30,4219
30,4265
30,4297
30,4342
30,4410
30,4550
30,4581
30,4668
30,4767
30,4809
30,4914
30,5052
30,5057
30,5191
30,5201
30,5236
30,5295
30,5316
30,5641
30,5704
30,5708
30,5778
30,5850
30,5855
30,6133
30,6175
30,6258
30,6352
30,6401
30,6516
30,6590
30,6646
30,6710
30,6794
30,6886
30,6915
30,7036
30,7053
30,7077
30,7216
30,7302
30,7373
30,7483
30,7525
30,7637
30,7675
30,7797
30,7886
30,8234
30,8245
30,8323
30,8383
30,8563
30,8852
30,8872
30,8908
30,8979
30,9254
30,9262
30,9544
30,9562
30,9584
30,9596
30,9625
30,9630
30,9660
30,9661
30,9690
30,9714
30,9734
30,9761
30,9869
30,9914
30,9979
30,10064
30,10275
30,10294
30,10322
30,10511
30,10581
30,10597
30,10609
30,10819
30,11009
30,11093
30,11103
30,11149
30,11189
30,11226
30,11357
30,11382
30,11389
30,11412
30,11440
30,11482
30,11516
30,11531
30,11682
30,11728
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11856
30,11893
30,12096
30,12100
30,12169
30,12284
30,12356
30,12374
30,12375
30,12530
30,12679
30,12696
30,12785
30,12841
30,12900
30,13069
30,13096
30,13190
30,13257
30,13368
30,13405
30,13411
30,13417
30,13448
30,13598
30,13674
30,13842
30,13941
30,13943
30,14049
30,14104
30,14136
30,14295
30,14306
30,14433
30,14699
30,14847
30,15154
30,15436
30,15443
30,15607
30,15786
30,15890
30,15916
30,15925
30,15936
30,16008
30,16032
30,16060
30,16165
30,16546
30,16585
30,16654
30,16673
30,16696
30,16829
30,16859
30,17072
30,17249
30,17277
30,17345
30,17421
30,17449
30,17461
30,17648
30,17812
30,17954
30,18070
30,18080
30,18136
30,18202
30,18245
30,18373
30,18383
30,18514
30,18562
30,18615
30,18618
30,18728
30,18825
30,18962
30,19042
30,19056
30,19162
30,19184
30,19233
30,19280
30,19559
30,19664
30,19823
30,20049
30,20310
30,20332
30,20351
30,20383
30,20409
30,20428
30,20497
30,20511
30,20553
30,20608
30,20731
30,20820
30,20838
30,20898
30,21052
30,21093
30,21165
30,21166
30,21324
30,21469
30,21500
30,21506
30,21515
30,21536
30,21697
30,21812
30,21865
30,21882
30,21922
30,21970
30,22103
30,22203
30,22210
30,22244
30,22287
30,22378
30,22391
30,22395
30,22446
30,22473
30,22610
30,22742
30,22761
30,22798
30,22844
30,22959
30,22985
30,23061
30,23102
30,23198
30,23329
30,23389
30,23507
30,23675
30,23708
30,23709
30,23723
30,23746
30,23763
30,23815
30,23840
30,23976
30,23994
30,24065
30,24147
30,24214
30,24253
30,24311
30,24443
30,24527
30,24570
30,24682
30,24758
30,24781
30,24854
30,24922
30,25070
30,25132
30,25183
30,25196
30,25199
30,25224
30,25300
30,25322
30,25325
30,25370
30,25447
30,25601
30,25663
30,25740
30,25767
30,25800
30,25806
30,26060
30,26164
30,26167
30,26262
30,26285
30,26298
30,26369
30,26494
30,26592
30,26616
30,26670
30,26746
30,26765
30,26934
30,27038
30,27182
30,27398
30,27621
30,27644
30,27645
30,27662
30,27948
30,27975
30,28132
30,28193
30,28294
30,28337
30,28380
30,28650
30,28796
30,28804
30,28885
30,28899
30,28925
30,28993
30,28994
30,29031
30,29047
30,29118
30,29144
30,29154
30,29311
30,29319
30,29332
30,29383
30,29401
30,29505
30,29562
31,12
31,54
31,69
31,159
31,177
31,302
31,310
31,321
31,332
31,341
31,381
31,421
31,426
31,490
31,520
31,591
31,642
31,651
31,691
31,694
31,696
31,744
31,745
31,903
31,965
31,1066
31,1115
31,1126
31,1220
31,1259
31,1340
31,1344
31,1381
31,1404
31,1438
31,1478
31,1490
31,1553
31,1566
31,1634
31,1647
31,1693
31,1719
31,1753
31,1796
31,1812
31,1840
31,1937
31,1947
31,2043
31,2091
31,2108
31,2159
31,2226
31,2249
31,2346
31,2352
31,2377
31,2396
31,2543
31,2586
31,2652
31,2664
31,2708
31,2725
31,2772
31,2790
31,2808
31,2821
31,2832
31,2865
31,2873
31,2892
31,2919
31,2921
31,2991
31,3088
31,3273
31,3364
31,3393
31,3454
31,3507
31,3530
31,3544
31,3577
31,3619
31,3663
31,3738
31,3749
31,3756
31,3840
31,3916
31,3933
31,3960
31,3961
31,4007
31,4114
31,4250
31,4309
31,4317
31,4353
31,4379
31,4387
31,4464
31,4516
31,4532
31,4574
31,4664
31,4710
31,4719
31,4722
31,4755
31,4795
31,4836
31,4845
31,4922
31,5030
31,5071
31,5230
31,5249
31,5354
31,5370
31,5411
31,5440
31,5562
31,5621
31,5623
31,5652
31,5850
31,5963
31,5981
31,6086
31,6092
31,6145
31,6183
31,6196
31,6216
31,6347
31,6366
31,6405
31,6479
31,6503
31,6510
31,6603
31,6669
31,6686
31,6745
31,7001
