layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
11,3564
11,29560
16,100
16,818
16,5325
16,5647
16,20820
16,21397
16,24414
16,26777
17,389
17,9903
17,12951
17,13722
17,14660
17,20875
18,3650
19,22505
20,8130
23,7779
24,7176
24,9182
24,13314
24,13556
24,16783
24,19625
24,20330
24,20457
24,29310
25,86
25,1582
25,1781
25,3059
25,4417
25,10360
25,13480
25,14077
25,17524
25,19096
25,23966
25,24802
25,25655
25,26188
25,27316
25,29308
26,316
26,1006
26,1092
26,1155
26,1264
26,1798
26,2128
26,2168
26,2629
26,2931
26,3421
26,3662
26,3892
26,4311
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,7707
26,8045
26,8265
26,9943
26,11091
26,12000
26,12014
26,12064
26,13031
26,13069
26,13861
26,14194
26,14580
26,14851
26,15026
26,15270
26,16167
26,16941
26,17239
26,17243
26,17538
26,17572
26,18229
26,19595
26,19841
26,20711
26,21729
26,21993
26,22734
26,22798
26,22852
26,23222
26,23228
26,23646
26,23862
26,24465
26,24787
26,25555
26,26297
26,26529
26,26971
26,27019
26,27026
26,27067
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28808
26,28820
26,28971
26,29323
27,176
27,180
27,189
27,227
27,304
27,312
27,568
27,882
27,1820
27,1880
27,2218
27,3045
27,3055
27,3300
27,3549
27,3747
27,3780
27,3786
27,4209
27,4426
27,4603
27,4723
27,5029
27,5119
27,5651
27,5781
27,5796
27,6117
27,6159
27,6275
27,6384
27,6390
27,6490
27,6746
27,6847
27,6952
27,7333
27,7502
27,7509
27,7572
27,7873
27,8664
27,8679
27,8712
27,8783
27,8793
27,8892
27,8898
27,9185
27,9201
27,9248
27,9308
27,9386
27,9728
27,9730
27,9732
27,9743
27,9857
27,9969
27,10090
27,10183
27,10459
27,10527
27,10555
27,10805
27,10857
27,10964
27,10967
27,11009
27,11289
27,11431
27,11569
27,11663
27,11736
27,11909
27,12018
27,12162
27,12605
27,12994
27,13100
27,13291
27,13327
27,13377
27,13511
27,13573
27,13604
27,13634
27,13712
27,13862
27,13903
27,13951
27,14069
27,14219
27,14283
27,14314
27,14466
27,14532
27,14738
27,14806
27,14949
27,15181
27,15218
27,15230
27,15328
27,15340
27,15510
27,15555
27,15573
27,15859
27,15902
27,15993
27,16076
27,16526
27,16958
27,17017
27,17329
27,17528
27,17923
27,18238
27,18528
27,18574
27,18607
27,18786
27,18909
27,18949
27,19135
27,19190
27,19289
27,19299
27,19301
27,19327
27,19378
27,19389
27,19403
27,19590
27,19692
27,19967
27,20035
27,20225
27,20319
27,20567
27,20917
27,20980
27,21055
27,21371
27,21633
27,21718
27,21904
27,22036
27,22194
27,22549
27,22677
27,22791
27,23117
27,23160
27,23231
27,23244
27,23504
27,23620
27,23633
27,24082
27,24272
27,24311
27,24347
27,24664
27,24993
27,25525
27,25630
27,25641
27,25683
27,25702
27,25714
27,25778
27,25892
27,26106
27,26296
27,26299
27,26366
27,26558
27,26607
27,26752
27,26930
27,27138
27,27640
27,27705
27,27746
27,27793
27,27814
27,27821
27,28003
27,28079
27,28110
27,28166
27,28292
27,28313
27,28324
27,28653
27,28758
27,28852
27,29059
27,29137
27,29272
27,29457
27,29540
28,394
28,503
28,537
28,613
28,639
28,694
28,796
28,888
28,1362
28,1434
28,1465
28,1475
28,1631
28,1905
28,1983
28,2176
28,2305
28,2341
28,2383
28,2400
28,2817
28,2870
28,3068
28,3075
28,3129
28,3205
28,3427
28,3470
28,3673
28,3743
28,3959
28,3996
28,4090
28,4187
28,4284
28,4475
28,4499
28,4738
28,4752
28,4771
28,4828
28,4874
28,4879
28,4996
28,5156
28,5230
28,5310
28,5345
28,5730
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6135
28,6139
28,6201
28,6386
28,6407
28,6519
28,6591
28,6597
28,6747
28,6777
28,6957
28,7290
28,7336
28,7580
28,7661
28,7877
28,7902
28,8066
28,8208
28,8220
28,8328
28,8528
28,8808
28,8812
28,8855
28,8861
28,8874
28,8893
28,9002
28,9154
28,9206
28,9324
28,9346
28,9354
28,9449
28,9697
28,9766
28,9798
28,9904
28,9906
28,10087
28,10130
28,10232
28,10618
28,10693
28,10823
28,10936
28,10967
28,10996
28,11045
28,11053
28,11103
28,11349
28,11418
28,11462
28,11552
28,11795
28,11804
28,11821
28,11861
28,12049
28,12522
28,12544
28,12558
28,12723
28,12897
28,12950
28,13021
28,13029
28,13059
28,13296
28,13315
28,13326
28,13328
28,13336
28,13713
28,13731
28,13990
28,14114
28,14264
28,14371
28,14483
28,14502
28,14576
28,14660
28,14668
28,15146
28,15474
28,15715
28,15840
28,15867
28,16237
28,16240
28,16253
28,16327
28,16496
28,16515
28,16516
28,16573
28,16824
28,17091
28,17187
28,17235
28,17364
28,17368
28,17524
28,17646
28,17956
28,18085
28,18121
28,18122
28,18253
28,18260
28,18268
28,18379
28,18400
28,18562
28,18566
28,18658
28,18713
28,18813
28,18868
28,19093
28,19105
28,19117
28,19144
28,19194
28,19460
28,19704
28,20030
28,20058
28,20112
28,20172
28,20197
28,20207
28,20274
28,20309
28,20416
28,20475
28,20744
28,20763
28,20891
28,20893
28,20899
28,20913
28,21054
28,21104
28,21435
28,21469
28,21477
28,21939
28,22005
28,22025
28,22381
28,22423
28,22462
28,22774
28,22777
28,22806
28,22807
28,23232
28,23286
28,23388
28,23416
28,23542
28,23572
28,23573
28,23649
28,23802
28,23817
28,23918
28,23934
28,23939
28,23987
28,24002
28,24259
28,24482
28,24536
28,24548
28,24903
28,24941
28,25533
28,25535
28,25539
28,25604
28,25709
28,25981
28,26108
28,26366
28,26494
28,26542
28,26720
28,26923
28,26928
28,27040
28,27049
28,27074
28,27090
28,27175
28,27312
28,27683
28,27765
28,27989
28,28033
28,28155
28,28199
28,28233
28,28265
28,28286
28,28365
28,28443
28,28740
28,28843
28,29164
28,29324
28,29327
28,29503
29,0
29,221
29,317
29,489
29,501
29,536
29,609
29,625
29,642
29,664
29,757
29,778
29,813
29,983
29,1051
29,1063
29,1196
29,1268
29,1271
29,1282
29,1292
29,1413
29,1478
29,1541
29,1726
29,1731
29,1736
29,1745
29,1849
29,1872
29,1945
29,2070
29,2074
29,2086
29,2110
29,2145
29,2162
29,2176
29,2245
29,2325
29,2347
29,2404
29,2412
29,2474
29,2492
29,2550
29,2567
29,2573
29,2730
29,2743
29,2771
29,2934
29,3083
29,3188
29,3255
29,3291
29,3343
29,3350
29,3407
29,3480
29,3517
29,3594
29,3606
29,3703
29,3707
29,3822
29,3934
29,4053
29,4104
29,4145
29,4157
29,4173
29,4188
29,4195
29,4241
29,4301
29,4340
29,4438
29,4518
29,4542
29,4600
29,4757
29,4831
29,4998
29,5016
29,5083
29,5087
29,5106
29,5115
29,5153
29,5172
29,5307
29,5309
29,5328
29,5348
29,5351
29,5363
29,5379
29,5406
29,5494
29,5554
29,5616
29,5644
29,5674
29,5676
29,5683
29,5731
29,5831
29,5856
29,5908
29,5915
29,6094
29,6142
29,6249
29,6258
29,6355
29,6454
29,6482
29,6550
29,6677
29,6772
29,6809
29,6859
29,6886
29,6900
29,6928
29,7050
29,7293
29,7368
29,7420
29,7477
29,7525
29,7547
29,7658
29,7692
29,7769
29,7781
29,7782
29,7852
29,7917
29,8002
29,8026
29,8111
29,8188
29,8224
29,8253
29,8298
29,8470
29,8478
29,8484
29,8578
29,8738
29,8783
29,8825
29,8868
29,8926
29,8941
29,8977
29,8998
29,9041
29,9048
29,9161
29,9222
29,9240
29,9386
29,9393
29,9416
29,9509
29,9581
29,9596
29,9650
29,9679
29,9696
29,9724
29,9786
29,9831
29,9873
29,9967
29,10068
29,10175
29,10185
29,10228
29,10287
29,10369
29,10447
29,10483
29,10548
29,10571
29,10593
29,10618
29,10624
29,10642
29,10725
29,10777
29,10892
29,11027
29,11199
29,11204
29,11379
29,11426
29,11460
29,11476
29,11491
29,11506
29,11528
29,11605
29,11643
29,11672
29,11736
29,11752
29,11809
29,11855
29,11889
29,11904
29,11979
29,12002
29,12040
29,12142
29,12193
29,12287
29,12301
29,12340
29,12481
29,12502
29,12547
29,12569
29,12573
29,12660
29,12813
29,12952
29,13014
29,13031
29,13050
29,13063
29,13070
29,13120
29,13125
29,13140
29,13176
29,13324
29,13345
29,13445
29,13464
29,13702
29,13712
29,13720
29,13726
29,13786
29,13804
29,13885
29,13960
29,14015
29,14118
29,14192
29,14220
29,14257
29,14356
29,14375
29,14423
29,14545
29,14557
29,14614
29,14623
29,14636
29,14659
29,14741
29,14755
29,14761
29,14818
29,14877
29,14923
29,14929
29,14935
29,15123
29,15204
29,15268
29,15275
29,15279
29,15320
29,15328
29,15480
29,15512
29,15527
29,15667
29,15697
29,15711
29,15791
29,15798
29,15817
29,15915
29,15945
29,15961
29,16066
29,16131
29,16284
29,16332
29,16363
29,16398
29,16476
29,16493
29,16547
29,16577
29,16665
29,16759
29,16934
29,16950
29,16953
29,17029
29,17082
29,17108
29,17162
29,17271
29,17272
29,17319
29,17332
29,17410
29,17443
29,17535
29,17563
29,17637
29,17788
29,17800
29,17807
29,17899
29,17911
29,17951
29,17954
29,18048
29,18083
29,18188
29,18217
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18655
29,18729
29,18803
29,18818
29,18890
29,18905
29,19005
29,19077
29,19099
29,19116
29,19127
29,19151
29,19202
29,19215
29,19220
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19374
29,19409
29,19410
29,19472
29,19504
29,19600
29,19640
29,19641
29,19644
29,19664
29,19733
29,19750
29,19755
29,19757
29,19769
29,19984
29,20115
29,20117
29,20140
29,20142
29,20271
29,20334
29,20367
29,20404
29,20504
29,20511
29,20578
29,20647
29,20821
29,20858
29,20870
29,20931
29,20947
29,20972
29,21069
29,21097
29,21212
29,21270
29,21276
29,21287
29,21352
29,21391
29,21401
29,21478
29,21594
29,21607
29,21659
29,21682
29,21781
29,21927
29,22069
29,22095
29,22151
29,22161
29,22166
29,22246
29,22310
29,22329
29,22482
29,22517
29,22518
29,22550
29,22571
29,22579
29,22767
29,22870
29,22896
29,22924
29,22947
29,23004
29,23024
29,23026
29,23087
29,23091
29,23117
29,23285
29,23523
29,23531
29,23552
29,23556
29,23600
29,23609
29,23619
29,23706
29,23737
29,23816
29,23846
29,23917
29,24119
29,24164
29,24199
29,24258
