layer,neuron
7,1326
7,4784
7,5458
7,27871
16,100
16,21397
17,13722
24,3477
24,7176
24,7677
24,9182
24,13556
24,16783
24,19625
24,22875
24,29310
25,86
25,4417
25,10287
25,11386
25,17524
25,18953
25,19096
25,25655
25,26188
26,1155
26,1530
26,1901
26,2168
26,2629
26,2931
26,3421
26,3547
26,3639
26,3662
26,3713
26,3892
26,4465
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,7494
26,8045
26,10926
26,11091
26,11629
26,11632
26,12000
26,13031
26,13754
26,14352
26,14505
26,14580
26,14851
26,17239
26,17243
26,17406
26,17907
26,18711
26,21443
26,21645
26,21729
26,22873
26,22913
26,23222
26,23228
26,23646
26,24671
26,25555
26,25712
26,25851
26,26046
26,26140
26,26297
26,26529
26,27327
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28808
26,28971
26,29055
26,29323
27,176
27,180
27,189
27,660
27,686
27,882
27,1027
27,1519
27,1634
27,1842
27,1880
27,1944
27,2460
27,2810
27,3055
27,3246
27,3300
27,3437
27,3780
27,3793
27,4220
27,4603
27,4723
27,5067
27,5573
27,5651
27,5750
27,5781
27,5928
27,6117
27,6275
27,6384
27,6490
27,7291
27,7405
27,7502
27,7572
27,8679
27,8892
27,8983
27,9185
27,9347
27,9386
27,9730
27,9743
27,9895
27,9941
27,9969
27,10090
27,10183
27,10459
27,10555
27,10666
27,10805
27,10964
27,11009
27,11090
27,11289
27,11329
27,11431
27,12018
27,12051
27,12331
27,12439
27,12605
27,12736
27,12994
27,13100
27,13120
27,13327
27,13377
27,13419
27,13511
27,13573
27,13604
27,13634
27,13712
27,13792
27,13903
27,14219
27,14466
27,14738
27,14812
27,14944
27,15328
27,15340
27,15555
27,15902
27,15993
27,16076
27,17293
27,17552
27,17980
27,18238
27,18516
27,18607
27,19190
27,19301
27,19389
27,19403
27,19419
27,19550
27,19559
27,19590
27,19967
27,20035
27,20319
27,20705
27,20868
27,20917
27,21029
27,21055
27,21208
27,21218
27,21326
27,21624
27,21718
27,21766
27,21858
27,22036
27,22677
27,22830
27,22950
27,23160
27,23511
27,23620
27,23936
27,23980
27,24311
27,24506
27,24581
27,25454
27,25596
27,25714
27,25778
27,25892
27,26038
27,26366
27,26657
27,26752
27,26936
27,26955
27,27149
27,27470
27,27534
27,27683
27,27746
27,27793
27,27821
27,28003
27,28079
27,28110
27,28171
27,28186
27,28274
27,28420
27,28955
27,29137
27,29272
27,29432
28,146
28,369
28,483
28,1369
28,1714
28,1905
28,2305
28,2383
28,2400
28,2817
28,2825
28,3068
28,3176
28,3470
28,3483
28,3807
28,4123
28,4475
28,4738
28,4752
28,4771
28,4828
28,5012
28,5156
28,5274
28,5310
28,5345
28,5351
28,5360
28,5594
28,5701
28,5786
28,5899
28,6067
28,6099
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,6747
28,6777
28,6872
28,6893
28,7336
28,7420
28,7503
28,7661
28,7666
28,7902
28,7924
28,8059
28,8078
28,8170
28,8208
28,8220
28,8354
28,8396
28,8476
28,8528
28,8555
28,8808
28,8861
28,8893
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10009
28,10038
28,10120
28,10232
28,10693
28,10823
28,10914
28,10980
28,10996
28,11007
28,11263
28,11349
28,11418
28,11509
28,11804
28,11861
28,12049
28,12280
28,12328
28,12544
28,12558
28,12723
28,12897
28,12910
28,12973
28,13059
28,13315
28,13328
28,13660
28,13681
28,13713
28,13791
28,13983
28,14123
28,14668
28,14848
28,15474
28,15715
28,15840
28,16169
28,16380
28,16516
28,16548
28,17037
28,17135
28,17368
28,17709
28,18253
28,18260
28,18268
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,20003
28,20005
28,20030
28,20127
28,20274
28,20309
28,20475
28,20899
28,21379
28,22025
28,22423
28,22752
28,22777
28,22807
28,23364
28,23416
28,23572
28,23649
28,23817
28,23918
28,23934
28,23939
28,24002
28,24188
28,24482
28,24548
28,24941
28,25096
28,25322
28,25377
28,25470
28,25535
28,25770
28,25849
28,26389
28,26494
28,26668
28,26720
28,26929
28,27172
28,27175
28,27200
28,27482
28,27556
28,28140
28,28233
28,28265
28,28286
28,28443
28,28520
28,28579
28,28774
28,29304
29,105
29,165
29,221
29,347
29,501
29,536
29,554
29,607
29,609
29,664
29,757
29,791
29,813
29,1044
29,1051
29,1063
29,1271
29,1282
29,1478
29,1541
29,1566
29,1644
29,1714
29,1731
29,1753
29,1788
29,1864
29,1945
29,2074
29,2086
29,2162
29,2245
29,2325
29,2326
29,2347
29,2383
29,2472
29,2474
29,2492
29,2501
29,2542
29,2573
29,2743
29,2771
29,2984
29,3083
29,3243
29,3255
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3480
29,3555
29,3578
29,3594
29,3822
29,3835
29,3860
29,3934
29,4053
29,4104
29,4157
29,4195
29,4209
29,4241
29,4435
29,4438
29,4518
29,4523
29,4542
29,4632
29,4654
29,4794
29,4831
29,4998
29,5016
29,5057
29,5106
29,5119
29,5164
29,5172
29,5236
29,5257
29,5307
29,5348
29,5351
29,5363
29,5379
29,5406
29,5494
29,5554
29,5563
29,5616
29,5644
29,5674
29,5676
29,5722
29,5831
29,5908
29,5915
29,6029
29,6080
29,6094
29,6131
29,6142
29,6249
29,6349
29,6454
29,6483
29,6496
29,6550
29,6570
29,6612
29,6678
29,6792
29,6809
29,6886
29,6895
29,6975
29,7049
29,7050
29,7138
29,7320
29,7477
29,7525
29,7547
29,7640
29,7658
29,7769
29,7905
29,7917
29,7965
29,8026
29,8118
29,8130
29,8188
29,8224
29,8253
29,8298
29,8395
29,8422
29,8470
29,8478
29,8480
29,8594
29,8738
29,8743
29,8825
29,8868
29,8926
29,8941
29,8977
29,8998
29,9048
29,9051
29,9161
29,9283
29,9509
29,9581
29,9693
29,9702
29,9786
29,9829
29,9862
29,9873
29,10020
29,10068
29,10114
29,10175
29,10185
29,10228
29,10325
29,10447
29,10498
29,10571
29,10583
29,10688
29,10698
29,10777
29,10993
29,11027
29,11107
29,11204
29,11491
29,11605
29,11641
29,11643
29,11664
29,11672
29,11726
29,11806
29,11809
29,11828
29,11859
29,11880
29,11889
29,11904
29,12002
29,12142
29,12301
29,12502
29,12547
29,12660
29,12813
29,12899
29,12913
29,13001
29,13031
29,13050
29,13063
29,13100
29,13108
29,13120
29,13140
29,13324
29,13622
29,13649
29,13702
29,13712
29,13720
29,13722
29,13726
29,13786
29,13855
29,13874
29,13960
29,14220
29,14298
29,14356
29,14357
29,14423
29,14531
29,14545
29,14614
29,14623
29,14664
29,14741
29,14755
29,14818
29,14877
29,14929
29,14951
29,15123
29,15279
29,15313
29,15328
29,15527
29,15636
29,15667
29,15697
29,15711
29,15747
29,15830
29,15915
29,16168
29,16398
29,16447
29,16476
29,16498
29,16547
29,16787
29,16934
29,16943
29,16950
29,17029
29,17082
29,17162
29,17183
29,17271
29,17443
29,17522
29,17563
29,17654
29,17678
29,17788
29,17800
29,17821
29,17860
29,17899
29,17911
29,17951
29,17954
29,18003
29,18048
29,18160
29,18188
29,18194
29,18234
29,18293
29,18470
29,18505
29,18522
29,18544
29,18557
29,18677
29,18685
29,18729
29,18803
29,18866
29,19005
29,19024
29,19099
29,19151
29,19154
29,19202
29,19226
29,19227
29,19296
29,19353
29,19409
29,19410
29,19496
29,19504
29,19531
29,19558
29,19600
29,19664
29,19679
29,19733
29,19755
29,19769
29,19782
29,19884
29,19895
29,19984
29,20115
29,20117
29,20394
29,20404
29,20504
29,20511
29,20578
29,20647
29,20858
29,20870
29,20918
29,20931
29,20941
29,20947
29,20972
29,20975
29,21097
29,21252
29,21266
29,21270
29,21311
29,21391
29,21394
29,21396
29,21422
29,21478
29,21541
29,21623
29,21659
29,21682
29,21751
29,21927
29,22148
29,22166
29,22246
29,22482
29,22518
29,22550
29,22571
29,22615
29,22656
29,22798
29,22870
29,22878
29,22896
29,22947
29,22950
29,23091
29,23151
29,23234
29,23249
29,23478
29,23600
29,23609
29,23619
29,23673
29,23682
29,23706
29,23819
29,24018
29,24210
29,24252
29,24301
29,24447
29,24505
29,24520
29,24543
29,24649
29,24696
29,24835
29,25078
29,25094
29,25129
29,25253
29,25432
29,25466
29,25516
29,25545
29,25596
29,25611
29,25623
29,25680
29,26079
29,26105
29,26182
29,26247
29,26303
29,26506
29,26535
29,26603
29,26627
29,26640
29,26993
29,27002
29,27047
29,27164
29,27176
29,27238
29,27374
29,27564
29,27616
29,27636
29,27668
29,27724
29,27874
29,27920
29,27937
29,28015
29,28019
29,28050
29,28070
29,28167
29,28198
29,28235
29,28410
29,28428
29,28454
29,28480
29,28514
29,28524
29,28658
29,28672
29,28850
29,28907
29,28921
29,28935
29,28997
29,29036
29,29041
29,29065
29,29268
29,29270
29,29317
29,29426
29,29544
29,29549
29,29560
30,182
30,242
30,278
30,281
30,320
30,328
30,393
30,402
30,416
30,430
30,461
30,496
30,501
30,660
30,677
30,726
30,827
30,876
30,911
30,918
30,996
30,999
30,1014
30,1099
30,1106
30,1153
30,1155
30,1165
30,1166
30,1247
30,1336
30,1347
30,1372
30,1379
30,1411
30,1422
30,1448
30,1465
30,1467
30,1473
30,1485
30,1512
30,1543
30,1592
30,1644
30,1734
30,1736
30,1810
30,1814
30,1817
30,1876
30,1908
30,1915
30,1919
30,1920
30,1945
30,1958
30,1960
30,1968
30,1991
30,1994
30,2027
30,2070
30,2131
30,2137
30,2186
30,2209
30,2261
30,2264
30,2278
30,2312
30,2382
30,2383
30,2468
30,2471
30,2493
30,2556
30,2570
30,2573
30,2608
30,2617
30,2629
30,2641
30,2673
30,2684
30,2685
30,2793
30,2809
30,2877
30,2915
30,2997
30,3003
30,3010
30,3040
30,3046
30,3094
30,3172
30,3231
30,3242
30,3366
30,3374
30,3379
30,3590
30,3654
30,3664
30,3674
30,3678
30,3692
30,3742
30,3762
30,3850
30,3878
30,3895
30,3961
30,3997
30,4027
30,4076
30,4210
30,4219
30,4247
30,4265
30,4283
30,4285
30,4297
30,4464
30,4473
30,4477
30,4478
30,4504
30,4507
30,4523
30,4550
30,4581
30,4582
30,4589
30,4628
30,4668
30,4696
30,4741
30,4808
30,4836
30,4871
30,4914
30,4948
30,4981
30,5025
30,5052
30,5057
30,5066
30,5070
30,5071
30,5088
30,5100
30,5149
30,5181
30,5192
30,5236
30,5243
30,5274
30,5285
30,5295
30,5316
30,5407
30,5411
30,5430
30,5447
30,5592
30,5641
30,5645
30,5662
30,5673
30,5704
30,5708
30,5812
30,5850
30,5855
30,5906
30,5942
30,5959
30,5968
30,6003
30,6144
30,6153
30,6175
30,6181
30,6182
30,6214
30,6233
30,6246
30,6258
30,6296
30,6352
30,6368
30,6437
30,6485
30,6491
30,6530
30,6590
30,6646
30,6696
30,6698
30,6829
30,6832
30,6886
30,6914
30,6915
30,6923
30,6946
30,6991
30,7014
30,7036
30,7053
30,7056
30,7122
30,7168
30,7179
30,7210
30,7218
30,7234
30,7299
30,7300
30,7302
30,7304
30,7373
30,7397
30,7467
30,7483
30,7485
30,7525
30,7533
30,7545
30,7575
30,7637
30,7675
30,7698
30,7772
30,7777
30,7782
30,7797
30,7869
30,7886
30,7893
30,7914
30,7938
30,8120
30,8125
30,8149
30,8164
30,8184
30,8234
30,8237
30,8245
30,8251
30,8274
30,8379
30,8383
30,8420
30,8430
30,8442
30,8507
30,8509
30,8563
30,8603
30,8627
30,8653
30,8658
30,8675
30,8676
30,8768
30,8771
30,8852
30,8872
30,8876
30,8881
30,8908
30,8968
30,8970
30,8979
30,9059
30,9085
30,9102
30,9172
30,9234
30,9254
30,9262
30,9296
30,9354
30,9448
30,9487
30,9506
30,9544
30,9562
30,9596
30,9614
30,9615
30,9625
30,9638
30,9644
30,9660
30,9661
30,9690
30,9696
30,9714
30,9734
30,9744
30,9771
30,9838
30,9843
30,9869
30,9914
30,9979
30,9981
30,9994
30,10087
30,10146
30,10171
30,10176
30,10220
30,10236
30,10253
30,10277
30,10294
30,10313
30,10322
30,10343
30,10417
30,10500
30,10504
30,10511
30,10583
30,10609
30,10713
30,10757
30,10808
30,10818
30,10819
30,10823
30,10918
30,10968
30,10991
30,11009
30,11044
30,11056
30,11093
30,11103
30,11147
30,11149
30,11159
30,11189
30,11249
30,11370
30,11389
30,11410
30,11412
30,11440
30,11503
30,11516
30,11531
30,11575
30,11607
30,11633
30,11682
30,11731
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11873
30,11893
30,11933
30,12004
30,12069
30,12090
30,12092
30,12166
30,12168
30,12169
30,12175
30,12198
30,12253
30,12284
30,12320
30,12346
30,12356
30,12374
30,12417
30,12440
30,12467
30,12530
30,12531
30,12581
30,12594
30,12660
30,12696
30,12730
30,12767
30,12785
30,12837
30,12886
30,12981
30,13190
30,13229
30,13249
30,13257
30,13332
30,13362
30,13368
30,13405
30,13411
30,13417
30,13448
30,13502
30,13530
30,13567
30,13574
30,13589
30,13654
30,13674
30,13689
30,13742
30,13744
30,13807
30,13822
30,13906
30,13943
30,13952
30,14037
30,14038
30,14049
30,14094
30,14104
30,14153
30,14178
30,14235
30,14252
30,14295
30,14306
30,14389
30,14409
30,14503
30,14523
30,14551
30,14570
30,14589
30,14651
30,14662
30,14675
30,14690
30,14781
30,14847
30,14943
30,14961
30,14966
30,15001
30,15019
30,15150
30,15158
30,15194
30,15220
30,15255
30,15263
30,15270
30,15280
30,15317
30,15326
30,15339
30,15399
30,15436
30,15443
30,15445
30,15447
