layer,neuron
4,13106
5,24328
7,1326
7,4784
16,100
16,21397
17,9903
20,8130
24,7176
24,16783
24,20457
25,86
25,1781
25,4417
25,17524
25,26188
25,29308
26,1155
26,2168
26,2215
26,2931
26,3421
26,3662
26,3892
26,4311
26,4465
26,5075
26,5147
26,6860
26,7249
26,9555
26,12000
26,12064
26,13031
26,13069
26,14580
26,14851
26,15270
26,17239
26,17243
26,17572
26,22798
26,22873
26,22913
26,23228
26,23646
26,24465
26,25555
26,26529
26,26971
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
26,29323
27,176
27,312
27,568
27,1869
27,1880
27,2460
27,3780
27,3786
27,4243
27,4603
27,4723
27,5067
27,5119
27,5651
27,5796
27,6117
27,6159
27,6275
27,6390
27,6490
27,6847
27,6952
27,7333
27,7502
27,7572
27,8679
27,8892
27,9308
27,9730
27,9969
27,10183
27,10459
27,10805
27,10857
27,11009
27,11289
27,11329
27,11569
27,11663
27,11909
27,12018
27,12994
27,13291
27,13327
27,13377
27,13604
27,13634
27,13792
27,13862
27,13951
27,14219
27,14466
27,14806
27,15181
27,15340
27,15510
27,15555
27,15573
27,15859
27,15902
27,16076
27,16526
27,17329
27,17923
27,18340
27,18607
27,18786
27,18909
27,19103
27,19190
27,19289
27,19301
27,19327
27,19389
27,19967
27,20035
27,20225
27,20319
27,21029
27,21326
27,21633
27,21718
27,22036
27,22677
27,23244
27,23504
27,23620
27,23633
27,24082
27,24311
27,24581
27,24993
27,25683
27,25778
27,25892
27,26572
27,26607
27,26752
27,26955
27,27138
27,27683
27,28003
27,28079
27,28110
27,29137
27,29272
28,281
28,394
28,694
28,1362
28,1475
28,1631
28,1890
28,1905
28,2305
28,2383
28,3068
28,3205
28,3470
28,3743
28,4475
28,4738
28,4752
28,4771
28,4828
28,5156
28,5230
28,5351
28,5730
28,5899
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6777
28,6830
28,7336
28,7503
28,7902
28,7996
28,8208
28,8220
28,8328
28,8528
28,8808
28,8812
28,8861
28,8874
28,8893
28,9002
28,9154
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,9906
28,10232
28,10693
28,10823
28,10936
28,10967
28,10996
28,11045
28,11053
28,11349
28,11418
28,11804
28,11821
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,13315
28,13328
28,13713
28,13791
28,14576
28,14660
28,14668
28,15474
28,15715
28,16253
28,16515
28,16516
28,16573
28,17091
28,17956
28,18121
28,18253
28,18260
28,18400
28,18566
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19460
28,19704
28,20030
28,20112
28,20197
28,20274
28,20416
28,20475
28,20899
28,21379
28,22025
28,22423
28,22462
28,22777
28,22807
28,23388
28,23572
28,23649
28,23802
28,23817
28,23918
28,23934
28,23939
28,24002
28,24548
28,24941
28,25096
28,25981
28,26108
28,26366
28,26494
28,26542
28,26720
28,26928
28,27049
28,27090
28,27175
28,27200
28,27312
28,27482
28,28233
28,28286
28,28443
28,28740
28,29164
28,29432
29,221
29,317
29,536
29,607
29,609
29,642
29,664
29,813
29,1044
29,1051
29,1063
29,1265
29,1271
29,1292
29,1478
29,1541
29,1736
29,1784
29,1945
29,2074
29,2086
29,2110
29,2245
29,2347
29,2383
29,2404
29,2573
29,2743
29,3188
29,3255
29,3291
29,3343
29,3407
29,3555
29,3578
29,3606
29,3707
29,3822
29,3860
29,3934
29,4053
29,4104
29,4145
29,4157
29,4241
29,4301
29,4340
29,4438
29,4518
29,4542
29,4653
29,4831
29,5016
29,5106
29,5115
29,5172
29,5307
29,5309
29,5348
29,5363
29,5379
29,5406
29,5554
29,5616
29,5674
29,5676
29,5831
29,5908
29,6094
29,6135
29,6142
29,6249
29,6258
29,6355
29,6454
29,6483
29,6550
29,6772
29,6886
29,6895
29,6900
29,7050
29,7293
29,7320
29,7477
29,7494
29,7547
29,7658
29,7769
29,7917
29,8188
29,8224
29,8253
29,8298
29,8470
29,8478
29,8738
29,8825
29,8926
29,8941
29,8998
29,9048
29,9161
29,9283
29,9288
29,9509
29,9581
29,9650
29,9696
29,9786
29,9831
29,9873
29,10068
29,10175
29,10185
29,10228
29,10447
29,10498
29,10571
29,10642
29,10777
29,11027
29,11107
29,11143
29,11301
29,11426
29,11491
29,11736
29,11809
29,11889
29,12002
29,12040
29,12287
29,12502
29,12660
29,13031
29,13050
29,13063
29,13120
29,13140
29,13324
29,13702
29,13726
29,13786
29,13960
29,14015
29,14220
29,14257
29,14545
29,14614
29,14623
29,14741
29,14761
29,14818
29,14923
29,14935
29,15047
29,15123
29,15279
29,15320
29,15328
29,15330
29,15453
29,15512
29,15527
29,15697
29,15747
29,15915
29,15945
29,16066
29,16168
29,16476
29,16498
29,16547
29,16577
29,16934
29,16943
29,17029
29,17082
29,17319
29,17410
29,17443
29,17563
29,17788
29,17800
29,17807
29,17899
29,17911
29,17951
29,18003
29,18048
29,18188
29,18217
29,18470
29,18505
29,18522
29,18557
29,18631
29,18660
29,18729
29,18803
29,18818
29,19099
29,19116
29,19127
29,19151
29,19215
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19409
29,19472
29,19496
29,19644
29,19733
29,19769
29,19884
29,20115
29,20117
29,20367
29,20404
29,20504
29,20578
29,20647
29,20870
29,20931
29,21097
29,21212
29,21352
29,21394
29,21541
29,21659
29,21682
29,21781
29,21927
29,22069
29,22095
29,22151
29,22166
29,22246
29,22310
29,22482
29,22517
29,22518
29,22550
29,22571
29,22896
29,22947
29,23024
29,23087
29,23091
29,23117
29,23285
29,23600
29,23609
29,23619
29,23706
29,23859
29,24119
29,24164
29,24252
29,24447
29,24465
29,24472
29,24505
29,24520
29,24543
29,24625
29,24649
29,24925
29,25094
29,25253
29,25596
29,25623
29,25743
29,25771
29,25772
29,26224
29,26303
29,26431
29,26506
29,26535
29,26559
29,26640
29,26709
29,26771
29,27411
29,27564
29,27616
29,27717
29,27737
29,27800
29,27920
29,27937
29,27958
29,27964
29,28007
29,28050
29,28070
29,28167
29,28198
29,28428
29,28514
29,28653
29,28658
29,28709
29,28935
29,28974
29,28997
29,29270
29,29426
29,29482
29,29549
29,29560
30,192
30,278
30,430
30,726
30,827
30,911
30,918
30,999
30,1347
30,1422
30,1467
30,1473
30,1543
30,1703
30,1734
30,1888
30,1908
30,1945
30,1991
30,1994
30,2070
30,2103
30,2186
30,2261
30,2264
30,2312
30,2382
30,2471
30,2570
30,2573
30,2685
30,2793
30,2969
30,3003
30,3010
30,3058
30,3144
30,3265
30,3374
30,3480
30,3482
30,3747
30,3762
30,3878
30,3895
30,3898
30,3997
30,4027
30,4057
30,4076
30,4210
30,4219
30,4265
30,4297
30,4478
30,4550
30,4581
30,4631
30,4644
30,4668
30,4767
30,4836
30,4914
30,4942
30,4981
30,5057
30,5191
30,5201
30,5236
30,5316
30,5641
30,5645
30,5708
30,5850
30,5855
30,5968
30,6133
30,6175
30,6182
30,6258
30,6352
30,6401
30,6437
30,6516
30,6590
30,6646
30,6710
30,6822
30,6914
30,6915
30,7014
30,7036
30,7053
30,7077
30,7133
30,7216
30,7302
30,7373
30,7483
30,7513
30,7525
30,7545
30,7575
30,7637
30,7641
30,7675
30,7782
30,7797
30,7886
30,8164
30,8234
30,8237
30,8271
30,8383
30,8563
30,8627
30,8852
30,8872
30,8908
30,8979
30,9254
30,9506
30,9544
30,9562
30,9584
30,9595
30,9596
30,9625
30,9638
30,9660
30,9661
30,9690
30,9714
30,9734
30,9838
30,9869
30,9914
30,9935
30,9979
30,10064
30,10087
30,10146
30,10294
30,10322
30,10500
30,10511
30,10581
30,10609
30,10640
30,10819
30,10823
30,10968
30,11009
30,11044
30,11056
30,11093
30,11103
30,11149
30,11189
30,11226
30,11357
30,11382
30,11389
30,11412
30,11482
30,11516
30,11529
30,11531
30,11575
30,11682
30,11728
30,11738
30,11767
30,11779
30,11786
30,11792
30,11856
30,11893
30,12096
30,12100
30,12169
30,12284
30,12356
30,12374
30,12375
30,12530
30,12679
30,12696
30,12785
30,12837
30,12900
30,12976
30,12984
30,13088
30,13096
30,13232
30,13249
30,13257
30,13368
30,13405
30,13411
30,13417
30,13448
30,13598
30,13674
30,13842
30,13864
30,13943
30,14049
30,14082
30,14104
30,14136
30,14235
30,14295
30,14306
30,14409
30,14433
30,14523
30,14531
30,14551
30,14864
30,15263
30,15280
30,15399
30,15436
30,15443
30,15607
30,15651
30,15890
30,15916
30,15925
30,15936
30,16008
30,16060
30,16165
30,16244
30,16546
30,16585
30,16654
30,16673
30,16696
30,16829
30,16859
30,16901
30,16935
30,17200
30,17249
30,17277
30,17345
30,17421
30,17449
30,17461
30,17548
30,17648
30,17886
30,17954
30,18070
30,18080
30,18136
30,18202
30,18373
30,18383
30,18607
30,18610
30,18615
30,18697
30,18728
30,18767
30,18953
30,18957
30,18962
30,19042
30,19162
30,19184
30,19233
30,19280
30,19396
30,19541
30,19559
30,19592
30,19664
30,19691
30,19741
30,19823
30,19924
30,20026
30,20042
30,20049
30,20310
30,20332
30,20351
30,20383
30,20394
30,20428
30,20497
30,20511
30,20527
30,20553
30,20608
30,20623
30,20704
30,20731
30,20820
30,20828
30,20838
30,20898
30,21052
30,21093
30,21165
30,21166
30,21301
30,21324
30,21469
30,21500
30,21506
30,21515
30,21536
30,21664
30,21717
30,21812
30,21882
30,21922
30,21970
30,22009
30,22052
30,22103
30,22203
30,22210
30,22257
30,22287
30,22391
30,22395
30,22402
30,22446
30,22473
30,22686
30,22742
30,22761
30,22771
30,22779
30,22780
30,22798
30,22959
30,22985
30,23102
30,23198
30,23329
30,23387
30,23389
30,23411
30,23507
30,23579
30,23708
30,23723
30,23734
30,23746
30,23763
30,23776
30,23815
30,23840
30,23976
30,23978
30,23994
30,24065
30,24127
30,24147
30,24253
30,24270
30,24311
30,24527
30,24570
30,24682
30,24758
30,24781
30,24785
30,24854
30,24883
30,24922
30,25095
30,25183
30,25196
30,25224
30,25300
30,25305
30,25323
30,25370
30,25447
30,25454
30,25461
30,25556
30,25601
30,25663
30,25706
30,25717
30,25740
30,25767
30,25806
30,25983
30,26060
30,26143
30,26164
30,26167
30,26261
30,26262
30,26296
30,26298
30,26311
30,26321
30,26343
30,26369
30,26494
30,26592
30,26616
30,26670
30,26746
30,26765
30,26875
30,26934
30,27038
30,27043
30,27182
30,27239
30,27398
30,27586
