layer,neuron
4,13106
5,5225
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,2236
16,5647
16,20820
16,21397
17,1972
17,2233
17,9204
17,9903
17,15360
23,25017
24,7176
24,9182
24,15455
24,16783
24,20330
24,20457
24,26743
24,29310
25,1781
25,4417
25,14982
25,16675
25,17524
25,25655
25,26188
25,29308
26,1155
26,1264
26,2168
26,2215
26,2931
26,3421
26,3662
26,4311
26,4465
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7223
26,7249
26,7707
26,8676
26,11091
26,12000
26,12064
26,13031
26,13760
26,14352
26,14580
26,14851
26,15270
26,16167
26,16941
26,17239
26,17243
26,17538
26,17572
26,18756
26,19595
26,21729
26,22798
26,22873
26,22913
26,23228
26,23238
26,23646
26,24465
26,24670
26,25372
26,25440
26,25555
26,26046
26,26529
26,27327
26,27348
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,312
27,660
27,1027
27,1869
27,2218
27,3181
27,3300
27,3549
27,3780
27,3786
27,4523
27,4603
27,4973
27,5029
27,5119
27,5341
27,5781
27,5969
27,5998
27,6117
27,6166
27,6275
27,6390
27,6429
27,6490
27,6598
27,6847
27,6952
27,7291
27,7333
27,7350
27,7502
27,7572
27,8679
27,9185
27,9308
27,9347
27,9662
27,9728
27,9730
27,9857
27,9969
27,10090
27,10094
27,10183
27,10459
27,10857
27,10870
27,11009
27,11289
27,11329
27,11663
27,11909
27,11912
27,12018
27,12051
27,12165
27,12421
27,12994
27,13062
27,13100
27,13186
27,13291
27,13327
27,13377
27,13419
27,13604
27,13707
27,13792
27,13862
27,13951
27,14219
27,14366
27,14422
27,14466
27,14532
27,14806
27,14823
27,15181
27,15218
27,15328
27,15340
27,15510
27,15555
27,15573
27,15685
27,15859
27,15902
27,16076
27,16266
27,16283
27,17185
27,17329
27,17923
27,18004
27,18238
27,18340
27,18397
27,18574
27,18607
27,18611
27,19190
27,19327
27,19378
27,19550
27,19967
27,20035
27,20225
27,20712
27,20873
27,20896
27,21073
27,21326
27,21633
27,21718
27,22036
27,22194
27,22655
27,23117
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23936
27,24082
27,24311
27,24581
27,24993
27,25341
27,25346
27,25641
27,25683
27,25702
27,25828
27,25892
27,26558
27,26572
27,26607
27,26752
27,26930
27,26936
27,26955
27,27138
27,27174
27,27470
27,27498
27,27683
27,27814
27,27821
27,28003
27,28079
27,28110
27,28169
27,28292
27,28607
27,28653
27,28852
27,29102
27,29137
27,29272
27,29457
28,36
28,146
28,281
28,503
28,694
28,796
28,1362
28,1475
28,1905
28,2176
28,2305
28,2383
28,2870
28,3068
28,3205
28,3241
28,3427
28,3743
28,4475
28,4501
28,4738
28,4752
28,4771
28,4828
28,4839
28,5012
28,5100
28,5156
28,5230
28,5351
28,5360
28,5735
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6139
28,6157
28,6206
28,6386
28,6407
28,6519
28,6591
28,6670
28,6777
28,7264
28,7290
28,7336
28,7467
28,7503
28,7902
28,7996
28,8066
28,8078
28,8170
28,8208
28,8220
28,8456
28,8476
28,8528
28,8794
28,8808
28,8861
28,8874
28,9002
28,9279
28,9346
28,9449
28,9697
28,9766
28,9790
28,9798
28,9904
28,9906
28,10232
28,10749
28,10754
28,10823
28,10936
28,10967
28,11053
28,11349
28,11418
28,11795
28,11821
28,11861
