layer,neuron
7,1326
7,4784
7,5458
7,27871
16,100
16,21397
24,7176
24,16783
25,4417
25,11386
25,14982
25,17524
26,1155
26,1530
26,2168
26,2931
26,3421
26,4465
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,13031
26,17239
26,17907
26,21729
26,22798
26,22873
26,22884
26,22913
26,23228
26,23646
26,25555
26,26529
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,660
27,1027
27,1634
27,2460
27,3300
27,3780
27,4523
27,4603
27,4845
27,5059
27,5067
27,5119
27,5781
27,5928
27,5998
27,6117
27,6275
27,6429
27,6490
27,6847
27,7572
27,8679
27,9308
27,9730
27,9895
27,9969
27,10090
27,10183
27,10459
27,11009
27,11289
27,11909
27,12018
27,12051
27,12934
27,12994
27,13327
27,13604
27,13634
27,13862
27,13903
27,13951
27,14219
27,14466
27,15328
27,15340
27,15555
27,15573
27,15902
27,17185
27,17923
27,18238
27,18529
27,18607
27,18836
27,19103
27,19190
27,19389
27,19550
27,19967
27,20035
27,20868
27,21326
27,21633
27,21718
27,21766
27,22036
27,23244
27,23504
27,23620
27,23936
27,24311
27,24581
27,24993
27,25341
27,25346
27,25892
27,26572
27,26607
27,26752
27,26955
27,27683
27,27821
27,28003
27,28079
27,28274
27,28891
27,28955
27,29137
27,29432
28,281
28,369
28,653
28,694
28,1362
28,1475
28,1631
28,1905
28,2176
28,2305
28,2383
28,3068
28,3205
28,4060
28,4475
28,4752
28,4771
28,4828
28,5156
28,5230
28,5253
28,5730
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6519
28,6591
28,6670
28,6830
28,7336
28,7503
28,7996
28,8170
28,8208
28,8220
28,8528
28,8808
28,8861
28,9002
28,9154
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10232
28,10823
28,10936
28,11349
28,11418
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,13315
28,13328
28,13713
28,14114
28,14668
28,15474
28,15715
28,15840
28,16516
28,17091
28,18121
28,18253
28,18260
28,18813
28,19093
28,19105
28,19194
28,19208
28,20030
28,20274
28,20475
28,20899
28,21379
28,21939
28,22423
28,22777
28,22807
28,23364
28,23649
28,23918
28,23934
28,24002
28,24548
28,24941
28,25013
28,25096
28,25377
28,26542
28,26668
28,26720
28,27049
28,27090
28,27172
28,27312
28,27482
28,28233
28,28286
28,28443
28,28774
28,29164
28,29304
29,221
29,536
29,607
29,609
29,664
29,791
29,813
29,1044
29,1051
29,1063
29,1478
29,1541
29,2074
29,2086
29,2110
29,2245
29,2347
29,2376
29,2383
29,2404
29,2573
29,2707
29,2743
29,3127
29,3243
29,3255
29,3291
29,3343
29,3382
29,3397
29,3407
29,3555
29,3578
29,3707
29,3822
29,3860
29,4053
29,4145
29,4157
29,4214
29,4301
29,4438
29,4518
29,4523
29,4542
29,4831
29,5016
29,5172
29,5307
29,5348
29,5363
29,5379
29,5406
29,5554
29,5563
29,5616
29,5674
29,5676
29,5831
29,6094
29,6142
29,6249
29,6355
29,6550
29,6677
29,6895
29,7050
29,7293
29,7368
29,7477
29,7547
29,7640
29,7658
29,7905
29,7917
29,7965
29,8188
29,8298
29,8470
29,8478
29,8738
29,8926
29,8941
29,8998
29,9048
29,9161
29,9283
29,9386
29,9509
29,9581
29,9693
29,9696
29,9786
29,9831
29,9873
29,10020
29,10068
29,10228
29,10447
29,10483
29,10571
29,10642
29,10688
29,10777
29,11027
29,11107
29,11301
29,11491
29,11809
29,11889
29,12002
29,12660
29,13031
29,13050
29,13063
29,13140
29,13324
29,13722
29,13726
29,13786
29,13855
29,13960
29,14220
29,14545
29,14623
29,14741
29,14818
29,14923
29,15208
29,15320
29,15328
29,15512
29,15527
29,15636
29,15697
29,15711
29,15747
29,15915
29,15945
29,16398
29,16498
29,16547
29,16934
29,16943
29,17029
29,17082
29,17126
29,17410
29,17563
29,17800
29,17899
29,17951
29,18003
29,18048
29,18188
29,18217
29,18470
29,18522
29,18575
29,18729
29,18803
29,18890
29,19127
29,19226
29,19227
29,19296
29,19353
29,19644
29,19679
29,19769
29,19884
29,20404
29,20504
29,20546
29,20578
29,20647
29,20741
29,20870
29,20931
29,20975
29,21097
29,21352
29,21394
29,21478
29,21541
29,21607
29,21659
29,21682
29,21751
29,21927
29,22166
29,22246
29,22310
29,22482
29,22550
29,22571
29,22896
29,22947
29,23024
29,23026
29,23035
29,23091
29,23285
29,23600
29,23619
29,23706
29,24252
29,24447
29,24505
29,24520
29,24543
29,24649
29,24835
29,25078
29,25094
29,25129
29,25253
29,25524
29,25596
29,25623
29,25680
29,26303
29,26431
29,26506
29,26559
29,26640
29,26709
29,27411
29,27564
29,27717
29,27920
29,27937
29,28050
29,28070
29,28167
29,28198
29,28428
29,28454
29,28524
29,28658
29,28709
29,28935
29,28997
29,29270
29,29426
29,29546
29,29549
30,192
30,416
30,430
30,461
30,726
30,827
30,830
30,911
30,918
30,999
30,1165
30,1347
30,1360
30,1422
30,1467
30,1473
30,1501
30,1628
30,1644
30,1734
30,1945
30,1984
30,2012
30,2070
30,2264
30,2312
30,2382
30,2471
30,2556
30,2570
30,2573
30,2574
30,2617
30,2685
30,2793
30,3003
30,3010
30,3058
30,3265
30,3374
30,3480
30,3762
30,3767
30,3878
30,3895
30,3961
30,3997
30,4027
30,4031
30,4076
30,4210
30,4219
30,4247
30,4473
30,4478
30,4507
30,4581
30,4644
30,4767
30,4836
30,4914
30,4948
30,5052
30,5057
30,5066
30,5071
30,5100
30,5149
30,5236
30,5243
30,5316
30,5425
30,5662
30,5704
30,5708
30,5850
30,5855
30,5906
30,5942
30,6153
30,6175
30,6258
30,6401
30,6437
30,6590
30,6915
30,6946
30,6991
30,7014
30,7036
30,7053
30,7210
30,7218
30,7373
30,7400
30,7483
30,7513
30,7525
30,7545
30,7575
30,7637
30,7649
30,7675
30,7797
30,7886
30,7938
30,7987
30,8164
30,8184
30,8234
30,8237
30,8245
30,8383
30,8430
30,8563
30,8627
30,8672
30,8768
30,8852
30,8872
30,8876
30,8908
30,8979
30,8984
30,9102
30,9254
30,9506
30,9544
30,9562
30,9584
30,9596
30,9625
30,9638
30,9660
30,9661
30,9690
30,9734
30,9770
30,9838
30,9869
30,9914
30,9957
30,9977
30,9979
30,10064
30,10146
30,10184
30,10294
30,10322
30,10368
30,10500
30,10511
30,10757
30,10808
30,10819
30,10968
30,11009
30,11015
30,11056
30,11093
30,11103
30,11149
30,11189
30,11389
30,11412
30,11482
30,11503
30,11516
30,11531
30,11575
30,11682
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11893
30,12096
30,12169
30,12198
30,12253
30,12284
30,12345
30,12356
30,12374
30,12530
30,12696
30,12837
30,12900
30,12981
30,13069
30,13088
30,13232
30,13257
30,13332
30,13405
30,13411
30,13417
30,13448
30,13589
30,13598
30,13674
30,13807
30,13822
30,13943
30,14049
30,14082
30,14104
30,14262
30,14295
30,14306
30,14409
30,14551
30,14864
30,14943
30,15008
30,15064
30,15194
30,15263
30,15399
30,15436
30,15443
30,15611
30,15658
30,15733
30,15860
30,15890
30,15916
30,15925
30,15936
30,16060
30,16165
30,16546
30,16585
30,16604
30,16654
30,16668
30,16673
30,16681
30,16696
30,16829
30,16838
30,16851
30,16935
30,17044
30,17072
30,17143
30,17200
30,17249
30,17277
30,17355
30,17449
30,17461
30,17475
30,17548
30,17792
30,17954
30,18080
30,18136
30,18202
30,18291
30,18373
30,18383
30,18515
30,18607
30,18609
30,18615
30,18728
30,18767
30,18820
30,18833
30,18953
30,18957
30,18962
30,19042
30,19138
30,19162
30,19184
30,19280
30,19289
30,19396
30,19422
30,19470
30,19503
30,19559
30,19664
30,19691
30,19741
30,19823
30,19892
30,19928
30,20042
30,20067
30,20327
30,20332
30,20383
30,20394
30,20428
30,20497
30,20511
30,20608
30,20704
30,20731
30,20804
30,20820
30,20838
30,20872
30,20983
30,21093
30,21108
30,21165
30,21277
30,21311
30,21324
30,21469
30,21506
30,21515
30,21738
30,21882
30,21888
30,21970
30,22001
30,22103
30,22134
30,22210
30,22244
30,22287
30,22381
30,22391
30,22402
30,22446
30,22462
30,22473
30,22742
30,22761
30,22779
30,22798
30,22844
30,22959
30,22985
30,23198
30,23346
30,23389
30,23396
30,23411
30,23495
30,23507
30,23579
30,23580
30,23590
30,23605
30,23709
30,23719
30,23723
30,23746
30,23763
30,23840
30,23976
30,23994
30,24127
30,24147
30,24253
30,24270
30,24309
30,24409
30,24527
30,24570
30,24758
30,24785
30,24922
30,25183
30,25208
30,25224
30,25241
30,25247
30,25300
30,25305
30,25370
30,25372
30,25411
30,25447
30,25461
30,25593
30,25601
30,25663
30,25683
30,25703
30,25706
30,25717
30,25767
30,25806
30,26055
30,26060
30,26164
30,26167
30,26208
30,26262
30,26283
30,26284
30,26298
30,26318
30,26369
30,26442
30,26571
30,26592
30,26616
30,26670
30,26739
30,26746
30,26875
30,27038
30,27043
30,27139
30,27182
30,27398
30,27586
30,27644
30,27645
30,27654
30,27662
30,27764
30,27844
30,27900
30,27941
30,28033
30,28068
30,28155
30,28193
30,28229
30,28240
30,28294
30,28324
30,28337
30,28484
30,28650
30,28697
30,28792
30,28796
30,28885
30,28899
30,28925
30,29047
30,29118
30,29144
30,29188
30,29308
30,29311
30,29319
30,29332
30,29401
30,29416
30,29497
30,29505
31,41
31,54
31,69
31,131
31,159
31,171
31,177
31,197
31,227
31,302
31,310
31,321
31,337
31,341
31,352
31,354
31,381
31,410
31,490
31,665
31,695
31,745
31,801
31,822
31,920
31,977
31,979
31,1066
31,1109
31,1115
31,1121
31,1126
31,1189
31,1252
31,1259
31,1271
31,1295
31,1340
31,1344
31,1404
31,1438
31,1478
31,1490
31,1501
31,1511
31,1535
31,1553
31,1566
31,1569
31,1644
31,1647
31,1693
31,1713
31,1719
31,1753
31,1812
31,1831
31,1840
31,1886
31,2043
31,2052
31,2091
31,2159
31,2226
31,2227
31,2249
31,2346
31,2377
31,2396
31,2413
31,2444
31,2543
31,2577
31,2664
31,2668
31,2688
31,2703
31,2708
31,2725
31,2755
31,2772
31,2790
31,2791
31,2808
31,2821
31,2873
31,2907
31,2919
31,2921
31,2930
31,2991
31,3050
31,3088
31,3135
31,3177
31,3186
31,3202
31,3241
31,3243
31,3273
31,3393
31,3395
31,3424
31,3433
31,3454
31,3507
31,3530
31,3545
31,3577
31,3619
31,3663
31,3720
31,3738
31,3756
31,3804
31,3899
31,3916
31,3960
31,3961
31,4007
31,4085
31,4088
31,4114
31,4160
31,4182
31,4209
31,4250
31,4284
31,4348
31,4356
31,4358
31,4364
31,4430
31,4441
31,4453
31,4464
31,4478
31,4532
31,4536
31,4574
31,4658
31,4719
31,4795
31,4845
31,4883
31,4922
31,5019
31,5030
31,5071
31,5230
31,5249
31,5283
31,5370
31,5377
31,5411
31,5418
31,5420
31,5440
31,5541
31,5621
31,5623
31,5714
31,5743
31,5758
31,5788
31,5963
31,5981
31,5987
31,6092
31,6109
31,6139
31,6145
31,6183
31,6216
31,6307
31,6344
31,6347
31,6366
31,6394
31,6503
31,6510
31,6519
31,6529
31,6540
31,6658
31,6676
31,6732
31,6745
31,6759
31,6785
31,6950
31,7001
31,7135
31,7191
31,7279
31,7285
31,7345
31,7436
31,7471
31,7561
31,7575
31,7576
31,7588
31,7624
31,7629
31,7636
31,7665
31,7668
31,7678
31,7700
31,7739
31,7784
31,7785
31,7814
31,7828
31,7849
31,7854
31,7859
31,7860
31,7868
31,7883
31,7893
31,7967
31,7971
31,7982
31,7984
31,8051
31,8056
31,8057
31,8112
31,8204
31,8280
31,8449
31,8509
31,8516
31,8570
31,8577
31,8579
31,8636
31,8670
31,8700
31,8794
31,8797
31,8833
31,8931
31,8946
31,8948
31,8952
31,9003
31,9076
31,9079
31,9087
31,9104
31,9139
31,9161
31,9204
31,9284
31,9306
31,9319
31,9371
31,9389
31,9400
31,9431
31,9449
31,9474
31,9511
31,9522
31,9567
31,9595
31,9596
31,9614
31,9654
31,9718
31,9724
31,9753
31,9766
31,9835
31,9840
31,9860
31,9867
31,9919
31,9952
31,9957
31,9988
31,9991
31,10056
31,10111
31,10128
31,10157
31,10208
31,10309
31,10327
31,10347
31,10370
31,10392
31,10502
31,10510
31,10599
31,10629
31,10633
31,10680
31,10698
31,10763
31,10915
31,10933
31,10954
31,10991
31,11029
31,11097
31,11107
31,11110
31,11153
31,11236
31,11244
31,11252
31,11258
31,11259
31,11322
31,11375
31,11481
31,11498
31,11501
31,11502
31,11580
31,11590
31,11605
31,11645
31,11670
31,11718
31,11742
31,11804
31,11832
31,11834
31,11856
31,11941
31,12034
31,12107
31,12120
31,12126
31,12307
31,12406
31,12558
31,12592
31,12602
31,12662
31,12666
31,12687
31,12800
31,12846
31,12909
31,12939
31,12964
31,13047
31,13110
31,13164
31,13205
31,13252
31,13319
31,13351
31,13352
31,13359
31,13391
31,13399
31,13568
31,13695
31,13708
31,13849
31,13861
31,13863
31,13874
31,13876
31,13885
31,13947
31,13968
31,13986
31,13996
31,14037
31,14045
31,14048
31,14103
31,14106
31,14108
31,14158
31,14179
31,14209
31,14234
31,14241
31,14317
31,14409
31,14422
31,14425
31,14511
31,14517
31,14526
31,14556
31,14580
31,14690
31,14695
31,14723
31,14818
31,14853
31,14886
31,14949
31,14993
31,15022
31,15048
31,15075
31,15099
31,15205
31,15226
31,15256
31,15266
31,15348
31,15378
31,15387
31,15439
31,15491
31,15508
31,15578
31,15598
31,15669
