layer,neuron
4,13106
5,5225
5,24328
6,18132
7,1326
7,4784
7,5458
7,27871
16,5325
16,5647
16,21397
17,389
17,1972
17,2233
17,9903
17,14660
17,15360
20,8130
23,1061
23,25017
23,25992
24,3155
24,7176
24,16783
24,20330
24,20457
24,27994
24,29310
25,1781
25,4417
25,12698
25,16675
25,19096
25,25655
25,26188
25,28476
25,29308
26,2931
26,3662
26,5075
26,7249
26,11091
26,13031
26,14851
26,16941
26,19841
26,22798
26,22913
26,23646
26,25555
26,27348
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,29323
27,176
27,180
27,312
27,568
27,1869
27,3300
27,3780
27,4603
27,5781
27,6117
27,6275
27,6429
27,6490
27,7502
27,7572
27,8679
27,9185
27,9732
27,9857
27,10183
27,10459
27,10805
27,10857
27,10870
27,11009
27,11026
27,11289
27,12018
27,12565
27,12994
27,13100
27,13377
27,13511
27,13634
27,13792
27,13951
27,14219
27,14466
27,14532
27,15340
27,15510
27,15555
27,15859
27,15902
27,16283
27,17329
27,17923
27,18238
27,18340
27,19190
27,19550
27,19967
27,20035
27,20463
27,21326
27,21633
27,21718
27,22036
27,22655
27,23620
27,23633
27,24082
27,24311
27,24993
27,25683
27,25892
27,26752
27,27138
27,28079
27,28852
27,29272
28,503
28,613
28,1448
28,1475
28,1631
28,1890
28,1905
28,2176
28,2305
28,2817
28,3068
28,3205
28,3470
28,3743
28,4501
28,4752
28,4828
28,5156
28,5735
28,5789
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6135
28,6139
28,6386
28,6407
28,6519
28,7336
28,7902
28,8078
28,8208
28,8456
28,8546
28,8808
28,8861
28,8931
28,9002
28,9154
28,9346
28,9449
28,9766
28,9798
28,9904
28,10232
28,10936
28,10967
28,11053
28,11263
28,11349
28,11418
28,11795
28,11804
28,11821
28,11861
28,12558
28,12723
28,12859
28,12897
28,13059
28,13328
28,13713
28,13989
28,14114
28,14668
28,15474
28,15715
28,15840
28,16078
28,16079
28,16327
28,16449
28,16516
28,17364
28,17892
28,17956
28,18253
28,18260
28,18400
28,18566
28,18713
28,19093
28,19105
28,19194
28,19460
28,19704
28,20030
28,20112
28,20197
28,20309
28,20475
28,20899
28,20913
28,21939
28,22025
28,22423
28,22462
28,22624
28,22807
28,23364
28,23542
28,23573
28,23649
28,23817
28,23918
28,23934
28,24002
28,24482
28,24548
28,24941
28,25096
28,25377
28,25535
28,26494
28,26668
28,26720
28,27074
28,27090
28,27172
28,27175
28,28233
28,28265
28,28286
28,28443
28,29164
29,221
29,317
29,536
29,607
29,609
29,642
29,791
29,813
29,1044
29,1063
29,1171
29,1271
29,1285
29,1292
29,1413
29,1478
29,1736
29,1960
29,2074
29,2086
29,2126
29,2145
29,2245
29,2347
29,2376
29,2567
29,2573
29,2743
29,3115
29,3202
29,3291
29,3343
29,3517
29,3555
29,3606
29,3707
29,3822
29,3934
29,4023
29,4053
29,4157
29,4188
29,4232
29,4285
29,4340
29,4367
29,4438
29,4518
29,4523
29,4542
29,4831
29,5016
29,5115
29,5172
29,5348
29,5363
29,5406
29,5554
29,5674
29,5831
29,6094
29,6142
29,6249
29,6258
29,6355
29,6454
29,6482
29,6483
29,6550
29,6900
29,7050
29,7293
29,7494
29,7658
29,7769
29,8111
29,8118
29,8188
29,8205
29,8298
29,8470
29,8478
29,8480
29,8726
29,8738
29,8825
29,8926
29,8941
29,9048
29,9161
29,9386
29,9509
29,9696
29,9831
