layer,neuron
7,1326
7,5458
16,20820
16,21397
24,7176
24,16783
24,22875
24,29310
25,4417
25,10287
25,11386
25,17524
25,18953
25,26188
26,135
26,1155
26,2168
26,2931
26,3421
26,3662
26,3892
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,8045
26,11091
26,12014
26,13754
26,14352
26,14505
26,17243
26,17907
26,19841
26,21645
26,22873
26,22913
26,23228
26,23646
26,26529
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
26,29323
27,176
27,180
27,660
27,869
27,1128
27,1944
27,2267
27,2460
27,3045
27,3055
27,3300
27,3780
27,3786
27,3793
27,3859
27,4148
27,4220
27,4603
27,5029
27,5119
27,5651
27,5781
27,5928
27,6013
27,6065
27,6117
27,6275
27,6847
27,6952
27,7291
27,7333
27,7405
27,7572
27,8373
27,8679
27,8892
27,9347
27,9386
27,9730
27,9895
27,9941
27,9969
27,10090
27,10094
27,10099
27,10183
27,10666
27,10870
27,11009
27,11289
27,11329
27,12018
27,12051
27,12331
27,13100
27,13327
27,13377
27,13449
27,13573
27,13604
27,13634
27,13707
27,13792
27,13862
27,13903
27,14219
27,14466
27,14899
27,15328
27,15340
27,15555
27,15882
27,15902
27,16076
27,16707
27,17474
27,17759
27,17785
27,18238
27,18529
27,18607
27,18836
27,19190
27,19419
27,19550
27,19559
27,19967
27,19998
27,20035
27,20319
27,20712
27,20797
27,21029
27,21208
27,21326
27,21718
27,21766
27,22036
27,23160
27,23244
27,23276
27,23620
27,23980
27,24082
27,24311
27,24506
27,24581
27,25346
27,25832
27,25892
27,26038
27,26607
27,26752
27,26930
27,26936
27,26955
27,27138
27,27174
27,27498
27,27683
27,27746
27,27821
27,28003
27,28079
27,28110
27,28274
27,28576
27,29137
27,29272
27,29432
28,146
28,281
28,369
28,503
28,608
28,694
28,1074
28,1362
28,1714
28,1905
28,2383
28,2605
28,3241
28,3470
28,3743
28,4343
28,4475
28,4501
28,4521
28,4738
28,4752
28,4771
28,4828
28,5012
28,5156
28,5173
28,5230
28,5360
28,5562
28,5701
28,5899
28,5940
28,6099
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,6591
28,6670
28,6777
28,7336
28,7503
28,7902
28,8059
28,8118
28,8170
28,8208
28,8220
28,8354
28,8476
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9346
28,9449
28,9639
28,9697
28,9766
28,9798
28,9904
28,10232
28,10693
28,10823
28,11045
28,11263
28,11349
28,11418
28,11804
28,11861
28,12049
28,12544
28,12558
28,12897
28,13059
28,13239
28,13315
28,13660
28,13681
28,13713
28,13791
28,14668
28,15465
28,15474
28,15486
28,15715
28,16515
28,16516
28,16548
28,17037
28,17091
28,17368
28,17709
28,18121
28,18253
28,18260
28,18658
28,18813
28,19093
28,19105
28,19194
28,19208
28,19705
28,20003
28,20030
28,20127
28,20274
28,20309
28,20475
28,20899
28,21054
28,21055
28,21379
28,21939
28,22025
28,22797
28,22807
28,23364
28,23388
28,23416
28,23649
28,23817
28,23934
28,23939
28,24002
28,24121
28,24298
28,24548
28,25096
28,25375
28,25470
28,25849
28,26016
28,26109
28,26366
28,26668
28,26720
28,26929
28,26943
28,27049
28,27172
28,27200
28,27312
28,27482
28,27693
28,28140
28,28233
28,28265
28,28286
28,28443
28,28520
28,28579
28,28774
28,29164
29,33
29,105
29,221
29,317
29,377
29,468
29,536
29,607
29,609
29,664
29,791
29,813
29,1051
29,1063
29,1282
29,1541
29,1644
29,1714
29,1731
29,1753
29,1788
29,1945
29,2074
29,2086
29,2245
29,2376
29,2404
29,2472
29,2474
29,2573
29,2743
29,2864
29,2984
29,3243
29,3255
29,3278
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3517
29,3555
29,3594
29,3703
29,3707
29,3822
29,3860
29,3934
29,4053
29,4104
29,4145
29,4157
29,4438
29,4518
29,4542
29,4831
29,5016
29,5054
29,5106
29,5119
29,5307
29,5348
29,5363
29,5379
29,5406
29,5554
29,5616
29,5674
29,5676
29,5831
29,5908
29,6094
29,6135
29,6142
29,6249
29,6349
29,6355
29,6550
29,6677
29,6697
29,6772
29,6859
29,6895
29,7050
29,7293
29,7477
29,7525
29,7547
29,7769
29,7905
29,7917
29,8118
29,8188
29,8224
29,8253
29,8422
29,8470
29,8478
29,8594
29,8738
29,8743
29,8926
29,8941
29,8998
29,9037
29,9048
29,9067
29,9161
29,9283
29,9386
29,9581
29,9786
29,9829
29,9862
29,9873
29,9967
29,10068
29,10114
29,10175
29,10228
29,10325
29,10447
29,10498
29,10571
29,10644
29,10688
29,10698
29,10777
29,10852
29,11027
29,11107
29,11474
29,11491
29,11605
29,11641
29,11736
29,11806
29,11809
29,11828
29,11859
29,11889
29,11904
29,12008
29,12301
29,12660
29,13050
29,13063
29,13072
29,13100
29,13140
29,13324
29,13436
29,13712
29,13786
29,13855
29,13960
29,14177
29,14220
29,14545
29,14623
29,14664
29,14818
29,14832
29,14837
29,14877
29,15123
29,15266
29,15453
29,15527
29,15636
29,15697
29,15915
29,16168
29,16226
29,16476
29,16498
29,16547
29,16577
29,16787
29,16943
29,17029
29,17082
29,17257
29,17271
29,17410
29,17563
29,17637
29,17654
29,17788
29,17800
29,17821
29,17899
29,17911
29,17951
29,18188
29,18194
29,18470
29,18505
29,18544
29,18557
29,18575
29,18631
29,18660
29,18677
29,18729
29,18803
29,18857
29,18866
29,18890
29,19005
29,19154
29,19220
29,19226
29,19227
29,19296
29,19353
29,19410
29,19496
29,19558
29,19664
29,19679
29,19731
29,19769
29,20115
29,20117
29,20394
29,20404
29,20414
29,20504
29,20578
29,20647
29,20858
29,20870
29,20913
29,20918
29,20931
29,20941
29,21311
29,21422
29,21541
29,21575
29,21623
29,21659
29,21682
29,21751
29,22095
29,22166
29,22246
29,22310
29,22482
29,22518
29,22550
29,22571
29,22656
29,22814
29,22896
29,22947
29,23004
29,23087
29,23091
29,23118
29,23122
29,23249
29,23250
29,23600
29,23609
29,23619
29,23706
29,24164
29,24252
29,24447
29,24472
29,24520
29,24543
29,24614
29,24649
29,24835
29,24849
29,24925
29,25129
29,25253
29,25274
29,25369
29,25465
29,25466
29,25516
29,25596
29,25611
29,25623
29,25925
29,25988
29,25989
29,26182
29,26303
29,26506
29,26535
29,26640
29,26709
29,26945
29,27616
29,27737
29,27920
29,27937
29,28050
29,28070
29,28118
29,28167
29,28198
29,28210
29,28235
29,28428
29,28514
29,28524
29,28803
29,28935
29,28997
29,29017
29,29083
29,29268
29,29270
29,29426
29,29549
30,198
30,206
30,278
30,328
30,353
30,430
30,726
30,827
30,876
30,911
30,999
30,1051
30,1165
30,1176
30,1347
30,1360
30,1374
30,1422
