layer,neuron
4,13106
7,1326
16,100
16,20820
16,21397
20,8130
24,7176
24,16783
24,20457
25,1781
25,4417
25,17524
25,19096
25,29308
26,1155
26,2168
26,2931
26,3421
26,3662
26,3892
26,4733
26,5075
26,5147
26,6860
26,7249
26,12000
26,12014
26,13031
26,17239
26,17243
26,22798
26,22873
26,22913
26,23646
26,25555
26,26529
26,26971
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28778
26,28971
27,176
27,3045
27,3300
27,3780
27,4523
27,4603
27,6117
27,6275
27,6429
27,6490
27,6847
27,6952
27,7333
27,7502
27,7572
27,8679
27,8892
27,9308
27,9730
27,9969
27,10183
27,10459
27,10857
27,11009
27,11289
27,12018
27,12605
27,13327
27,13419
27,13604
27,13862
27,13951
27,14219
27,14466
27,14806
27,14829
27,15340
27,15555
27,15573
27,15859
27,15902
27,18607
27,18909
27,19103
27,19190
27,19967
27,20035
27,20225
27,21029
27,21326
27,21633
27,21718
27,22036
27,23160
27,23244
27,23504
27,23620
27,23633
27,24082
27,24993
27,25892
27,26607
27,26752
27,26955
27,27138
27,28003
27,29137
27,29272
28,281
28,394
28,613
28,694
28,1362
28,1475
28,1905
28,2176
28,2305
28,2383
28,3068
28,3205
28,3470
28,3743
28,4475
28,4738
28,4752
28,4828
28,5156
28,5230
28,5360
28,5730
28,5899
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6591
28,6777
28,6830
28,7336
28,7503
28,7996
28,8170
28,8208
28,8220
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9154
28,9346
28,9354
28,9449
28,9697
28,9766
28,9798
28,9904
28,10232
28,10823
28,10936
28,10967
28,11045
28,11053
28,11349
28,11418
28,11795
28,11804
28,11821
28,11861
28,12544
28,12558
28,12723
28,12897
28,13328
28,13713
28,14114
28,14660
28,14668
28,15474
28,15715
28,16253
28,16380
28,16515
28,16516
28,16573
28,17956
28,18121
28,18253
28,18260
28,18400
28,18566
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19704
28,20030
28,20274
28,20416
28,20475
28,20899
28,22025
28,22423
28,22807
28,23388
28,23416
