layer,neuron
4,13106
7,1326
7,5458
16,100
16,5325
16,20820
16,21397
17,9903
17,20875
20,8130
24,3155
24,7176
24,16783
24,20457
25,1781
25,4417
25,19096
25,29308
26,316
26,1155
26,2168
26,2931
26,3421
26,3662
26,4733
26,5075
26,5147
26,6860
26,7249
26,11091
26,12000
26,12014
26,13031
26,17239
26,17243
26,22798
26,22884
26,23646
26,25555
26,26971
26,27500
26,27932
26,28037
26,28425
26,28626
26,28754
26,28971
27,176
27,180
27,312
27,2218
27,3780
27,4603
27,5998
27,6117
27,6275
27,6429
27,6490
27,6847
27,7502
27,7572
27,8679
27,9248
27,9386
27,9857
27,9969
27,10183
27,10459
27,10805
27,10857
27,10967
27,11009
27,11289
27,12018
27,13604
27,13707
27,13862
27,13951
27,14466
27,14829
27,15340
27,15510
27,15525
27,15555
27,15859
27,15902
27,17329
27,18004
27,18340
27,19190
27,19378
27,19967
27,20035
27,20225
27,21326
27,21633
27,21718
27,22036
27,23231
27,23620
27,23633
27,24082
27,24993
27,25346
27,25683
27,26296
27,26572
27,26607
27,26752
27,27814
27,28003
27,29137
27,29540
28,613
28,694
28,1362
28,1475
28,1890
28,1905
28,2176
28,3068
28,4738
28,4752
28,4828
28,5156
28,5360
28,5730
28,6020
28,6102
28,6105
28,6139
28,6386
28,6407
28,6777
28,6830
28,7336
28,7996
28,8170
28,8208
28,8528
28,8808
28,8861
28,9002
28,9346
28,9354
28,9449
28,9697
28,9798
28,9904
28,10232
28,10936
28,10967
28,11045
28,11053
28,11349
28,11418
28,11804
28,11821
28,11861
28,12544
28,12723
28,12897
28,13328
28,13713
28,14576
28,14668
28,15474
28,15715
28,16237
28,16515
28,16516
28,17159
28,18121
28,18253
28,18260
28,18400
28,18713
28,19093
28,19105
28,19704
28,20030
28,20274
28,20416
28,20475
28,20899
28,22025
28,22423
28,22462
28,23572
28,23649
28,23802
28,23817
28,23918
28,24002
28,24548
28,24941
28,25631
28,26108
28,26494
28,27049
28,27090
28,27312
28,28233
28,28443
29,536
29,609
29,642
29,664
29,813
29,971
29,1051
29,1063
29,1265
29,1478
29,1541
29,1960
29,2086
29,2347
29,2376
29,2404
