layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
11,29560
16,100
16,5325
16,5647
16,20820
16,21397
16,24414
17,9903
17,12951
17,20875
19,12231
20,8130
21,12526
23,4248
24,3155
24,7176
24,9182
24,16783
24,18087
24,19625
24,20457
24,29310
25,1781
25,2028
25,4417
25,17524
25,19096
25,27316
25,29308
26,316
26,1006
26,1155
26,1798
26,2128
26,2168
26,2931
26,3421
26,3547
26,3662
26,4733
26,5075
26,5147
26,5357
26,5560
26,6860
26,7236
26,7249
26,7707
26,11091
26,12000
26,12014
26,13031
26,13069
26,13860
26,14194
26,15026
26,16272
26,16941
26,17239
26,17243
26,17538
26,17572
26,18229
26,19595
26,19909
26,22656
26,22734
26,22798
26,22884
26,23646
26,24787
26,25555
26,26140
26,26971
26,27019
26,27026
26,27500
26,27932
26,28037
26,28425
26,28626
26,28754
26,28808
26,28820
26,28971
27,176
27,180
27,227
27,304
27,312
27,1602
27,2218
27,3300
27,3780
27,4209
27,4603
27,5998
27,6117
27,6275
27,6384
27,6429
27,6490
27,6847
27,7502
27,7509
27,7572
27,7930
27,8679
27,9201
27,9248
27,9386
27,9743
27,9857
27,9969
27,10090
27,10183
27,10459
27,10527
27,10555
27,10805
27,10857
27,10964
27,10967
27,11009
27,11255
27,11289
27,12018
27,13511
27,13573
27,13604
27,13707
27,13712
27,13862
27,13903
27,13951
27,14283
27,14466
27,14738
27,14829
27,15340
27,15510
27,15525
27,15555
27,15859
27,15902
27,15993
27,17329
27,18004
27,18340
27,18528
27,18667
27,18909
27,18949
27,19190
27,19378
27,19389
27,19403
27,19967
27,20035
27,20225
27,20319
27,20917
27,21055
27,21326
27,21633
27,21718
27,21904
27,22036
27,22677
27,23231
27,23620
27,23633
27,24082
27,24347
27,24664
27,24993
27,25346
27,25683
27,25702
27,25714
27,25892
27,26106
27,26296
27,26366
27,26572
27,26607
27,26752
27,27683
27,27746
27,27793
27,27814
27,28003
27,28110
27,28852
27,29137
27,29540
28,503
28,613
28,694
28,796
28,1362
28,1465
28,1475
28,1890
28,1905
28,2176
28,2400
28,2817
28,3068
28,3075
28,3176
28,3671
28,4738
28,4752
28,4771
