layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
7,4784
7,5458
16,100
16,2236
16,5325
16,7688
16,20820
16,21397
17,1530
17,1972
17,9903
17,14660
17,15360
17,20875
17,23898
19,22505
20,8130
21,12526
23,25992
24,3155
24,7176
24,16783
24,18087
24,20457
24,25783
24,29310
25,1781
25,4417
25,14982
25,16675
25,18953
25,19096
25,19767
25,28129
25,29308
26,316
26,1155
26,2168
26,2171
26,2215
26,2931
26,3421
26,3662
26,3796
26,4311
26,4465
26,5075
26,5147
26,5357
26,6860
26,7249
26,7707
26,11091
26,11632
26,12000
26,12014
26,12064
26,13031
26,13613
26,13899
26,14352
26,14851
26,15270
26,16031
26,16941
26,17239
26,17243
26,17907
26,18488
26,19841
26,22798
26,22873
26,22884
26,22913
26,23332
26,23646
26,24670
26,25555
26,25573
26,26529
26,26971
26,27246
26,27500
26,27932
26,28037
26,28338
26,28425
26,28482
26,28570
26,28626
26,28754
26,28971
26,29323
26,29383
27,176
27,180
27,312
27,568
27,660
27,686
27,1568
27,1869
27,1880
27,1910
27,2302
27,2505
27,3045
27,3253
27,3300
27,3437
27,3549
27,3780
27,3786
27,3859
27,4124
27,4523
27,4603
27,4678
27,4726
27,4800
27,4845
27,5029
27,5077
27,5119
27,5341
27,5928
27,5998
27,6065
27,6117
27,6159
27,6180
27,6275
27,6429
27,6485
27,6490
27,6546
27,6734
27,6847
27,6952
27,7008
27,7291
27,7502
27,7572
27,8005
27,8339
27,8679
27,8892
27,9248
27,9347
27,9716
27,9732
27,9857
27,9969
27,10094
27,10183
27,10459
27,10857
27,10870
27,11009
27,11289
27,11663
27,11864
27,11909
27,11912
27,12018
27,12026
27,12224
27,12565
27,12736
27,12796
27,12994
27,13062
27,13263
27,13291
27,13327
27,13377
27,13604
27,13634
27,13707
27,13792
27,13862
27,13951
27,13963
27,14219
27,14230
27,14466
27,14532
27,14812
27,14829
27,15181
27,15218
27,15328
27,15340
27,15510
27,15555
27,15573
27,15685
27,15859
27,15902
27,16266
27,16844
27,17018
27,17185
27,17329
27,17435
27,17474
27,17923
27,17980
27,18004
27,18238
27,18278
27,18284
27,18286
27,18340
27,18529
27,18607
27,19103
27,19190
27,19234
27,19276
27,19289
27,19327
27,19559
27,19711
27,19967
27,20035
27,20225
27,20319
27,20452
27,20873
27,21029
27,21326
27,21633
27,21718
27,21835
27,22036
27,22122
27,22194
27,22655
27,22920
27,23117
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23644
27,24082
27,24311
27,24581
27,24874
27,24993
27,25341
27,25346
27,25525
27,25682
27,25683
27,25892
27,26366
27,26572
27,26607
27,26712
27,26752
27,26930
27,26955
27,27138
27,27213
27,27278
27,27637
27,27683
27,27821
27,28003
27,28079
27,28119
27,28653
27,28985
27,29137
27,29272
27,29457
28,281
28,608
28,613
28,623
28,639
28,653
28,694
28,1052
28,1362
28,1394
28,1475
28,1828
28,1890
28,1905
28,2164
28,2176
28,2819
28,2997
28,3068
28,3176
28,3475
28,3743
28,3956
28,4284
28,4475
28,4499
28,4521
28,4738
28,4752
28,4828
28,5156
28,5230
28,5360
28,5642
28,5735
28,5789
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6139
28,6153
28,6386
28,6407
28,6519
28,6591
28,6830
28,6960
28,7094
28,7290
28,7336
28,7503
28,7615
28,7902
28,7996
28,8170
28,8208
28,8476
28,8528
28,8808
28,8839
28,8845
28,8861
28,8874
28,8893
28,8931
28,9002
28,9008
28,9324
28,9346
28,9434
28,9449
28,9512
28,9697
28,9798
28,9813
28,9822
28,9904
28,9906
28,9932
28,10232
28,10749
28,10823
28,10936
28,10967
28,11007
28,11045
28,11053
28,11263
28,11342
28,11349
28,11418
28,11795
28,11804
28,11821
28,11861
28,12049
28,12051
28,12493
28,12544
28,12558
28,12723
28,12897
28,12931
28,13059
28,13306
28,13315
28,13328
28,13698
28,13713
28,13719
28,13808
28,14114
28,14399
28,14493
28,14668
28,15465
28,15474
28,15715
28,16079
28,16237
28,16515
28,16516
28,16693
28,16840
28,17018
28,17091
28,17159
28,17279
28,17591
28,17654
28,17956
28,17968
28,18121
28,18253
28,18260
28,18400
28,18566
28,18624
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19460
28,19538
28,19704
28,19766
28,19835
28,19892
28,20030
28,20274
28,20416
28,20475
28,20899
28,20914
28,21055
28,21274
28,21379
28,21446
28,21939
28,22017
28,22025
28,22326
28,22423
28,22462
28,22569
28,22726
28,22797
28,22807
28,23098
28,23336
28,23364
28,23572
28,23573
28,23649
28,23811
28,23817
28,23918
28,23934
28,24002
28,24059
28,24211
28,24548
28,24706
28,24818
