layer,neuron
7,1326
7,5458
16,100
16,21397
17,13722
17,17471
23,3134
23,22508
24,3477
24,7176
24,7570
24,7677
24,13556
24,16783
24,22875
24,26743
24,29310
25,86
25,4417
25,10287
25,11386
25,17524
25,18953
25,25655
25,26188
26,135
26,2168
26,2171
26,2747
26,2931
26,3421
26,3639
26,3662
26,3892
26,5075
26,5147
26,5357
26,5410
26,7236
26,7249
26,7494
26,7774
26,8045
26,10277
26,11091
26,11399
26,11629
26,11632
26,12014
26,13754
26,14352
26,14505
26,14580
26,15999
26,17239
26,17243
26,17278
26,17406
26,17907
26,18711
26,21443
26,21645
26,22873
26,22913
26,23228
26,23646
26,24671
26,25368
26,25392
26,25555
26,25712
26,26529
26,27327
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28754
26,28839
26,28971
26,29323
27,176
27,180
27,189
27,418
27,660
27,882
27,1027
27,1944
27,2460
27,3045
27,3055
27,3281
27,3300
27,3437
27,3780
27,3786
27,3793
27,4220
27,4603
27,4723
27,4845
27,5067
27,5573
27,5651
27,5750
27,5928
27,6013
27,6065
27,6117
27,6275
27,6384
27,7291
27,7405
27,7502
27,7572
27,8373
27,8679
27,8892
27,9347
27,9386
27,9730
27,9895
27,9941
27,9969
27,10090
27,10094
27,10183
27,10459
27,10666
27,11009
27,11329
27,11431
27,11559
27,11663
27,11912
27,12018
27,12051
27,12331
27,12736
27,12934
27,12994
27,13100
27,13327
27,13377
27,13419
27,13573
27,13589
27,13604
27,13634
27,13707
27,13712
27,13792
27,13903
27,13963
27,14219
27,14466
27,14538
27,14812
27,14868
27,14899
27,14944
27,15328
27,15340
27,15555
27,15882
27,15902
27,16076
27,16707
27,16841
27,17293
27,17552
27,17759
27,17785
27,17980
27,18238
27,18607
27,18836
27,18949
27,19190
27,19200
27,19403
27,19419
27,19559
27,19967
27,20035
27,20319
27,20705
27,20712
27,20868
27,20896
27,21029
27,21194
27,21208
27,21326
27,21718
27,21766
27,21858
27,22036
27,22435
27,22677
27,23160
27,23276
27,23620
27,23936
27,23980
27,24082
27,24311
27,24506
27,24581
27,25454
27,25596
27,25778
27,25832
27,25892
27,26038
27,26607
27,26752
27,26930
27,26936
27,26955
27,27174
27,27470
27,27498
27,27683
27,27709
27,27821
27,28003
27,28079
27,28110
27,28171
27,28955
27,29137
27,29272
27,29432
28,146
28,281
28,369
28,503
28,694
28,1074
28,1369
28,1714
28,1905
28,2305
28,2377
28,2383
28,2605
28,2825
28,3176
28,3470
28,3483
28,4343
28,4475
28,4521
28,4738
28,4752
28,4771
28,4828
28,4839
28,5156
28,5274
28,5360
28,5562
28,5587
28,5642
28,5701
28,5899
28,5940
28,6099
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,6670
28,6777
28,6830
28,6893
28,7336
28,7420
28,7503
28,7902
28,7924
28,8059
28,8078
28,8170
28,8208
28,8220
28,8396
28,8476
28,8528
28,8808
28,8812
28,8861
28,8874
28,8931
28,9002
28,9346
28,9449
28,9697
28,9737
28,9798
28,9904
28,10009
28,10120
28,10232
28,10693
28,10823
28,10980
28,11263
28,11349
28,11418
28,11509
28,11582
28,11804
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,13059
28,13315
28,13328
28,13660
28,13681
28,13713
28,13791
28,14123
28,14668
28,15032
28,15465
28,15474
28,15486
28,15715
28,15840
28,16380
28,16516
28,16548
28,16693
28,17037
28,17091
28,17368
28,17709
28,18253
28,18260
28,18268
28,18658
28,18813
28,19093
28,19105
28,19194
28,19208
28,20003
28,20005
28,20030
28,20058
28,20127
28,20143
28,20274
28,20309
28,20475
28,20899
28,21055
28,21268
28,21379
28,22025
28,22807
28,23286
28,23364
28,23416
28,23496
28,23649
28,23817
28,23934
28,23939
28,24001
28,24002
28,24188
28,24548
28,25013
28,25050
28,25096
28,25322
28,25377
28,25449
28,25470
28,25849
28,26016
28,26109
28,26668
28,26720
28,26929
28,27172
28,27175
28,27200
28,27482
28,28140
28,28233
28,28265
28,28286
28,28520
28,28579
28,28774
28,28955
28,29164
29,33
29,105
29,221
29,317
29,347
29,377
29,468
29,482
29,536
29,607
29,609
29,664
29,791
29,813
29,1044
29,1051
29,1063
29,1282
29,1541
29,1644
29,1714
29,1753
29,1788
29,1945
29,2066
29,2074
29,2086
29,2200
29,2245
29,2325
29,2326
29,2376
29,2472
29,2474
29,2501
29,2542
29,2573
29,2743
29,2864
29,2984
29,3255
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3517
29,3555
29,3606
29,3612
29,3703
29,3707
29,3822
29,3860
29,3934
29,4033
29,4053
29,4104
29,4145
29,4157
29,4195
29,4438
29,4518
29,4542
29,4632
29,4831
29,5016
29,5106
29,5119
29,5164
29,5307
29,5348
29,5363
29,5379
29,5406
29,5554
29,5563
29,5616
29,5664
29,5674
29,5676
29,5722
29,5831
29,5908
29,6094
29,6135
29,6142
29,6167
29,6249
29,6349
29,6355
29,6454
29,6550
29,6678
29,6697
29,6772
29,6859
29,6895
29,6975
29,7027
29,7049
29,7050
29,7138
29,7477
29,7547
29,7640
29,7769
29,7784
29,7852
29,7905
29,7917
29,7965
29,8118
29,8188
29,8224
29,8253
29,8395
29,8422
29,8470
29,8478
29,8594
29,8738
29,8743
29,8926
29,8941
29,8998
29,9037
29,9048
29,9051
29,9067
29,9161
29,9283
29,9581
29,9772
29,9786
29,9829
29,9862
29,9873
29,9967
29,10020
29,10068
29,10114
29,10228
29,10325
29,10447
29,10498
29,10571
29,10644
29,10688
29,10698
29,10777
29,11027
29,11107
29,11204
29,11474
29,11491
29,11641
29,11726
29,11736
29,11806
29,11809
29,11815
29,11828
29,11859
29,11880
29,11889
29,11904
29,12002
29,12301
29,12502
29,12547
29,12660
29,13031
29,13050
29,13063
29,13100
29,13120
29,13140
29,13324
29,13596
29,13653
29,13702
29,13712
29,13722
29,13726
29,13786
29,13855
29,13874
29,13960
29,14177
29,14220
29,14545
29,14623
29,14651
29,14664
29,14818
29,14837
29,14877
29,15123
29,15208
29,15409
29,15453
29,15527
29,15620
29,15636
29,15679
29,15697
29,15711
29,15915
29,16019
29,16168
29,16226
29,16398
29,16498
29,16547
29,16787
29,16875
29,16934
29,16943
29,17029
29,17082
29,17271
29,17522
29,17563
29,17654
29,17678
29,17771
29,17788
29,17800
29,17821
29,17899
29,17911
29,17951
29,18127
29,18160
29,18188
29,18470
29,18505
29,18544
29,18557
29,18631
29,18660
29,18677
29,18729
29,18803
29,18866
29,18890
29,19005
29,19024
29,19151
29,19154
29,19226
29,19227
29,19296
29,19353
29,19410
29,19496
29,19531
29,19558
29,19664
29,19679
29,19769
29,19884
29,19895
29,20115
29,20117
29,20321
29,20394
29,20404
29,20414
