layer,neuron
5,793
5,5225
5,6132
5,9469
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
7,5458
15,4080
16,100
16,21397
17,13722
17,17471
17,23898
23,3134
23,22508
24,3477
24,5724
24,6482
24,7176
24,7359
24,7570
24,7677
24,12448
24,13556
24,14707
24,14708
24,15455
24,16783
24,17341
24,18087
24,19301
24,21237
24,22643
24,22875
24,23873
24,25783
24,26743
24,27892
24,29310
25,86
25,2805
25,2950
25,4417
25,10287
25,11386
25,14982
25,17524
25,18953
25,19767
25,22661
25,24977
25,25655
25,26188
25,28129
26,135
26,210
26,688
26,694
26,2168
26,2171
26,2747
26,2931
26,3421
26,3639
26,3662
26,3805
26,3892
26,3921
26,4192
26,4311
26,5075
26,5147
26,5357
26,5410
26,6058
26,6860
26,7236
26,7249
26,7494
26,7774
26,7867
26,8020
26,8045
26,9355
26,9392
26,10277
26,10462
26,11091
26,11399
26,11617
26,11629
26,11632
26,11912
26,12014
26,13754
26,13899
26,14352
26,14505
26,14580
26,15256
26,15270
26,15338
26,15898
26,15992
26,15999
26,16031
26,16904
26,17065
26,17130
26,17239
26,17243
26,17278
26,17406
26,17907
26,18711
26,19385
26,19587
26,19841
26,21443
26,21645
26,21863
26,22522
26,22798
26,22873
26,22913
26,23228
26,23332
26,23646
26,24393
26,24671
26,24798
26,25237
26,25368
26,25392
26,25555
26,25712
26,26373
26,26529
26,26591
26,27246
26,27327
26,27500
26,27626
26,27737
26,27932
26,28037
26,28338
26,28425
26,28555
26,28754
26,28839
26,28971
26,29033
26,29313
26,29323
27,28
27,176
27,180
27,189
27,247
27,418
27,486
27,568
27,660
27,686
27,869
27,882
27,913
27,1027
27,1128
27,1373
27,1568
27,1634
27,1698
27,1910
27,1944
27,1983
27,2241
27,2267
27,2359
27,2460
27,2535
27,2720
27,2810
27,2933
27,2936
27,3032
27,3045
27,3055
27,3181
27,3252
27,3253
27,3256
27,3281
27,3300
27,3411
27,3420
27,3437
27,3780
27,3786
27,3793
27,3859
27,4047
27,4124
27,4148
27,4172
27,4181
27,4183
27,4202
27,4220
27,4243
27,4323
27,4603
27,4669
27,4678
27,4723
27,4800
27,4845
27,4905
27,5029
27,5067
27,5119
27,5158
27,5573
27,5624
27,5651
27,5750
27,5796
27,5879
27,5928
27,5998
27,6013
27,6065
27,6117
27,6159
27,6233
27,6275
27,6384
27,6390
27,6429
27,6446
27,6485
27,6546
27,6598
27,6847
27,6952
27,7291
27,7405
27,7470
27,7502
27,7572
27,7698
27,7897
27,7975
27,8003
27,8339
27,8373
27,8679
27,8718
27,8751
27,8892
27,9062
27,9308
27,9335
27,9347
27,9348
27,9361
27,9386
27,9632
27,9662
27,9716
27,9728
27,9730
27,9756
27,9895
27,9941
27,9969
27,10090
27,10094
27,10132
27,10183
27,10340
27,10394
27,10459
27,10666
27,10802
27,10870
27,11009
27,11047
27,11289
27,11329
27,11431
27,11494
27,11526
27,11559
27,11663
27,11864
27,11909
27,11912
27,11967
27,12018
27,12051
27,12224
27,12272
27,12331
27,12421
27,12560
27,12565
27,12573
27,12736
27,12796
27,12934
27,12994
27,13057
27,13062
27,13100
27,13197
27,13263
27,13319
27,13327
27,13377
27,13419
27,13449
27,13573
27,13576
27,13589
27,13604
27,13634
27,13707
27,13712
27,13792
27,13862
27,13903
27,13951
27,13963
27,14219
27,14230
27,14263
27,14380
27,14447
27,14466
27,14538
27,14812
27,14829
27,14841
27,14868
27,14899
27,14944
27,14958
27,15181
27,15198
27,15246
27,15328
27,15340
27,15555
27,15685
27,15719
27,15775
27,15859
27,15882
27,15902
27,16076
27,16216
27,16526
27,16707
27,16841
27,16844
27,16845
27,17185
27,17293
27,17435
27,17474
27,17552
27,17650
27,17759
27,17785
27,17923
27,17980
27,18216
27,18238
27,18278
27,18284
27,18529
27,18607
27,18836
27,18938
27,18949
27,19103
27,19135
27,19190
27,19200
27,19276
27,19328
27,19403
27,19419
27,19527
27,19559
27,19647
27,19713
27,19824
27,19875
27,19945
27,19967
27,19998
27,20035
27,20085
27,20133
27,20225
27,20278
27,20319
27,20354
27,20558
27,20619
27,20683
27,20705
27,20712
27,20748
27,20804
27,20831
27,20868
27,20896
27,21029
27,21194
27,21208
27,21326
27,21363
27,21450
27,21718
27,21766
27,21835
27,21858
27,22023
27,22036
27,22122
27,22126
27,22194
27,22244
27,22435
27,22655
27,22677
27,23066
27,23160
27,23177
27,23244
27,23276
27,23620
27,23843
27,23936
27,23980
27,23994
27,24068
27,24082
27,24161
27,24311
27,24321
27,24506
27,24581
27,24606
27,24874
27,25022
27,25341
27,25346
27,25454
27,25456
27,25525
27,25596
27,25682
27,25778
27,25832
27,25892
27,26038
27,26086
27,26229
27,26275
27,26340
27,26607
27,26712
27,26752
27,26767
27,26777
27,26930
27,26936
27,26955
27,27138
27,27153
27,27174
27,27213
27,27470
27,27498
27,27637
27,27645
27,27683
27,27709
27,27821
27,28003
27,28079
27,28110
27,28119
27,28171
27,28307
27,28576
27,28653
27,28723
27,28891
27,28955
27,29059
27,29137
27,29151
27,29272
27,29305
27,29390
27,29432
27,29457
28,76
28,146
28,281
28,369
28,433
28,435
28,503
28,608
28,623
28,694
28,876
28,945
28,1052
28,1074
28,1158
28,1185
28,1348
28,1362
28,1369
28,1428
28,1475
28,1499
28,1615
28,1631
28,1698
28,1714
28,1758
28,1905
28,2164
28,2176
28,2195
28,2305
28,2377
28,2383
28,2605
28,2634
28,2697
28,2825
28,2870
28,2880
28,3068
28,3122
28,3176
28,3212
28,3367
28,3411
28,3424
28,3470
28,3475
28,3483
28,3743
28,3965
28,4001
28,4306
28,4329
28,4343
28,4354
28,4360
28,4475
28,4521
28,4556
28,4738
28,4752
28,4771
28,4777
28,4828
28,4839
28,5156
28,5173
28,5230
28,5274
28,5296
28,5302
28,5351
28,5360
28,5495
28,5562
28,5587
28,5623
28,5629
28,5642
28,5701
28,5899
28,5940
28,6099
28,6102
28,6105
28,6126
28,6139
28,6157
28,6248
28,6377
28,6385
28,6386
28,6407
28,6439
28,6519
28,6591
28,6621
28,6670
28,6777
28,6815
28,6830
28,6893
28,6960
28,7336
28,7420
28,7503
28,7616
28,7649
28,7843
28,7902
28,7924
28,7973
28,7996
28,8057
28,8059
28,8078
28,8118
28,8170
28,8208
28,8220
28,8286
28,8396
28,8428
28,8476
28,8528
28,8788
28,8808
28,8812
28,8861
28,8874
28,8931
28,8953
28,9002
28,9008
28,9346
28,9434
28,9449
28,9528
28,9625
28,9697
28,9715
28,9737
28,9766
28,9798
28,9852
28,9878
28,9904
28,9906
28,10009
28,10117
28,10120
28,10224
28,10232
28,10269
28,10372
28,10546
28,10693
28,10749
28,10754
28,10823
28,10849
28,10936
28,10980
28,11045
28,11263
28,11349
28,11418
28,11509
28,11567
28,11582
28,11729
28,11804
28,11821
28,11861
28,12049
28,12051
28,12057
28,12544
28,12558
28,12696
28,12723
28,12859
28,12897
28,12931
28,13059
28,13084
28,13115
28,13227
28,13233
28,13306
28,13315
28,13328
28,13660
28,13681
28,13698
28,13703
28,13713
28,13719
28,13791
28,14114
28,14123
28,14209
28,14365
28,14399
28,14410
28,14493
28,14518
28,14528
28,14668
28,14762
28,14929
28,15032
28,15336
28,15465
28,15474
28,15486
28,15597
28,15715
28,15840
28,15881
28,16074
28,16106
28,16173
28,16380
28,16516
28,16546
28,16548
28,16693
28,16808
28,16840
28,16941
28,17012
28,17018
28,17037
28,17091
28,17159
28,17234
28,17279
28,17368
28,17558
28,17591
28,17609
28,17649
28,17709
28,18121
28,18253
28,18260
28,18268
28,18446
28,18560
28,18624
28,18658
28,18786
28,18813
28,19093
28,19105
28,19169
28,19194
28,19205
28,19208
28,19237
28,19460
28,19724
28,19766
28,19790
28,19835
28,19850
28,20003
28,20005
28,20030
28,20058
28,20127
28,20143
28,20174
28,20274
28,20309
28,20444
28,20475
28,20555
28,20659
28,20899
28,20914
28,21054
28,21055
28,21130
28,21215
28,21268
28,21300
28,21347
28,21379
28,21433
28,21446
28,21722
28,21939
28,22017
28,22025
28,22048
28,22115
28,22159
28,22296
28,22319
28,22569
28,22609
28,22755
28,22797
28,22807
28,22873
28,23098
28,23286
28,23336
28,23364
28,23416
28,23496
28,23649
28,23688
28,23758
28,23817
28,23918
28,23934
28,23939
28,24001
28,24002
28,24011
28,24118
28,24188
28,24202
28,24211
28,24435
28,24548
28,24564
28,24677
28,24706
28,24897
28,24906
28,24941
28,25013
28,25050
28,25096
28,25322
28,25375
28,25377
28,25409
28,25449
28,25470
28,25849
28,25889
28,25971
28,26016
28,26108
28,26109
28,26307
28,26366
28,26558
28,26668
28,26716
28,26720
28,26765
28,26836
28,26929
28,26943
28,27049
28,27168
28,27172
28,27175
28,27200
28,27312
28,27482
28,27675
28,27687
28,27693
28,27851
28,27971
28,28009
28,28023
28,28140
28,28233
28,28265
28,28286
28,28443
28,28461
28,28488
28,28520
28,28567
28,28579
28,28709
28,28774
28,28839
28,28955
28,29022
28,29164
28,29304
28,29366
28,29415
28,29432
29,33
29,51
29,105
29,158
29,186
29,221
29,262
29,317
29,347
29,359
29,377
29,450
29,454
29,468
29,482
29,536
29,562
29,607
29,609
29,642
29,664
29,711
29,791
29,813
29,1044
29,1051
29,1063
29,1136
29,1282
29,1478
29,1489
29,1541
29,1570
29,1644
29,1694
29,1714
29,1753
29,1766
29,1784
29,1788
29,1881
29,1945
29,1960
29,1965
29,2066
29,2074
29,2086
29,2110
29,2200
29,2245
29,2267
29,2325
29,2326
29,2347
29,2376
29,2404
29,2472
29,2474
29,2501
29,2542
29,2553
29,2573
29,2646
29,2743
29,2864
29,2984
29,3001
29,3012
29,3054
29,3146
29,3177
29,3188
29,3243
29,3255
29,3291
29,3343
29,3347
29,3350
29,3382
29,3397
29,3403
29,3407
29,3478
29,3517
29,3555
29,3594
29,3606
29,3612
29,3627
29,3661
29,3703
29,3707
29,3822
29,3860
29,3907
29,3921
29,3934
29,3960
29,3985
29,4023
29,4033
29,4053
29,4088
29,4104
29,4145
29,4157
29,4188
29,4195
29,4209
29,4211
29,4301
29,4340
29,4377
29,4408
29,4438
29,4518
29,4523
29,4542
29,4556
29,4632
29,4678
29,4749
29,4784
29,4816
29,4831
29,4844
29,5016
29,5054
29,5106
29,5119
29,5164
29,5307
29,5309
29,5332
29,5348
29,5363
29,5379
29,5406
29,5504
29,5554
29,5563
29,5568
29,5616
29,5664
29,5674
29,5676
29,5722
29,5728
29,5734
29,5828
29,5831
29,5908
29,5922
29,5930
29,6066
29,6080
29,6094
29,6131
29,6135
29,6142
29,6167
29,6249
29,6327
29,6349
29,6355
29,6450
29,6454
29,6550
29,6580
29,6667
29,6677
29,6678
29,6697
29,6772
29,6798
29,6847
29,6859
29,6895
29,6975
29,7027
29,7049
29,7050
29,7079
29,7104
29,7138
29,7315
29,7361
29,7369
29,7477
29,7512
29,7547
29,7557
29,7602
29,7627
29,7634
29,7640
29,7769
29,7784
29,7798
29,7852
29,7905
29,7917
29,7965
29,8032
29,8118
29,8188
29,8224
29,8253
29,8287
29,8298
29,8395
29,8422
29,8470
29,8478
29,8561
29,8563
29,8585
29,8594
29,8738
29,8743
29,8886
29,8926
29,8932
29,8941
29,8955
29,8983
29,8998
29,9037
29,9048
29,9051
29,9067
29,9124
29,9161
29,9213
29,9243
29,9283
29,9386
29,9488
29,9540
29,9581
29,9693
29,9696
29,9714
29,9772
29,9786
29,9797
29,9829
29,9862
29,9873
29,9943
29,9966
29,9967
29,9998
29,10020
29,10049
29,10063
29,10068
29,10111
29,10114
29,10144
29,10154
29,10164
29,10213
29,10228
29,10240
29,10312
29,10325
29,10421
29,10447
29,10498
29,10544
29,10571
29,10642
29,10644
29,10688
29,10698
29,10777
29,10852
29,11027
29,11107
29,11144
29,11186
29,11204
29,11229
29,11286
29,11312
29,11451
29,11474
29,11491
29,11641
29,11653
29,11661
29,11726
29,11728
29,11736
29,11806
29,11809
29,11815
29,11828
29,11859
29,11880
29,11889
29,11904
29,11951
29,12002
29,12037
29,12067
29,12301
29,12502
29,12547
29,12638
29,12640
29,12660
29,12713
29,12857
29,12864
29,12908
29,13023
29,13029
29,13031
29,13050
29,13063
29,13072
29,13100
29,13120
29,13140
29,13160
29,13188
29,13228
29,13324
29,13445
29,13504
29,13596
29,13653
29,13687
29,13702
29,13705
29,13712
29,13722
29,13726
29,13774
29,13786
29,13811
29,13855
29,13874
29,13884
29,13889
29,13960
29,14015
29,14141
29,14161
29,14177
29,14192
29,14220
29,14245
29,14545
29,14563
29,14611
29,14623
29,14651
29,14653
29,14664
29,14685
29,14818
29,14823
29,14832
29,14837
29,14868
29,14877
29,14918
29,15055
29,15100
29,15123
29,15190
29,15208
29,15212
29,15254
29,15266
29,15330
29,15404
29,15409
29,15417
29,15440
29,15453
29,15488
29,15510
29,15512
29,15527
29,15620
29,15636
29,15679
29,15697
29,15711
29,15720
29,15747
29,15781
29,15839
29,15876
29,15915
29,15969
29,16019
29,16168
29,16170
29,16173
29,16226
29,16369
29,16396
29,16398
29,16498
29,16547
29,16577
29,16688
29,16787
29,16828
29,16875
29,16934
29,16943
29,16975
29,17029
29,17055
29,17082
29,17109
29,17126
29,17257
29,17261
29,17271
29,17334
29,17384
29,17428
29,17468
29,17522
29,17563
29,17602
29,17637
29,17654
29,17678
29,17771
29,17788
29,17800
29,17821
29,17899
29,17911
29,17950
29,17951
29,18003
29,18014
29,18127
29,18156
29,18160
29,18188
29,18470
29,18488
29,18505
29,18544
29,18557
29,18631
29,18660
29,18677
29,18729
29,18803
29,18830
29,18857
29,18866
29,18890
29,19005
29,19024
29,19151
29,19154
29,19220
29,19226
29,19227
29,19277
29,19294
29,19296
29,19318
29,19353
29,19401
29,19410
29,19437
29,19468
29,19472
29,19473
29,19496
29,19531
29,19558
29,19581
29,19664
29,19679
29,19733
29,19769
29,19850
29,19873
29,19884
29,19895
29,19905
29,20038
29,20115
29,20117
29,20265
29,20317
29,20321
29,20367
29,20394
29,20404
29,20414
29,20466
29,20504
29,20546
29,20578
29,20614
29,20647
29,20674
29,20731
29,20821
29,20858
29,20870
29,20898
29,20913
29,20918
29,20931
29,20941
29,20983
29,21060
29,21097
29,21120
29,21163
29,21212
29,21252
29,21311
29,21394
29,21422
29,21513
29,21541
29,21575
29,21585
29,21615
29,21623
29,21659
29,21682
29,21691
29,21751
29,21865
29,21886
29,22095
29,22142
29,22148
29,22166
29,22234
29,22246
29,22308
29,22310
29,22320
29,22410
29,22482
29,22518
29,22550
29,22571
29,22656
29,22658
29,22676
29,22690
29,22798
29,22814
29,22896
29,22910
29,22947
29,23004
29,23026
29,23087
29,23091
29,23118
29,23119
29,23122
29,23234
29,23249
29,23250
29,23345
29,23583
29,23600
29,23609
29,23619
29,23666
29,23706
29,23806
29,23819
29,24018
29,24105
29,24154
29,24190
29,24199
29,24252
29,24447
29,24472
29,24486
29,24489
29,24505
29,24520
29,24543
29,24614
29,24625
29,24628
29,24649
29,24671
29,24696
29,24835
29,24849
29,24903
29,24925
29,25078
29,25094
29,25129
29,25173
29,25253
29,25274
29,25301
29,25345
29,25386
29,25421
29,25465
29,25466
29,25516
29,25535
29,25596
29,25611
29,25623
29,25651
29,25653
29,25688
29,25698
29,25739
29,25856
29,25925
29,25963
29,25988
29,25989
29,26048
29,26079
29,26158
29,26175
29,26182
29,26199
29,26202
29,26235
29,26247
29,26303
29,26431
29,26499
29,26506
29,26530
29,26535
29,26581
29,26640
29,26648
29,26709
29,27108
29,27164
29,27214
29,27298
29,27374
29,27452
29,27564
29,27604
29,27642
29,27668
29,27682
29,27702
29,27734
29,27737
29,27800
29,27852
29,27865
29,27902
29,27920
29,27937
29,28050
29,28070
29,28072
29,28118
29,28167
29,28198
29,28210
29,28235
29,28410
29,28428
29,28514
29,28524
29,28658
29,28672
29,28740
29,28803
29,28891
29,28935
29,28997
29,29017
29,29041
29,29050
29,29065
29,29092
29,29185
29,29232
29,29260
29,29263
29,29270
29,29331
29,29426
29,29482
29,29515
29,29544
29,29549
30,96
30,148
30,198
30,278
30,309
30,328
30,353
30,360
30,394
30,430
30,461
30,465
30,534
30,557
30,701
30,726
30,743
30,827
30,830
30,839
30,876
30,911
30,922
30,952
30,957
30,976
30,999
30,1014
30,1019
30,1069
30,1153
30,1155
30,1165
30,1176
30,1204
30,1248
30,1249
30,1333
30,1336
30,1347
30,1360
30,1374
30,1378
30,1379
30,1422
30,1467
30,1473
30,1529
30,1543
30,1561
30,1562
30,1565
30,1592
30,1600
30,1628
30,1644
30,1703
30,1721
30,1734
30,1736
30,1777
30,1782
30,1797
30,1817
30,1867
30,1873
30,1884
30,1908
30,1915
30,1920
30,1945
30,1968
30,1991
30,1994
30,2007
30,2027
30,2103
30,2121
30,2126
30,2163
30,2186
30,2209
30,2230
30,2240
30,2264
30,2278
30,2292
30,2305
30,2312
30,2319
30,2382
30,2396
30,2401
30,2468
30,2471
30,2556
30,2570
30,2573
30,2574
30,2617
30,2625
30,2629
30,2631
30,2641
30,2651
30,2668
30,2684
30,2708
30,2793
30,2823
30,2857
30,2877
30,2885
30,2888
30,2915
30,2949
30,2997
30,3003
30,3010
30,3040
30,3104
30,3132
30,3172
30,3175
30,3183
30,3199
30,3265
30,3272
30,3274
30,3330
30,3350
30,3366
30,3374
30,3456
30,3458
30,3480
30,3482
30,3502
30,3559
30,3652
30,3654
30,3674
30,3678
30,3692
30,3698
30,3704
30,3709
30,3723
30,3742
30,3744
30,3747
30,3762
30,3773
30,3878
30,3888
30,3895
30,3902
30,3929
30,3997
30,4027
30,4067
30,4076
30,4183
30,4210
30,4219
30,4247
30,4285
30,4297
30,4425
30,4473
30,4477
30,4478
30,4503
30,4504
30,4507
30,4523
30,4543
30,4550
30,4581
30,4582
30,4668
30,4721
30,4759
30,4767
30,4792
30,4808
30,4836
30,4891
30,4914
30,4948
30,4960
30,4981
30,4997
30,5052
30,5057
30,5071
30,5100
30,5117
30,5119
30,5149
30,5155
30,5228
30,5236
30,5255
30,5274
30,5285
30,5316
30,5328
30,5333
30,5340
30,5396
30,5433
30,5470
30,5580
30,5592
30,5641
30,5645
30,5673
30,5704
30,5708
30,5720
30,5743
30,5746
30,5778
30,5812
30,5832
30,5840
30,5850
30,5855
30,5872
30,5874
30,5906
30,5926
30,5942
30,5968
30,5969
30,6133
30,6144
30,6159
30,6175
30,6179
30,6181
30,6182
30,6230
30,6246
30,6258
30,6285
30,6291
30,6296
30,6352
30,6368
30,6397
30,6401
30,6437
30,6507
30,6530
30,6556
30,6611
30,6634
30,6646
30,6662
30,6703
30,6712
30,6714
30,6753
30,6897
30,6914
30,6915
30,6923
30,6924
30,6946
30,6973
30,6990
30,6991
30,7005
30,7014
30,7036
30,7045
30,7218
30,7230
30,7250
30,7316
30,7327
30,7373
30,7400
30,7435
30,7452
30,7463
30,7470
30,7483
30,7485
30,7506
30,7525
30,7542
30,7545
30,7547
30,7550
30,7563
30,7575
30,7603
30,7637
30,7641
30,7649
30,7675
30,7698
30,7733
30,7743
30,7782
30,7797
30,7810
30,7867
30,7875
30,7886
30,7893
30,7938
30,7949
30,7971
30,7987
30,8012
30,8032
30,8052
30,8055
30,8075
30,8106
30,8120
30,8130
30,8149
30,8164
30,8184
30,8204
30,8234
30,8237
30,8245
30,8282
30,8302
30,8373
30,8383
30,8430
30,8452
30,8459
30,8509
30,8563
30,8603
30,8653
30,8666
30,8754
30,8768
30,8771
30,8795
30,8815
30,8852
30,8872
30,8876
30,8881
30,8899
30,8908
30,8933
30,8979
30,9016
30,9059
30,9065
30,9071
30,9075
30,9106
30,9135
30,9216
30,9254
30,9262
30,9326
30,9406
30,9442
30,9491
30,9502
30,9506
30,9544
30,9562
30,9564
30,9595
30,9596
30,9615
30,9625
30,9628
30,9630
30,9632
30,9638
30,9646
30,9660
30,9661
30,9690
30,9714
30,9734
30,9812
30,9816
30,9832
30,9838
30,9841
30,9853
30,9869
30,9870
30,9914
30,9961
30,9979
30,9981
30,9994
30,9996
30,10013
30,10043
30,10087
30,10108
30,10146
30,10176
30,10182
30,10220
30,10254
30,10261
30,10277
30,10280
30,10294
30,10313
30,10351
30,10366
30,10417
30,10486
30,10487
30,10497
30,10500
30,10504
30,10511
30,10597
30,10631
30,10666
30,10713
30,10731
30,10757
30,10808
30,10817
30,10818
30,10819
30,10823
30,10879
30,10918
30,10919
30,10953
30,10955
30,10968
30,10986
30,10990
30,11006
30,11009
30,11015
30,11031
30,11044
30,11056
30,11075
30,11089
30,11093
30,11103
30,11147
30,11151
30,11189
30,11218
30,11226
30,11249
30,11301
30,11325
30,11326
30,11389
30,11412
30,11503
30,11516
30,11517
30,11531
30,11575
30,11658
30,11674
30,11682
30,11731
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11853
30,11856
30,11893
30,11904
30,11922
30,11963
30,11975
30,11978
30,12003
30,12096
30,12100
30,12109
30,12128
30,12160
30,12168
30,12169
30,12185
30,12198
30,12221
30,12229
30,12253
30,12276
30,12284
30,12285
30,12293
30,12326
30,12356
30,12374
30,12401
30,12409
30,12530
30,12562
30,12574
30,12589
30,12631
30,12652
30,12683
30,12716
30,12730
30,12748
30,12759
30,12767
30,12776
30,12785
30,12837
30,12886
30,12900
30,12909
30,12974
30,12981
30,12982
30,13081
30,13088
30,13152
30,13195
30,13229
30,13242
30,13246
30,13257
30,13332
30,13360
30,13368
30,13369
30,13405
30,13411
30,13417
30,13419
30,13428
30,13448
30,13467
30,13546
30,13562
30,13589
30,13674
30,13742
30,13744
30,13771
30,13822
30,13842
30,13875
30,13908
30,13944
30,13952
30,13963
30,14008
30,14037
30,14049
30,14125
30,14136
30,14235
30,14262
30,14295
30,14298
30,14306
30,14309
30,14339
30,14381
30,14389
30,14422
30,14448
30,14454
30,14484
30,14509
30,14523
30,14551
30,14570
30,14589
30,14621
30,14651
30,14690
30,14781
30,14824
30,14837
30,14843
30,14847
30,14864
30,14912
30,14916
30,14925
30,14944
30,14961
30,15001
30,15082
30,15087
30,15150
30,15154
30,15165
30,15194
30,15231
30,15255
30,15263
30,15270
30,15280
30,15339
30,15399
30,15436
30,15443
30,15445
30,15477
30,15515
30,15522
30,15599
30,15611
30,15637
30,15645
30,15651
30,15658
30,15688
30,15701
30,15704
30,15738
30,15786
30,15916
30,15925
30,15936
30,15938
30,16003
30,16008
30,16048
30,16060
30,16068
30,16099
30,16111
30,16143
30,16145
30,16165
30,16181
30,16220
30,16244
30,16249
30,16269
30,16303
