layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
16,100
16,2236
16,5325
16,20820
16,21397
17,9903
17,14660
17,15360
17,20875
20,8130
24,3155
24,7176
24,16783
24,18087
24,20457
25,1781
25,4417
25,19096
25,29308
26,316
26,1155
26,2168
26,2931
26,3662
26,5075
26,5147
26,6860
26,7249
26,12014
26,13031
26,16941
26,17239
26,17243
26,22798
26,22873
26,22884
26,23646
26,25555
26,26971
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
27,176
27,180
27,312
27,1869
27,3300
27,3549
27,3780
27,4603
27,6117
27,6275
27,6429
27,6490
27,6847
27,7502
27,7572
27,8679
27,9248
27,9857
27,10183
27,10459
27,10805
27,10857
27,11009
27,11289
27,12018
27,12994
27,13291
27,13604
27,13634
27,13707
27,13862
27,13951
27,14466
27,15340
27,15510
27,15573
27,15902
27,17923
27,18340
27,18607
27,19190
27,19967
27,20035
27,20225
27,20463
27,21326
27,21633
27,21718
27,22036
27,23231
27,23620
27,23633
27,24082
27,24993
27,25346
27,25683
27,25892
27,26572
27,26607
27,26752
27,26930
27,27683
27,29137
28,653
28,694
28,1362
28,1475
28,1890
28,1905
28,2176
28,3068
28,3743
28,4738
28,4752
28,4828
28,5156
28,5360
28,5730
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,7336
28,7902
28,7996
28,8208
28,8528
28,8808
28,8861
28,9002
28,9346
28,9449
28,9766
28,9798
28,9904
28,10232
28,10823
28,10967
28,11045
28,11053
28,11349
28,11418
28,11804
28,11821
28,11861
28,12544
28,12558
28,12723
28,12897
28,13328
28,14668
28,15474
28,15715
28,16515
28,16516
28,17091
28,18121
28,18253
28,18260
28,18400
28,18566
28,18713
28,18813
28,19093
28,19105
28,19208
28,19704
28,20030
28,20274
28,20416
28,20475
28,20899
28,22025
28,22423
28,22462
28,22807
28,23649
28,23817
28,23918
28,23934
28,24002
28,24548
28,24941
28,25535
28,25631
28,26108
28,26494
28,26542
28,26668
28,27049
28,27090
28,27172
28,27312
28,28233
28,28265
28,28286
28,28443
28,29164
29,317
29,536
29,607
29,609
29,642
29,664
29,813
29,1063
29,1265
29,1271
29,1292
29,1478
29,1541
29,1731
29,1960
29,2086
29,2110
29,2245
29,2347
29,2376
29,2404
29,2573
29,2743
29,3255
29,3291
29,3343
29,3407
29,3707
29,3759
29,3822
29,3860
29,4053
29,4145
29,4157
29,4301
29,4438
29,4518
29,4542
29,4831
29,5016
29,5106
29,5115
29,5153
29,5363
29,5379
29,5406
29,5554
29,5674
29,5676
29,5831
29,6094
29,6135
29,6142
29,6249
29,6258
29,6355
29,6454
29,6550
29,6677
29,6900
29,7477
29,7658
29,7769
29,7917
29,8188
29,8298
29,8470
29,8478
29,8738
29,8825
29,8926
29,8941
29,8977
29,8998
29,9048
29,9161
29,9509
29,9581
29,9696
29,9786
29,9831
29,9873
29,10068
29,10154
29,10175
29,10228
29,10447
29,10777
29,11027
29,11491
29,11809
29,11889
29,12002
29,12502
29,12660
29,13050
29,13063
29,13120
29,13140
29,13324
29,13726
29,13786
29,14220
29,14463
29,14545
29,14623
29,14741
29,14761
29,14774
29,14818
29,15123
29,15208
29,15279
29,15320
29,15328
29,15527
29,15697
29,15915
29,16476
29,16547
29,16934
29,17082
29,17319
29,17443
29,17788
29,17800
29,17807
29,17899
29,18188
29,18217
29,18470
29,18522
29,18631
29,18677
29,18729
29,18803
29,18818
29,19099
29,19116
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19409
29,19410
29,19496
29,19644
29,19769
29,19884
29,20115
29,20367
29,20578
29,20647
29,20870
29,20931
29,21352
29,21541
29,21585
29,21607
29,21682
29,21781
29,21927
29,22095
29,22151
29,22571
29,22896
29,22947
29,23024
29,23026
29,23091
29,23285
29,23600
29,23609
29,23619
29,23706
29,24164
29,24447
29,24465
29,24520
29,24543
29,24649
29,24925
29,25094
29,25253
29,25340
29,25596
29,25680
29,25743
29,26224
29,26431
29,26559
29,26640
29,26709
29,27109
29,27564
29,27717
29,27800
29,27920
29,27937
29,28050
29,28070
29,28167
29,28454
29,28653
29,28935
29,29080
29,29426
29,29482
29,29549
30,192
30,416
30,827
30,911
30,918
30,1347
30,1422
30,1628
30,1734
30,1945
30,1984
30,2103
30,2186
30,2261
30,2264
30,2312
30,2382
30,2471
30,2570
30,2573
30,2685
30,2733
30,2793
30,2969
30,3003
30,3010
30,3058
30,3172
30,3265
30,3762
30,3878
30,3895
30,3997
30,4027
30,4219
30,4297
30,4478
30,4507
30,4550
30,4581
30,4631
30,4767
30,4914
30,5052
30,5057
30,5149
30,5191
30,5236
30,5316
30,5641
30,5662
30,5708
30,5850
30,5855
30,5968
30,6104
30,6175
30,6258
30,6352
30,6401
30,6437
30,6590
30,6646
30,6915
30,7036
30,7053
30,7133
30,7218
30,7302
30,7373
30,7452
30,7483
30,7525
30,7545
30,7575
30,7637
30,7675
30,7797
30,7886
30,8164
30,8234
30,8237
30,8383
30,8430
30,8563
30,8627
30,8672
30,8872
30,9102
30,9254
30,9506
30,9544
30,9562
30,9584
30,9596
30,9625
30,9638
30,9660
30,9661
30,9690
30,9734
30,9770
30,9869
30,9979
30,10064
30,10294
30,10322
30,10368
30,10500
30,10581
30,10640
30,10819
30,10930
30,11009
30,11093
30,11189
30,11208
30,11389
30,11412
30,11482
30,11489
30,11516
30,11531
30,11682
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11933
30,12096
30,12116
30,12193
30,12356
30,12374
30,12530
30,12581
30,12841
30,12900
30,12974
30,13088
30,13257
30,13332
30,13405
30,13411
30,13417
30,13589
30,13598
30,13674
30,13822
30,13943
30,14049
30,14295
30,14306
30,14381
30,14409
30,14433
30,14531
30,14551
30,14864
30,14871
30,15280
30,15399
30,15436
30,15701
30,15848
30,15890
30,15925
30,15936
30,16060
30,16165
30,16546
30,16585
30,16673
30,16696
30,16809
30,16829
30,16851
30,16859
30,17200
30,17248
30,17249
30,17277
30,17449
30,17461
30,17648
30,17954
30,18070
30,18080
30,18136
30,18202
30,18236
30,18373
30,18383
30,18607
30,18615
30,18728
30,18767
30,18820
30,18833
30,18953
30,18957
30,18962
30,19042
30,19162
30,19184
30,19280
30,19541
30,19559
30,19664
30,19823
30,20049
30,20332
30,20383
30,20394
30,20428
30,20497
30,20511
30,20553
30,20608
30,20704
30,20820
30,20838
30,20983
30,21093
30,21165
30,21166
30,21277
30,21311
30,21324
30,21500
30,21506
30,21738
30,21882
30,21922
30,22103
30,22210
30,22287
30,22395
30,22402
30,22446
30,22473
30,22742
30,22761
30,22771
30,22779
30,22780
30,22798
30,22844
30,22959
30,22985
30,23156
30,23198
30,23303
30,23329
30,23389
30,23411
30,23507
30,23590
30,23605
30,23708
30,23709
30,23723
30,23763
30,23815
30,23840
30,23976
30,23994
30,24065
30,24147
30,24245
30,24253
30,24270
30,24309
30,24396
30,24527
30,24570
30,24758
30,24781
30,24854
30,24858
30,24922
30,25183
30,25196
30,25224
30,25300
30,25305
30,25370
30,25378
30,25601
30,25663
30,25706
30,25717
30,25767
30,25800
30,25806
30,26060
30,26164
30,26167
30,26262
30,26296
30,26369
30,26592
30,26616
30,26670
30,26746
30,26934
30,27038
30,27139
30,27182
30,27398
30,27586
30,27645
30,27662
30,27764
30,27844
30,28229
30,28294
30,28324
30,28337
30,28484
30,28650
30,28796
30,28885
30,28925
30,28994
30,29031
30,29118
30,29144
30,29319
30,29332
30,29383
30,29401
30,29505
31,12
31,29
31,54
31,69
31,123
31,152
31,177
31,197
31,302
31,310
31,321
31,341
31,381
31,410
31,490
31,520
31,591
31,651
31,745
31,822
31,1037
31,1066
31,1115
31,1126
31,1145
31,1196
31,1252
31,1259
31,1340
31,1344
31,1381
31,1404
31,1438
31,1490
31,1511
31,1535
31,1553
31,1566
31,1569
31,1644
31,1647
31,1693
31,1713
31,1719
31,1753
31,1796
31,1840
31,2043
31,2091
31,2108
31,2159
31,2226
31,2249
31,2346
31,2352
31,2377
31,2396
31,2533
31,2664
31,2708
31,2725
31,2755
31,2772
31,2790
31,2808
31,2821
31,2865
31,2873
31,2892
31,2907
31,2919
31,2921
31,2930
31,2971
31,2991
31,3020
31,3088
31,3177
31,3202
31,3243
31,3273
31,3324
31,3364
31,3393
31,3530
31,3544
31,3577
31,3619
31,3663
31,3738
31,3749
31,3756
31,3804
31,3840
31,3899
31,3916
31,3960
31,3961
31,4007
31,4085
31,4114
31,4182
31,4250
31,4284
31,4317
31,4329
31,4353
31,4358
31,4364
31,4403
31,4430
31,4433
31,4464
31,4532
31,4574
31,4664
31,4695
31,4719
31,4722
31,4795
31,4836
31,4845
31,4922
31,5030
31,5071
31,5230
31,5249
31,5283
31,5370
31,5377
31,5411
31,5562
31,5621
31,5703
31,5714
31,5758
31,5963
31,5981
31,6086
31,6145
31,6196
31,6366
31,6374
31,6394
31,6479
31,6503
31,6529
31,6540
31,6552
31,6686
31,6745
31,6755
31,6759
31,6813
31,7001
31,7279
31,7284
31,7334
31,7345
31,7436
31,7478
31,7480
31,7556
31,7558
31,7575
31,7576
31,7636
31,7665
31,7700
31,7784
31,7859
31,7860
31,7868
31,7883
31,7912
31,7967
31,7982
31,7989
31,8051
31,8112
31,8160
31,8204
31,8280
31,8326
31,8331
31,8505
31,8516
31,8577
31,8579
31,8636
31,8767
31,8797
31,8833
31,8885
31,8931
31,8948
31,8952
31,9010
31,9072
31,9076
31,9079
31,9087
31,9104
31,9110
31,9116
31,9139
31,9161
31,9204
31,9222
31,9268
31,9306
31,9331
31,9371
31,9431
31,9522
31,9586
31,9595
31,9596
31,9614
31,9718
31,9724
31,9753
31,9766
31,9835
31,9860
31,9867
31,9919
31,9957
31,9988
31,9991
31,10111
31,10128
31,10157
31,10187
31,10208
31,10392
31,10424
31,10508
31,10510
31,10547
31,10551
31,10599
31,10629
31,10633
31,10680
31,10698
31,10756
31,10763
31,10805
31,10954
31,10973
31,11107
31,11110
31,11153
31,11236
31,11244
31,11252
31,11258
31,11259
31,11322
31,11584
31,11605
31,11709
31,11718
31,11742
31,11804
31,11832
31,11834
31,11856
31,11882
31,11941
31,12126
31,12291
31,12307
31,12314
31,12406
31,12510
31,12559
31,12592
31,12602
31,12662
31,12666
31,12716
31,12800
31,12909
31,12939
31,12964
31,13020
31,13047
31,13141
31,13205
31,13351
31,13359
31,13399
31,13708
