layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
11,29560
16,100
16,2236
16,5325
16,5647
16,20820
16,21397
16,24414
17,9903
17,12951
17,14660
17,15360
17,20875
18,3650
19,12231
20,8130
21,12526
24,3155
24,7176
24,9182
24,16783
24,18087
24,19625
24,20457
24,29310
25,1781
25,2028
25,4417
25,13480
25,17524
25,19096
25,23966
25,26188
25,27316
25,29308
26,316
26,1006
26,1155
26,2128
26,2168
26,2629
26,2931
26,3662
26,4733
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,7707
26,11091
26,11629
26,12000
26,12014
26,13031
26,14194
26,14851
26,15026
26,16941
26,17239
26,17243
26,18229
26,18711
26,19841
26,19909
26,20711
26,21645
26,21729
26,22798
26,22873
26,22884
26,23222
26,23646
26,24787
26,25555
26,25851
26,26046
26,26971
26,27327
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28808
26,28820
26,28971
27,176
27,180
27,227
27,304
27,312
27,809
27,1602
27,1869
27,2218
27,3300
27,3549
27,3780
27,4603
27,4723
27,6117
27,6275
27,6384
27,6429
27,6490
27,6847
27,7502
27,7572
27,7873
27,7930
27,8679
27,9201
27,9248
27,9386
27,9730
27,9743
27,9857
27,9969
27,10090
27,10183
27,10459
27,10527
27,10555
27,10805
27,10857
27,10964
27,10967
27,11009
27,11289
27,12018
27,12994
27,13291
27,13377
27,13511
27,13604
27,13634
27,13707
27,13712
27,13862
27,13903
27,13951
27,14283
27,14466
27,14738
27,15328
27,15340
27,15510
27,15573
27,15902
27,15993
27,17923
27,18340
27,18607
27,18667
27,18949
27,19190
27,19301
27,19389
27,19403
27,19967
27,20035
27,20225
27,20319
27,20463
27,20917
27,21055
27,21326
27,21633
27,21718
27,21766
27,22036
27,22677
27,23231
27,23620
27,23633
27,23936
27,24082
27,24347
27,24664
27,24993
27,25346
27,25683
27,25702
27,25714
27,25778
27,25892
27,26299
27,26366
27,26572
27,26607
27,26752
27,26898
27,26930
27,27683
27,27746
27,27793
27,27821
27,28110
27,28852
27,29137
28,503
28,653
28,694
28,1362
28,1465
28,1475
28,1890
28,1905
28,2176
28,2305
28,2400
28,2817
28,3068
28,3075
28,3176
28,3470
28,3743
28,4738
28,4752
28,4771
28,4828
28,5156
28,5310
28,5345
28,5360
28,5493
28,5665
28,5730
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6747
28,6777
28,6872
28,7336
28,7420
28,7661
28,7902
28,7996
28,8066
28,8170
28,8208
28,8528
28,8808
28,8861
28,8893
28,9002
28,9206
28,9346
28,9449
28,9766
28,9798
28,9904
28,10232
28,10823
28,10967
28,11045
28,11053
28,11103
28,11123
28,11349
28,11418
28,11462
28,11804
28,11821
28,11861
28,12049
28,12203
28,12544
28,12558
28,12723
28,12897
28,12973
28,13059
28,13326
28,13328
28,13336
28,13713
28,13983
28,14576
28,14668
28,14848
28,15474
28,15715
28,15840
28,16449
28,16515
28,16516
28,17091
28,17108
28,17187
28,17364
28,17368
28,17646
28,18121
28,18253
28,18260
28,18400
28,18566
28,18713
28,18813
28,19093
28,19105
28,19192
28,19208
28,19704
28,20030
28,20058
28,20274
28,20416
28,20475
28,20899
28,22005
28,22025
28,22423
28,22462
28,22777
28,22806
28,22807
28,23286
28,23416
28,23572
28,23573
28,23649
28,23802
28,23817
28,23918
28,23934
28,23939
28,23987
28,24002
28,24482
28,24548
28,24941
28,25096
28,25535
28,25631
28,26108
28,26494
28,26542
28,26668
28,26720
28,27032
28,27040
28,27049
28,27090
28,27172
28,27312
28,28233
28,28265
28,28286
28,28443
28,28740
28,29164
28,29327
29,221
29,317
29,536
29,607
29,609
29,625
29,642
29,664
29,757
29,813
29,1044
29,1063
29,1265
29,1268
29,1271
29,1292
29,1478
29,1541
29,1731
29,1745
29,1864
29,1940
29,1960
29,2086
29,2110
29,2176
29,2245
29,2325
29,2347
29,2376
29,2404
29,2567
29,2573
29,2743
29,2771
29,3083
29,3115
29,3255
29,3270
29,3291
29,3343
29,3407
29,3480
29,3707
29,3759
29,3822
29,3860
29,3934
29,4053
29,4145
29,4157
29,4301
29,4383
29,4438
29,4518
29,4542
29,4643
29,4831
29,5016
29,5106
29,5115
29,5153
29,5172
29,5363
29,5379
29,5406
29,5554
29,5626
29,5644
29,5674
29,5676
29,5831
29,5856
29,5915
29,6029
29,6094
29,6135
29,6142
29,6249
29,6258
29,6355
29,6454
29,6550
29,6677
29,6809
29,6886
29,6900
29,7293
29,7368
29,7420
29,7477
29,7525
29,7658
29,7692
29,7769
29,7782
29,7917
29,8111
29,8188
29,8224
29,8298
29,8470
29,8478
29,8738
29,8825
29,8868
29,8926
29,8941
29,8977
29,8978
29,8998
29,9041
29,9048
29,9161
29,9386
29,9509
29,9581
29,9679
29,9696
29,9786
29,9831
29,9873
29,10068
29,10154
29,10175
29,10185
29,10228
29,10447
29,10548
29,10571
29,10777
29,11027
29,11476
29,11491
29,11506
29,11605
29,11643
29,11664
29,11752
29,11765
29,11809
29,11889
29,12002
29,12142
29,12193
29,12287
29,12301
29,12502
29,12660
29,13031
29,13050
29,13063
29,13100
29,13120
29,13140
29,13176
29,13324
29,13702
29,13712
29,13726
29,13786
29,13804
29,14220
29,14257
29,14356
29,14409
29,14423
29,14463
29,14545
29,14614
29,14623
29,14741
29,14761
29,14774
29,14818
29,15123
29,15208
29,15279
29,15320
29,15328
29,15527
29,15534
29,15667
29,15697
29,15711
29,15817
29,15915
29,16363
29,16398
29,16476
29,16547
29,16888
29,16934
29,16950
29,16953
29,16964
29,17029
29,17082
29,17271
29,17272
29,17319
29,17443
29,17788
29,17800
29,17807
29,17899
29,17911
29,17954
29,18048
29,18173
29,18188
29,18217
29,18470
29,18519
29,18522
29,18631
29,18677
29,18729
29,18803
29,18818
29,18905
29,19099
29,19116
29,19151
29,19202
29,19215
29,19226
29,19227
29,19296
29,19326
29,19328
29,19353
29,19409
29,19410
29,19496
29,19600
29,19640
29,19644
29,19664
29,19755
29,19769
29,19884
29,20115
29,20117
29,20367
29,20504
29,20578
29,20647
29,20659
29,20870
29,20931
29,20947
29,20972
29,21097
29,21270
29,21352
29,21478
29,21541
29,21585
29,21607
29,21682
29,21781
29,21927
29,22095
29,22151
29,22329
29,22517
29,22550
29,22571
29,22851
29,22896
29,22924
29,22947
29,23024
29,23026
29,23091
29,23285
29,23436
29,23478
29,23531
29,23600
29,23609
29,23619
29,23706
29,23816
29,23917
29,24164
29,24258
29,24301
29,24447
29,24465
29,24472
29,24520
29,24543
29,24555
29,24649
29,24764
29,24925
29,24929
29,25078
29,25094
29,25129
29,25253
29,25254
29,25283
29,25340
29,25483
29,25596
29,25680
29,25743
29,25983
29,26202
29,26213
29,26224
29,26431
29,26553
29,26559
29,26603
29,26640
29,26709
29,26993
29,27109
29,27506
29,27564
29,27616
29,27636
29,27717
29,27800
29,27832
29,27846
29,27920
29,27937
29,28007
29,28019
29,28050
29,28070
29,28167
29,28198
29,28454
29,28653
29,28881
29,28921
29,28935
29,29080
29,29232
29,29426
29,29482
29,29549
29,29560
30,173
30,192
30,416
30,501
30,827
30,911
30,918
30,996
30,1059
30,1165
30,1166
30,1247
30,1347
30,1379
30,1400
30,1422
30,1551
30,1628
30,1734
30,1876
30,1945
30,1968
30,1984
30,2070
30,2071
30,2103
30,2186
30,2261
30,2264
30,2312
30,2382
30,2471
30,2501
30,2570
30,2573
30,2608
30,2684
30,2685
30,2733
30,2793
30,2877
30,2880
30,2923
30,2969
30,2997
30,3003
30,3010
30,3058
30,3094
30,3172
30,3231
30,3265
30,3366
30,3374
30,3379
30,3393
30,3639
30,3664
30,3762
30,3878
30,3895
30,3898
30,3961
30,3997
30,4027
30,4128
30,4219
30,4265
30,4297
30,4464
30,4478
30,4507
30,4550
30,4581
30,4628
30,4631
30,4696
30,4767
30,4857
30,4914
30,4942
30,4955
30,4981
30,5052
30,5057
30,5088
30,5100
30,5149
30,5191
30,5236
30,5243
30,5316
30,5541
30,5627
30,5641
30,5662
30,5704
30,5708
30,5850
30,5855
30,5942
30,5968
30,6104
30,6175
30,6258
30,6325
30,6352
30,6401
30,6437
30,6469
30,6479
30,6491
30,6556
30,6590
30,6600
30,6646
30,6690
30,6696
30,6698
30,6747
30,6794
30,6886
30,6912
30,6915
30,7036
30,7053
30,7133
30,7218
30,7299
30,7302
30,7304
30,7373
30,7452
30,7483
30,7502
30,7525
30,7545
30,7575
30,7618
30,7637
30,7675
30,7797
30,7886
30,7914
30,8164
30,8234
30,8237
30,8251
30,8300
30,8383
30,8430
30,8563
30,8614
30,8627
30,8653
30,8658
30,8672
30,8872
30,8876
30,8908
30,8979
30,9102
30,9172
30,9254
30,9262
30,9342
30,9506
30,9544
30,9555
30,9562
30,9584
30,9596
30,9625
30,9630
30,9638
30,9660
30,9661
30,9690
30,9714
30,9734
30,9770
30,9771
30,9843
30,9869
30,9898
30,9914
30,9979
30,10064
30,10146
30,10171
30,10294
30,10313
30,10322
30,10342
30,10343
30,10368
30,10500
30,10581
30,10609
30,10640
30,10757
30,10808
30,10819
30,10823
30,10930
30,11009
30,11093
30,11189
30,11208
30,11357
30,11360
30,11389
30,11412
30,11423
30,11440
30,11457
30,11482
30,11489
30,11516
30,11531
30,11575
30,11583
30,11682
30,11731
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11893
30,11933
30,11950
30,12092
30,12096
30,12116
30,12175
30,12193
30,12284
30,12312
30,12320
30,12346
30,12356
30,12374
30,12440
30,12497
30,12530
30,12535
30,12581
30,12688
30,12696
30,12841
30,12900
30,12974
30,12976
30,13063
30,13069
30,13088
30,13190
30,13257
30,13332
30,13362
30,13405
30,13411
30,13417
30,13530
30,13586
30,13589
30,13598
30,13674
30,13822
30,13864
30,13906
30,13943
30,13952
30,14049
30,14094
30,14178
30,14235
30,14252
30,14295
30,14306
30,14381
30,14389
30,14409
30,14433
30,14515
30,14531
30,14551
30,14662
30,14669
30,14675
30,14690
30,14864
30,14871
30,14943
30,14973
30,15064
30,15280
30,15312
30,15357
30,15399
30,15436
30,15443
30,15555
30,15611
30,15684
30,15701
30,15848
30,15860
30,15890
30,15925
30,15936
30,15988
30,16060
30,16093
30,16165
30,16546
30,16577
30,16585
30,16594
30,16673
30,16696
30,16809
30,16829
30,16851
30,16859
30,17008
30,17200
30,17234
30,17248
30,17249
