layer,neuron
7,1326
7,5458
16,100
16,21397
24,7176
24,9182
24,16783
25,4417
25,17524
25,25655
25,26188
26,2168
26,2629
26,2931
26,3421
26,3662
26,3869
26,3892
26,5075
26,5147
26,5357
26,7236
26,7249
26,11091
26,12000
26,13031
26,17239
26,17448
26,17907
26,19595
26,21645
26,21729
26,22815
26,22913
26,23222
26,23646
26,24671
26,25555
26,25851
26,26046
26,26297
26,26529
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
26,29323
27,176
27,180
27,660
27,686
27,882
27,1634
27,1820
27,1842
27,2460
27,3045
27,3055
27,3300
27,3437
27,3780
27,4220
27,4603
27,4723
27,4845
27,5029
27,5067
27,5119
27,5341
27,5573
27,5750
27,5928
27,6065
27,6117
27,6275
27,6384
27,6390
27,7291
27,7333
27,7502
27,7572
27,8679
27,8892
27,8983
27,9347
27,9386
27,9730
27,9743
27,9969
27,10090
27,10183
27,10459
27,10555
27,10805
27,10964
27,11009
27,11289
27,11329
27,11431
27,12018
27,13327
27,13377
27,13419
27,13449
27,13573
27,13604
27,13634
27,13712
27,13792
27,13862
27,13903
27,13963
27,14219
27,14466
27,14738
27,14812
27,15328
27,15340
27,15510
27,15555
27,15902
27,15993
27,16076
27,16266
27,16451
27,16707
27,16958
27,18238
27,18284
27,18529
27,18607
27,18836
27,18949
27,19103
27,19190
27,19301
27,19389
27,19403
27,19419
27,19550
27,19559
27,19590
27,19967
27,20035
27,20319
27,20712
27,20917
27,21029
27,21055
27,21326
27,21624
27,21718
27,21766
27,22036
27,22677
27,22830
27,22950
27,23160
27,23244
27,23276
27,23511
27,23620
27,23936
27,24311
27,24506
27,24581
27,25596
27,25702
27,25714
27,25892
27,26038
27,26366
27,26474
27,26607
27,26657
27,26752
27,26936
27,26955
27,27149
27,27683
27,27793
27,27821
27,28003
27,28079
27,28110
27,28274
27,28955
27,29137
27,29248
27,29272
27,29457
28,146
28,281
28,694
28,1714
28,1905
28,2176
28,2305
28,2383
28,2400
28,2817
28,2825
28,3068
28,3075
28,3176
28,3470
28,3483
28,3807
28,4475
28,4501
28,4738
28,4752
28,4771
28,4828
28,4839
28,4879
28,5012
28,5156
28,5274
28,5310
28,5345
28,5351
28,5360
28,5562
28,5730
28,5899
28,6099
28,6102
28,6105
28,6126
28,6139
28,6193
28,6386
28,6519
28,6591
28,6777
28,6830
28,7336
28,7420
28,7503
28,7877
28,7996
28,8059
28,8066
28,8208
28,8220
28,8476
28,8528
28,8808
28,8812
28,8861
28,8874
28,8893
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10232
28,10693
28,10823
28,10936
28,10996
28,11007
28,11349
28,11418
28,11804
28,11821
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,12973
28,13059
28,13239
28,13315
28,13328
28,13660
28,13713
28,13791
28,13983
28,14114
28,14123
28,14668
28,15474
28,15715
28,15840
28,16169
28,16380
28,16516
28,16548
28,17368
28,17709
28,18121
28,18253
28,18260
28,18268
28,18400
28,18566
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,20003
28,20005
28,20030
28,20127
28,20207
28,20274
28,20309
28,20444
28,20475
28,20807
28,20899
28,21379
28,22025
28,22251
28,22423
28,22591
28,22777
28,22807
28,23098
28,23286
28,23364
28,23416
28,23649
28,23817
28,23918
28,23934
28,23939
28,23987
28,24002
28,24548
28,24906
28,24941
28,25096
28,25377
28,25470
28,25535
28,25770
28,25849
28,26494
28,26720
28,26929
28,27090
28,27172
28,27175
28,27200
28,27482
28,28233
28,28265
28,28286
28,28443
28,28520
28,28774
29,105
29,221
29,347
29,377
29,536
29,554
29,607
29,609
29,642
29,664
29,757
29,791
29,813
29,1044
29,1051
29,1063
29,1265
29,1271
29,1478
29,1541
29,1731
29,1784
29,1864
29,2074
29,2086
29,2110
29,2245
29,2325
29,2347
29,2383
29,2474
29,2492
29,2501
29,2542
29,2573
29,2743
29,2771
29,3083
29,3243
29,3255
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3555
29,3606
29,3703
29,3822
29,3860
29,3934
29,4053
29,4104
29,4157
29,4195
29,4241
29,4438
29,4518
29,4542
29,4607
29,4677
29,4831
29,4998
29,5016
29,5057
29,5106
29,5115
29,5119
29,5172
29,5307
29,5348
29,5363
29,5406
29,5494
29,5554
29,5616
29,5674
29,5676
29,5722
29,5831
29,5915
29,6080
29,6094
29,6142
29,6249
29,6454
29,6482
29,6483
29,6496
29,6550
29,6678
29,6772
29,6792
29,6809
29,6895
29,7050
29,7320
29,7420
29,7477
29,7547
29,7658
29,7769
29,7797
29,7905
29,7917
29,7965
29,8118
29,8188
29,8224
29,8230
29,8253
29,8298
29,8395
29,8422
29,8470
29,8478
29,8480
29,8594
29,8738
29,8825
29,8868
29,8926
29,8941
29,8977
29,8998
29,9048
29,9051
29,9067
29,9161
29,9283
29,9509
29,9581
29,9693
29,9786
29,9829
29,9831
29,9873
29,10020
29,10068
29,10114
29,10185
29,10228
29,10246
29,10325
29,10447
29,10483
29,10571
29,10642
29,10698
29,10777
29,11027
29,11107
29,11491
29,11605
29,11664
29,11736
29,11809
29,11828
29,11880
29,11889
29,11904
29,12002
29,12142
29,12547
29,12641
29,12660
29,12813
29,12913
29,13023
29,13031
29,13050
29,13063
29,13072
29,13100
29,13120
29,13140
29,13176
29,13324
29,13702
29,13712
29,13722
29,13726
29,13786
29,13804
29,13960
29,14015
29,14220
29,14257
29,14298
29,14356
29,14375
29,14423
29,14545
29,14614
29,14623
29,14741
29,14755
29,14818
29,14877
29,14929
29,14935
29,15123
29,15279
29,15328
29,15527
29,15636
29,15667
29,15697
29,15711
29,15786
29,15915
29,16168
29,16476
29,16498
29,16547
29,16888
29,16934
29,16943
29,16950
29,17029
29,17082
29,17271
29,17272
29,17319
29,17443
29,17522
29,17563
29,17572
29,17788
29,17800
29,17821
29,17899
29,17911
29,17951
29,17954
29,18003
29,18048
29,18160
29,18188
29,18234
29,18470
29,18505
29,18522
29,18557
29,18631
29,18660
29,18677
29,18729
29,18803
29,19005
29,19099
29,19151
29,19154
29,19226
29,19227
29,19277
29,19296
29,19353
29,19409
29,19410
29,19496
29,19504
29,19531
29,19600
29,19644
29,19679
29,19769
29,19782
29,19884
29,19984
29,20115
29,20117
29,20404
29,20504
29,20511
29,20578
29,20614
29,20647
29,20858
29,20870
29,20931
29,20941
29,20947
29,20972
29,21097
29,21270
29,21311
29,21391
29,21394
29,21396
29,21422
29,21478
29,21541
29,21607
29,21623
29,21659
29,21682
29,21751
29,21781
29,21927
29,22148
29,22166
29,22246
29,22310
29,22482
29,22518
29,22550
29,22571
29,22579
29,22656
29,22798
29,22870
29,22896
29,22924
