layer,neuron
7,1326
17,13722
25,4417
26,1155
26,2168
26,3805
26,22798
26,23646
26,27932
26,28037
27,660
27,6275
27,7572
27,9969
27,10459
27,12018
27,13862
27,13903
27,14829
27,15340
27,18607
27,19190
27,19327
27,21718
28,1271
28,1362
28,2383
28,4475
28,4752
28,4771
28,4828
28,6139
28,6386
28,8528
28,8808
28,9512
28,9697
28,9798
28,9822
28,11103
28,11861
28,12203
28,12723
28,14493
28,14668
28,16516
28,19194
28,21005
28,23918
28,28286
29,536
29,664
29,1044
29,1265
29,1541
29,1730
29,1970
29,2086
29,2218
29,2542
29,2573
29,2743
29,2832
29,3578
29,3822
29,4783
29,4951
29,5379
29,5406
29,5626
29,5674
29,5984
29,6142
29,6249
29,6454
29,6550
29,7050
29,7138
29,7769
29,7797
29,8470
29,8738
29,8825
29,9048
29,9509
29,9581
29,9696
29,10164
29,11107
29,12131
29,13063
29,13140
29,13722
29,13786
29,13893
29,14623
29,14818
29,15047
29,15208
29,15279
29,15409
29,15453
29,15791
29,16950
29,17029
29,17082
29,17443
29,17563
29,17927
29,17951
29,18470
29,18575
29,18729
29,19226
29,19227
29,19318
29,19679
29,19769
29,20504
29,20578
29,20741
29,20870
29,20931
29,21682
29,21751
29,22310
29,22380
29,22550
29,22798
29,22896
29,23091
29,23407
29,23600
29,23619
29,23706
29,24252
29,24649
29,25253
29,25524
29,25623
29,27564
29,27742
29,27920
29,28050
29,28070
29,28198
29,28428
29,28935
29,29426
30,118
30,320
30,328
30,342
30,557
30,827
30,999
30,1132
30,1333
30,1422
30,1644
30,1734
30,1945
30,2264
30,2629
30,2631
30,3480
30,3895
30,4076
30,4297
30,4407
30,4456
30,4550
30,4581
30,4644
30,4712
30,4836
30,4914
30,5052
30,5066
30,5645
30,5708
30,5850
30,5993
30,6258
30,6509
30,6914
30,6955
30,7036
30,7306
30,7886
30,7987
30,8383
30,8563
30,8627
30,9596
30,9654
30,9690
30,9935
30,9979
30,10474
30,10511
30,10819
30,11010
30,11103
30,11189
30,11194
30,11412
30,11516
30,11575
30,11738
30,11856
30,11922
30,11923
30,12004
30,12096
30,12128
30,13417
30,13674
30,14049
30,14295
30,15443
30,15572
30,15584
30,15611
30,15651
30,15890
30,15916
30,16060
30,17072
30,17234
30,17475
30,18080
30,18136
30,18236
30,18383
30,18607
30,18609
30,18615
30,18819
30,18953
30,18957
30,19042
30,19138
30,19206
30,19396
30,19559
30,19741
30,20185
30,20418
30,20608
30,20704
30,20820
30,20942
30,21500
30,21515
30,21755
30,21820
30,22053
30,22080
30,22210
30,22212
30,22287
30,22780
30,22798
30,22844
30,22959
30,23347
30,23763
30,24253
30,24268
30,24270
30,24309
30,24510
30,24758
30,25095
30,25183
30,25247
30,25370
30,25372
30,25601
30,25778
30,26060
30,26167
30,26208
30,26284
30,26369
30,26670
30,26760
30,26875
30,27697
30,28136
30,28211
30,28501
30,28697
30,28804
30,28818
30,28899
30,29154
30,29308
30,29319
30,29505
31,69
31,249
31,302
31,332
31,341
31,381
31,410
31,490
31,805
31,979
31,1037
31,1066
31,1200
31,1259
31,1295
31,1340
31,1344
31,1419
31,1511
31,1535
31,1693
31,1753
31,1822
31,1840
31,1891
31,2139
31,2159
31,2191
31,2248
31,2520
31,2543
31,2725
31,2790
