layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11753
5,16089
5,24328
5,24627
5,28946
7,1326
7,5458
16,100
16,2236
16,21397
17,9903
24,2345
24,7176
24,9182
24,14708
24,16783
24,25137
25,1781
25,2805
25,4417
25,8852
25,11836
25,14610
25,14982
25,16675
25,19067
25,24802
25,26188
25,27329
25,28129
26,316
26,1092
26,1155
26,1264
26,2215
26,2931
26,3421
26,3662
26,3796
26,4465
26,4733
26,5357
26,5410
26,6860
26,7056
26,7707
26,11632
26,12064
26,12369
26,13899
26,14352
26,16031
26,16941
26,17239
26,17243
26,19595
26,22203
26,22242
26,22798
26,22873
26,22913
26,23228
26,23332
26,23337
26,23646
26,26123
26,26529
26,26675
26,26971
26,27246
26,27500
26,27737
26,27932
26,28037
26,28338
26,28425
26,28482
26,28570
26,28626
26,28754
26,28820
26,28971
26,29033
26,29323
26,29383
27,176
27,187
27,312
27,399
27,660
27,686
27,881
27,920
27,1027
27,1128
27,1568
27,1634
27,1910
27,1983
27,2218
27,2241
27,2505
27,2767
27,3032
27,3045
27,3253
27,3300
27,3420
27,3437
27,3549
27,3780
27,3859
27,4124
27,4295
27,4323
27,4426
27,4523
27,4603
27,4678
27,4726
27,4800
27,4845
27,4993
27,5029
27,5119
27,5341
27,5520
27,5641
27,5771
27,5781
27,5928
27,5998
27,6013
27,6065
27,6117
27,6180
27,6275
27,6429
27,6485
27,6546
27,6598
27,6734
27,6847
27,6952
27,7155
27,7291
27,7333
27,7350
27,7470
27,7572
27,7848
27,8339
27,8547
27,8604
27,8674
27,8679
27,8892
27,9092
27,9347
27,9386
27,9632
27,9662
27,9716
27,9728
27,9730
27,9732
27,9969
27,10183
27,10469
27,10857
27,11009
27,11289
27,11663
27,11864
27,11909
27,11912
27,12018
27,12026
27,12165
27,12224
27,12565
27,12573
27,12796
27,12994
27,13062
27,13263
27,13327
27,13419
27,13573
27,13604
27,13792
27,13862
27,13951
27,13963
27,14219
27,14230
27,14366
27,14422
27,14466
27,14532
27,14829
27,15181
27,15218
27,15246
27,15328
27,15340
27,15510
27,15573
27,15685
27,15719
27,15775
27,15859
27,15993
27,16076
27,16266
27,16844
27,17185
27,17329
27,17435
27,17474
27,17829
27,17923
27,18238
27,18284
27,18286
27,18397
27,18574
27,18607
27,18611
27,19103
27,19190
27,19234
27,19327
27,19328
27,19389
27,19419
27,19559
27,19692
27,20035
27,20225
27,20278
27,20570
27,20797
27,20873
27,21326
27,21451
27,21633
27,21680
27,21718
27,22036
27,22122
27,22194
27,22519
27,22655
27,23117
27,23177
27,23231
27,23244
27,23276
27,23345
27,23504
27,23533
27,23620
27,23644
27,23843
27,23936
27,24224
27,24993
27,25341
27,25346
27,25683
27,26558
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,27138
27,27153
27,27213
27,27620
27,27637
27,27645
27,27814
27,28003
27,28079
27,28119
27,28607
27,28653
27,28985
27,29059
27,29120
27,29137
27,29272
27,29457
28,281
28,503
28,639
28,796
28,1052
28,1362
28,1394
28,1475
28,1694
28,1905
28,2164
28,2697
28,2880
28,3205
28,3367
28,3475
28,3669
28,3743
28,3956
28,4284
28,4329
28,4354
28,4475
28,4521
28,4738
28,4752
28,4771
28,4828
28,5156
28,5230
28,5642
28,5702
28,5735
28,5899
28,6020
28,6102
28,6105
28,6126
28,6132
28,6139
28,6157
28,6206
28,6208
28,6386
28,6407
28,6519
28,6591
28,6830
28,6908
28,6960
28,7094
28,7336
28,7503
28,7644
28,7766
28,7996
28,8093
28,8170
28,8220
28,8420
28,8456
28,8458
28,8528
28,8808
28,8845
28,8861
28,8874
28,9002
28,9346
28,9354
28,9434
28,9449
28,9625
28,9639
28,9682
28,9798
28,9822
28,9904
28,9906
28,9932
28,10232
28,10693
28,10749
28,10823
28,10936
28,11045
28,11053
28,11418
28,11821
28,11861
28,11890
28,12079
28,12544
28,12558
28,12723
28,12931
28,13029
28,13227
28,13306
28,13315
28,13328
28,13660
28,13698
28,13708
28,13713
28,13867
28,14114
28,14257
28,14399
28,14410
28,14660
28,14668
28,14989
28,15474
28,15966
28,16071
28,16079
28,16106
28,16237
28,16240
28,16253
28,16515
28,16516
28,16573
28,16693
28,16840
28,17018
28,17091
28,17128
28,17159
28,17234
28,17279
28,17533
28,17558
28,17591
28,17644
28,17654
28,17670
28,18121
28,18253
28,18260
28,18624
28,18658
28,18845
28,19087
28,19093
28,19105
28,19208
28,19237
28,19704
28,19766
28,19835
28,20030
28,20197
28,20281
28,20309
28,20416
28,20475
28,20744
28,20891
28,20893
28,20899
28,20913
28,20914
28,20952
28,21054
28,21379
28,21932
28,22017
28,22462
28,22569
28,22624
28,22797
28,22807
28,22907
28,23098
28,23336
28,23364
28,23388
28,23572
28,23688
