layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,818
16,5647
16,20820
16,21397
16,29218
17,9903
17,13722
19,22505
22,20771
24,3545
24,7176
24,7543
24,9182
24,13314
24,16783
24,18087
24,19625
24,20457
24,25137
24,29310
25,86
25,1582
25,1781
25,3059
25,4417
25,4909
25,5823
25,8934
25,9282
25,10360
25,11515
25,13480
25,14077
25,14982
25,17524
25,19096
25,19571
25,21491
25,22148
25,22271
25,22521
25,23966
25,24802
25,25655
25,26188
25,26701
25,27316
25,28071
26,316
26,1006
26,1092
26,1155
26,1264
26,1798
26,2128
26,2168
26,2215
26,2629
26,2931
26,3225
26,3421
26,3447
26,3662
26,3892
26,4384
26,4598
26,4733
26,4878
26,5075
26,5147
26,5357
26,5410
26,5965
26,6860
26,7056
26,7236
26,7249
26,7371
26,7707
26,8045
26,8676
26,9824
26,10462
26,11091
26,11189
26,11617
26,11917
26,12000
26,12014
26,12064
26,12369
26,13031
26,13754
26,13760
26,14185
26,14194
26,14352
26,14485
26,14580
26,14851
26,15270
26,16012
26,16272
26,16680
26,16740
26,16941
26,17239
26,17243
26,17538
26,17572
26,18200
26,18229
26,18532
26,18639
26,18711
26,19131
26,19238
26,19595
26,19841
26,19864
26,19909
26,19955
26,20711
26,21729
26,21813
26,22656
26,22734
26,22798
26,22852
26,22884
26,22913
26,23222
26,23228
26,23238
26,23337
26,23375
26,23646
26,23862
26,23895
26,24787
26,25851
26,26231
26,26297
26,26529
26,26675
26,26971
26,27019
26,27327
26,27397
26,27411
26,27500
26,27626
26,27641
26,27932
26,28037
26,28266
26,28291
26,28338
26,28425
26,28490
26,28570
26,28626
26,28754
26,28778
26,28808
26,28820
26,28922
26,28971
26,29323
26,29383
26,29433
27,60
27,87
27,176
27,180
27,187
27,189
27,227
27,304
27,312
27,643
27,655
27,660
27,869
27,882
27,1027
27,1096
27,1594
27,1820
27,1842
27,1869
27,2218
27,2460
27,2505
27,3055
27,3107
27,3246
27,3281
27,3300
27,3420
27,3456
27,3549
27,3780
27,3786
27,3890
27,3935
27,3982
27,4209
27,4295
27,4323
27,4426
27,4523
27,4603
27,4678
27,4723
27,4973
27,5029
27,5119
27,5224
27,5341
27,5478
27,5514
27,5715
27,5771
27,5781
27,5796
27,5892
27,5950
27,5998
27,6013
27,6117
27,6166
27,6275
27,6384
27,6390
27,6391
27,6429
27,6485
27,6490
27,6597
27,6598
27,6734
27,6746
27,6847
27,6952
27,7291
27,7333
27,7350
27,7502
27,7509
27,7572
27,7660
27,8499
27,8547
27,8679
27,8892
27,8898
27,8983
27,9020
27,9185
27,9201
27,9227
27,9302
27,9347
27,9386
27,9662
27,9716
27,9728
27,9730
27,9743
27,9857
27,9941
27,9969
27,10090
27,10094
27,10170
27,10183
27,10280
27,10459
27,10527
27,10555
27,10805
27,10857
27,10870
27,10894
27,10964
27,10967
27,11009
27,11255
27,11289
27,11329
27,11431
27,11663
27,11736
27,11771
27,11909
27,12018
27,12066
27,12133
27,12162
27,12165
27,12439
27,12605
27,12708
27,12994
27,13062
27,13094
27,13100
27,13186
27,13291
27,13327
27,13356
27,13377
27,13389
27,13419
27,13573
27,13589
27,13604
27,13707
27,13795
27,13862
27,13903
27,13951
27,14069
27,14219
27,14283
27,14422
27,14466
27,14532
27,14738
27,14806
27,14823
27,14949
27,15181
27,15218
27,15230
27,15328
27,15340
27,15510
27,15525
27,15555
27,15573
27,15633
27,15685
27,15859
27,15902
27,15993
27,16076
27,16266
27,16451
27,16930
27,16958
27,17126
27,17293
27,17329
27,17394
27,17622
27,17923
27,18004
27,18177
27,18238
27,18397
27,18528
27,18546
27,18574
27,18607
27,18647
27,18667
27,18777
27,18786
27,18909
27,18925
27,18949
27,19103
27,19190
27,19299
27,19301
27,19327
27,19378
27,19389
27,19403
27,19419
27,19550
27,19590
27,19669
27,19686
27,19692
27,19738
27,19967
27,20035
27,20225
27,20307
27,20319
27,20326
27,20475
27,20625
27,20712
27,20873
27,20896
27,20917
27,21010
27,21029
27,21055
27,21073
27,21218
27,21326
27,21371
27,21633
27,21680
27,21718
27,21766
27,21861
27,21865
27,21911
27,22036
27,22142
27,22194
27,22549
27,22626
27,22655
27,22677
27,22871
27,22988
27,23117
27,23147
27,23160
27,23231
27,23244
27,23276
27,23504
27,23554
27,23620
27,23633
27,23717
27,23936
27,24082
27,24311
27,24347
27,24581
27,24664
27,24993
27,25383
27,25630
27,25641
27,25683
27,25702
27,25714
27,25778
27,25892
27,26035
27,26043
27,26296
27,26299
27,26366
27,26474
27,26558
27,26572
27,26607
27,26752
27,26930
27,26936
27,26955
27,27138
27,27174
27,27350
27,27535
27,27683
27,27705
27,27746
27,27793
27,27814
27,27821
27,27841
27,28003
27,28079
27,28110
27,28166
27,28238
27,28274
27,28292
27,28313
27,28420
27,28607
27,28653
27,28724
27,28731
27,28852
27,28955
27,29059
27,29137
27,29248
27,29272
27,29284
27,29457
27,29540
28,146
28,281
28,355
28,485
28,503
28,537
28,613
28,639
28,694
28,796
28,888
28,1362
28,1382
28,1434
28,1465
28,1475
28,1636
28,1694
28,1857
28,1905
28,2176
28,2305
28,2383
28,2400
28,2586
28,2591
28,2605
28,2817
28,2870
28,3068
28,3075
28,3129
28,3205
28,3241
28,3427
28,3470
28,3669
28,3671
28,3673
28,3743
28,3807
28,3959
28,4043
28,4090
28,4187
28,4284
28,4475
28,4711
28,4738
28,4752
28,4771
28,4823
28,4828
28,4874
28,4996
28,5012
28,5230
28,5310
28,5345
28,5360
28,5493
28,5523
28,5527
28,5665
28,5899
28,5940
28,5959
28,6020
28,6099
28,6102
28,6105
28,6126
28,6132
28,6135
28,6139
28,6201
28,6206
28,6248
28,6277
28,6386
28,6407
28,6501
28,6519
28,6591
28,6597
28,6747
28,6777
28,6868
28,7264
28,7290
28,7336
28,7420
28,7467
28,7580
28,7661
28,7877
28,7902
28,7996
28,8059
28,8066
28,8118
28,8170
28,8208
28,8220
28,8328
28,8456
28,8528
28,8546
28,8808
28,8812
28,8855
28,8861
28,8874
28,8893
28,9002
28,9154
28,9268
28,9324
28,9332
28,9346
28,9354
28,9449
28,9625
28,9682
28,9697
28,9707
28,9766
28,9790
28,9798
28,9904
28,9906
28,9932
28,9956
28,10002
28,10030
28,10130
28,10232
28,10693
28,10749
28,10781
28,10823
28,10877
28,10936
28,10967
28,11045
28,11053
28,11123
28,11172
28,11202
28,11349
28,11418
28,11454
28,11508
28,11552
28,11795
28,11804
28,11821
28,11861
28,12049
28,12079
28,12203
28,12449
28,12544
28,12558
28,12723
28,12897
28,12910
28,12950
28,12973
28,13014
28,13029
28,13059
28,13239
28,13315
28,13326
28,13328
28,13430
28,13464
28,13708
28,13713
28,13798
28,13977
28,13983
28,13990
28,14114
28,14257
28,14264
28,14295
28,14399
28,14483
28,14502
28,14562
28,14576
28,14660
28,14662
28,14668
28,14920
28,15146
28,15238
28,15474
28,15486
28,15715
28,15787
28,15840
28,15867
28,15919
28,16029
28,16064
28,16071
28,16079
28,16169
28,16237
28,16240
28,16253
28,16327
28,16380
28,16496
28,16515
28,16516
28,16573
28,16587
28,16689
28,16693
28,16824
28,16977
28,17091
28,17128
28,17159
28,17187
28,17262
28,17364
28,17368
28,17524
28,17533
28,17654
28,17698
28,17709
28,17785
28,17956
28,18121
28,18253
28,18260
28,18268
28,18287
28,18400
28,18562
28,18566
28,18592
28,18658
28,18713
28,18763
28,18813
28,18868
28,19093
28,19105
28,19117
28,19144
28,19192
28,19194
28,19208
28,19463
28,19704
28,19790
28,20003
28,20030
28,20112
28,20154
28,20207
28,20238
28,20274
28,20309
28,20416
28,20475
28,20553
28,20744
28,20763
28,20778
28,20891
28,20893
28,20899
28,20913
28,20952
28,21054
28,21177
28,21259
28,21379
28,21435
28,21477
28,21542
28,21583
28,22005
28,22025
28,22040
28,22144
28,22174
28,22309
28,22407
28,22423
28,22462
28,22465
28,22624
28,22774
28,22777
28,22797
28,22806
28,22807
28,22849
28,23286
28,23320
28,23388
28,23416
28,23572
28,23573
28,23601
28,23649
28,23802
28,23817
28,23841
28,23860
28,23918
28,23934
28,23939
28,23987
28,24002
28,24098
28,24121
28,24211
28,24298
28,24482
28,24484
28,24548
28,24903
28,24941
28,25096
28,25377
28,25386
28,25470
28,25509
28,25533
28,25535
28,25539
28,25604
28,25709
28,25829
28,25849
28,26047
28,26049
28,26108
28,26214
28,26286
28,26335
28,26366
28,26389
28,26494
28,26542
28,26668
28,26720
28,26923
28,27016
28,27040
28,27049
28,27074
28,27090
28,27131
28,27175
28,27312
28,27361
28,27543
28,27683
28,27765
28,28033
28,28155
28,28233
28,28245
28,28286
28,28443
28,28580
28,28740
28,28774
28,28990
28,29003
28,29063
28,29164
28,29324
28,29327
28,29335
28,29503
29,0
29,221
29,222
29,317
29,359
29,377
29,468
29,500
29,516
29,536
29,609
29,625
29,630
29,642
29,654
29,664
29,695
29,778
29,787
29,791
29,813
29,881
29,971
29,983
29,1023
29,1044
29,1051
29,1063
29,1171
29,1196
29,1271
29,1387
29,1402
29,1413
29,1478
29,1541
29,1644
29,1714
29,1730
29,1731
29,1736
29,1745
29,1779
29,1784
29,1945
29,1960
29,1963
29,2070
29,2074
29,2086
29,2110
29,2145
29,2162
29,2176
29,2245
29,2309
29,2325
29,2347
29,2376
29,2377
29,2404
29,2474
29,2492
29,2567
29,2573
29,2707
29,2730
29,2743
29,2771
29,2864
29,2934
29,2964
29,3083
29,3115
29,3177
29,3255
29,3291
29,3343
29,3348
29,3350
29,3407
29,3480
29,3553
29,3606
29,3703
29,3707
29,3822
29,3934
29,4041
29,4053
29,4076
29,4104
29,4145
29,4157
29,4301
29,4340
29,4367
29,4438
29,4518
29,4542
29,4600
29,4634
29,4643
29,4776
29,4831
29,4951
29,4972
29,4998
29,5016
29,5054
29,5057
29,5083
29,5087
29,5094
29,5106
29,5115
29,5119
29,5172
29,5307
29,5309
29,5328
29,5348
29,5363
29,5370
29,5406
29,5554
29,5563
29,5613
29,5616
29,5644
29,5674
29,5676
29,5683
29,5731
29,5831
29,5856
29,5862
29,5908
29,5915
29,5977
29,6094
29,6142
29,6249
29,6355
29,6389
29,6454
29,6482
29,6550
29,6570
29,6612
29,6677
29,6757
29,6772
29,6809
29,6859
29,6886
29,6900
29,6948
29,6987
29,7049
29,7050
29,7293
29,7420
29,7477
29,7514
29,7521
29,7525
29,7640
29,7658
