layer,neuron
4,13106
5,24328
7,1326
16,100
16,20820
16,21397
16,29218
17,9903
24,2345
24,7176
24,7570
24,9182
24,14707
24,16783
24,18087
24,20457
24,25137
24,29310
25,86
25,1781
25,4417
25,10287
25,19067
25,22148
25,24802
25,26188
25,28129
26,316
26,1155
26,1264
26,2168
26,2215
26,2931
26,3421
26,3662
26,3892
26,4384
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7056
26,7249
26,7707
26,8676
26,10462
26,11091
26,12014
26,12064
26,13031
26,13754
26,13760
26,14185
26,14352
26,14580
26,14851
26,15270
26,16645
26,16680
26,17239
26,17243
26,18756
26,19131
26,19595
26,21645
26,22798
26,22873
26,22913
26,23228
26,23646
26,26123
26,26529
26,26675
26,26971
26,27500
26,27932
26,28037
26,28266
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28971
26,29323
27,176
27,180
27,189
27,312
27,660
27,869
27,920
27,2218
27,2460
27,2505
27,3045
27,3300
27,3780
27,3786
27,4323
27,4426
27,4603
27,5029
27,5651
27,5771
27,5781
27,5998
27,6013
27,6117
27,6159
27,6166
27,6275
27,6390
27,6391
27,6598
27,6847
27,6952
27,7291
27,7333
27,7405
27,7502
27,7572
27,8679
27,8892
27,9308
27,9386
27,9662
27,9728
27,9857
27,9969
27,10183
27,10394
27,10459
27,10857
27,10870
27,11009
27,11289
27,11329
27,11663
27,11909
27,11912
27,12018
27,12165
27,12736
27,12994
27,13100
27,13327
27,13377
27,13419
27,13495
27,13573
27,13589
27,13604
27,13707
27,13862
27,13951
27,13963
27,14219
27,14466
27,14532
27,14806
27,15181
27,15218
27,15328
27,15340
27,15510
27,15525
27,15555
27,15573
27,15859
27,15902
27,16076
27,17017
27,17923
27,18238
27,18397
27,18405
27,18574
27,18607
27,18909
27,19190
27,19289
27,19299
27,19327
27,19419
27,19692
27,20035
27,20225
27,20319
27,20873
27,21073
27,21633
27,21718
27,22036
27,22142
27,22194
27,22549
27,22655
27,23160
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23843
27,24311
27,24581
27,24993
27,25702
27,26296
27,26366
27,26607
27,26752
27,26930
27,26936
27,27174
27,27498
27,27645
27,27746
27,27814
27,28003
27,28079
27,28110
27,28852
27,29059
27,29137
27,29272
27,29457
28,146
28,281
28,369
28,503
28,639
28,694
28,796
28,1362
28,1475
28,1905
28,2176
28,2305
28,2383
28,2723
28,2870
28,3743
28,4284
28,4329
28,4473
28,4475
28,4499
28,4501
28,4738
28,4752
28,4828
28,5012
28,5156
28,5230
28,5360
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6135
28,6139
28,6386
28,6407
28,6519
28,6591
28,6777
28,6830
28,7336
28,7467
28,7503
28,7996
28,8170
28,8208
28,8220
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9324
28,9346
28,9354
28,9449
28,9625
28,9639
28,9682
28,9697
28,9798
28,9904
28,9906
28,10130
28,10232
28,10693
28,10823
28,10936
28,11045
28,11053
28,11349
28,11418
28,11795
28,11821
28,11861
28,12049
28,12079
28,12544
28,12558
28,12723
28,12897
28,13029
28,13059
28,13315
28,13328
28,13660
28,13713
28,13977
28,14257
28,14399
28,14660
28,14668
28,15056
28,15474
28,15486
28,15715
28,16078
28,16079
28,16106
28,16240
28,16515
28,16516
28,17091
28,17108
28,17128
28,17159
28,17187
28,17533
28,17956
28,18121
28,18253
28,18260
28,18268
28,18400
28,18562
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19704
28,19790
28,20030
28,20127
28,20154
28,20274
28,20309
28,20416
28,20475
28,20744
28,20778
28,20899
28,20913
28,21054
28,21308
28,21379
28,21939
28,22017
28,22144
28,22624
28,22726
28,22807
28,23388
28,23416
28,23572
28,23649
28,23802
28,23817
28,23918
28,24002
28,24121
28,24548
28,24941
28,25117
28,25470
28,25535
28,25849
28,26108
28,26214
28,26366
28,26494
28,26668
28,26720
28,27049
28,27074
28,27090
28,27312
28,27361
28,28233
28,28286
28,28443
28,28740
28,28774
28,29164
29,221
29,317
29,377
29,454
29,468
29,536
29,609
29,642
29,664
29,791
29,813
29,1051
29,1063
29,1292
29,1541
29,1731
29,1736
29,1945
29,1960
29,2070
29,2086
29,2110
29,2145
29,2245
29,2347
29,2376
29,2404
29,2474
29,2573
29,2743
29,2847
29,2863
29,2864
29,3149
29,3177
29,3188
29,3255
29,3291
29,3343
29,3350
29,3407
29,3555
29,3606
29,3703
29,3707
29,3822
29,3934
29,4053
29,4088
29,4104
29,4145
29,4157
29,4301
29,4340
29,4518
29,4542
29,4831
29,5016
29,5054
29,5106
29,5172
29,5287
29,5307
29,5309
29,5348
29,5363
29,5379
29,5406
29,5554
29,5616
29,5674
29,5676
29,5683
29,5862
29,5908
29,6094
29,6142
29,6249
29,6355
29,6454
29,6550
29,6772
29,6859
29,6886
29,6895
29,6900
29,6987
29,7050
29,7293
29,7347
29,7547
29,7658
29,7769
29,7782
29,7852
29,7917
29,7940
29,8118
29,8188
29,8224
29,8253
29,8395
29,8422
29,8470
29,8478
29,8738
29,8825
29,8926
29,8941
29,8977
29,8998
29,9037
29,9048
29,9161
29,9386
29,9509
29,9524
29,9581
29,9679
29,9781
29,9786
29,9873
29,9967
29,10020
29,10068
29,10175
29,10185
29,10228
29,10421
29,10447
29,10483
29,10498
29,10571
29,10624
29,10642
29,10725
29,10777
29,10852
29,10993
29,11027
29,11107
29,11204
29,11379
29,11460
29,11491
29,11506
29,11528
29,11736
29,11809
29,11889
29,11904
29,12002
29,12287
29,12301
29,12404
29,12634
29,12660
29,12713
29,12723
29,12952
29,13031
29,13063
29,13140
29,13324
29,13436
29,13445
29,13618
29,13712
29,13726
29,13786
29,13804
29,13960
29,14125
29,14177
29,14192
29,14220
29,14375
29,14545
29,14623
29,14664
29,14741
29,14761
29,14818
29,14823
29,14837
29,14923
29,15047
29,15100
29,15123
29,15275
29,15328
29,15453
29,15512
29,15527
29,15636
29,15697
29,15791
29,15915
29,15945
29,16066
29,16131
29,16380
29,16476
29,16547
29,16577
29,16898
29,16934
29,17029
29,17082
29,17126
29,17319
29,17410
29,17443
29,17563
29,17572
29,17637
29,17654
29,17788
29,17800
29,17807
29,17821
29,17899
29,17951
29,18048
29,18188
29,18217
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18660
29,18729
29,18803
29,18818
29,18890
29,19116
29,19127
29,19151
29,19226
29,19227
29,19296
29,19328
29,19353
29,19472
29,19581
29,19644
29,19664
29,19679
29,19733
29,20115
29,20117
29,20142
29,20394
29,20404
29,20504
29,20578
29,20647
29,20821
29,20858
29,20870
29,20913
29,20931
29,21212
29,21352
29,21391
29,21478
29,21541
29,21659
29,21682
29,21781
29,21927
29,22151
29,22166
29,22246
29,22310
29,22482
29,22517
29,22518
29,22550
29,22571
29,22585
29,22896
29,23004
29,23024
29,23087
29,23117
29,23285
29,23600
29,23609
29,23619
29,23706
29,23942
29,24119
29,24164
29,24232
29,24293
29,24295
29,24447
29,24472
29,24520
29,24543
29,24649
29,24925
29,25094
29,25253
29,25369
29,25421
29,25570
29,25596
29,25623
29,25763
29,25772
29,25925
29,25989
29,26182
29,26202
29,26224
29,26303
29,26506
29,26535
29,26559
29,26640
29,26709
29,27566
29,27621
29,27668
29,27737
29,27800
29,27828
29,27920
29,27937
29,27958
29,28050
29,28070
29,28167
29,28235
29,28428
29,28514
29,28653
29,28658
29,28709
29,28803
29,28891
29,28935
29,28974
29,28997
29,29206
29,29268
29,29270
29,29426
29,29549
30,108
30,192
30,366
30,430
30,434
30,524
30,726
30,827
30,911
30,918
30,937
30,1051
30,1165
30,1176
30,1347
30,1422
30,1467
30,1473
30,1543
30,1734
30,1908
30,1915
30,1920
30,1945
30,1994
30,2103
30,2186
30,2261
30,2264
30,2319
30,2382
30,2471
30,2570
30,2595
30,2673
30,2685
30,2793
30,2969
30,3003
30,3010
30,3013
30,3058
30,3073
30,3144
30,3172
30,3178
30,3265
30,3374
30,3482
30,3502
30,3742
30,3747
30,3762
30,3773
30,3895
30,3898
30,3997
30,3999
30,4023
30,4027
30,4076
30,4219
30,4265
30,4297
30,4473
30,4478
30,4507
30,4550
30,4581
30,4600
30,4668
30,4741
30,4767
30,4914
30,4948
30,5052
30,5057
30,5191
30,5201
30,5236
30,5295
30,5316
30,5673
30,5708
30,5778
30,5855
30,5906
30,5968
30,6041
30,6093
30,6175
30,6177
30,6214
30,6258
30,6401
30,6509
30,6590
30,6634
30,6646
30,6710
30,6736
30,6822
30,6886
30,6915
30,6923
30,6991
30,7014
30,7036
30,7045
30,7053
30,7218
30,7373
30,7452
30,7483
30,7525
30,7536
30,7545
30,7575
30,7637
30,7641
30,7782
30,7797
30,7886
30,8184
30,8234
30,8245
30,8271
30,8373
30,8383
30,8509
30,8658
30,8767
30,8872
30,8908
30,8979
30,9254
30,9262
30,9342
30,9435
30,9506
30,9544
30,9562
30,9584
30,9595
30,9596
30,9625
30,9630
30,9638
30,9660
30,9661
30,9690
30,9734
30,9767
30,9771
30,9838
30,9869
30,9914
30,9935
30,9979
30,10043
30,10064
30,10294
30,10313
30,10315
30,10366
30,10417
30,10479
30,10504
30,10511
30,10583
30,10597
30,10609
30,10631
30,10757
30,10808
30,10819
30,10823
30,10990
30,11009
30,11044
30,11056
30,11089
30,11093
30,11103
30,11149
30,11151
30,11189
30,11249
30,11301
30,11357
30,11382
30,11389
30,11412
30,11440
30,11482
30,11516
30,11531
30,11682
30,11728
30,11738
30,11755
30,11759
30,11767
30,11779
30,11840
30,11871
30,11893
30,11904
30,11922
30,12003
30,12096
30,12100
30,12109
30,12160
30,12169
30,12253
30,12284
30,12285
30,12312
30,12345
30,12356
30,12374
30,12467
30,12530
30,12696
30,12785
30,12886
30,12900
30,12909
30,12976
30,13016
30,13069
30,13088
30,13096
30,13190
30,13257
30,13368
30,13405
30,13411
30,13417
30,13546
30,13598
30,13674
30,13822
30,13842
30,13943
30,14049
30,14104
30,14136
30,14295
30,14306
30,14433
30,14509
30,14531
30,14551
30,14662
30,14690
30,14699
30,14820
30,14847
30,14925
30,14943
30,15001
30,15154
30,15399
30,15420
30,15436
30,15443
30,15559
30,15651
30,15686
30,15704
30,15890
30,15916
30,15925
30,15936
30,16003
30,16008
30,16032
30,16060
30,16165
30,16654
30,16696
30,16809
30,16823
30,16829
30,16859
30,16914
30,16970
30,17021
30,17190
