layer,neuron
16,21397
17,17471
24,7176
24,16783
24,22875
25,4417
25,11386
25,17524
25,18953
25,25655
25,26188
26,135
26,2168
26,2171
26,2931
26,3662
26,3892
26,5075
26,5147
26,5410
26,7236
26,7249
26,11091
26,14352
26,14505
26,17243
26,17907
26,19841
26,22913
26,23646
26,25368
26,26529
26,27327
26,27500
26,27626
26,27932
26,28037
26,28425
26,28754
27,176
27,660
27,686
27,869
27,2241
27,2267
27,2460
27,3045
27,3300
27,3780
27,3793
27,4220
27,4603
27,5750
27,6065
27,6117
27,6275
27,6952
27,7291
27,7333
27,7405
27,7572
27,8892
27,9347
27,9386
27,9730
27,9895
27,9941
27,9969
27,10090
27,11329
27,11912
27,12018
27,12051
27,12736
27,13100
27,13197
27,13327
27,13377
27,13419
27,13634
27,13707
27,13712
27,13792
27,13903
27,14219
27,14314
27,14466
27,14812
27,14868
27,14899
27,14944
27,15328
27,15340
27,15555
27,15902
27,16076
27,16266
27,16707
27,16841
27,17474
27,17759
27,17785
27,17980
27,18238
27,18607
27,18836
27,19190
27,19559
27,19967
27,20035
27,20712
27,20797
27,21029
27,21208
27,21326
27,21718
27,21766
27,22036
27,22677
27,23160
27,23244
27,23276
27,23620
27,23980
27,24311
27,24506
27,24581
27,25630
27,25778
27,25892
27,26038
27,26558
27,26607
27,26752
27,26777
27,26936
27,27683
27,27709
27,27821
27,28003
27,28079
27,28110
27,28955
27,29137
27,29272
27,29432
28,146
28,608
28,1074
28,1714
28,1905
28,2383
28,2605
28,2825
28,3470
28,3807
28,4343
28,4475
28,4501
28,4521
28,4752
28,4771
28,4828
28,4857
28,5156
28,5562
28,5587
28,5899
28,5940
28,6102
28,6126
28,6386
28,6670
28,6830
28,7336
28,7420
28,7503
28,7902
28,8059
28,8208
28,8220
28,8476
28,8528
28,8546
28,8808
28,8812
28,8861
28,8874
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10009
28,10232
28,10823
28,11263
28,11349
28,11418
28,11804
28,12049
28,12544
28,12558
28,12723
28,12897
28,13059
28,13084
28,13239
28,13660
28,13713
28,13791
28,14668
28,15465
28,15486
28,15715
28,16516
28,17037
28,17091
28,17368
28,17709
28,18253
28,18260
28,18658
28,18813
28,19093
28,19105
28,19194
28,19208
28,20003
28,20005
28,20030
28,20127
28,20274
28,20309
28,20475
28,20899
28,21054
28,22025
28,22797
28,22807
28,22873
28,23364
28,23388
28,23416
28,23649
28,23817
28,24002
28,24121
28,24548
28,25050
28,25096
28,25470
28,25849
28,26016
28,26109
28,26720
28,26929
28,26943
28,27090
28,27172
28,27200
28,27482
28,27693
28,28233
28,28265
28,28286
28,28520
28,28955
28,29164
29,221
29,536
29,607
29,609
29,664
29,791
29,813
29,1051
29,1063
29,1541
29,1644
29,1753
29,2066
29,2074
29,2086
29,2376
29,2474
29,2573
29,2743
29,2771
29,2864
29,2984
29,3255
29,3291
29,3343
29,3350
29,3397
29,3555
29,3606
29,3703
29,3707
29,3822
29,3860
29,4033
29,4053
29,4104
29,4145
29,4157
29,4195
29,4383
29,4518
29,4542
29,4972
29,5016
29,5054
29,5307
29,5348
29,5363
29,5406
29,5554
29,5616
29,5674
29,5831
29,6094
29,6142
29,6249
29,6349
29,6550
29,6697
29,6895
29,7050
29,7477
29,7547
29,7769
29,7905
29,7917
29,7965
29,8118
29,8188
29,8253
29,8422
29,8470
29,8478
29,8594
29,8738
29,8743
29,8926
29,8998
29,9048
29,9051
29,9067
29,9161
29,9283
29,9581
29,9772
29,9829
29,9873
29,10020
29,10068
29,10114
29,10154
29,10228
29,10325
29,10447
29,10498
29,10571
29,10688
29,10698
29,10852
29,11027
29,11107
29,11474
29,11605
29,11726
29,11736
29,11806
29,11809
29,11828
29,11859
29,11889
29,11904
29,12142
29,12301
29,12364
29,12502
29,12638
29,12660
29,13031
29,13050
29,13063
29,13072
29,13100
29,13140
29,13324
29,13436
29,13702
29,13712
29,13786
29,13960
29,14220
29,14545
29,14664
29,14818
29,14837
29,14877
29,15123
29,15190
29,15453
29,15527
29,15636
29,15697
29,15711
29,15915
29,16168
29,16226
29,16498
29,16547
29,16787
29,16943
29,17082
29,17271
29,17410
29,17563
29,17637
29,17788
29,17821
29,17899
29,17911
29,18160
29,18188
29,18470
29,18505
29,18544
29,18557
29,18660
29,18677
29,18729
29,18803
29,18866
29,18890
29,19005
29,19024
29,19154
29,19296
29,19353
29,19410
29,19496
29,19531
29,19679
29,19769
29,20115
29,20265
29,20321
29,20394
29,20404
29,20414
29,20504
29,20578
29,20858
29,20870
29,20913
29,20918
29,20931
29,21311
29,21422
29,21541
29,21575
29,21585
29,21623
29,21659
29,21682
29,21751
29,22095
29,22246
29,22310
29,22482
29,22518
29,22550
29,22571
29,22896
29,22947
29,23004
29,23091
29,23249
29,23250
29,23583
29,23600
29,23609
29,23619
29,23706
29,24018
29,24252
29,24447
29,24505
29,24520
29,24543
29,24614
29,24649
29,24835
29,24849
29,25129
29,25253
29,25274
29,25466
29,25596
29,25623
29,25988
29,26182
29,26247
29,26303
29,26506
29,26640
29,26648
29,26945
29,27702
29,27737
29,27920
29,27956
29,28050
29,28070
29,28118
29,28167
29,28198
29,28235
29,28514
29,28935
29,28997
29,29065
29,29426
29,29549
30,206
30,328
30,353
30,430
30,726
30,827
30,911
30,1153
30,1165
30,1176
30,1333
30,1347
30,1360
30,1422
30,1734
30,1817
30,1908
30,1915
30,1920
30,1945
30,1960
30,1991
30,1994
30,2121
30,2186
30,2209
30,2240
30,2264
30,2278
30,2312
30,2382
30,2383
30,2468
30,2471
30,2556
30,2570
30,2573
30,2617
30,2651
30,2673
30,2793
30,3003
30,3040
30,3144
30,3274
30,3374
30,3502
30,3654
30,3678
30,3692
30,3742
30,3762
30,3895
30,4076
30,4219
30,4285
30,4297
30,4478
30,4507
30,4523
30,4581
30,4792
30,4808
30,4836
30,4914
30,4948
30,4960
30,4981
30,5052
30,5057
30,5071
30,5100
30,5228
30,5236
30,5295
30,5316
30,5673
30,5743
30,5812
30,5855
30,5906
30,5942
30,5968
30,6175
30,6177
30,6182
30,6258
30,6352
30,6437
30,6491
30,6634
30,6753
30,6914
30,6915
30,7014
30,7045
30,7218
30,7304
30,7452
30,7483
30,7485
30,7542
30,7545
30,7550
30,7575
30,7637
30,7675
30,7777
30,7782
30,7797
30,7886
30,8234
30,8245
30,8373
30,8383
30,8507
30,8509
30,8603
30,8653
30,8768
30,8771
30,8795
30,8872
30,8908
30,8979
30,9254
30,9262
30,9389
30,9506
30,9544
30,9562
30,9596
30,9625
30,9628
30,9638
30,9660
30,9661
30,9690
30,9714
30,9734
30,9761
30,9838
30,9869
30,9935
30,9979
30,10087
30,10294
30,10313
30,10417
30,10504
30,10511
30,10713
30,10734
30,10757
30,10808
30,10818
30,10819
30,10823
30,10968
30,11006
30,11093
30,11103
30,11189
30,11249
30,11357
30,11382
30,11389
30,11412
30,11503
30,11516
30,11531
30,11682
30,11731
30,11738
30,11755
30,11779
30,11786
30,11792
30,11856
30,12109
30,12169
30,12185
30,12284
30,12356
30,12374
30,12401
30,12467
30,12562
30,12730
30,12837
30,12886
30,12909
30,13190
30,13257
30,13332
30,13368
30,13405
30,13411
30,13417
30,13546
30,13589
30,13674
30,13943
30,13952
30,14037
30,14049
30,14094
30,14153
30,14235
30,14295
30,14298
30,14306
30,14389
30,14503
30,14523
30,14551
30,14570
30,14589
30,14699
30,14781
30,14847
30,14912
30,14944
30,14961
30,15150
30,15154
30,15194
30,15255
30,15280
30,15436
30,15443
30,15445
30,15611
30,15890
30,15916
30,15925
30,15936
30,16008
30,16060
30,16165
30,16181
30,16546
30,16654
30,16668
30,16696
30,16807
30,17180
30,17249
30,17335
