layer,neuron
26,23646
27,6275
27,12018
27,15340
27,19190
28,4828
28,6386
28,9798
29,2743
29,9048
29,13140
29,13786
29,14623
29,17082
29,20578
29,22896
29,23619
29,25253
29,27920
29,28935
29,29426
30,1734
30,2264
30,4581
30,9596
30,9690
30,10819
30,11189
30,14049
30,16060
30,18383
30,20820
30,24758
31,69
31,1753
31,2159
31,2821
31,2921
31,4464
31,4719
31,7982
31,8931
31,9957
31,13947
31,14818
31,15439
31,16112
31,16892
31,19300
31,19364
31,21929
31,22532
31,22963
31,23799
31,24763
31,24984
31,26527
31,28201
31,28486
31,28870
31,29197
32,160
32,984
32,1433
32,1624
32,1985
32,5222
32,7470
32,8141
32,9180
32,10121
32,11765
32,11941
32,14687
32,15088
32,16446
32,18197
32,20850
32,21794
32,21926
32,23146
32,25464
32,28612
33,52
33,2267
33,3520
33,3744
33,4952
33,5377
33,7192
33,7974
33,8247
33,9151
33,10545
33,12632
33,13434
33,16238
33,16479
33,19281
33,19488
33,21029
33,22839
33,23627
33,24229
33,26781
33,27417
33,27580
33,27616
33,28674
33,29119
34,691
34,2645
34,3889
34,4085
34,4298
34,4371
34,6228
34,8953
34,9199
34,10392
34,12426
34,13614
34,14982
34,15560
34,15768
34,16121
34,16393
34,19815
34,23334
34,26660
34,27854
34,29426
35,441
35,1342
35,1423
35,4471
35,5418
35,6128
35,6206
35,7335
35,10102
35,10308
35,10751
35,11794
35,17111
35,17576
35,19270
35,19892
35,20105
35,20189
35,21328
35,22212
35,22598
35,22616
35,23082
35,25280
35,26201
35,26531
35,26587
35,26680
35,28007
35,28081
36,253
36,268
36,904
36,1392
36,3238
36,3523
36,5044
36,6535
36,7191
36,7834
36,8561
36,16156
36,17824
36,23737
36,29284
36,29382
36,29553
37,4418
37,4807
37,6943
37,6992
37,7068
37,8097
37,8493
37,10224
37,10393
37,10807
37,11336
37,11420
37,11942
37,13045
37,13318
37,13496
37,14702
37,15396
37,15415
37,16614
37,16783
37,17710
37,18509
37,19168
37,20058
37,21237
37,21370
37,22966
37,25491
37,26425
37,26629
37,26771
38,2676
38,4376
38,6072
38,6213
38,6261
38,6717
38,7704
38,8062
38,8244
38,8727
38,10442
38,10865
38,12172
38,12300
38,12944
38,12981
38,15016
38,16470
38,16719
38,16966
38,17283
38,18659
38,18785
38,22293
38,23037
38,23499
38,23641
38,24737
38,24934
38,26382
38,26524
38,26964
38,27539
38,28012
38,28049
38,28340
38,28760
39,7
39,2240
39,4291
39,4474
39,4980
39,5986
39,6119
39,8067
39,8957
39,8971
39,9834
39,9874
39,10500
39,10884
39,11136
39,12127
39,13233
39,14768
39,16610
39,16852
39,22185
39,23781
39,24123
39,27373
39,27696
39,28442
39,28981
39,29113
40,753
40,851
40,1101
40,2066
40,2189
40,5011
40,6743
40,8422
40,9035
40,16389
40,17701
40,18512
40,18832
40,20577
40,20903
40,22609
40,23427
40,23833
40,25370
41,448
41,5012
41,6136
41,7800
41,8011
41,8850
41,9339
41,10421
41,10663
41,11317
41,12228
41,12535
41,14491
41,14839
41,15069
41,15990
41,18899
41,21871
41,21989
41,22166
41,22230
41,23555
41,24555
41,25174
41,26783
41,27188
41,27390
41,28045
41,28676
42,3928
42,5638
42,9670
42,10957
42,12791
42,12866
42,17897
42,24220
42,29360
43,2479
43,7275
43,9710
43,11369
43,18415
43,21414
43,22772
43,23300
43,24706
43,26402
43,29372
44,5826
44,8760
44,9327
44,9837
44,11653
44,11933
44,13112
44,14125
44,19571
44,20614
44,25966
44,27256
45,8679
45,17576
46,6948
46,9565
46,11337
46,12253
46,13324
46,13369
46,16206
46,19659
46,22735
47,203
47,605
47,1437
47,7725
47,10121
47,18830
47,19669
47,22920
47,25984
47,26772
47,27084
47,28627
48,4272
48,12778
48,14127
48,17764
48,19918
49,2070
49,5639
49,10794
49,11063
49,24128
49,24555
50,8438
50,9576
50,14862
50,22342
51,12931
51,24868
52,8211
52,18581
52,22666
52,26860
52,29475
53,10524
53,10743
53,14480
53,16738
53,20645
53,26150
53,29262
54,3218
54,4824
54,7719
54,12530
54,19353
54,27849
55,16307
55,24420
55,28241
56,3738
56,15797
56,17385
56,29532
57,3030
57,4040
58,2491
58,5105
58,29352
59,22980
60,17204
60,26807
60,28467
61,539
62,17385
64,19265
66,1957
68,16756
68,22115
68,22648
70,20965
75,24968
76,22219
77,17252
78,10620
79,9561
79,10271
79,11771
79,21699
79,29440
