layer,neuron,subject_count
4,13106,35
5,5225,3
5,12021,1
5,24328,29
6,18132,1
7,1326,53
7,4784,24
7,5458,33
7,27871,11
11,29560,2
12,15517,1
16,100,41
16,429,1
16,2236,16
16,5325,16
16,5647,4
16,6023,13
16,13177,8
16,20653,1
16,20820,32
16,21397,50
16,24414,2
16,29218,2
17,389,3
17,1530,3
17,1972,5
17,2233,4
17,9204,4
17,9903,36
17,13722,4
17,14660,11
17,15360,9
17,17471,1
17,20875,11
17,23898,2
17,25932,1
17,27812,1
19,22505,4
20,8130,23
21,12526,3
22,8054,9
22,10932,2
22,27629,1
23,1061,1
23,2471,2
23,3134,1
23,4248,4
23,15559,1
23,17956,2
23,20517,2
23,22508,1
23,25017,2
23,25992,2
24,2345,3
24,3155,16
24,3477,4
24,7176,50
24,7570,4
24,7677,2
24,9182,9
24,11318,2
24,11959,5
24,13428,1
24,13556,1
24,13809,1
24,14707,1
24,15455,1
24,16783,47
24,18087,4
24,20330,8
24,20457,30
24,22875,6
24,25027,3
24,25137,8
24,26743,14
24,27994,1
24,29310,18
25,86,11
25,1781,36
25,2028,6
25,2805,1
25,4417,52
25,6746,1
25,8852,1
25,10287,8
25,11386,9
25,12698,8
25,13676,1
25,14962,1
25,14982,8
25,16431,1
25,16675,3
25,17440,4
25,17524,22
25,18953,5
25,19067,2
25,19096,17
25,22148,2
25,24802,20
25,25655,10
25,26188,26
25,28129,1
25,28476,5
25,29308,27
26,135,2
26,316,23
26,688,1
26,1092,1
26,1155,42
26,1264,12
26,1530,5
26,1798,2
26,2168,46
26,2171,4
26,2215,16
26,2747,1
26,2931,47
26,3421,35
26,3547,1
26,3639,2
26,3662,37
26,3794,3
26,3805,2
26,3892,29
26,4169,1
26,4311,13
26,4384,4
26,4465,12
26,4733,25
26,5075,44
26,5147,42
26,5247,3
26,5357,29
26,5410,14
26,6860,45
26,7056,5
26,7223,4
26,7225,2
26,7236,10
26,7249,40
26,7494,1
26,7707,15
26,7774,1
26,8045,3
26,8265,1
26,8272,2
26,8676,12
26,9555,11
26,9681,2
26,9721,3
26,9824,6
26,10277,1
26,10395,2
26,10462,2
26,10926,1
26,11091,24
26,11399,1
26,11617,2
26,11629,1
26,11631,1
26,11632,2
26,12000,23
26,12014,24
26,12064,31
26,12369,1
26,12752,1
26,13031,38
26,13069,12
26,13613,2
26,13754,12
26,13760,3
26,13860,2
26,14185,5
26,14352,13
26,14485,1
26,14505,3
26,14580,17
26,14851,23
26,15270,17
26,15338,2
26,15436,3
26,15847,1
26,15945,1
26,15999,1
26,16167,3
26,16272,2
26,16645,2
26,16680,1
26,16740,1
26,16941,13
26,17239,39
26,17243,39
26,17278,1
26,17406,2
26,17538,9
26,17572,13
26,17907,10
26,17947,1
26,18200,1
26,18229,3
26,18711,5
26,18756,7
26,19131,1
26,19595,15
26,19841,14
26,21404,1
26,21443,4
26,21645,10
26,21729,4
26,21906,1
26,21993,1
26,22162,1
26,22486,2
26,22798,39
26,22873,31
26,22884,14
26,22913,45
26,23222,1
26,23228,28
26,23238,7
26,23322,1
26,23337,2
26,23646,54
26,23862,4
26,24004,1
26,24465,12
26,24670,1
26,24671,2
26,24787,1
26,24798,2
26,25368,1
26,25372,1
26,25392,1
26,25440,5
26,25555,36
26,25712,1
26,25851,1
26,26046,6
26,26123,1
26,26140,2
26,26529,36
26,26675,10
26,26971,33
26,27026,1
26,27201,1
26,27246,6
26,27327,21
26,27348,2
26,27418,2
26,27494,1
26,27500,39
26,27626,2
26,27932,53
26,28037,52
26,28266,3
26,28308,1
26,28338,44
26,28425,48
26,28570,13
26,28626,29
26,28754,48
26,28778,12
26,28820,9
26,28839,1
26,28971,42
26,29033,1
26,29323,40
26,29383,4
27,176,48
27,180,30
27,187,2
27,189,9
27,227,6
27,304,3
27,312,32
27,399,1
27,418,1
27,568,16
27,660,22
27,686,6
27,702,1
27,795,1
27,869,4
27,882,1
27,920,1
27,1027,13
27,1128,4
27,1294,1
27,1519,1
27,1602,1
27,1634,7
27,1657,1
27,1737,1
27,1842,1
27,1869,16
27,1880,4
27,1944,6
27,2047,2
27,2218,20
27,2241,2
27,2267,2
27,2272,1
27,2302,1
27,2460,17
27,2505,9
27,2789,1
27,2810,2
27,3045,17
