layer,neuron
7,1326
16,21397
17,2233
24,7176
24,7570
24,16783
24,22875
24,26743
25,4417
25,17524
25,25655
26,2168
26,5075
26,5147
26,7236
26,7249
26,11091
26,12000
26,21645
26,22913
26,23646
26,27500
26,27932
26,28037
26,28338
26,28754
26,28971
26,29323
27,176
27,180
27,1027
27,1634
27,1944
27,2460
27,3300
27,3780
27,4951
27,6117
27,6275
27,7572
27,8679
27,8892
27,9347
27,10090
27,10183
27,11289
27,11559
27,12018
27,12331
27,13327
27,13377
27,13634
27,13792
27,13903
27,14219
27,14422
27,14944
27,15328
27,15340
27,17980
27,18238
27,18607
27,19190
27,19419
27,20319
27,20712
27,20868
27,21029
27,21326
27,21718
27,22036
27,23244
27,23620
27,24581
27,25596
27,25892
27,26936
27,26955
27,27174
27,27683
27,28003
27,29272
27,29432
28,142
28,281
28,369
28,653
28,1369
28,1905
28,3743
28,4752
28,4828
28,5351
28,5623
28,5899
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,7336
28,7503
28,7902
28,8170
28,8208
28,8476
28,8528
28,8808
28,8861
28,8874
28,9002
28,9346
28,9449
28,9697
28,9798
28,9904
28,9906
28,10232
28,10936
28,11263
28,11349
28,11418
28,11861
28,12049
28,12558
28,12897
28,13059
28,13315
28,13660
28,14668
28,15474
28,15715
28,15840
28,16516
28,18260
28,19093
28,19105
28,19194
28,19208
28,20274
28,20475
28,20899
28,22025
28,22807
28,23364
28,23649
28,23817
28,24002
28,24548
28,24906
28,25096
28,25377
28,26668
28,26720
28,26929
28,27172
28,27175
28,27482
28,28286
28,28774
29,221
29,536
29,607
29,609
29,791
29,813
29,1063
29,1478
29,1541
29,1753
29,2074
29,2086
29,2347
29,2472
29,2474
29,2743
29,3243
29,3291
29,3343
29,3382
29,3397
29,3517
29,3822
29,3860
29,4157
29,4518
29,4542
29,4831
29,5236
29,5307
29,5348
29,5363
29,5406
29,5554
29,5563
29,5616
29,5674
29,5831
29,6094
29,6142
29,6249
29,6895
29,7547
29,7784
29,7917
29,8188
29,8253
29,8298
29,8470
29,8478
29,8738
29,8743
29,8926
29,8941
29,9048
29,9161
29,9786
29,9829
29,9873
29,10068
29,10447
29,10644
29,10688
29,11107
29,11236
29,11809
29,11828
29,11889
29,12502
29,12660
29,13050
29,13140
29,13726
29,13786
29,13960
29,14623
29,14818
29,15123
29,15636
29,15697
29,16168
29,16787
29,16943
29,17082
29,17563
29,17654
29,17899
29,17951
29,18003
29,18188
29,18470
29,18505
29,18575
29,18677
29,18729
29,18803
29,19005
29,19227
29,19296
29,19496
29,19679
29,19769
29,19884
29,20404
29,20504
29,20578
29,20647
29,20870
29,20898
29,20931
29,20941
29,21097
29,21311
29,21422
29,21659
29,21682
29,21751
29,21927
29,22148
29,22166
29,22320
29,22571
29,22896
29,22947
29,23091
29,23122
29,23600
29,23619
29,24252
29,24520
29,24543
29,24649
29,25094
29,25129
29,25253
29,25596
29,25623
29,26182
29,26303
29,27411
29,27564
29,27668
29,27920
29,27937
29,28070
29,28167
29,28428
29,28514
29,28524
29,28935
