layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,6023
16,20820
16,21397
17,9903
19,22505
24,7176
24,9182
24,16783
24,25137
24,29310
25,1781
25,2805
25,4417
25,14982
25,26188
26,316
26,1155
26,1264
26,1798
26,2931
26,3421
26,3662
26,3892
26,4311
26,4465
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7249
26,8676
26,11091
26,12014
26,12064
26,13031
26,14352
26,15270
26,17239
26,17243
26,17572
26,21645
26,22798
26,22873
26,22913
26,23228
26,23646
26,26529
26,26971
26,27246
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28971
26,29323
27,176
27,180
27,312
27,660
27,1128
27,3045
27,3300
27,3549
27,3780
27,3786
27,4323
27,4426
27,4523
27,4603
27,5029
27,5067
27,5119
27,5341
27,5781
27,5998
27,6013
27,6065
27,6117
27,6159
27,6275
27,6429
27,6490
27,6847
27,6952
27,7291
27,7333
27,7502
27,7572
27,8679
27,8892
27,9347
27,9386
27,9662
27,9728
27,9730
27,9857
27,9969
27,10183
27,10459
27,10857
27,11009
27,11289
27,11663
27,11909
27,11912
27,11967
27,12018
27,12736
27,12994
27,13100
27,13327
27,13377
27,13419
27,13604
27,13792
27,13862
27,13951
27,14219
27,14466
27,14532
27,14806
27,14958
27,15181
27,15328
27,15340
27,15510
27,15555
27,15573
27,15685
27,15859
27,15902
27,16266
27,17017
27,17923
27,18238
27,18574
27,18607
27,18909
27,19103
27,19190
27,19289
27,19299
27,19327
27,19419
27,19967
27,20035
27,20225
27,20319
27,20712
27,20797
27,21326
27,21633
27,21718
27,22036
27,22194
27,22549
27,22655
27,23117
27,23160
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23843
27,24311
27,24993
27,25892
27,26558
27,26607
27,26752
27,26936
27,26955
27,27138
27,27174
27,27498
27,27645
27,28003
27,28079
27,29137
27,29272
27,29457
28,146
28,281
28,503
28,694
28,796
28,1362
28,1475
28,1631
28,1905
28,2176
28,2305
28,2383
28,2870
28,3068
28,3205
28,3743
28,4284
28,4329
28,4475
28,4499
28,4738
28,4752
28,4828
28,5156
28,5230
28,5302
28,5360
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6135
28,6139
28,6386
28,6407
28,6519
28,6591
28,6777
28,7336
28,7503
28,7996
28,8170
28,8208
28,8220
28,8328
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9346
28,9354
28,9449
28,9625
28,9639
28,9682
28,9697
28,9798
28,9904
28,10232
28,10693
28,10823
28,10936
28,11045
28,11053
28,11418
28,11795
28,11821
28,11861
28,12049
28,12079
28,12544
28,12558
28,12723
28,12897
28,13059
28,13315
28,13660
28,13713
28,13977
28,14114
28,14660
28,14668
28,14989
28,15474
28,15715
28,16079
28,16106
28,16240
28,16253
28,16515
28,16516
28,16548
28,17091
28,17159
28,17956
28,18121
28,18253
28,18260
28,18268
28,18400
28,18566
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19704
28,20030
28,20274
28,20309
28,20416
28,20444
28,20475
28,20891
28,20893
28,20899
28,20913
28,20952
28,21054
28,21308
28,21379
28,21939
28,22381
28,22423
28,22807
28,23364
28,23388
28,23416
28,23572
28,23649
28,23817
28,23918
28,23934
28,24002
28,24548
28,24941
28,25470
28,26108
28,26366
28,26494
28,26668
28,26720
28,26923
28,26928
28,26929
28,27049
28,27074
28,27090
28,27312
28,28233
28,28286
28,28443
28,28740
28,28774
28,29164
29,0
29,221
29,317
29,359
29,377
29,536
29,607
29,609
29,642
29,664
29,791
29,813
29,971
29,1051
29,1063
29,1271
29,1292
29,1478
29,1541
29,1731
29,1784
29,1945
29,2070
29,2074
29,2086
29,2110
29,2145
29,2245
29,2347
29,2376
29,2404
29,2474
29,2573
29,2743
29,2863
29,3177
29,3255
29,3291
29,3343
29,3407
29,3517
29,3555
29,3578
29,3703
29,3707
29,3822
29,3934
29,4053
29,4104
29,4145
29,4157
29,4518
29,4542
29,4653
29,4831
29,5016
29,5054
29,5087
29,5172
29,5236
29,5307
29,5348
29,5363
29,5370
29,5406
29,5554
29,5616
29,5674
29,5676
29,5683
29,5831
29,5908
29,6094
29,6142
29,6249
29,6355
29,6454
29,6550
29,6772
29,6826
29,6859
29,6886
29,6895
29,6900
29,6987
29,7050
29,7293
29,7477
29,7547
29,7658
29,7769
29,7782
29,8088
29,8118
29,8188
29,8253
29,8422
29,8470
29,8478
29,8738
29,8825
29,8926
29,8941
29,8977
29,8998
29,9048
29,9161
29,9283
29,9386
29,9488
29,9509
29,9581
29,9786
29,9873
29,10068
29,10175
29,10185
29,10228
29,10447
29,10483
29,10571
29,10642
29,10725
29,10777
29,11027
29,11204
29,11460
29,11491
29,11736
29,11809
29,11889
29,12002
29,12287
29,12301
29,12404
29,12660
29,12713
29,12952
29,13031
29,13063
29,13140
29,13324
29,13436
29,13445
29,13702
29,13712
29,13726
29,13786
29,13804
29,13960
29,14015
29,14125
29,14192
29,14220
29,14545
29,14623
29,14741
29,14761
29,14818
29,14923
29,15047
29,15100
29,15123
29,15279
29,15512
29,15527
29,15550
29,15697
29,15915
29,15945
29,16066
29,16131
29,16380
29,16440
29,16476
29,16547
29,16577
29,16934
29,16943
29,17029
29,17082
29,17319
29,17332
29,17410
29,17443
29,17563
29,17654
29,17800
29,17807
29,17821
29,17899
29,17951
29,18048
29,18188
29,18217
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18631
29,18660
29,18729
29,18803
29,18818
29,18890
29,19099
29,19127
29,19226
29,19227
29,19296
29,19328
29,19353
29,19472
29,19644
29,19679
29,19733
29,19769
29,20115
29,20117
29,20142
29,20404
29,20578
29,20647
29,20858
29,20870
29,20931
29,21212
29,21352
29,21391
29,21478
29,21541
29,21623
29,21659
29,21682
29,21781
29,21927
29,22166
29,22246
29,22310
29,22482
29,22518
29,22550
29,22571
29,22896
29,23004
29,23024
29,23087
29,23091
29,23117
29,23285
29,23600
29,23609
29,23619
29,23706
29,24119
29,24164
29,24293
29,24447
29,24465
29,24520
29,24543
29,24649
29,24925
29,25094
29,25129
29,25133
29,25253
29,25596
29,25623
29,25763
29,25772
29,26154
29,26182
29,26224
29,26303
29,26506
29,26535
29,26553
29,26559
29,26640
29,26709
29,26771
29,27109
29,27411
29,27616
29,27737
29,27920
29,27937
29,27958
29,28050
29,28070
29,28235
29,28428
29,28514
29,28653
29,28658
29,28803
29,28935
29,28974
29,28997
29,29270
29,29426
29,29482
29,29549
30,278
30,309
30,320
30,430
30,461
30,726
30,827
30,830
30,911
30,918
30,1165
30,1249
30,1347
30,1422
30,1465
30,1467
30,1473
30,1543
30,1734
30,1908
30,1920
30,1991
30,2007
30,2027
30,2070
30,2103
30,2186
30,2261
30,2264
30,2312
30,2382
30,2471
30,2570
30,2573
30,2595
30,2617
30,2685
30,2793
30,2794
30,2969
30,3003
30,3010
30,3058
30,3144
30,3265
30,3272
30,3374
30,3482
30,3502
30,3747
30,3762
30,3878
30,3895
30,3898
30,3997
30,4027
30,4076
30,4219
30,4265
30,4285
30,4297
30,4473
30,4478
30,4507
30,4550
30,4581
30,4668
30,4767
30,4836
30,4869
30,4891
30,4914
30,4948
30,5057
30,5100
30,5191
30,5201
30,5236
30,5316
30,5389
30,5433
30,5447
30,5673
30,5708
30,5746
30,5855
30,5942
30,5968
30,6133
30,6175
30,6258
30,6401
30,6590
30,6634
30,6646
30,6710
30,6822
30,6886
30,6915
30,6923
30,6991
30,7014
30,7036
30,7045
30,7218
30,7373
30,7483
30,7525
30,7575
30,7637
30,7641
30,7675
30,7777
30,7782
30,7797
30,7886
30,7938
30,8184
30,8234
30,8237
30,8245
30,8271
30,8373
30,8563
30,8872
30,8908
30,8979
30,9216
30,9254
30,9262
30,9406
30,9435
30,9506
30,9544
30,9562
30,9564
30,9584
30,9595
30,9596
30,9625
30,9630
30,9644
30,9660
30,9661
30,9690
30,9734
30,9771
30,9838
30,9869
30,9935
30,9979
30,10064
30,10087
30,10146
30,10176
30,10254
30,10294
30,10313
30,10369
30,10417
30,10479
30,10511
30,10609
30,10631
30,10757
30,10819
30,10823
30,11009
30,11044
30,11056
30,11089
30,11093
30,11103
30,11149
30,11189
30,11249
30,11357
30,11382
30,11389
30,11412
30,11440
30,11482
30,11503
30,11516
30,11531
30,11575
30,11682
30,11728
30,11738
30,11755
30,11759
30,11767
30,11779
30,11792
30,11856
30,11871
30,11893
30,12096
30,12100
30,12109
30,12160
30,12169
30,12253
30,12284
30,12312
30,12345
30,12346
30,12356
30,12374
30,12530
30,12696
30,12785
30,12886
30,12900
30,12909
30,12976
30,12984
30,13096
30,13190
30,13257
30,13368
30,13405
30,13411
30,13417
30,13598
30,13674
30,13822
30,13842
30,13864
30,13943
30,14049
30,14082
30,14104
30,14262
30,14295
30,14306
30,14433
30,14523
30,14531
30,14551
30,14690
30,14699
30,14820
30,14847
30,14875
30,14925
30,14943
30,14972
30,15154
30,15263
30,15280
30,15420
30,15436
30,15443
30,15651
30,15704
30,15916
30,15925
30,15936
30,16008
30,16032
30,16060
30,16165
30,16546
30,16585
30,16654
30,16673
30,16696
30,16809
30,16823
30,16829
30,16851
30,16935
30,16960
30,16970
30,17021
30,17190
30,17200
30,17249
30,17277
30,17335
30,17345
30,17421
30,17461
30,17533
30,17548
30,17671
30,17681
30,17812
30,17954
30,18039
30,18070
30,18080
30,18126
30,18136
30,18202
30,18358
30,18370
30,18373
30,18383
30,18615
30,18728
30,18833
30,18953
30,18957
30,18962
30,19056
30,19184
30,19233
30,19280
30,19289
30,19440
30,19503
30,19559
30,19664
30,19741
30,19843
30,19924
30,19928
30,20042
30,20049
30,20271
30,20310
30,20332
30,20333
30,20351
30,20383
30,20401
30,20428
30,20497
30,20511
30,20553
30,20628
30,20731
30,20820
30,20838
30,20872
30,20898
30,20900
30,21052
30,21093
30,21165
30,21324
30,21469
30,21470
30,21479
30,21500
30,21506
30,21515
30,21536
30,21634
30,21651
30,21684
30,21697
30,21717
30,21854
30,21882
30,21922
30,21970
30,22052
30,22087
30,22103
30,22210
30,22287
30,22309
30,22343
30,22391
30,22395
30,22446
30,22447
30,22473
30,22686
30,22728
30,22742
30,22761
30,22779
30,22959
30,22985
30,23061
30,23102
30,23198
30,23329
30,23346
30,23476
30,23495
30,23507
30,23546
30,23579
30,23675
30,23708
30,23709
30,23723
