layer,neuron
4,13106
7,1326
7,4784
16,100
16,2236
16,6023
16,13177
16,20820
16,21397
17,9204
17,9903
24,7176
24,16783
24,20457
25,4417
25,17524
26,1155
26,1264
26,2168
26,2931
26,3421
26,3892
26,4311
26,4733
26,5075
26,5147
26,5357
26,6860
26,7223
26,7249
26,9555
26,10395
26,11091
26,12014
26,12064
26,12752
26,13031
26,13754
26,13860
26,15270
26,15847
26,16941
26,17239
26,17243
26,18229
26,19595
26,21443
26,22798
26,22873
26,22913
26,23228
26,23646
26,24465
26,25555
26,26046
26,26529
26,26971
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28820
26,28971
26,29323
27,176
27,312
27,660
27,1869
27,2789
27,3181
27,3300
27,3549
27,3780
27,3859
27,4426
27,4523
27,4603
27,4973
27,5781
27,5998
27,6117
27,6275
27,6390
27,6429
27,6847
27,7572
27,7788
27,8679
27,9347
27,9730
27,9873
27,9969
27,10183
27,10459
27,10857
27,11009
27,11289
27,11663
27,11912
27,12018
27,12051
27,12165
27,12994
27,13062
27,13327
27,13419
27,13604
27,13817
27,13862
27,13951
27,14219
27,14422
27,14466
27,14806
27,14823
27,14829
27,15340
27,15555
27,15573
27,15720
27,15859
27,15902
27,16076
27,17017
27,17329
27,17980
27,18340
27,18397
27,18529
27,18557
27,18777
27,19190
27,19327
27,19389
27,19419
27,19550
27,19967
27,20035
27,20198
27,20225
27,20319
27,20873
27,21029
27,21072
27,21718
27,22036
27,23117
27,23231
27,23244
27,23276
27,23504
27,23620
27,24082
27,24311
27,24581
27,24993
27,26106
27,26572
27,26607
27,26752
27,26930
27,26955
27,27149
27,27174
27,27814
27,27821
27,28003
27,28079
27,28110
27,28169
27,28292
27,28653
27,29102
27,29120
27,29272
28,36
28,281
28,503
28,694
28,1362
28,1475
28,1694
28,1905
28,2176
28,2383
28,2870
28,3068
28,3205
28,3212
28,3241
28,4343
28,4475
28,4501
28,4738
28,4752
28,4828
28,4839
28,5230
28,5351
28,5360
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6139
28,6206
28,6232
28,6386
28,6519
28,6591
28,6777
28,7264
28,7336
28,7467
