layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
16,100
16,818
16,2236
16,5647
16,6023
16,13177
16,20653
16,20820
16,21397
16,26777
17,1972
17,9204
17,9903
20,8130
21,12526
24,7176
24,7826
24,9182
24,16783
24,19625
24,20457
25,1582
25,3059
25,4417
25,8934
25,13480
25,14077
25,16563
25,17524
25,19096
25,20560
25,23966
25,26188
25,26678
25,26701
25,27030
26,915
26,1006
26,1155
26,1264
26,2168
26,2629
26,2931
26,3421
26,3662
26,3794
26,3892
26,4311
26,4598
26,4733
26,5011
26,5075
26,5147
26,5357
26,6860
26,7223
26,7236
26,7249
26,7707
26,8676
26,9555
26,10395
26,11091
26,11601
26,12000
26,12014
26,12064
26,12752
26,13031
26,13754
26,13860
26,14185
26,14194
26,15026
26,15270
26,15847
26,16941
26,17239
26,17243
26,17572
26,18229
26,18430
26,18711
26,19595
26,19841
26,21443
26,21709
26,21868
26,22646
26,22734
26,22798
26,22852
26,22873
26,22913
26,23222
26,23228
26,23238
26,23646
26,23862
26,24228
26,24465
26,24787
26,24798
26,25555
26,26046
26,26231
26,26529
26,26971
26,27327
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28754
26,28778
26,28808
26,28820
26,28971
26,29323
27,67
27,176
27,180
27,189
27,227
27,312
27,660
27,702
27,809
27,882
27,1227
27,1697
27,1737
27,1842
27,1869
27,2218
27,2789
27,3181
27,3281
27,3300
27,3522
27,3549
27,3780
27,3859
27,3890
27,4209
27,4292
27,4426
27,4523
27,4603
27,4723
27,4973
27,5059
27,5514
27,5781
27,5950
27,5969
27,5998
27,6117
27,6275
27,6390
27,6429
27,6847
27,7333
27,7502
27,7509
27,7572
27,7788
27,8679
27,9040
27,9116
27,9201
27,9347
27,9459
27,9730
27,9743
27,9857
27,9873
27,9969
27,10090
27,10183
27,10459
27,10527
27,10555
27,10857
27,10964
27,11009
27,11289
27,11329
27,11663
27,11912
27,12018
27,12051
27,12066
27,12165
27,12934
27,12994
27,13062
27,13327
27,13377
27,13419
27,13573
27,13604
27,13712
27,13817
27,13842
27,13862
27,13887
27,13903
27,13951
27,14219
27,14283
27,14422
27,14466
