layer,neuron
4,13106
7,1326
7,5458
16,100
16,20820
16,21397
17,9903
20,8130
24,3155
24,7176
24,16783
24,20457
25,1781
25,2028
25,4417
25,17524
25,19096
25,29308
26,1155
26,2168
26,2931
26,3662
26,3892
26,5075
26,6860
26,7249
26,13031
26,13069
26,17239
26,22798
26,23646
26,25555
26,26529
26,26971
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
27,176
27,227
27,2460
27,3300
27,3780
27,4523
27,4603
27,6117
27,6275
27,6490
27,7502
27,7572
27,8679
27,9386
27,9857
27,9969
27,10183
27,10459
27,10805
27,11009
27,11289
27,11909
27,12018
27,12994
27,13862
27,13951
27,14219
27,14466
27,14806
27,15340
27,15573
27,15859
27,15902
27,17923
27,18340
27,18909
27,19190
27,19301
27,19967
27,20035
27,20225
27,21029
27,21326
27,21718
27,22036
27,23160
27,23244
27,23620
27,23633
27,24082
27,25778
27,25892
27,26572
27,26607
27,26752
27,26955
27,29272
28,281
28,394
28,613
28,694
28,1362
28,1475
28,1631
28,1890
28,1905
28,2176
28,2305
28,2997
28,3068
28,3176
28,3205
28,3470
28,4752
28,4828
28,5156
28,5360
28,5730
28,5899
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6777
28,7336
28,7503
28,7996
28,8208
28,8528
28,8808
28,8861
28,9002
28,9154
28,9346
28,9449
28,9766
28,9798
28,9904
28,10232
28,10967
28,11045
28,11053
28,11349
28,11418
28,11804
28,11821
28,11861
28,12544
28,12558
28,12723
28,13328
28,13713
28,14502
28,14660
28,14668
28,15474
28,15715
28,16449
28,16515
28,16516
28,16573
28,17956
28,18121
28,18253
28,18260
28,18400
28,18566
28,18813
28,19093
28,19105
28,19194
28,19704
28,20030
28,20274
28,20475
28,20891
28,20899
28,20913
28,22025
28,22423
28,22807
28,23649
28,23817
28,23918
28,23934
28,24002
28,24548
28,24941
28,25377
28,25535
28,26108
28,26494
28,26720
28,27090
28,27312
28,28233
28,28443
28,29164
29,221
29,536
29,607
29,609
29,642
29,813
29,971
29,1044
29,1063
29,1265
29,1292
29,1478
29,1541
29,1736
29,1960
29,2074
29,2086
29,2245
