layer,neuron
7,1326
7,4784
7,5458
16,100
16,21397
24,3477
24,7176
24,7677
24,16783
24,22875
24,29310
25,86
25,4417
25,10287
25,11386
25,17524
25,18953
25,25655
25,26188
26,1530
26,2168
26,2931
26,3421
26,3639
26,3892
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,11091
26,11632
26,12000
26,13754
26,14352
26,14505
26,14580
26,14851
26,17239
26,17243
26,17406
26,17907
26,21443
26,21645
26,22873
26,22913
26,23228
26,23646
26,24671
26,26046
26,26529
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
26,29323
27,176
27,180
27,189
27,660
27,686
27,1027
27,1634
27,1880
27,1944
27,2460
27,2810
27,3055
27,3300
27,3437
27,3780
27,3793
27,4220
27,4603
27,5067
27,5573
27,5651
27,5928
27,6117
27,6275
27,7291
27,7405
27,7502
27,7572
27,8679
27,8892
27,9347
27,9730
27,9895
27,9941
27,9969
27,10090
27,10183
27,10459
27,10666
27,11009
27,11289
27,11329
27,12018
27,12051
27,12331
27,12736
27,12994
27,13100
27,13327
27,13377
27,13604
27,13634
27,13792
27,13903
27,14219
27,14466
27,14812
27,14944
27,15328
27,15340
27,15555
27,15902
27,16076
27,17980
27,18238
27,18607
27,19190
27,19419
27,19550
27,19559
27,19967
27,20035
27,20319
27,20705
27,20868
27,21029
27,21208
27,21326
27,21718
27,21766
27,22036
27,22677
27,23160
27,23620
27,23936
27,24311
27,24506
27,24581
27,25892
27,26038
27,26752
27,26936
27,26955
27,27470
27,27683
27,27821
27,28003
27,28079
27,28171
27,28955
27,29137
27,29272
27,29432
28,146
28,369
28,1369
28,1714
28,1905
28,2305
28,2383
28,2825
28,3068
28,3176
28,3470
28,4475
28,4738
28,4752
28,4771
28,4828
28,5012
28,5156
28,5351
28,5899
28,6102
28,6105
28,6126
28,6139
28,6386
28,6519
28,6777
28,6893
28,7336
28,7503
28,7902
28,8059
28,8078
28,8170
28,8208
28,8220
28,8476
28,8528
28,8808
28,8861
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10120
28,10232
28,10693
28,10823
28,10980
28,11263
28,11349
28,11418
28,11509
28,11804
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,13059
28,13315
28,13660
28,13681
28,13713
28,13791
28,14123
28,14668
28,15474
28,15715
28,15840
28,16516
28,16548
28,17037
28,17368
28,17709
28,18253
28,18260
28,18268
28,18658
28,18813
28,19093
28,19105
28,19194
28,19208
28,20003
28,20005
28,20030
28,20127
28,20274
28,20309
28,20475
28,20899
28,21379
28,22025
28,22752
28,22807
28,23364
28,23416
28,23649
28,23817
28,23918
28,23934
28,24002
28,24188
28,24548
28,24941
28,25096
28,25377
28,25470
28,25849
28,26494
28,26668
28,26720
28,26929
28,27172
28,27175
28,27482
28,27556
28,28140
28,28233
28,28265
28,28286
28,28443
28,28520
28,28579
28,28774
28,29304
29,105
29,221
29,347
29,536
29,607
29,609
29,664
29,791
29,813
29,1044
29,1051
29,1063
29,1478
29,1541
29,1644
29,1753
29,1788
29,1945
29,2074
29,2086
29,2245
29,2326
29,2347
29,2383
29,2472
29,2474
29,2573
29,2743
29,3243
29,3255
29,3291
29,3343
29,3382
29,3397
29,3407
29,3555
29,3594
29,3822
29,3860
29,3934
29,4053
29,4104
29,4157
29,4209
29,4438
29,4518
29,4523
29,4542
29,4632
29,4831
29,5016
29,5119
29,5236
29,5307
29,5348
29,5363
29,5379
29,5406
29,5554
29,5563
29,5616
29,5674
29,5676
29,5722
29,5831
29,5908
29,6080
29,6094
29,6142
29,6249
29,6349
29,6454
29,6550
29,6792
29,6895
29,7049
29,7050
29,7320
29,7477
29,7547
29,7640
29,7658
29,7769
29,7905
29,7917
29,7965
29,8118
29,8188
29,8224
29,8253
29,8298
29,8395
29,8422
29,8470
29,8478
29,8594
29,8738
29,8743
29,8926
29,8941
29,8998
29,9048
29,9051
29,9161
29,9283
29,9581
29,9693
29,9786
29,9829
29,9862
29,9873
29,10020
29,10068
29,10228
29,10325
29,10447
29,10498
29,10571
29,10688
29,10698
29,10777
29,11027
29,11107
29,11204
29,11491
29,11641
29,11726
29,11809
29,11828
29,11859
29,11880
29,11889
29,11904
29,12002
29,12142
29,12502
29,12660
29,13031
29,13050
29,13063
29,13120
29,13140
29,13324
29,13712
29,13722
29,13726
29,13786
29,13855
29,13874
29,13960
29,14220
29,14545
29,14623
29,14664
29,14741
29,14818
29,14877
29,15123
29,15279
29,15527
29,15636
29,15697
29,15711
29,15747
29,15915
29,16168
29,16398
29,16498
29,16547
29,16787
29,16934
29,16943
29,17029
29,17082
29,17271
29,17563
29,17654
29,17678
29,17788
29,17800
29,17821
29,17899
29,17911
29,17951
29,18003
29,18160
29,18188
29,18470
29,18505
29,18544
29,18557
29,18677
29,18729
29,18803
29,18866
29,19005
29,19024
29,19151
29,19154
29,19226
29,19227
29,19296
29,19353
29,19410
29,19496
29,19531
29,19558
29,19679
29,19733
29,19769
29,19884
29,19895
29,20115
29,20117
29,20394
29,20404
29,20504
29,20578
29,20647
29,20858
29,20870
29,20918
29,20931
29,20941
29,20975
29,21097
29,21311
29,21394
29,21422
29,21541
29,21623
29,21659
29,21682
29,21751
29,21927
29,22148
29,22166
29,22246
29,22482
29,22518
29,22550
29,22571
29,22656
29,22798
29,22896
29,22947
29,23091
29,23249
29,23600
29,23609
29,23619
29,23706
29,23819
29,24018
29,24252
29,24447
29,24505
29,24520
29,24543
29,24649
29,24835
29,25078
29,25094
29,25129
29,25253
29,25516
29,25596
29,25611
29,25623
29,26079
29,26182
29,26303
29,26506
29,26535
29,26640
29,27374
29,27564
29,27668
29,27920
29,27937
29,28050
29,28070
29,28167
29,28198
29,28235
29,28428
29,28514
29,28524
29,28658
29,28672
29,28935
29,28997
29,29041
29,29270
29,29317
29,29426
29,29549
30,278
30,328
30,430
30,461
30,726
30,827
30,876
30,911
30,918
30,999
30,1165
30,1379
30,1422
30,1467
30,1473
30,1543
30,1592
30,1644
30,1734
30,1736
30,1810
30,1817
30,1908
30,1915
30,1920
30,1945
30,1968
30,1991
30,1994
30,2027
30,2186
30,2209
30,2264
30,2278
30,2312
30,2382
30,2468
30,2471
30,2556
30,2570
30,2573
30,2608
30,2617
30,2641
30,2684
30,2793
30,2877
30,2915
30,2997
30,3003
30,3010
30,3040
30,3172
30,3242
30,3374
30,3654
30,3674
30,3678
30,3742
30,3762
30,3878
30,3895
30,3997
30,4027
30,4076
30,4210
30,4219
30,4247
30,4285
30,4297
30,4473
30,4478
30,4504
30,4507
30,4550
30,4581
30,4582
30,4668
30,4808
30,4836
30,4914
30,4948
30,4981
30,5052
30,5057
30,5066
30,5071
30,5100
30,5149
30,5236
30,5285
30,5316
30,5407
30,5641
30,5645
30,5673
30,5708
30,5850
30,5855
30,5906
30,5942
30,5968
30,6175
30,6182
30,6246
30,6258
30,6296
30,6352
30,6368
30,6437
30,6646
30,6914
30,6915
30,6923
30,6946
30,6991
30,7014
30,7036
30,7053
30,7122
30,7218
30,7373
30,7483
30,7545
30,7575
30,7637
30,7675
30,7698
30,7782
30,7797
30,7886
30,7938
30,8120
30,8164
30,8184
30,8234
30,8237
30,8245
30,8383
30,8430
30,8509
30,8563
30,8603
30,8627
30,8768
30,8771
30,8852
30,8872
30,8876
30,8881
30,8908
30,8979
30,9059
30,9254
30,9506
30,9544
30,9562
30,9596
30,9615
30,9625
30,9638
30,9660
30,9661
30,9690
30,9714
30,9734
30,9838
30,9869
30,9914
30,9979
30,10087
30,10146
30,10176
30,10220
30,10236
30,10277
30,10294
30,10313
30,10417
30,10500
30,10504
30,10511
30,10713
30,10757
30,10808
30,10818
30,10819
30,10823
30,10918
30,10968
30,10991
30,11009
30,11044
30,11056
30,11093
30,11103
30,11149
30,11189
30,11389
30,11412
30,11503
30,11516
30,11531
30,11575
30,11682
30,11731
30,11738
30,11755
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11893
30,12092
30,12168
30,12169
30,12198
30,12253
30,12284
30,12356
30,12374
30,12440
30,12530
30,12581
30,12767
30,12785
30,12837
30,12886
30,12981
30,13229
30,13249
30,13257
30,13332
30,13368
30,13405
30,13411
30,13417
30,13448
30,13530
30,13589
30,13674
30,13742
30,13807
30,13943
30,13952
30,14049
30,14235
30,14295
30,14306
30,14389
30,14409
30,14523
30,14551
30,14570
30,14589
30,14690
30,14781
30,14847
30,14961
30,15001
30,15150
30,15194
30,15220
30,15255
30,15263
30,15270
30,15280
30,15339
30,15399
30,15436
30,15443
30,15611
30,15658
30,15704
30,15916
30,15925
30,15936
30,16008
30,16060
30,16165
30,16181
30,16244
30,16546
30,16598
30,16604
30,16654
30,16659
30,16668
30,16673
30,16696
30,16823
30,16829
30,16935
30,17037
30,17044
30,17143
30,17180
30,17200
30,17249
30,17277
30,17335
30,17449
30,17461
30,17475
30,17523
30,17648
30,17671
30,17681
30,17729
30,18067
30,18070
30,18080
30,18136
30,18144
30,18202
30,18274
30,18278
30,18383
30,18428
30,18515
30,18607
30,18610
30,18615
30,18767
30,18820
30,18833
30,18953
30,18957
30,18962
30,19017
30,19042
30,19079
30,19162
30,19184
30,19233
30,19280
30,19289
30,19396
30,19422
30,19440
30,19559
30,19592
30,19664
30,19741
30,19823
30,19843
30,20042
30,20146
30,20264
30,20310
30,20332
30,20383
30,20428
30,20497
30,20511
30,20553
30,20608
30,20623
30,20665
30,20704
30,20731
30,20794
30,20820
30,20828
30,20838
30,20903
30,20983
30,21052
30,21093
30,21107
30,21134
30,21165
30,21227
30,21277
30,21301
30,21311
30,21500
30,21506
30,21515
30,21697
30,21721
30,21738
30,21882
30,21955
30,21970
30,22052
30,22087
30,22103
30,22104
30,22134
30,22203
30,22244
30,22257
30,22287
30,22391
30,22395
30,22462
30,22473
30,22610
30,22740
30,22742
30,22761
30,22779
30,22798
30,22844
30,22851
30,22985
30,23070
30,23102
30,23159
30,23198
30,23329
30,23346
30,23396
30,23411
30,23495
30,23507
30,23546
30,23579
30,23590
30,23708
30,23719
30,23763
30,23776
30,23840
30,23976
30,23978
30,23994
30,24038
30,24127
30,24147
30,24245
30,24253
30,24270
30,24311
30,24409
30,24510
30,24527
30,24570
30,24679
30,24758
30,24781
30,24785
30,24854
30,24976
30,25005
30,25183
30,25208
30,25224
30,25241
30,25247
30,25300
30,25368
30,25370
30,25411
30,25419
30,25454
30,25461
30,25556
30,25593
30,25601
30,25706
30,25717
30,25767
30,25983
30,26055
30,26060
30,26167
30,26208
30,26217
30,26262
30,26283
30,26284
30,26298
30,26311
30,26318
30,26321
30,26328
30,26421
30,26442
30,26457
30,26495
30,26564
30,26592
30,26616
30,26670
30,26746
30,26816
30,26854
30,26875
30,27038
30,27043
30,27051
30,27153
30,27398
30,27415
30,27586
30,27644
30,27645
30,27662
30,27941
30,27948
30,28033
30,28068
30,28155
30,28229
30,28240
30,28294
30,28324
30,28337
30,28365
30,28484
30,28638
30,28650
30,28791
30,28792
30,28796
30,28804
30,28885
30,28899
30,28925
30,28994
30,29009
30,29047
30,29144
30,29151
30,29188
30,29262
30,29308
30,29319
30,29332
30,29335
30,29377
30,29383
30,29401
30,29416
30,29497
31,54
31,69
31,131
31,302
31,310
31,321
31,337
31,341
31,381
31,413
31,490
31,534
31,557
31,695
31,745
31,786
31,881
31,920
31,979
31,1031
31,1066
31,1121
31,1126
31,1145
31,1259
31,1271
31,1295
31,1340
31,1344
31,1381
31,1404
31,1438
31,1443
31,1464
31,1478
31,1490
31,1501
31,1511
31,1535
31,1553
31,1644
31,1647
31,1719
31,1753
31,1947
31,2020
31,2043
31,2089
31,2091
31,2115
31,2159
31,2226
31,2227
31,2249
31,2346
31,2375
31,2444
31,2494
31,2520
31,2543
31,2577
31,2668
31,2708
31,2725
31,2772
31,2790
31,2791
31,2808
31,2821
31,2832
31,2837
31,2873
31,2907
31,2919
31,2921
31,2930
31,3050
31,3073
31,3088
31,3137
31,3186
31,3202
31,3206
31,3273
31,3364
31,3395
31,3424
31,3433
31,3507
31,3577
31,3719
31,3738
31,3756
31,3900
31,3916
31,3961
31,4027
31,4071
31,4085
31,4088
31,4114
31,4186
31,4209
31,4309
31,4356
31,4364
31,4397
31,4430
31,4453
31,4464
31,4478
31,4532
31,4574
31,4658
31,4719
31,4795
31,4808
31,4845
31,4865
31,4883
31,4922
31,5030
31,5071
31,5105
31,5165
31,5230
31,5247
31,5249
31,5283
31,5354
31,5370
31,5377
31,5411
31,5500
31,5509
31,5536
31,5538
31,5541
31,5621
31,5623
31,5743
31,5905
31,5963
31,5977
31,6092
31,6109
31,6145
31,6164
31,6183
31,6216
31,6272
31,6304
31,6307
31,6341
31,6347
31,6366
31,6374
31,6405
31,6447
31,6468
31,6469
31,6479
31,6498
31,6503
31,6519
31,6529
31,6603
31,6625
31,6732
31,6745
31,6773
31,6785
31,6859
31,6966
31,6980
31,7135
31,7279
31,7285
31,7345
31,7381
31,7478
31,7575
31,7576
31,7608
31,7629
31,7665
31,7668
31,7700
31,7784
31,7814
31,7828
31,7849
31,7859
31,7860
31,7868
31,7883
31,7912
31,7921
31,7953
31,7982
31,7989
31,8015
31,8051
31,8092
31,8112
31,8204
31,8232
31,8280
31,8326
31,8327
31,8492
31,8564
31,8577
31,8609
31,8636
31,8670
31,8680
31,8797
31,8833
31,8834
31,8837
31,8885
31,8894
31,8915
31,8931
31,8952
31,9043
31,9079
31,9104
31,9139
31,9157
31,9161
31,9284
31,9306
31,9319
31,9331
31,9365
31,9371
31,9377
31,9431
31,9511
31,9522
31,9567
