layer,neuron
5,793
5,9469
5,11753
5,16089
5,24627
5,28946
7,1326
7,4784
7,5458
15,4080
16,100
16,21397
17,23898
24,3477
24,6482
24,7176
24,7677
24,16783
24,22875
24,23873
24,25783
24,26743
24,29310
25,86
25,4417
25,10287
25,11386
25,14982
25,17524
25,18953
25,25655
25,26188
26,135
26,688
26,1530
26,2168
26,2931
26,3421
26,3639
26,3805
26,3892
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,8020
26,11091
26,11632
26,11912
26,12000
26,13754
26,13899
26,14352
26,14505
26,14580
26,14851
26,15270
26,17239
26,17243
26,17406
26,17907
26,21443
26,21645
26,22873
26,22913
26,23228
26,23332
26,23646
26,24671
26,25392
26,26046
26,26529
26,27246
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
26,29033
26,29323
27,28
27,176
27,180
27,189
27,660
27,686
27,869
27,1027
27,1128
27,1568
27,1634
27,1880
27,1910
27,1944
27,2460
27,2505
27,2810
27,3045
27,3055
27,3181
27,3253
27,3300
27,3437
27,3780
27,3786
27,3793
27,3859
27,4124
27,4148
27,4172
27,4220
27,4243
27,4523
27,4603
27,4678
27,4800
27,4845
27,4905
27,5029
27,5059
27,5067
27,5119
27,5573
27,5624
27,5651
27,5796
27,5928
27,5998
27,6065
27,6117
27,6159
27,6275
27,6390
27,6429
27,6485
27,6546
27,6598
27,6847
27,6952
27,7291
27,7405
27,7502
27,7572
27,7975
27,8373
27,8679
27,8718
27,8751
27,8892
27,9308
27,9335
27,9347
27,9632
27,9662
27,9716
27,9730
27,9895
27,9941
27,9969
27,10090
27,10183
27,10394
27,10459
27,10666
27,10870
27,11009
27,11289
27,11329
27,11559
27,11663
27,11909
27,11912
27,12018
27,12051
27,12224
27,12331
27,12573
27,12736
27,12796
27,12994
27,13100
27,13197
27,13263
27,13319
27,13327
27,13377
27,13449
27,13604
27,13634
27,13792
27,13903
27,13951
27,13963
27,14219
27,14230
27,14466
27,14538
27,14812
27,14829
27,14841
27,14899
27,14944
27,14958
27,15181
27,15246
27,15328
27,15340
27,15555
27,15685
27,15719
27,15859
27,15902
27,16076
27,16216
27,16526
27,16707
27,17185
27,17474
27,17785
27,17923
27,17980
27,18238
27,18278
27,18284
27,18529
27,18607
27,18836
27,19103
27,19190
27,19276
27,19327
27,19419
27,19527
27,19550
27,19559
27,19713
27,19967
27,19998
27,20035
27,20085
27,20133
27,20319
27,20683
27,20705
27,20712
27,20748
27,20831
27,20868
27,21029
27,21208
27,21326
27,21633
27,21718
27,21766
27,22023
27,22036
27,22122
27,22194
27,22655
27,22677
27,23117
27,23160
27,23177
27,23244
27,23276
27,23620
27,23644
27,23747
27,23936
27,24311
27,24321
27,24506
27,24581
27,24874
27,25341
27,25346
27,25682
27,25832
27,25892
27,26038
27,26275
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27153
27,27174
27,27470
27,27637
27,27683
27,27821
27,28003
27,28079
27,28171
27,28653
27,28723
27,28891
27,28955
27,29137
27,29272
27,29432
27,29457
28,146
28,281
28,369
28,433
28,435
28,608
28,1074
28,1158
28,1185
28,1369
28,1428
28,1475
28,1615
28,1714
28,1905
28,2164
28,2305
28,2383
28,2634
28,2697
28,2825
28,2880
28,2931
28,3068
28,3176
28,3212
28,3411
28,3470
28,3475
28,3743
28,4475
28,4521
28,4738
28,4752
28,4771
28,4777
28,4828
28,4839
28,5012
28,5156
28,5230
28,5296
28,5351
28,5562
28,5587
28,5623
28,5629
28,5642
28,5899
28,6102
28,6105
28,6126
28,6139
28,6157
28,6377
28,6386
28,6407
28,6439
28,6519
28,6591
28,6670
28,6777
28,6830
28,6893
28,6960
28,7336
28,7443
28,7503
28,7843
28,7902
28,7996
28,8057
28,8059
28,8078
28,8170
28,8208
28,8220
28,8286
28,8476
28,8528
28,8788
28,8808
28,8861
28,8874
28,8931
28,9002
28,9008
28,9346
28,9434
28,9449
28,9697
28,9766
28,9798
28,9904
28,10117
28,10120
28,10232
28,10693
28,10749
28,10754
28,10823
28,10936
28,10972
28,10980
28,11045
28,11263
28,11349
28,11418
28,11509
28,11560
28,11804
28,11821
28,11861
28,12049
28,12051
28,12544
28,12558
28,12696
28,12723
28,12897
28,13059
28,13306
28,13315
28,13660
28,13681
28,13698
28,13713
28,13719
28,13791
28,14114
28,14123
28,14209
28,14399
28,14493
28,14668
28,14929
28,15465
28,15474
28,15486
28,15597
28,15715
28,15840
28,15881
28,16079
28,16106
28,16516
28,16548
28,16693
28,16840
28,16889
28,16941
28,17018
28,17037
28,17091
28,17159
28,17234
28,17279
28,17368
28,17387
28,17558
28,17591
28,17609
28,17709
28,18121
