layer,neuron
4,13106
5,793
5,2835
5,5225
5,6132
5,9469
5,11555
5,11753
5,16089
5,24328
5,24627
5,28946
7,1326
7,4784
7,5458
7,27871
16,100
16,2236
16,5647
16,20820
16,21397
17,1530
17,1972
17,2233
17,9204
17,9903
17,15360
23,25017
23,25992
24,7176
24,9182
24,15455
24,16783
24,20330
24,20457
24,25783
24,26743
24,29310
25,86
25,1781
25,4417
25,14610
25,14982
25,16675
25,17524
25,24802
25,25655
25,26188
25,28129
25,29308
26,1155
26,1172
26,1264
26,2168
26,2215
26,2931
26,3421
26,3662
26,3796
26,3892
26,4311
26,4465
26,4733
26,5075
26,5147
26,5357
26,5410
26,5786
26,6860
26,7223
26,7225
26,7249
26,7272
26,7707
26,8020
26,8676
26,9093
26,9824
26,11091
26,11632
26,11912
26,12000
26,12064
26,13031
26,13760
26,13899
26,14352
26,14580
26,14851
26,15270
26,16031
26,16141
26,16167
26,16941
26,17239
26,17243
26,17314
26,17538
26,17572
26,17907
26,18756
26,19595
26,19848
26,20506
26,20682
26,21443
26,21729
26,22242
26,22351
26,22798
26,22873
26,22913
26,23228
26,23238
26,23332
26,23646
26,24098
26,24465
26,24670
26,25372
26,25440
26,25498
26,25555
26,26046
26,26123
26,26529
26,27246
26,27327
26,27348
26,27500
26,27932
26,28037
26,28338
26,28425
26,28568
26,28570
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,187
27,276
27,312
27,334
27,534
27,568
27,573
27,660
27,686
27,881
27,920
27,1027
27,1128
27,1494
27,1568
27,1634
27,1869
27,1910
27,2041
27,2218
27,2241
27,2302
27,2359
27,2505
27,2767
27,3045
27,3181
27,3241
27,3253
27,3296
27,3300
27,3420
27,3437
27,3549
27,3780
27,3786
27,3859
27,4124
27,4217
27,4323
27,4523
27,4603
27,4678
27,4726
27,4800
27,4845
27,4905
27,4973
27,4993
27,5029
27,5119
27,5341
27,5615
27,5624
27,5660
27,5781
27,5796
27,5928
27,5969
27,5998
27,6065
27,6117
27,6159
27,6166
27,6275
27,6390
27,6429
27,6446
27,6485
27,6490
27,6546
27,6598
27,6734
27,6847
27,6952
27,7155
27,7291
27,7333
27,7350
27,7502
27,7572
27,7897
27,8005
27,8490
27,8547
27,8604
27,8674
27,8679
27,8751
27,8892
27,9092
27,9185
27,9308
27,9347
27,9361
27,9632
27,9662
27,9716
27,9728
27,9730
27,9732
27,9857
27,9969
27,10086
27,10090
27,10094
27,10183
27,10394
27,10459
27,10857
27,10870
27,10969
27,11009
27,11289
27,11329
27,11663
27,11864
27,11909
27,11912
27,12018
27,12026
27,12051
27,12165
27,12224
27,12421
27,12565
27,12736
27,12796
27,12932
27,12994
27,13062
27,13100
27,13186
27,13197
27,13263
27,13291
27,13327
27,13377
27,13419
27,13604
27,13707
27,13792
27,13862
27,13951
27,13963
27,14219
27,14230
27,14366
27,14422
27,14466
27,14532
27,14806
27,14823
27,14829
27,14942
27,15026
27,15181
27,15218
27,15246
27,15328
27,15340
27,15402
27,15510
27,15555
27,15573
27,15685
27,15719
27,15775
27,15859
27,15902
27,16076
27,16216
27,16266
27,16283
27,16526
27,16844
27,17017
27,17018
27,17185
27,17329
27,17435
27,17474
27,17575
27,17923
27,17980
27,18004
27,18216
27,18238
27,18278
27,18284
27,18286
27,18305
27,18340
27,18397
27,18529
27,18532
27,18574
27,18607
27,18611
27,19103
27,19190
27,19214
27,19276
27,19289
27,19327
27,19378
27,19527
27,19550
27,19559
27,19711
27,19967
27,20035
27,20225
27,20712
27,20748
27,20787
27,20797
27,20831
27,20873
27,20896
27,21073
27,21326
27,21450
27,21451
27,21633
27,21680
27,21718
27,21737
27,21835
27,22036
27,22122
27,22194
27,22519
27,22655
27,22920
27,23117
27,23177
27,23231
27,23244
27,23276
27,23345
27,23504
27,23620
27,23633
27,23644
27,23843
27,23936
27,24082
27,24311
27,24581
27,24874
27,24993
27,25022
27,25341
27,25346
27,25525
27,25641
27,25683
27,25702
27,25828
27,25892
27,26087
27,26558
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27009
27,27138
27,27174
27,27213
27,27272
27,27470
27,27498
27,27637
27,27645
27,27683
27,27814
27,27821
27,28003
27,28079
27,28110
27,28119
27,28169
27,28292
27,28607
27,28653
27,28758
27,28852
27,28985
27,29059
27,29102
27,29120
27,29137
27,29272
27,29457
28,36
28,146
28,191
28,281
28,435
28,503
28,639
28,694
28,796
28,924
28,1052
28,1074
28,1362
28,1448
28,1475
28,1631
28,1694
28,1905
28,2164
28,2176
28,2290
28,2305
28,2383
28,2543
28,2634
28,2697
28,2870
28,2884
28,2931
28,3068
28,3205
28,3212
28,3241
28,3427
28,3475
28,3743
28,3956
28,4043
28,4060
28,4284
28,4329
28,4475
