layer,neuron
4,13106
5,5225
5,24328
7,1326
7,4784
7,5458
7,27871
11,3564
11,29560
16,100
16,818
16,2236
16,5325
16,5647
16,6023
16,10468
16,13177
16,17557
16,20820
16,21397
16,24414
16,26777
17,1972
17,2233
17,6610
17,9204
17,9903
17,12951
17,13722
17,14660
17,15360
17,20875
19,12231
19,22505
20,8130
21,12526
22,20771
23,1026
23,13464
23,25017
24,542
24,3545
24,7176
24,9182
24,13314
24,13502
24,13556
24,15455
24,16783
24,19625
24,20330
24,20457
24,26743
24,27994
24,29310
25,1582
25,1766
25,1781
25,1877
25,2322
25,3059
25,4417
25,5823
25,12698
25,13480
25,14077
25,14982
25,16675
25,17524
25,19096
25,20560
25,20901
25,21491
25,22521
25,23966
25,25655
25,26188
25,26701
25,27316
25,27475
25,28071
25,29308
26,1006
26,1155
26,1264
26,1798
26,2128
26,2168
26,2215
26,2629
26,2931
26,3421
26,3547
26,3662
26,3713
26,4311
26,4465
26,4598
26,4733
26,5075
26,5147
26,5357
26,5410
26,5965
26,6617
26,6860
26,7223
26,7236
26,7249
26,7371
26,7707
26,8676
26,11091
26,11189
26,11617
26,11629
26,11917
26,12000
26,12014
26,12064
26,12369
26,12648
26,13031
26,13760
26,13860
26,13861
26,14194
26,14352
26,14580
26,14851
26,15026
26,15270
26,15532
26,16167
26,16312
26,16941
26,17239
26,17243
26,17538
26,17572
26,18200
26,18229
26,18532
26,18639
26,18711
26,18756
26,18819
26,19238
26,19587
26,19595
26,19841
26,19909
26,20280
26,20711
26,21729
26,22646
26,22734
26,22798
26,22852
26,22873
26,22884
26,22913
26,23222
26,23228
26,23238
26,23375
26,23646
26,23862
26,23895
26,24465
26,24493
26,24670
26,24787
26,24912
26,24959
26,24971
26,25131
26,25372
26,25440
26,25555
26,25851
26,26046
26,26231
26,26297
26,26529
26,26971
26,27026
26,27327
26,27348
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28820
26,28922
26,28971
26,29323
26,29433
27,176
27,180
27,189
27,227
27,304
27,312
27,399
27,643
27,660
27,702
27,809
27,882
27,1027
27,1227
27,1842
27,1869
27,1880
27,2047
27,2218
27,3055
27,3181
27,3246
27,3281
27,3300
27,3549
27,3736
27,3747
27,3780
27,3786
27,3890
27,3982
27,4209
27,4426
27,4523
27,4603
27,4723
27,4973
27,5029
27,5119
27,5224
27,5341
27,5514
27,5715
27,5781
27,5950
27,5969
27,5998
27,6117
27,6166
27,6275
27,6384
27,6390
27,6429
27,6490
27,6598
27,6847
27,6952
27,7291
27,7333
27,7350
27,7502
27,7509
27,7572
27,8679
27,8783
27,8883
27,8898
27,9185
27,9201
27,9248
27,9302
27,9308
27,9347
27,9364
27,9386
27,9662
27,9728
27,9730
27,9743
27,9857
27,9941
27,9969
27,10090
27,10094
27,10183
27,10459
27,10527
27,10555
27,10724
27,10805
27,10857
27,10870
27,10894
27,10964
27,10967
27,11009
27,11289
27,11329
27,11431
27,11569
27,11663
27,11736
27,11909
27,11912
27,11932
27,12018
27,12051
27,12053
27,12162
27,12165
27,12421
27,12439
27,12785
27,12934
27,12994
27,13062
27,13100
27,13186
27,13291
27,13327
27,13356
27,13377
27,13419
27,13511
27,13547
27,13573
27,13604
27,13634
27,13707
27,13712
27,13792
27,13795
27,13862
27,13887
27,13903
27,13951
27,14069
27,14219
27,14283
27,14366
27,14422
27,14466
27,14532
27,14738
27,14806
27,14823
27,14949
