layer,neuron
5,793
5,9469
5,24627
5,28946
7,1326
7,4784
7,5458
7,27871
16,100
16,2236
16,21397
24,7176
24,16783
25,4417
25,11386
25,14982
25,17524
25,19067
25,29308
26,1155
26,1530
26,2168
26,2171
26,2215
26,2931
26,3421
26,4465
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,11632
26,12064
26,13031
26,13899
26,14352
26,14851
26,15270
26,17239
26,17907
26,21729
26,22798
26,22873
26,22884
26,22913
26,23228
26,23332
26,23646
26,25555
26,26529
26,27246
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,660
27,686
27,1027
27,1128
27,1568
27,1634
27,1869
27,1910
27,1944
27,2460
27,2505
27,2767
27,3045
27,3253
27,3300
27,3420
27,3437
27,3780
27,3786
27,3859
27,4124
27,4243
27,4523
27,4603
27,4678
27,4800
27,4845
27,5029
27,5059
27,5067
27,5119
27,5341
27,5781
27,5786
27,5928
27,5998
27,6065
27,6117
27,6159
27,6275
27,6429
27,6485
27,6490
27,6546
27,6734
27,6847
27,6952
27,7291
27,7350
27,7572
27,8679
27,8751
27,9308
27,9335
27,9347
27,9361
27,9632
27,9662
27,9716
27,9730
27,9895
27,9969
27,10090
27,10183
27,10422
27,10459
27,11009
27,11289
27,11909
27,12018
27,12026
27,12051
27,12224
27,12573
27,12796
27,12934
27,12994
27,13062
27,13197
27,13263
27,13319
27,13327
27,13604
27,13634
27,13792
27,13862
27,13903
27,13951
27,13963
27,14219
27,14230
27,14466
27,14829
27,14841
27,14958
27,15181
27,15246
27,15328
27,15340
27,15555
27,15573
27,15685
27,15719
27,15859
27,15902
27,16526
27,17185
27,17923
27,17980
27,18238
27,18278
27,18284
27,18305
27,18529
27,18607
27,18836
27,19103
27,19190
27,19327
27,19389
27,19465
27,19527
27,19550
27,19559
27,19713
27,19967
27,20035
27,20225
27,20748
27,20797
27,20831
27,20868
27,20873
27,21029
27,21326
27,21633
27,21718
27,21766
27,21835
27,22036
27,22122
27,22194
27,22655
27,23117
27,23177
27,23231
27,23244
27,23276
27,23504
27,23533
27,23620
27,23644
27,23936
27,24311
27,24581
27,24874
27,24993
27,25341
27,25346
27,25682
27,25892
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27153
27,27213
27,27637
27,27683
27,27821
27,28003
27,28079
27,28274
27,28653
27,28891
27,28955
27,29137
27,29432
27,29457
28,281
28,369
28,653
28,694
28,1052
28,1362
28,1475
28,1631
28,1905
28,2164
28,2176
28,2290
28,2305
28,2383
28,2697
28,2931
28,3068
28,3205
28,3212
28,3475
28,3743
28,3956
28,4060
28,4329
28,4475
28,4521
28,4752
28,4771
28,4828
28,4839
28,5156
28,5230
28,5253
28,5629
28,5730
28,5735
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6407
28,6519
28,6591
28,6670
28,6830
28,6893
28,6960
28,7336
28,7443
28,7503
28,7766
28,7996
28,8170
28,8208
28,8220
28,8286
28,8420
28,8441
28,8476
28,8528
28,8788
28,8808
28,8845
28,8861
28,8874
28,8931
28,9002
28,9154
28,9346
28,9434
28,9449
28,9697
28,9766
28,9798
28,9904
28,9906
28,10232
28,10749
28,10780
28,10823
28,10887
28,10936
28,10967
28,11263
28,11349
28,11418
28,11567
28,11729
28,11821
28,11861
28,12049
28,12051
28,12544
28,12558
28,12644
28,12723
28,12897
28,13227
28,13306
28,13315
28,13328
28,13698
28,13713
28,13719
28,14114
28,14399
28,14493
28,14668
28,15474
28,15715
28,15840
28,16079
28,16515
28,16516
28,16573
28,16693
28,16840
28,16889
28,17018
28,17091
28,17159
28,17234
28,17387
28,17558
28,17591
28,17654
28,18121
28,18253
28,18260
28,18624
28,18658
28,18813
28,19093
28,19105
28,19194
28,19208
28,19538
28,19766
28,19850
28,20030
28,20143
28,20274
28,20475
28,20555
28,20899
28,21379
28,21939
28,22017
28,22115
28,22423
28,22569
28,22777
28,22797
28,22807
28,23098
28,23336
28,23364
28,23649
28,23688
28,23918
28,23934
28,24002
28,24211
28,24547
28,24548
28,24906
28,24941
28,25013
28,25096
28,25377
28,26016
28,26450
28,26542
28,26668
28,26720
28,26836
28,26929
28,27049
28,27090
28,27168
28,27172
28,27312
28,27482
28,27687
28,27693
28,27851
28,28095
28,28140
28,28233
28,28265
28,28286
28,28443
28,28709
28,28774
28,28839
28,29063
28,29164
28,29304
29,158
29,221
29,262
29,377
29,468
29,536
29,607
29,609
29,642
29,664
29,711
29,791
29,813
29,1044
29,1051
29,1063
29,1285
29,1380
29,1478
29,1541
29,1570
29,1694
29,1753
29,1784
29,1945
