layer,neuron
7,1326
7,2669
7,4784
7,5458
7,27871
16,100
16,20820
16,21397
21,12526
24,7176
24,9182
24,9824
24,16783
24,19625
24,25137
24,29310
25,1781
25,4417
25,11386
25,14982
25,17524
25,19096
25,23966
25,25655
25,26188
25,27475
26,1155
26,1530
26,2168
26,2629
26,2931
26,3421
26,3662
26,4465
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,7707
26,8045
26,11091
26,11629
26,12000
26,13031
26,13754
26,15026
26,17239
26,17538
26,17826
26,17907
26,18711
26,19595
26,21729
26,22798
26,22873
26,22884
26,22913
26,23222
26,23228
26,23646
26,24671
26,24959
26,25555
26,25851
26,26046
26,26231
26,26297
26,26529
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,312
27,660
27,809
27,882
27,1027
27,1634
27,1842
27,2218
27,2460
27,3281
27,3300
27,3780
27,4426
27,4523
27,4603
27,4723
27,4845
27,5059
27,5067
27,5119
27,5573
27,5781
27,5928
27,5998
27,6117
27,6166
27,6275
27,6390
27,6429
27,6490
27,6847
27,7502
27,7572
27,8679
27,9201
27,9308
27,9386
27,9730
27,9743
27,9857
27,9895
27,9969
27,10090
27,10183
27,10459
27,10555
27,10805
27,10964
27,11009
27,11289
27,11329
27,11431
27,11909
27,12018
27,12051
27,12934
27,12994
27,13327
27,13377
27,13419
27,13573
27,13604
27,13634
27,13712
27,13862
27,13903
27,13951
27,14219
27,14466
27,14738
27,15328
27,15340
27,15510
27,15555
27,15573
27,15902
27,15993
27,16076
27,16451
27,16930
27,16958
27,17126
27,17185
27,17923
27,18238
27,18528
27,18529
27,18607
27,18836
27,18949
27,19103
27,19190
27,19299
27,19301
27,19389
27,19403
27,19419
27,19550
27,19590
27,19967
27,20035
27,20319
27,20567
27,20712
27,20868
27,20917
27,21055
27,21326
27,21633
27,21718
27,21766
27,21858
27,21861
27,22036
27,22549
27,22677
27,22791
27,23160
27,23244
27,23504
27,23511
27,23620
27,23936
27,24311
27,24581
27,24993
27,25341
27,25346
27,25702
27,25892
27,26038
27,26366
27,26572
27,26607
27,26752
27,26955
27,27470
27,27683
27,27746
27,27793
27,27821
27,28003
27,28079
27,28110
27,28274
27,28891
27,28955
27,29137
27,29432
28,281
28,369
28,483
28,653
28,694
28,1362
28,1475
28,1631
28,1905
28,2176
28,2305
28,2383
28,2400
28,2817
28,3068
28,3176
28,3205
28,3470
28,3673
28,4060
28,4475
28,4752
28,4771
28,4828
28,5012
28,5156
28,5230
28,5253
28,5274
28,5310
28,5345
28,5493
28,5665
28,5730
28,5786
28,5899
28,6099
28,6102
28,6105
28,6126
28,6139
28,6157
28,6201
28,6386
28,6519
28,6591
28,6670
28,6747
28,6777
28,6830
28,6872
28,7336
28,7420
28,7503
28,7924
28,7996
28,8066
28,8170
28,8208
28,8220
28,8528
28,8808
28,8861
28,8893
28,9002
28,9154
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10232
28,10632
28,10823
28,10936
28,11007
28,11349
28,11418
28,11804
28,11861
28,12049
28,12328
28,12544
28,12558
28,12723
28,12897
28,12910
28,12973
28,13059
28,13315
28,13328
28,13713
28,13983
28,14114
28,14123
28,14576
28,14668
28,15474
28,15715
28,15840
28,16169
28,16380
28,16516
28,17030
28,17091
28,17368
28,18121
28,18253
28,18260
28,18400
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19675
28,19704
28,20030
28,20127
28,20274
28,20475
28,20899
28,21379
28,21939
28,22005
28,22025
28,22423
28,22624
28,22777
28,22807
28,23286
28,23364
28,23416
28,23572
28,23573
28,23649
28,23817
28,23918
28,23934
28,23939
28,23987
28,24002
28,24482
28,24548
28,24941
28,25013
28,25096
28,25377
28,25535
28,25770
28,26494
28,26542
28,26668
28,26720
28,27032
28,27049
28,27090
28,27172
28,27312
28,27482
28,27765
28,28233
28,28286
28,28443
28,28520
28,28774
28,29164
28,29304
28,29503
29,221
29,347
29,501
29,536
29,554
29,607
29,609
29,664
29,757
29,791
29,813
29,1023
29,1044
29,1051
29,1063
29,1271
29,1282
29,1478
29,1541
29,1730
29,1731
29,1745
29,2074
29,2086
29,2110
29,2162
29,2245
29,2325
29,2326
29,2347
29,2376
29,2383
29,2404
29,2567
29,2573
29,2707
29,2743
29,2771
29,2964
29,3083
29,3127
29,3243
29,3255
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3480
29,3555
29,3578
29,3707
29,3822
29,3860
29,3934
29,4053
29,4145
29,4157
29,4195
29,4214
29,4241
29,4301
29,4435
29,4438
29,4518
29,4523
29,4542
29,4677
29,4831
29,5016
29,5106
29,5115
29,5119
29,5172
29,5307
29,5348
29,5363
29,5379
29,5406
29,5494
29,5554
29,5563
29,5616
29,5626
29,5644
29,5674
29,5676
29,5831
29,5856
29,5915
29,5984
29,6029
29,6094
29,6142
29,6249
29,6355
29,6454
29,6496
29,6550
29,6612
29,6677
29,6809
29,6895
29,7027
29,7050
29,7293
29,7368
29,7477
29,7525
29,7547
29,7640
29,7658
29,7769
29,7797
29,7905
29,7917
29,7965
29,8002
29,8026
29,8088
29,8188
29,8224
29,8298
29,8470
29,8478
29,8480
29,8738
29,8825
29,8868
29,8926
29,8941
29,8977
29,8998
29,9048
29,9161
29,9283
29,9386
29,9509
29,9581
29,9596
29,9679
29,9693
29,9696
29,9786
29,9831
29,9873
29,10020
29,10068
29,10185
29,10228
29,10447
29,10483
29,10571
29,10642
29,10688
29,10777
29,11027
29,11107
29,11301
29,11491
29,11572
29,11605
29,11643
29,11664
29,11809
29,11828
29,11889
29,11904
29,12002
29,12142
29,12641
29,12660
29,12813
29,12913
29,13031
29,13050
29,13063
29,13108
29,13120
29,13140
29,13176
29,13297
29,13324
29,13702
29,13712
29,13722
29,13726
29,13768
29,13786
29,13855
29,13874
29,13960
29,14220
29,14298
29,14356
29,14375
29,14423
29,14545
29,14614
29,14623
29,14664
29,14741
29,14755
29,14761
29,14818
29,14923
29,14929
29,14935
29,15123
29,15208
29,15320
29,15328
29,15512
29,15527
29,15636
29,15667
29,15697
29,15711
29,15747
29,15817
29,15830
29,15915
29,15945
29,16398
29,16447
29,16476
29,16498
29,16547
29,16657
29,16759
29,16934
29,16943
29,16950
29,16953
29,17029
29,17082
29,17108
29,17126
29,17183
29,17271
29,17272
29,17410
29,17443
29,17522
29,17563
29,17572
29,17800
29,17899
29,17911
29,17951
29,17954
29,18003
29,18048
29,18160
29,18188
29,18217
29,18234
29,18470
29,18522
29,18557
29,18575
29,18677
29,18729
29,18754
29,18803
29,18890
29,19005
29,19077
29,19099
29,19127
29,19202
29,19226
29,19227
29,19296
29,19353
29,19409
29,19504
29,19600
29,19640
29,19644
29,19679
29,19755
29,19769
29,19884
29,19984
29,20115
29,20117
29,20121
29,20404
29,20504
29,20511
29,20546
29,20578
29,20647
29,20741
29,20870
29,20931
29,20941
29,20947
29,20972
29,20975
29,21097
29,21193
29,21266
29,21270
29,21352
29,21391
29,21394
29,21422
29,21478
29,21541
29,21607
29,21659
29,21682
29,21751
29,21927
29,22095
29,22151
29,22166
29,22246
29,22310
29,22482
29,22550
29,22571
29,22656
29,22798
29,22870
29,22896
29,22924
29,22947
29,22950
29,23024
29,23026
29,23035
29,23091
29,23234
29,23285
29,23478
29,23531
29,23600
29,23609
29,23619
29,23673
29,23706
29,23917
29,24252
29,24301
29,24447
29,24505
29,24520
29,24543
29,24555
29,24558
29,24649
29,24764
29,24835
29,25078
29,25094
29,25129
29,25253
29,25283
29,25466
29,25524
29,25545
29,25596
29,25623
29,25680
29,25698
29,25851
29,26105
29,26154
29,26202
29,26213
29,26224
29,26303
29,26431
29,26506
29,26535
29,26559
29,26640
29,26709
29,26993
29,27002
29,27047
29,27239
29,27411
29,27564
29,27616
29,27636
29,27717
29,27724
29,27920
29,27937
29,28050
29,28070
29,28167
29,28198
29,28289
29,28428
29,28454
29,28514
29,28524
29,28653
29,28658
29,28709
29,28921
29,28935
29,28997
29,29041
29,29270
29,29422
29,29426
29,29544
29,29546
29,29549
29,29560
30,192
30,242
30,320
30,328
30,377
30,412
30,416
30,430
30,461
30,501
30,726
30,809
30,827
30,830
30,911
30,918
30,996
30,999
30,1165
30,1166
30,1347
30,1360
30,1372
30,1379
30,1422
30,1448
30,1465
30,1467
30,1473
30,1485
30,1501
30,1628
30,1644
30,1734
30,1876
30,1889
30,1908
30,1945
30,1958
30,1968
30,1984
30,2012
30,2070
30,2121
30,2147
30,2186
30,2261
30,2264
30,2278
30,2312
30,2382
30,2471
30,2493
30,2501
30,2556
30,2570
30,2573
30,2574
30,2608
30,2617
30,2684
30,2685
30,2697
30,2793
30,2877
30,2880
30,2923
30,2997
30,3003
30,3010
30,3058
30,3094
30,3172
30,3231
30,3265
30,3366
30,3374
30,3379
30,3480
30,3639
30,3654
30,3664
30,3674
30,3692
30,3704
30,3762
30,3767
30,3878
30,3895
30,3904
30,3961
30,3997
30,4027
30,4031
30,4076
30,4128
30,4210
30,4219
30,4247
30,4259
30,4265
30,4456
30,4464
30,4473
30,4477
30,4478
30,4504
30,4507
30,4550
30,4581
30,4628
30,4631
30,4644
30,4645
30,4741
30,4767
30,4836
30,4871
30,4914
30,4948
30,4981
30,5052
30,5057
30,5066
30,5071
30,5100
30,5149
30,5236
30,5243
30,5316
30,5425
30,5447
30,5662
30,5673
30,5704
30,5708
30,5713
30,5850
30,5855
30,5906
30,5942
30,6153
30,6175
30,6181
30,6214
30,6258
30,6352
30,6401
30,6437
30,6456
30,6491
30,6556
30,6590
30,6696
30,6747
30,6912
30,6915
30,6946
30,6991
30,7014
30,7036
30,7053
30,7081
30,7179
30,7210
30,7218
30,7289
30,7299
30,7300
30,7302
30,7373
30,7400
30,7467
30,7483
30,7485
30,7499
30,7502
30,7513
30,7525
30,7545
30,7575
30,7637
30,7649
30,7675
30,7772
30,7797
30,7869
30,7886
30,7914
30,7938
30,7987
30,8164
30,8184
30,8202
30,8234
30,8237
30,8245
30,8274
30,8275
30,8300
30,8379
30,8383
30,8420
30,8430
30,8442
30,8509
30,8563
30,8614
30,8627
30,8658
30,8672
30,8768
30,8852
30,8872
30,8876
30,8908
30,8968
30,8970
30,8979
30,8984
30,8992
30,9085
30,9102
30,9108
30,9172
30,9254
30,9262
30,9342
30,9354
30,9506
30,9544
30,9562
30,9582
30,9584
30,9596
30,9621
30,9625
30,9638
30,9644
30,9660
30,9661
30,9662
30,9690
30,9714
30,9734
30,9770
30,9771
30,9838
30,9843
30,9869
30,9898
30,9914
30,9957
30,9977
30,9979
30,10064
30,10087
30,10146
30,10171
30,10184
30,10253
30,10294
30,10313
30,10322
30,10343
30,10368
30,10417
30,10479
30,10500
30,10511
30,10583
30,10609
30,10757
30,10808
30,10819
30,10823
30,10842
30,10951
30,10968
30,10986
30,11009
30,11015
30,11056
30,11093
30,11103
30,11149
30,11189
30,11248
30,11249
30,11360
30,11389
30,11410
30,11412
30,11440
30,11482
30,11489
30,11503
30,11508
30,11516
30,11531
30,11575
30,11583
30,11682
30,11717
30,11731
30,11738
30,11755
30,11759
30,11767
30,11779
30,11786
30,11792
30,11840
30,11856
30,11893
30,11933
30,11950
30,12004
30,12069
30,12092
30,12096
30,12107
30,12166
30,12168
30,12169
30,12175
30,12198
30,12253
30,12284
30,12345
30,12346
30,12356
30,12374
30,12440
30,12530
30,12581
30,12688
30,12696
30,12837
30,12886
30,12900
30,12981
30,13069
30,13085
30,13088
30,13146
30,13229
30,13232
30,13257
30,13332
30,13362
30,13405
30,13411
30,13417
30,13448
30,13530
30,13586
30,13589
30,13598
30,13654
30,13674
30,13759
30,13807
30,13822
30,13906
30,13943
30,13952
30,14037
30,14038
30,14049
30,14082
30,14094
30,14104
30,14178
30,14235
30,14262
30,14295
30,14306
30,14383
30,14389
30,14409
30,14515
30,14551
30,14662
30,14690
30,14864
30,14943
30,14973
30,15008
30,15064
30,15116
30,15194
30,15220
30,15263
30,15312
30,15326
30,15366
30,15399
30,15436
30,15443
30,15445
30,15447
30,15559
30,15607
30,15611
30,15658
30,15684
30,15733
30,15848
30,15860
30,15890
30,15916
30,15925
30,15936
30,15988
30,16060
30,16093
30,16165
30,16329
30,16546
30,16559
30,16585
30,16598
30,16604
30,16654
30,16659
30,16668
30,16673
30,16681
30,16696
30,16809
30,16829
30,16838
30,16851
30,16935
30,17044
30,17072
30,17143
30,17200
30,17248
30,17249
30,17277
30,17335
30,17345
30,17355
30,17411
30,17416
30,17421
30,17449
30,17461
30,17475
30,17523
30,17548
30,17574
30,17721
30,17779
30,17792
30,17954
30,17987
30,18070
30,18080
30,18131
30,18136
30,18144
30,18202
30,18236
30,18291
30,18373
30,18383
30,18515
30,18567
30,18607
30,18609
30,18615
30,18719
30,18728
30,18767
30,18820
30,18833
30,18930
30,18953
30,18957
30,18962
30,19042
30,19131
30,19138
30,19162
30,19184
30,19226
30,19239
30,19280
30,19289
30,19375
30,19396
30,19422
30,19470
30,19503
30,19559
30,19592
30,19639
30,19664
30,19691
30,19702
30,19720
30,19741
30,19823
30,19892
30,19928
30,20042
30,20067
30,20224
30,20327
30,20332
30,20383
30,20394
30,20418
30,20428
30,20439
30,20497
30,20511
30,20566
30,20608
30,20632
30,20665
30,20704
30,20731
30,20794
30,20804
30,20820
30,20838
30,20872
30,20907
30,20971
30,20983
30,21075
30,21093
30,21108
30,21165
30,21166
30,21169
30,21227
30,21277
30,21301
30,21311
30,21312
30,21324
30,21363
30,21452
30,21469
30,21476
30,21506
30,21515
30,21553
30,21697
30,21721
30,21738
30,21815
30,21817
30,21824
30,21882
30,21886
30,21888
30,21955
30,21970
30,21973
30,22001
30,22049
30,22053
30,22082
30,22103
30,22104
30,22121
30,22134
30,22138
30,22210
30,22212
30,22244
30,22257
30,22287
30,22300
30,22343
30,22361
30,22381
30,22391
30,22402
30,22440
30,22446
30,22462
30,22473
30,22479
30,22659
30,22686
30,22742
30,22761
30,22779
30,22798
30,22844
30,22877
30,22896
30,22903
30,22904
30,22959
30,22985
30,23037
30,23100
30,23102
30,23156
30,23198
30,23267
