layer,neuron
4,13106
7,1326
7,5458
16,20820
16,21397
24,7176
24,9182
24,13556
24,16783
24,22875
24,29310
25,1781
25,2322
25,4417
25,10287
25,10360
25,11386
25,11515
25,17524
25,18953
25,23966
25,25655
25,26188
26,135
26,1155
26,2128
26,2168
26,2629
26,2931
26,3421
26,3547
26,3662
26,3892
26,4978
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,8045
26,10981
26,11091
26,12000
26,12014
26,13754
26,14352
26,14505
26,16680
26,16941
26,17243
26,17907
26,18711
26,19238
26,19841
26,21645
26,21729
26,22873
26,22913
26,23222
26,23228
26,23646
26,24671
26,25712
26,25851
26,26046
26,26297
26,26529
26,27327
26,27500
26,27626
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28808
26,28971
26,29323
27,87
27,176
27,180
27,660
27,869
27,882
27,1128
27,1289
27,1820
27,1842
27,1944
27,2267
27,2460
27,3045
27,3055
27,3107
27,3158
27,3246
27,3281
27,3300
27,3780
27,3786
27,3793
27,3859
27,3890
27,3909
27,4047
27,4148
27,4220
27,4426
27,4603
27,4892
27,4903
27,5029
27,5119
27,5224
27,5230
27,5478
27,5651
27,5750
27,5781
27,5928
27,5950
27,5969
27,6013
27,6065
27,6117
27,6275
27,6384
27,6847
27,6952
27,7291
27,7333
27,7405
27,7572
27,7884
27,8373
27,8679
27,8892
27,8983
27,9185
27,9347
27,9386
27,9730
27,9895
27,9941
27,9969
27,10090
27,10094
27,10099
27,10183
27,10281
27,10555
27,10666
27,10870
27,10964
27,11009
27,11090
27,11289
27,11329
27,11431
27,12018
27,12051
27,12165
27,12331
27,12439
27,12708
27,12934
27,13100
27,13120
27,13327
27,13377
27,13419
27,13449
27,13495
27,13573
27,13604
27,13634
27,13707
27,13712
27,13792
27,13862
27,13903
27,14106
27,14219
27,14466
27,14738
27,14899
27,15328
27,15340
27,15510
27,15525
27,15555
27,15720
27,15882
27,15902
27,15993
27,16076
27,16451
27,16707
27,17293
27,17474
27,17528
27,17552
27,17759
27,17785
27,18238
27,18529
27,18607
27,18836
27,18949
27,19190
27,19299
27,19389
27,19403
27,19419
27,19550
27,19559
