layer,neuron
5,793
5,19916
5,24627
5,28946
7,1326
16,2236
16,6023
16,21397
23,25992
24,7176
24,7570
24,13809
24,14707
24,14708
24,15455
24,23873
24,25027
24,25039
24,25137
24,26743
25,1781
25,4417
25,10287
25,11386
25,14962
25,14982
25,16431
25,17524
25,18953
25,21467
25,26733
25,28129
26,688
26,1155
26,1530
26,2168
26,2171
26,2215
26,3805
26,3892
26,4465
26,4733
26,5075
26,5147
26,5247
26,5410
26,5786
26,6860
26,6960
26,7249
26,8020
26,9093
26,9721
26,10346
26,10395
26,11091
26,11779
26,12000
26,13899
26,14185
26,14352
26,14851
26,15270
26,15338
26,15945
26,16031
26,16740
26,17239
26,17243
26,17366
26,17406
26,17907
26,18711
26,19848
26,20682
26,22162
26,22873
26,22913
26,23228
26,23332
26,23646
26,24004
26,24670
26,25440
26,26529
26,26675
26,27094
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
26,29323
27,176
27,180
27,568
27,573
27,660
27,686
27,702
27,795
27,869
27,904
27,1027
27,1128
27,1294
27,1568
27,1634
27,1910
27,1944
27,1983
27,2267
27,3045
27,3253
27,3296
27,3437
27,3780
27,3786
27,3859
27,4047
27,4124
27,4243
27,4603
27,4678
27,4800
27,4845
27,5029
27,5059
27,5119
27,5341
27,5459
27,5473
27,5651
27,5781
27,5796
27,5928
27,5998
27,6065
27,6117
27,6159
27,6166
27,6180
27,6275
27,6390
27,6429
27,6485
27,6490
27,6546
27,6598
27,6847
27,6869
27,7291
27,7350
27,7405
27,7572
27,7975
27,8339
27,8641
27,8679
27,8751
27,8892
27,9308
27,9335
27,9347
27,9361
27,9632
27,9662
27,9716
27,9730
27,9732
27,9969
27,10183
27,10394
27,10422
27,10459
27,10870
27,11009
27,11289
27,11559
27,11864
27,11912
27,12018
27,12051
27,12224
27,12560
27,12573
27,12736
27,12796
27,12934
27,13197
27,13263
27,13319
27,13327
27,13377
27,13604
27,13634
27,13792
27,13862
27,13903
27,13938
27,13951
27,13963
27,14219
27,14230
27,14366
27,14422
27,14466
27,14538
27,14829
27,14841
27,14899
27,15181
27,15340
27,15402
27,15555
27,15685
27,15719
27,15842
27,16049
27,16076
27,16526
27,16707
27,16844
27,17017
27,17185
27,17293
27,17474
27,17785
27,17923
27,17980
27,18238
27,18278
27,18284
27,18516
27,18529
27,18607
27,18836
27,19190
27,19276
27,19299
27,19327
27,19389
27,19465
27,19550
27,19559
27,19711
27,19824
27,19875
27,19967
27,20035
27,20133
27,20319
27,20578
27,20641
27,20683
27,20712
27,20797
27,20831
27,20868
27,20873
27,21029
27,21326
27,21450
27,21633
27,21718
27,21861
27,22036
27,22122
27,22194
27,23160
27,23177
27,23244
27,23276
27,23533
27,23620
27,23843
27,24082
27,24581
27,24874
27,25341
27,25346
27,25456
27,25596
27,25682
27,26038
27,26607
27,26675
27,26712
27,26752
27,26930
27,26936
27,26955
27,27153
27,27213
27,27470
27,27683
27,27746
27,27821
27,28003
27,28079
27,28169
27,28171
27,28274
27,28723
27,28731
27,28891
27,29137
27,29272
27,29457
28,281
28,369
28,608
28,694
28,1052
28,1362
28,1369
28,1714
28,1752
28,1905
28,2164
28,2176
28,2383
28,2634
28,2697
28,2880
28,2931
28,3057
28,3205
28,3212
28,3475
28,3743
28,4060
28,4329
28,4343
28,4475
28,4501
28,4521
28,4738
28,4752
28,4771
28,4828
28,4839
28,5156
28,5230
28,5302
28,5351
28,5360
28,5562
28,5623
28,5629
28,5642
28,5735
28,5899
28,6102
28,6105
28,6126
28,6139
28,6208
28,6386
28,6429
28,6830
28,6893
28,6908
28,7126
28,7336
28,7443
28,7503
28,7902
28,7996
28,8170
28,8208
28,8220
28,8286
28,8420
28,8476
28,8528
28,8788
28,8808
28,8812
28,8861
28,8874
28,9002
28,9346
28,9354
28,9434
28,9449
28,9639
28,9697
28,9766
28,9790
28,9798
28,9822
28,9878
28,9904
28,9906
28,9932
28,10117
28,10232
28,10590
28,10749
28,10754
28,10823
28,10972
28,11263
28,11349
28,11418
28,11560
28,11795
28,11821
28,11861
28,12049
28,12156
28,12449
28,12558
28,12910
28,13059
28,13306
28,13315
28,13646
28,13660
28,13681
28,13698
28,13713
28,13719
28,14114
28,14493
28,14668
28,15161
28,15474
28,15715
28,16079
28,16173
28,16516
28,16548
28,16587
28,16840
28,17018
28,17091
28,17159
28,17558
28,17591
28,18121
28,18253
28,18260
28,18382
28,18624
28,18658
28,18713
28,18786
28,18800
28,19093
28,19105
28,19194
28,19205
28,19208
28,19501
28,19538
28,19766
28,19790
28,19835
28,20030
28,20127
28,20143
28,20174
28,20274
28,20475
28,20526
28,20555
28,20744
28,20899
28,20914
28,20975
28,21005
28,21055
28,21379
28,21433
28,21583
28,21609
28,22017
28,22797
28,22807
28,23098
28,23336
28,23364
28,23388
28,23534
28,23572
28,23649
28,23796
28,23802
28,23918
28,23934
28,24002
28,24059
28,24121
28,24298
28,24506
28,24548
28,24906
28,24941
28,25050
28,25096
28,25470
28,26450
28,26494
28,26542
28,26668
28,26720
28,26836
28,26929
28,27049
28,27168
28,27172
28,27175
28,27482
28,27687
28,27693
28,28140
28,28233
28,28286
28,28443
28,28520
28,28709
28,28774
28,29063
