layer,neuron
5,793
5,24627
5,28946
7,1326
7,5458
16,100
16,21397
17,9903
24,7176
24,16783
24,24541
24,26743
25,1781
25,4417
25,14982
25,19767
25,24802
25,29308
26,316
26,1155
26,1264
26,1798
26,2168
26,2171
26,3892
26,4384
26,4465
26,4733
26,5075
26,5147
26,5357
26,6860
26,7249
26,9555
26,9681
26,10072
26,10462
26,11632
26,12014
26,13613
26,13860
26,13899
26,14352
26,16031
26,16645
26,17239
26,17243
26,17907
26,19841
26,21404
26,21645
26,22242
26,22798
26,22873
26,22913
26,23228
26,23332
26,23646
26,24098
26,24465
26,24798
26,25440
26,25555
26,26529
26,26675
26,26971
26,27246
26,27500
26,27932
26,28037
26,28081
26,28338
26,28425
26,28570
26,28754
26,29323
27,176
27,180
27,189
27,312
27,686
27,1568
27,1910
27,1983
27,2241
27,2272
27,2302
27,2505
27,3045
27,3300
27,3420
27,3780
27,3786
27,4124
27,4523
27,4603
27,4678
27,4800
27,4845
27,4905
27,5029
27,5119
27,5341
27,5651
27,5781
27,5928
27,5969
27,5998
27,6065
27,6117
27,6159
27,6275
27,6390
27,6485
27,6490
27,6546
27,6734
27,6952
27,7155
27,7291
27,7502
27,7572
27,7660
27,8427
27,8679
27,8817
27,8892
27,9347
27,9361
27,9386
27,9632
27,9662
27,9716
27,9732
27,9857
27,10094
27,10183
27,10394
27,10459
27,10469
27,10802
27,10870
27,11009
27,11289
27,11329
27,11663
27,11909
27,11912
27,12018
27,12026
27,12565
27,12736
27,12994
27,13263
27,13327
27,13377
27,13419
27,13604
27,13634
27,13792
27,13862
27,13951
27,13963
27,14219
27,14466
27,14532
27,14829
27,15246
27,15328
27,15340
27,15402
27,15555
27,15685
27,15859
27,15902
27,16076
27,16266
27,17017
27,17185
27,17435
27,17474
27,17923
27,18216
27,18238
27,18284
27,18607
27,19103
27,19190
27,19276
27,19327
27,19559
27,19967
27,20035
27,20319
27,20712
27,20873
27,21029
27,21326
27,21451
27,21718
27,21835
27,22036
27,22122
27,22194
27,22655
27,23160
27,23231
27,23244
27,23276
27,23620
27,23843
27,24311
27,24581
27,24993
27,25341
27,25346
27,25682
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,27174
27,27278
27,27637
27,28003
27,28079
27,28119
27,28576
27,28653
27,28985
27,29120
27,29137
27,29272
27,29457
28,503
28,694
28,796
28,1052
28,1465
28,1905
28,2164
28,2272
28,2383
28,2697
28,2880
28,3411
28,3470
28,3743
28,4284
28,4329
28,4475
28,4521
28,4752
28,4828
28,5012
28,5156
28,5230
28,5642
28,5899
28,6102
28,6139
28,6386
28,6407
28,6439
28,6591
28,6670
28,6777
28,6830
28,7336
28,7503
28,7942
28,7996
28,8170
28,8208
28,8220
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9346
28,9354
28,9434
28,9449
28,9625
28,9682
28,9697
28,9798
28,9822
28,9904
28,9906
28,10232
28,10823
28,10967
28,11053
28,11175
28,11342
28,11349
28,11418
28,11567
28,11821
28,11861
28,12049
28,12051
28,12544
28,12644
28,12723
28,12931
28,13059
28,13315
28,13328
28,13660
28,13713
28,13977
28,14017
28,14114
28,14399
28,14668
28,15357
28,15474
28,15715
28,16078
28,16079
28,16516
28,16840
28,17018
28,17091
28,17159
28,17591
28,18121
28,18253
28,18260
28,18379
28,18624
28,18658
28,18813
28,19093
28,19105
28,19208
28,19704
28,19790
28,20030
28,20127
28,20274
28,20416
28,20475
28,20659
28,20899
28,20913
28,21308
28,21939
28,22017
28,22423
28,22569
28,22807
28,23098
28,23364
28,23388
28,23572
28,23649
28,23688
28,23817
28,23918
28,23934
28,24002
28,24050
28,24211
28,24548
28,24699
28,24906
28,25117
28,25470
28,26108
28,26450
28,26494
28,26542
28,26720
28,26836
28,26929
28,26943
28,27074
28,27090
28,27312
28,27851
28,28009
28,28033
28,28265
28,28286
28,28740
28,28774
28,28839
28,29063
28,29164
29,51
29,536
29,607
29,609
29,642
29,664
29,695
29,791
29,813
29,971
29,1051
29,1063
29,1541
29,1694
29,1945
29,1960
29,2070
29,2086
29,2145
29,2245
29,2347
29,2376
29,2383
29,2404
29,2474
29,2553
29,2573
29,2743
29,3177
29,3255
29,3268
29,3291
29,3401
29,3407
29,3555
29,3707
29,3822
29,3860
29,4053
29,4088
29,4211
29,4377
29,4518
29,4542
29,4607
29,4678
29,4784
29,4844
29,5016
29,5054
29,5307
29,5332
29,5348
29,5363
29,5406
29,5554
29,5563
29,5568
29,5616
29,5674
29,5676
29,5831
29,6094
29,6142
29,6249
29,6355
29,6454
29,6550
29,6847
29,6895
29,6900
29,6985
29,6987
29,7293
29,7347
29,7477
29,7547
29,7627
29,7640
29,7658
29,7782
29,7905
29,7940
29,8039
29,8253
29,8298
29,8470
29,8478
29,8738
29,8743
29,8926
29,8941
29,8955
29,9037
29,9048
29,9161
29,9243
29,9450
29,9509
29,9542
29,9581
29,9696
29,9873
29,9943
29,9967
29,9998
29,10063
29,10154
29,10175
29,10447
29,10498
29,10571
29,10688
29,10777
29,10919
29,11027
29,11107
29,11286
29,11301
29,11312
29,11426
29,11491
29,11707
29,11736
29,11809
29,11889
29,12301
29,12345
29,12638
29,12660
29,12713
29,13063
29,13086
29,13140
29,13149
29,13324
29,13445
29,13786
29,13960
29,14161
29,14192
29,14220
29,14545
29,14623
29,14664
29,14685
29,14761
29,14818
29,14923
29,14935
29,15047
29,15123
29,15212
29,15275
29,15330
29,15453
29,15550
29,15556
29,15636
29,15697
29,15747
29,15791
29,15915
29,16066
29,16131
29,16170
29,16547
29,16828
29,16934
29,16943
29,17029
29,17082
29,17126
29,17294
29,17410
29,17443
29,17563
29,17654
29,17800
29,17899
29,17951
29,18048
29,18188
29,18217
29,18227
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18729
29,18803
29,18890
29,19226
29,19227
29,19229
29,19296
29,19328
29,19353
29,19401
29,19472
29,19473
29,19496
29,19644
29,19679
29,20115
29,20142
29,20373
29,20404
29,20414
29,20546
29,20578
29,20647
29,20781
29,20870
29,20931
29,20975
29,21097
29,21352
29,21394
29,21478
29,21513
29,21659
29,21682
29,21781
29,21927
29,22069
29,22151
29,22482
29,22518
29,22550
29,22571
29,22896
29,23004
29,23024
29,23091
29,23122
29,23285
29,23600
29,23609
29,23619
29,23706
29,23819
29,23984
29,24154
29,24164
29,24190
29,24252
29,24447
29,24520
29,24543
29,24614
29,24625
29,24649
29,25094
29,25253
29,25343
29,25421
29,25596
29,25623
29,25680
29,25989
29,26182
29,26199
29,26303
29,26431
29,26506
29,26535
29,26559
29,26640
29,26709
29,26779
29,27379
29,27616
29,27737
29,27800
29,27828
29,27920
29,27937
29,27964
29,28050
29,28235
29,28428
29,28653
29,28709
29,28935
29,28974
29,29270
29,29317
29,29426
29,29482
29,29549
30,108
30,138
30,360
30,416
30,430
30,572
30,617
30,726
30,839
30,911
30,918
30,937
30,999
30,1051
30,1176
30,1248
30,1422
30,1467
30,1543
30,1644
30,1675
30,1734
30,1867
30,1908
30,1920
30,1945
30,1994
30,2007
30,2230
30,2261
30,2264
30,2292
30,2319
30,2382
30,2471
30,2528
30,2570
30,2595
30,2673
30,2685
30,2733
30,2793
30,2942
30,2969
30,3010
30,3175
30,3265
30,3272
30,3374
30,3458
30,3502
30,3508
30,3652
30,3709
30,3762
30,3773
30,3888
30,3898
30,3997
30,4027
30,4076
30,4210
30,4219
30,4297
30,4383
30,4410
30,4473
30,4478
30,4550
30,4581
30,4644
30,4668
30,4759
30,4767
30,4836
30,4891
30,4914
30,4948
30,5052
30,5071
30,5191
30,5201
30,5236
30,5291
30,5316
30,5328
30,5340
30,5433
30,5708
30,5850
30,5855
30,5968
30,6133
30,6175
30,6177
30,6182
30,6258
30,6283
30,6401
30,6437
30,6590
30,6611
30,6634
30,6822
30,6915
30,6923
30,6937
30,6990
30,7045
30,7108
30,7218
30,7267
30,7450
30,7452
30,7545
30,7563
30,7575
30,7637
30,7649
30,7675
30,7733
30,7743
30,7886
30,8164
30,8184
30,8234
30,8237
30,8302
30,8383
30,8507
30,8520
30,8563
30,8872
30,8908
30,8979
30,9216
30,9506
30,9544
30,9562
30,9584
30,9596
30,9625
30,9632
30,9660
30,9661
30,9690
30,9709
30,9734
30,9838
30,9869
30,9935
30,9963
30,9979
30,9996
30,10176
30,10275
30,10294
30,10313
30,10366
30,10437
30,10479
30,10500
30,10511
30,10583
30,10713
30,10757
30,10817
30,10819
30,10955
30,10990
30,11015
30,11044
30,11056
30,11093
