layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
16,100
16,5647
16,20820
16,21397
16,24414
20,8130
24,7176
24,9182
24,16783
24,19625
24,20457
24,29310
25,1781
25,4417
25,17524
25,19096
25,23966
25,26188
25,27316
25,29308
26,1006
26,1155
26,1798
26,2168
26,2629
26,2931
26,3421
26,3547
26,3662
26,3892
26,4733
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,7707
26,11091
26,12000
26,12014
26,13031
26,17239
26,17243
26,17538
26,17572
26,18229
26,19595
26,21645
26,21729
26,22798
26,22873
26,22884
26,22913
26,23222
26,23646
26,24787
26,25555
26,25851
26,26046
26,26529
26,26971
26,27019
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28778
26,28820
26,28971
27,176
27,180
27,227
27,304
27,312
27,809
27,1820
27,2218
27,2460
27,3045
27,3281
27,3300
27,3780
27,4426
27,4523
27,4603
27,4723
27,5969
27,6117
27,6275
27,6384
27,6429
27,6490
27,6847
27,6952
27,7333
27,7502
27,7572
27,8679
27,8892
27,9185
27,9201
27,9308
27,9386
27,9730
27,9743
27,9857
27,9969
27,10090
27,10183
27,10459
27,10555
27,10805
27,10857
27,10964
27,11009
27,11289
27,11431
27,12018
27,12605
27,13327
27,13377
27,13419
27,13511
27,13573
27,13604
27,13634
27,13712
27,13862
27,13903
27,13951
27,14219
27,14466
27,14738
27,14806
27,14829
27,15340
27,15510
27,15555
27,15573
27,15859
27,15902
27,15993
27,16076
27,18607
27,18909
27,18949
27,19103
27,19190
27,19301
27,19389
27,19403
27,19967
27,20035
27,20225
27,20319
27,20917
27,21029
27,21055
27,21326
27,21633
27,21718
27,22036
27,22549
27,22677
27,23160
27,23244
27,23504
27,23620
27,23633
27,23936
27,24082
27,24311
27,24347
27,24993
27,25702
27,25714
27,25778
27,25892
27,26299
27,26366
27,26607
27,26752
27,26955
27,27138
27,27683
27,27746
27,27793
27,27821
27,28003
27,28110
27,28955
27,29137
27,29272
27,29540
28,281
28,394
28,503
28,613
28,694
28,1362
28,1465
28,1475
28,1905
28,2176
28,2305
28,2383
28,2400
28,2817
28,3068
28,3075
