layer,neuron
5,793
5,6132
5,9469
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
16,100
16,2236
16,20820
16,21397
17,9903
17,13722
24,2345
24,3477
24,7176
24,7570
24,14707
24,15455
24,16783
24,18087
24,21559
24,22875
24,23873
24,25027
24,25039
24,25783
24,26743
24,29310
25,86
25,1781
25,4417
25,10287
25,11386
25,13676
25,14982
25,17524
25,19067
25,25655
25,26188
25,28129
26,688
26,1155
26,1172
26,1264
26,1530
26,2168
26,2171
26,2215
26,2931
26,3421
26,3547
26,3805
26,3892
26,4465
26,4733
26,5075
26,5147
26,5357
26,5410
26,5786
26,6860
26,7236
26,7249
26,8020
26,8045
26,9093
26,9721
26,10346
26,10926
26,11091
26,11632
26,12014
26,12064
26,13031
26,13733
26,13754
26,13899
26,14352
26,14580
26,14851
26,15270
26,15338
26,16031
26,16137
26,16740
26,17065
26,17130
26,17239
26,17243
26,17406
26,17907
26,17977
26,18200
26,18488
26,18711
26,18756
26,19595
26,19848
26,19853
26,20682
26,21443
26,21645
26,21729
26,22486
26,22798
26,22873
26,22884
26,22913
26,23050
26,23228
26,23332
26,23646
26,24098
26,24670
26,25440
26,25555
26,25851
26,26046
26,26123
26,26529
26,26675
26,27246
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28482
26,28570
26,28626
26,28754
26,28778
26,28971
26,29033
26,29323
27,93
27,176
27,180
27,189
27,334
27,528
27,573
27,660
27,686
27,869
27,1027
27,1128
27,1568
27,1634
27,1657
27,1869
27,1910
27,1944
27,1983
27,2213
27,2218
27,2267
27,2359
27,2460
27,2505
27,2720
27,2767
27,2810
27,3032
27,3045
27,3181
27,3241
27,3252
27,3253
27,3281
27,3300
27,3411
27,3420
27,3437
27,3780
27,3786
27,3859
27,3980
27,4047
27,4124
27,4172
27,4181
27,4220
27,4243
27,4426
27,4501
27,4523
27,4603
27,4628
27,4678
27,4691
27,4723
27,4726
27,4800
27,4845
27,4905
27,4973
27,5029
27,5059
27,5119
27,5341
27,5473
27,5624
27,5651
27,5781
27,5786
27,5796
27,5879
27,5928
27,5998
27,6065
27,6117
27,6159
27,6166
27,6275
27,6384
27,6390
27,6429
27,6446
27,6485
27,6490
27,6546
27,6598
27,6734
27,6847
27,6952
27,7155
27,7291
27,7333
27,7350
27,7405
27,7502
27,7572
27,7897
27,7975
27,8003
27,8005
27,8373
27,8515
27,8679
27,8718
27,8751
27,8892
27,9185
27,9308
27,9335
27,9347
27,9361
27,9632
27,9662
27,9716
27,9728
27,9730
27,9895
27,9969
27,10090
27,10094
27,10183
27,10340
27,10394
27,10422
27,10459
27,10685
27,10802
27,10857
27,10870
27,10969
27,11009
27,11289
27,11329
27,11330
27,11431
27,11864
27,11909
27,11912
27,11967
27,12018
27,12026
27,12051
27,12165
27,12224
27,12421
27,12565
27,12573
27,12736
27,12796
27,12934
27,12994
27,13062
27,13100
27,13197
27,13263
27,13291
27,13319
27,13327
27,13377
27,13419
27,13449
27,13450
27,13547
27,13573
27,13604
27,13634
27,13707
27,13792
27,13862
27,13903
27,13938
27,13951
27,13963
27,14071
27,14219
27,14230
27,14366
27,14466
27,14538
27,14829
27,14841
27,14899
27,14944
27,14958
27,15026
27,15181
27,15218
27,15246
27,15328
27,15340
27,15402
27,15510
27,15525
27,15555
27,15573
27,15685
27,15719
27,15775
27,15859
27,15882
27,15902
27,16076
27,16266
27,16526
27,16707
27,16844
27,17017
27,17185
27,17293
27,17435
27,17474
27,17785
27,17923
27,17980
27,18216
27,18238
27,18278
27,18284
27,18305
27,18529
27,18574
27,18607
27,18611
27,18836
27,18959
27,19103
27,19190
27,19276
27,19299
27,19327
27,19378
27,19419
27,19461
27,19465
27,19527
27,19550
27,19559
27,19647
27,19711
27,19713
27,19742
27,19875
27,19967
27,20035
27,20085
27,20225
27,20278
27,20319
27,20578
27,20641
27,20683
27,20709
27,20712
27,20748
27,20797
27,20831
27,20873
27,20896
27,21029
27,21073
27,21208
27,21326
27,21451
27,21633
27,21718
27,21766
27,21835
27,22017
27,22023
27,22036
27,22122
27,22194
27,22244
27,22655
27,22677
27,22697
27,23117
27,23160
27,23177
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23644
27,23843
27,23936
27,24082
27,24161
27,24311
27,24321
27,24506
27,24581
27,24874
27,24993
27,25022
27,25341
27,25346
27,25525
27,25682
27,25828
27,25842
27,25892
27,26087
27,26275
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27138
27,27153
27,27174
27,27213
27,27272
27,27278
27,27470
27,27498
27,27535
27,27637
27,27683
27,27746
27,27821
27,28003
27,28079
27,28094
27,28110
27,28119
27,28169
27,28171
27,28653
27,28723
27,28758
27,28891
27,28955
27,28985
27,29059
27,29137
27,29272
27,29390
27,29432
27,29457
28,146
28,281
28,369
28,433
28,435
28,608
28,653
28,670
28,694
28,1052
28,1074
28,1204
28,1362
28,1475
28,1631
28,1694
28,1714
28,1905
28,2164
28,2176
28,2256
28,2290
28,2305
28,2383
28,2400
28,2634
28,2697
28,2880
28,2884
28,2931
28,3068
28,3205
28,3212
28,3367
28,3411
28,3743
28,4043
28,4060
28,4284
28,4329
28,4343
28,4475
28,4499
28,4521
28,4556
28,4738
28,4752
28,4771
28,4828
28,4839
28,4857
28,5012
28,5100
28,5156
28,5230
28,5274
28,5360
28,5562
28,5629
28,5642
28,5702
28,5730
28,5735
28,5899
28,6020
28,6099
28,6102
28,6105
28,6126
28,6139
28,6157
28,6208
28,6216
28,6377
28,6385
28,6386
28,6407
28,6439
28,6519
28,6591
28,6670
28,6777
28,6830
28,6893
28,6960
28,7094
28,7126
28,7290
28,7300
28,7336
28,7420
28,7443
28,7503
28,7616
28,7644
28,7766
28,7902
28,7996
28,8059
28,8066
28,8078
28,8093
28,8170
28,8208
