layer,neuron
7,1326
7,4784
7,5458
7,27871
16,100
16,818
16,20820
16,21397
16,24414
17,9903
17,13722
24,3477
24,7176
24,7677
24,9182
24,13314
24,13556
24,16783
24,19625
24,22875
24,25137
24,26743
24,27994
24,29310
25,86
25,1766
25,1781
25,4417
25,10287
25,10360
25,11386
25,11515
25,13480
25,13676
25,14982
25,17524
25,19067
25,19096
25,20560
25,21491
25,22381
25,23966
25,25655
25,26188
25,27030
25,27316
25,27475
26,1155
26,1530
26,1798
26,1901
26,2128
26,2168
26,2171
26,2215
26,2629
26,2931
26,3421
26,3547
26,3662
26,3892
26,4223
26,4465
26,4652
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7236
26,7249
26,7707
26,8045
26,9721
26,11091
26,11601
26,12000
26,12014
26,12064
26,13031
26,13754
26,14352
26,14580
26,14851
26,15026
26,15270
26,15338
26,17239
26,17243
26,17572
26,17826
26,17907
26,18200
26,18401
26,18639
26,18711
26,18756
26,19308
26,19595
26,21443
26,21645
26,21729
26,22162
26,22486
26,22734
26,22798
26,22815
26,22852
26,22873
26,22884
26,22913
26,23222
26,23228
26,23375
26,23646
26,23667
26,23895
26,24671
26,24787
26,24959
26,24971
26,25440
26,25555
26,25851
26,26046
26,26140
26,26297
26,26529
26,26675
26,26971
26,27327
26,27500
26,27932
26,28032
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28808
26,28820
26,28971
26,29323
27,87
27,176
27,180
27,189
27,227
27,312
27,399
27,660
27,686
27,851
27,882
27,1027
27,1128
27,1594
27,1634
27,1657
27,1820
27,1842
27,1869
27,1880
27,2179
27,2218
27,2460
27,2622
27,2810
27,3046
27,3055
27,3246
27,3281
27,3300
27,3437
27,3780
27,3786
27,3890
27,4047
27,4220
27,4243
27,4426
27,4603
27,4723
27,4845
27,4892
27,5029
27,5067
27,5119
27,5224
27,5230
27,5341
27,5573
27,5651
27,5715
27,5750
27,5781
27,5786
27,5796
27,5928
27,5969
27,5998
27,6065
27,6117
27,6159
27,6166
27,6275
27,6384
27,6390
27,6429
27,6490
27,6769
27,6847
27,6952
27,7291
27,7333
27,7405
27,7502
27,7572
27,7975
27,8373
27,8679
27,8892
27,8939
27,9185
27,9201
27,9308
27,9347
27,9386
27,9728
27,9730
27,9743
27,9895
27,9941
27,9969
27,10090
27,10094
27,10183
27,10394
27,10459
27,10555
27,10805
27,10964
27,11009
27,11090
27,11289
27,11329
27,11431
27,11909
27,11912
27,12018
27,12051
27,12165
27,12439
27,12934
27,12994
27,13100
27,13120
27,13291
27,13327
27,13377
27,13389
27,13419
27,13547
27,13573
27,13589
27,13604
27,13634
27,13707
27,13712
27,13792
27,13862
27,13903
27,13938
27,13951
27,14219
27,14283
27,14422
27,14466
27,14738
27,14806
27,14899
27,14944
27,14958
27,15131
27,15328
27,15340
27,15510
27,15525
27,15555
27,15573
27,15720
27,15859
27,15902
27,15993
27,16076
27,16266
27,16451
27,16707
27,16930
27,16958
27,17126
27,17185
27,17293
27,17457
27,17785
27,17923
27,17980
27,18238
27,18284
27,18516
27,18528
27,18607
27,18611
27,18786
27,18836
27,18909
27,18949
27,19103
27,19190
27,19281
27,19299
27,19301
27,19327
27,19389
27,19403
27,19419
27,19550
27,19590
27,19692
27,19742
27,19967
27,20035
27,20225
27,20319
27,20475
27,20683
27,20712
27,20917
27,20980
27,21029
27,21055
27,21073
27,21208
27,21218
27,21326
27,21595
27,21633
27,21718
27,21766
27,21858
27,21861
27,22036
27,22142
27,22194
27,22293
27,22549
27,22677
27,22830
27,22950
27,23147
27,23160
27,23244
27,23276
27,23504
27,23511
27,23620
27,23936
27,24082
27,24311
27,24506
27,24581
27,24993
27,25346
27,25596
27,25702
27,25778
27,25892
27,26038
27,26214
27,26366
27,26474
27,26607
27,26657
27,26752
27,26930
27,26936
27,26955
27,27138
27,27174
27,27470
27,27498
27,27683
27,27746
27,27793
27,27821
27,28003
27,28079
27,28110
27,28169
27,28186
27,28238
27,28274
27,28292
27,28420
27,28653
27,28723
27,28724
27,28852
27,28891
27,28955
27,29059
27,29137
27,29248
27,29272
27,29432
27,29457
28,146
28,281
28,369
28,503
28,608
28,694
28,734
28,1362
28,1475
28,1714
28,1905
28,1983
28,2305
28,2383
28,2400
28,3068
28,3176
28,3205
28,3241
28,3427
28,3470
28,3483
28,3743
28,3807
28,4329
28,4343
28,4475
28,4496
28,4501
28,4738
28,4752
28,4771
28,4828
28,4839
28,5012
28,5156
28,5230
28,5274
28,5310
28,5345
28,5360
28,5493
28,5562
28,5629
28,5665
28,5730
28,5786
28,5899
28,5940
28,6020
28,6067
28,6099
28,6102
28,6105
28,6126
28,6139
28,6157
28,6201
28,6386
28,6407
28,6519
28,6591
28,6670
28,6747
28,6777
28,6830
28,6945
28,7126
28,7336
28,7420
28,7503
28,7902
28,7996
28,8059
28,8066
28,8170
28,8208
28,8220
28,8328
28,8476
28,8528
28,8531
28,8546
28,8555
28,8808
28,8812
28,8861
28,8874
28,8893
28,9002
28,9346
28,9354
28,9449
28,9625
28,9697
28,9707
28,9766
28,9790
28,9798
28,9904
28,10038
28,10087
28,10130
28,10232
28,10621
28,10632
28,10823
28,10936
28,11007
28,11202
28,11349
28,11418
28,11462
28,11552
28,11795
28,11804
28,11821
28,11861
28,12049
28,12203
28,12328
28,12428
28,12437
28,12544
28,12558
28,12723
28,12897
28,12910
28,12973
28,13059
28,13239
28,13246
28,13315
28,13328
28,13660
28,13674
28,13681
28,13713
28,13791
28,13983
28,14114
28,14264
28,14295
28,14502
28,14668
28,15056
28,15126
28,15474
28,15486
28,15621
28,15715
28,15761
28,15840
28,15970
28,16064
28,16169
28,16240
28,16253
28,16380
28,16515
28,16516
28,16573
28,16587
28,16693
28,16925
28,17091
28,17128
28,17159
28,17187
28,17368
28,17646
28,18121
28,18253
28,18260
28,18268
28,18400
28,18479
28,18562
28,18658
28,18713
28,18813
28,19093
28,19105
28,19117
28,19192
28,19194
28,19208
28,19675
28,19704
28,19790
28,20005
28,20030
28,20058
28,20127
28,20143
28,20207
28,20274
28,20309
28,20416
28,20444
28,20475
28,20744
28,20807
28,20899
28,21054
28,21379
28,21583
28,21939
28,22005
28,22025
28,22040
28,22423
28,22624
28,22777
28,22797
28,22807
28,22965
28,23286
28,23364
28,23388
28,23416
28,23572
28,23573
28,23649
28,23802
28,23817
28,23918
28,23934
28,23939
28,23987
28,24002
28,24121
28,24298
28,24482
28,24548
28,24903
28,24941
28,25096
28,25470
28,25533
28,25535
28,25604
28,25709
28,25770
28,25849
28,25889
28,26108
28,26366
28,26389
28,26494
28,26668
28,26720
28,26868
28,26929
28,27032
28,27040
28,27049
28,27090
28,27172
28,27175
28,27200
28,27482
28,27683
28,27693
28,28104
28,28233
28,28245
28,28286
28,28304
28,28443
28,28520
28,28740
28,28774
28,29257
28,29324
28,29503
29,0
29,105
29,221
29,317
29,347
29,359
29,377
29,468
29,489
29,501
29,516
29,536
29,554
29,607
29,609
29,625
29,642
29,654
29,664
29,757
29,778
29,791
29,813
29,971
29,1023
29,1044
29,1051
29,1063
29,1268
29,1271
29,1282
29,1402
29,1446
29,1478
29,1541
29,1644
29,1714
29,1726
29,1731
29,1736
29,1745
29,1753
29,1779
29,1784
29,1787
29,1849
29,1864
29,1945
29,1960
29,2066
29,2074
29,2086
29,2110
29,2162
29,2218
29,2245
29,2309
29,2325
29,2326
29,2347
29,2376
29,2377
29,2383
29,2404
29,2474
29,2492
29,2501
29,2542
29,2567
29,2573
29,2743
29,2771
29,2863
29,2864
29,2979
29,3054
29,3083
29,3146
29,3177
29,3188
29,3243
29,3255
29,3291
29,3343
29,3350
29,3379
29,3382
29,3397
29,3407
29,3478
29,3480
29,3517
29,3555
29,3578
29,3606
29,3703
29,3707
29,3822
29,3835
29,3860
29,3907
29,3934
29,4041
29,4053
29,4104
29,4145
29,4157
29,4195
29,4214
29,4241
29,4285
29,4301
29,4377
29,4438
29,4518
29,4523
29,4542
29,4643
29,4831
29,4951
29,4972
29,4998
29,5016
29,5054
29,5057
29,5106
29,5115
29,5119
29,5172
29,5186
29,5257
29,5287
29,5307
29,5309
29,5328
29,5348
29,5351
29,5363
29,5379
29,5406
29,5494
29,5554
29,5563
29,5616
29,5644
29,5674
29,5676
29,5722
29,5771
29,5831
29,5856
29,5862
29,5908
29,5915
29,6080
29,6094
29,6135
29,6142
29,6249
29,6349
29,6355
29,6454
29,6483
29,6496
29,6550
29,6570
29,6612
29,6677
29,6772
29,6809
29,6859
29,6886
29,6895
29,6900
29,6975
29,7027
29,7049
29,7050
29,7104
29,7293
29,7320
29,7420
29,7470
29,7477
29,7521
29,7524
29,7525
29,7547
29,7634
29,7640
29,7658
29,7769
29,7782
29,7784
29,7797
29,7812
29,7818
29,7852
29,7905
29,7917
29,7965
29,8026
29,8088
29,8118
29,8188
29,8224
29,8230
29,8253
29,8298
29,8395
29,8422
29,8470
29,8478
29,8480
29,8578
29,8594
29,8738
29,8743
29,8783
29,8800
29,8825
29,8868
29,8926
29,8932
29,8941
29,8977
29,8998
29,9037
29,9041
29,9048
29,9085
29,9124
29,9161
29,9283
29,9386
29,9509
29,9524
29,9581
29,9596
29,9679
29,9696
29,9702
29,9724
29,9781
29,9786
29,9829
29,9831
29,9862
29,9873
29,9967
29,9998
29,10020
29,10049
29,10068
29,10091
29,10114
29,10175
29,10185
29,10228
29,10304
29,10325
29,10447
29,10483
29,10498
29,10571
29,10583
29,10642
29,10644
29,10688
29,10777
29,10993
29,11027
29,11107
29,11204
29,11236
29,11301
29,11312
29,11476
29,11491
29,11506
29,11516
29,11528
29,11605
29,11643
29,11664
29,11672
29,11726
29,11736
29,11809
29,11828
29,11859
29,11863
29,11889
29,11904
29,11979
29,12002
29,12037
29,12142
29,12301
29,12502
29,12547
29,12573
29,12626
29,12634
29,12653
29,12660
29,12813
29,12899
29,12913
29,13031
29,13050
29,13063
29,13070
29,13100
29,13120
29,13140
29,13161
29,13176
29,13297
29,13324
29,13355
29,13436
29,13445
29,13649
29,13702
29,13712
29,13720
29,13722
29,13786
29,13804
29,13855
29,13874
29,13885
29,13932
29,13960
29,14125
29,14177
29,14192
29,14220
29,14257
29,14286
29,14298
29,14356
29,14375
29,14409
29,14463
29,14545
29,14614
29,14623
29,14664
29,14741
29,14755
29,14761
29,14818
29,14832
29,14837
29,14877
29,14918
29,14923
29,14929
29,14935
29,15047
29,15123
29,15208
29,15268
29,15279
29,15320
29,15328
29,15432
29,15441
29,15480
29,15512
29,15515
29,15527
29,15534
29,15636
29,15667
29,15697
29,15711
29,15747
29,15800
29,15817
29,15830
29,15839
29,15915
29,15945
29,16066
29,16136
29,16156
29,16168
29,16204
29,16226
29,16284
29,16363
29,16398
29,16447
29,16476
29,16498
29,16547
29,16577
29,16759
29,16934
29,16943
29,16950
29,17029
29,17082
29,17108
29,17162
29,17183
29,17271
29,17272
29,17319
29,17384
29,17410
29,17443
29,17512
29,17522
29,17535
29,17563
29,17572
29,17637
29,17654
29,17788
29,17800
29,17899
29,17911
29,17951
29,17954
29,18003
29,18048
29,18083
29,18097
29,18160
29,18188
29,18194
29,18217
29,18234
29,18293
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18577
29,18631
29,18660
29,18677
29,18729
29,18803
29,18890
29,19005
29,19077
29,19099
29,19116
29,19127
29,19135
29,19151
29,19154
29,19202
29,19215
29,19220
29,19226
29,19227
29,19296
29,19353
29,19374
29,19409
29,19410
29,19429
29,19496
29,19504
29,19523
29,19581
29,19600
29,19633
29,19640
29,19644
29,19664
29,19679
29,19733
29,19755
29,19757
29,19769
29,19884
29,19984
29,20014
29,20115
29,20117
29,20121
29,20140
29,20142
29,20265
29,20367
29,20404
29,20414
29,20504
29,20511
29,20541
29,20578
29,20647
29,20741
29,20821
29,20858
29,20870
29,20931
29,20941
29,20947
29,20972
29,20975
29,21021
29,21097
29,21142
29,21193
29,21212
29,21270
29,21311
29,21352
29,21391
29,21394
29,21402
29,21422
29,21478
29,21539
29,21541
29,21607
29,21623
29,21659
29,21682
29,21719
29,21720
29,21751
29,21924
29,21927
29,22069
29,22095
29,22161
29,22166
29,22246
29,22310
29,22482
29,22518
29,22550
29,22571
29,22579
29,22656
29,22798
29,22814
29,22870
29,22896
29,22947
29,22950
29,23004
29,23024
29,23026
29,23035
29,23087
29,23091
29,23117
29,23234
29,23249
29,23250
29,23285
29,23478
29,23531
29,23552
29,23600
29,23609
29,23619
29,23673
29,23682
29,23706
29,23896
29,23917
29,23974
29,23975
29,24018
29,24164
29,24210
29,24221
29,24232
29,24252
29,24295
29,24301
29,24447
29,24479
29,24505
29,24520
29,24543
29,24555
29,24614
29,24649
29,24663
29,24696
29,24764
29,24835
29,24841
29,24925
29,24929
29,25078
29,25094
29,25129
29,25144
29,25253
29,25274
29,25283
29,25340
29,25345
29,25432
29,25466
29,25483
29,25516
29,25545
29,25570
29,25596
29,25611
29,25623
29,25680
29,25698
29,25739
29,25772
29,25783
29,25851
29,25925
29,25963
29,25988
29,25989
29,26142
29,26154
29,26182
29,26183
29,26202
29,26209
29,26213
29,26224
29,26247
29,26303
29,26365
29,26431
29,26480
29,26494
29,26506
29,26535
29,26546
29,26559
29,26603
29,26627
29,26640
29,26709
29,26711
29,26771
29,26993
29,27002
29,27047
29,27214
29,27238
29,27478
29,27530
29,27564
29,27607
29,27616
29,27636
29,27642
29,27668
29,27724
29,27737
29,27832
29,27902
29,27920
29,27937
29,28007
29,28019
29,28050
29,28070
29,28092
29,28167
29,28198
29,28235
29,28387
