layer,neuron
7,1326
17,13722
25,4417
26,1155
26,2168
26,23646
26,27932
26,28037
27,6275
27,7572
27,10459
27,12018
27,13903
27,15340
27,18607
27,19190
27,19327
27,21718
27,22036
28,1271
28,2383
28,4475
28,4752
28,4771
28,4828
28,6386
28,8528
28,8808
28,9512
28,9697
28,9798
28,9822
28,11349
28,11861
28,12203
28,12723
28,13059
28,14493
28,14668
28,19194
28,21005
28,23918
28,28286
29,536
29,664
29,1044
29,1265
29,1730
29,2743
29,3578
29,3822
29,4195
29,4643
29,5406
29,5626
29,5674
29,5984
29,6142
29,6249
29,6550
29,7050
29,7138
29,7769
29,7797
29,8470
29,8738
29,8825
29,9048
29,9696
29,10164
29,11107
29,11664
29,12131
29,13063
29,13140
29,13722
29,13726
29,13786
29,14623
29,15208
29,15279
29,15409
29,15453
29,15791
29,16950
29,17082
29,17443
29,17563
29,17927
29,17951
29,18470
29,18575
29,18729
29,19226
29,19318
29,19679
29,19769
29,20504
29,20578
29,20741
29,20931
29,21682
29,21751
29,22310
29,22380
29,22550
29,22798
29,22896
29,23091
29,23407
29,23619
29,23706
29,24649
29,25253
29,27564
29,27920
29,28070
29,28428
29,28935
29,29426
30,118
30,320
30,328
30,342
30,557
30,999
30,1132
30,1333
30,1644
30,1734
30,1945
30,2264
30,2629
30,2793
30,3379
30,3895
30,4076
30,4297
30,4407
30,4456
30,4550
30,4581
30,4644
30,4836
30,4914
30,5066
30,5645
30,5708
30,5746
30,5850
30,5993
30,6141
30,6175
30,6258
30,6914
30,6955
30,7525
30,7987
30,8383
30,8563
30,8627
30,9596
30,9661
30,9690
30,9935
30,9979
30,10474
30,10819
30,11189
30,11194
30,11412
30,11516
30,11738
30,11856
30,11922
30,11923
30,12004
30,12096
30,12128
30,12462
30,13417
30,13674
30,13742
30,13943
30,14049
30,14228
30,15443
30,15515
30,15611
30,15916
30,16060
30,17072
30,17234
30,17475
30,18080
30,18136
30,18383
30,18607
30,18609
30,18615
30,18953
30,19042
30,19206
30,19741
30,20418
30,20560
30,20608
30,20704
30,20820
30,20942
30,21500
30,21515
30,21820
30,22053
30,22080
30,22210
30,22212
30,22287
30,22780
30,22798
30,22844
30,22959
30,23303
30,23347
30,23763
30,24253
30,24268
30,24270
30,24309
30,24510
30,24758
30,25095
30,25247
30,25305
30,25370
30,25372
30,25601
30,25706
30,25778
30,26060
30,26167
30,26208
30,26284
30,26369
30,26670
30,26760
30,26875
30,28136
30,28211
30,28501
30,28804
30,28818
30,28899
30,29154
30,29308
30,29319
31,69
31,249
31,332
31,341
31,381
31,410
31,490
31,805
31,979
31,1037
31,1066
31,1135
31,1259
31,1294
31,1295
31,1344
31,1419
31,1511
31,1535
31,1693
31,1753
31,1822
31,1840
31,1891
31,2139
31,2159
31,2543
31,2664
31,2668
31,2725
31,2790
31,2791
31,2808
31,2821
31,2873
31,2921
31,2990
31,3050
31,3177
31,3243
31,3273
31,3364
31,3393
31,3619
31,3756
31,3916
31,4085
31,4136
31,4278
31,4368
31,4464
31,4532
31,4719
31,4922
31,4980
31,5105
31,5236
31,5249
31,5412
31,5492
31,5536
31,5562
31,5963
31,5981
31,6145
31,6165
31,6196
31,6233
31,6250
31,6307
31,6366
31,6395
31,6445
31,6486
31,6503
31,6549
31,6745
