layer,neuron
4,13106
5,793
5,6132
5,9469
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
7,5458
16,100
16,2236
16,5325
16,20820
16,21397
17,9903
17,15360
17,20875
20,8130
22,8054
23,25992
24,3155
24,7176
24,16783
24,20457
24,26743
25,1781
25,4417
25,19096
25,24802
25,29308
26,316
26,1155
26,2168
26,2171
26,2215
26,2931
26,3421
26,3662
26,3796
26,4311
26,4384
26,4465
26,4733
26,5075
26,5147
26,5773
26,6860
26,7249
26,9555
26,11091
26,12000
26,12014
26,12064
26,13031
26,13613
26,13899
26,16031
26,16141
26,17239
26,17243
26,17366
26,22798
26,22873
26,22884
26,22913
26,23228
26,23332
26,23646
26,24670
26,25440
26,25555
26,25573
26,26529
26,26971
26,27246
26,27494
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
26,29383
27,176
27,180
27,312
27,686
27,1568
27,1869
27,1910
27,2218
27,2302
27,2505
27,3420
27,3437
27,3780
27,3786
27,3859
27,4124
27,4523
27,4603
27,4678
27,4800
27,4845
27,5119
27,5341
27,5624
27,5796
27,5928
27,5998
27,6117
27,6275
27,6429
27,6485
27,6490
27,6546
27,6734
27,6847
27,6952
27,7155
27,7291
27,7502
27,7572
27,8005
27,8339
27,8679
27,9248
27,9308
27,9347
27,9386
27,9632
27,9662
27,9857
27,9969
27,10094
27,10183
27,10459
27,10805
27,10857
27,10967
27,11009
27,11289
27,11663
27,11864
27,11909
27,11912
27,12018
27,12026
27,12224
27,12565
27,12796
27,12994
27,13062
27,13263
27,13327
27,13604
27,13707
27,13862
27,13951
27,14219
27,14466
27,14532
27,14829
27,15218
27,15340
27,15510
27,15525
27,15555
27,15573
27,15685
27,15859
27,15902
27,16526
27,17018
27,17185
27,17329
27,17435
27,17474
27,18004
27,18238
27,18284
27,18286
27,18340
27,18607
27,19190
27,19327
27,19378
27,19559
27,19967
27,20035
27,20225
27,20452
27,20748
27,20873
27,21326
27,21633
27,21718
27,21835
27,22036
27,22122
27,22194
27,22920
27,23117
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,24082
27,24581
27,24993
27,25112
27,25346
27,25683
27,26296
27,26572
27,26607
27,26752
27,26930
27,26955
27,27138
27,27213
27,27814
27,28003
27,28119
27,28192
27,28653
27,28985
27,29059
27,29120
27,29137
27,29457
27,29540
28,281
28,613
28,639
28,694
28,1052
28,1362
28,1475
28,1631
28,1763
28,1890
28,1905
28,2164
28,2176
28,2290
28,2305
28,2697
28,2880
28,2997
28,3068
28,3212
28,3411
28,3743
28,3956
28,4284
28,4475
28,4499
28,4521
28,4738
28,4752
28,4828
28,5156
28,5360
28,5642
28,5730
28,5735
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6591
28,6777
28,6830
28,6960
28,7094
28,7126
28,7336
28,7503
28,7615
28,7766
28,7996
28,8170
28,8208
28,8420
28,8528
28,8808
28,8839
28,8861
28,9002
28,9008
28,9346
28,9354
28,9449
28,9697
28,9798
28,9904
28,9906
28,9932
28,10232
28,10749
28,10936
28,10967
28,11045
28,11053
28,11342
28,11349
28,11418
28,11804
28,11821
28,11861
28,12051
28,12493
28,12544
28,12723
28,12897
28,12931
28,13029
28,13306
28,13315
28,13328
28,13713
28,13719
28,14114
28,14399
28,14493
28,14576
28,14668
28,15474
28,15715
28,16079
28,16237
28,16515
28,16516
28,16840
28,17018
28,17091
28,17100
28,17159
28,17279
28,17558
28,17591
28,17644
28,17654
28,17956
28,17968
28,18121
28,18253
28,18260
28,18400
28,18624
28,18658
28,18713
28,18813
28,19093
28,19105
28,19208
28,19704
28,19766
28,19790
28,19835
28,20030
28,20274
28,20416
28,20475
28,20899
28,20913
28,21379
28,21939
28,22017
28,22025
28,22423
28,22462
28,22797
28,22807
28,23098
28,23336
28,23388
28,23572
28,23649
28,23688
28,23802
28,23817
28,23918
28,23934
28,24002
28,24211
28,24547
28,24548
28,24706
28,24941
28,25117
28,25631
28,25889
28,26108
28,26450
28,26494
28,26542
28,26707
28,26716
28,26805
28,26836
28,26929
28,27049
28,27090
28,27312
28,27687
28,27851
28,28233
28,28443
28,28709
28,28774
28,28839
28,29063
28,29164
29,235
29,454
29,500
29,536
29,607
29,609
29,642
29,664
29,695
29,791
29,813
29,971
29,1051
29,1063
29,1265
29,1292
29,1387
29,1478
29,1541
29,1694
29,1945
29,1960
29,1965
29,2066
29,2070
29,2086
29,2110
29,2347
29,2376
29,2404
29,2474
29,2553
29,2573
29,2743
29,3044
29,3202
29,3255
29,3291
29,3343
29,3401
29,3407
29,3578
29,3606
29,3707
29,3759
29,3822
29,3934
29,4053
29,4076
29,4088
29,4145
29,4157
29,4211
29,4301
29,4340
29,4367
29,4377
29,4518
