layer,neuron
7,1326
16,100
16,20820
16,21397
24,3477
24,7176
24,16783
24,26743
24,29310
25,4417
25,10287
25,11386
25,17524
25,18953
25,26188
26,2168
26,2171
26,2931
26,3421
26,3892
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,12000
26,12014
26,13031
26,17239
26,17243
26,17907
26,18711
26,22873
26,22913
26,23222
26,23228
26,23646
26,25555
26,26529
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28778
26,28971
26,29323
27,176
27,180
27,660
27,1027
27,1944
27,2241
27,2460
27,3045
27,3300
27,3780
27,4220
27,4243
27,4603
27,4723
27,4845
27,5059
27,5067
27,5651
27,5928
27,6013
27,6117
27,6275
27,6847
27,7405
27,7572
27,8679
27,8892
27,9347
27,9730
27,9895
27,9969
27,10090
27,10183
27,10459
27,11009
27,11289
27,11329
27,12018
27,12331
27,13327
27,13377
27,13449
27,13604
27,13634
27,13862
27,13903
27,14219
27,14466
27,14899
27,15328
27,15340
27,15555
27,15573
27,15902
27,16076
27,17759
27,17923
27,17980
27,18284
27,18529
27,18607
27,18836
27,19103
27,19190
27,19301
27,19419
27,19550
27,19967
27,20035
27,20225
27,20319
27,20705
27,20712
27,20868
27,21029
27,21208
27,21326
27,21718
27,21766
27,22036
27,23160
27,23244
27,23620
27,23936
27,24581
27,25892
27,26038
27,26607
27,26752
27,26936
27,26955
27,27683
27,27821
27,28003
27,28079
27,28274
27,28891
27,28955
27,29137
27,29272
27,29457
28,146
28,281
28,694
28,1362
28,1631
28,1714
28,1905
28,2305
28,2383
28,3470
28,4475
28,4752
28,4771
28,4828
28,4839
28,5012
28,5156
28,5274
28,5360
28,5629
28,5730
28,5899
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6519
28,6670
28,6830
28,7336
28,7420
28,7503
28,7996
28,8059
28,8170
28,8208
28,8220
28,8476
28,8528
28,8808
28,8812
28,8861
28,8874
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,10232
28,10693
28,10823
28,11007
28,11349
28,11418
28,11861
28,12049
28,12544
28,12558
28,12723
28,12897
28,13059
28,13328
28,13713
28,13791
28,14114
28,14668
28,15474
28,15715
28,16380
28,16515
28,16516
28,17091
28,18121
28,18253
28,18260
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,20030
28,20127
28,20274
28,20475
28,20899
28,21379
28,21939
28,22025
28,22807
28,23364
28,23416
28,23649
28,23918
28,23934
28,24002
28,24548
28,24941
