layer,neuron
5,793
5,9469
5,19916
5,24627
5,28946
7,1326
16,100
16,20820
16,21397
24,3477
24,6482
24,7176
24,7570
24,16783
24,22875
24,23873
24,26743
24,29310
25,86
25,4417
25,10287
25,11386
25,14982
25,17524
25,18953
25,26188
25,28129
26,688
26,2168
26,2171
26,2215
26,2931
26,3421
26,3892
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,11632
26,12000
26,12014
26,13031
26,13754
26,13899
26,14352
26,16031
26,17239
26,17243
26,17406
26,17907
26,18711
26,21443
26,22798
26,22873
26,22913
26,23222
26,23228
26,23646
26,25440
26,25555
26,26529
26,27246
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28778
26,28971
26,29033
26,29323
27,176
27,180
27,528
27,660
27,686
27,1027
27,1128
27,1568
27,1634
27,1869
27,1910
27,1944
27,2241
27,2460
27,2505
27,3045
27,3181
27,3241
27,3253
27,3300
27,3411
27,3437
27,3780
27,3786
27,3859
27,4124
27,4148
27,4220
27,4243
27,4523
27,4603
27,4678
27,4723
27,4800
27,4845
27,5029
27,5059
27,5067
27,5077
27,5119
27,5341
27,5651
27,5796
27,5928
27,5998
27,6013
27,6065
27,6117
27,6159
27,6275
27,6390
27,6429
27,6446
27,6485
27,6546
27,6847
27,6952
27,7008
27,7291
27,7350
27,7405
27,7572
27,7897
27,7975
27,8005
27,8679
27,8892
27,9308
27,9335
27,9347
27,9361
27,9632
27,9662
27,9716
27,9730
27,9895
27,9969
27,10090
27,10183
27,10340
27,10459
27,10666
27,11009
27,11289
27,11329
27,11864
27,11909
27,12018
27,12026
27,12224
27,12331
27,12421
27,12573
27,12736
27,12796
27,12994
27,13062
27,13197
27,13263
27,13327
27,13377
27,13449
27,13604
27,13634
27,13792
27,13862
27,13903
27,13951
27,13963
27,14219
27,14230
27,14466
27,14812
27,14829
27,14841
27,14899
27,14958
27,15181
27,15246
27,15328
27,15340
27,15555
27,15573
27,15685
27,15719
27,15859
27,15902
27,16076
27,16526
27,16707
27,17185
27,17435
27,17474
27,17759
27,17785
27,17923
27,17980
27,18238
27,18278
27,18284
27,18305
27,18529
27,18607
27,18836
27,19103
27,19190
27,19276
27,19301
27,19419
27,19527
27,19550
27,19559
27,19713
27,19875
27,19967
27,20035
27,20225
27,20319
27,20452
27,20705
27,20709
27,20712
27,20748
27,20797
27,20831
27,20868
27,20873
27,21029
27,21208
27,21326
27,21633
27,21718
27,21766
27,21835
27,22017
27,22023
27,22036
27,22122
27,22194
27,22920
27,23160
27,23177
27,23244
27,23276
27,23504
27,23620
27,23644
27,23936
27,24082
27,24161
27,24581
27,24874
27,25341
27,25346
27,25682
27,25832
27,25842
27,25892
27,26038
27,26275
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27138
27,27213
27,27683
27,27821
27,28003
27,28079
27,28274
27,28576
27,28653
27,28723
27,28891
27,28955
27,29059
27,29137
27,29272
27,29457
28,36
28,146
28,281
28,369
28,435
28,608
28,653
28,694
28,1052
28,1074
28,1362
28,1475
28,1631
28,1694
28,1714
28,1905
28,2164
28,2176
28,2305
28,2383
28,2634
28,2697
28,2880
28,3068
28,3212
28,3411
28,3470
28,3475
28,3743
28,4475
28,4521
28,4738
28,4752
28,4771
28,4828
28,4839
28,5012
28,5156
28,5230
28,5274
28,5351
28,5360
28,5562
28,5629
28,5642
28,5730
28,5735
28,5899
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6407
28,6519
28,6591
28,6670
28,6830
28,6893
28,6960
28,7290
28,7336
28,7420
28,7443
28,7503
28,7766
28,7843
28,7902
28,7973
28,7996
28,8059
28,8170
28,8208
28,8220
28,8286
28,8428
28,8476
28,8528
28,8788
28,8808
28,8812
28,8861
28,8874
28,8931
28,9002
28,9346
28,9434
28,9449
28,9625
28,9697
28,9766
28,9798
28,9904
28,9906
28,10117
28,10232
28,10693
28,10749
28,10823
28,10936
28,10980
28,11007
28,11045
28,11058
28,11263
28,11342
28,11349
28,11382
28,11418
28,11560
28,11795
28,11821
28,11861
28,12049
28,12057
28,12449
28,12544
28,12558
28,12723
28,12897
28,12931
28,13059
28,13306
28,13315
28,13328
28,13660
28,13698
28,13713
28,13719
28,13791
28,14114
28,14399
28,14493
28,14668
28,15474
28,15715
28,15966
28,16173
28,16380
28,16515
28,16516
28,16548
28,16693
28,16840
28,17018
28,17037
28,17091
28,17159
28,17234
28,17558
28,17591
28,17654
28,18121
28,18253
28,18260
28,18658
28,18713
28,18786
28,18813
28,18859
28,19093
28,19105
28,19194
28,19208
28,19538
28,19766
28,19835
28,19850
28,20030
28,20127
28,20143
28,20274
