layer,neuron
7,1326
17,13722
26,1155
26,2168
26,2642
26,23646
26,27932
26,28037
27,660
27,5750
27,6275
27,7572
27,12018
27,13862
27,13903
27,15340
27,18607
27,19190
27,19327
27,19389
27,19403
27,20712
27,21633
27,21718
27,22036
28,1271
28,2383
28,4475
28,4752
28,4771
28,4828
28,6386
28,7420
28,8528
28,8808
28,9512
28,9697
28,9798
28,9822
28,11861
28,12723
28,14493
28,14668
28,16516
28,17368
28,19194
28,21005
28,23918
28,26720
28,26929
28,28286
29,536
29,664
29,1044
29,1265
29,1271
29,1730
29,1849
29,2325
29,2743
29,2771
29,3822
29,4167
29,4951
29,5379
29,5406
29,5563
29,5626
29,5674
29,5915
29,5984
29,6142
29,6249
29,6454
29,6550
29,7050
29,7138
29,7710
29,7769
29,7797
29,8298
29,8470
29,8738
29,8825
29,9048
29,9509
29,9696
29,10164
29,11107
29,11664
29,12131
29,13063
29,13140
29,13722
29,13786
29,14298
29,14623
29,14818
29,15047
29,15208
29,15279
29,15328
29,15409
29,15453
29,15527
29,15711
29,16665
29,16950
29,17082
29,17443
29,17563
29,17927
29,17951
29,18575
29,19202
29,19318
29,19679
29,20504
29,20578
29,20741
29,20931
29,21682
29,21751
29,22310
29,22380
29,22550
29,22798
29,22896
29,22950
29,23091
29,23151
29,23600
29,23619
29,23706
29,24252
29,24649
29,25253
29,25524
29,27920
29,28050
29,28070
29,28092
29,28215
29,28387
29,28428
29,28935
29,29426
29,29560
30,118
30,320
30,328
30,342
30,413
30,557
30,827
30,1132
30,1333
30,1644
30,1734
30,1876
30,1908
30,1945
30,2264
30,2468
30,2629
30,2785
30,2968
30,3144
30,3379
30,3480
30,3664
30,3674
30,3762
30,3895
30,4076
30,4265
30,4297
30,4407
30,4456
30,4478
30,4550
30,4581
30,4644
30,4836
30,4914
30,5066
30,5645
30,5662
30,5708
30,5812
30,5850
30,5942
30,5993
30,6175
30,6214
30,6258
30,6352
30,6509
30,6832
30,6912
30,6914
30,7306
30,7538
30,7886
30,7987
30,8383
30,8442
30,8563
30,8627
30,8908
30,9102
30,9596
30,9661
30,9690
30,9770
30,9935
30,9979
30,10043
30,10474
30,10511
30,10757
30,10819
30,10968
30,11093
30,11189
30,11194
30,11389
30,11412
30,11516
30,11738
30,11853
30,11856
30,11873
30,11922
30,11923
30,12004
30,12092
30,12128
30,12462
30,13088
30,13405
30,13417
30,13674
30,13742
30,13943
30,14049
30,14572
30,14926
30,15443
30,15572
30,15611
30,15651
30,15890
30,15916
30,16060
30,16388
30,17072
30,17234
30,17249
30,17475
30,17574
30,18080
30,18097
30,18136
30,18236
30,18383
30,18607
30,18609
30,18610
30,18615
30,18870
30,18953
30,19042
30,19138
30,19184
30,19206
30,19396
30,19470
30,19702
30,19741
30,20332
30,20418
30,20608
30,20704
30,20820
30,20942
30,20971
30,21134
30,21169
30,21500
30,21515
30,21820
30,22053
30,22080
30,22210
30,22212
30,22287
30,22780
30,22844
30,22959
30,23347
30,23649
30,23763
30,23861
30,24253
30,24268
30,24270
30,24309
30,24510
30,24758
30,24784
30,24956
30,25095
30,25183
30,25196
30,25247
30,25300
30,25305
30,25370
30,25372
30,25491
30,25601
30,25706
30,25709
30,25778
30,26060
30,26167
30,26208
30,26284
30,26328
30,26369
30,26670
