layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11555
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
7,4784
7,5458
16,100
16,2236
16,5325
16,5647
16,6023
16,13177
16,20820
16,21397
17,389
17,1530
17,1972
17,9903
17,14660
17,15360
17,20875
20,8130
22,8054
23,1299
23,2471
23,4248
23,15559
23,17956
23,20517
23,25992
24,3155
24,7176
24,11959
24,16783
24,20330
24,20457
25,1781
25,2028
25,4417
25,12698
25,17440
25,19096
25,24802
25,28476
25,29308
26,316
26,1155
26,1342
26,2215
26,2931
26,3421
26,3662
26,4311
26,4384
26,4465
26,6860
26,7707
26,9555
26,10072
26,11631
26,11632
26,12000
26,12014
26,12064
26,13031
26,13069
26,13613
26,13899
26,14851
26,15436
26,16141
26,17239
26,17243
26,17366
26,17538
26,18488
26,19841
26,21993
26,22798
26,22873
26,22913
26,23009
26,23646
26,24557
26,24670
26,25555
26,26971
26,27246
26,27418
26,27494
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,29383
27,176
27,180
27,304
27,312
27,568
27,686
27,1568
27,1869
27,1910
27,2302
27,2505
27,3151
27,3549
27,3780
27,4124
27,4523
27,4603
27,4678
27,4800
27,4845
27,5119
27,5341
27,5624
27,5660
27,5781
27,5928
27,5998
27,6117
27,6159
27,6275
27,6429
27,6485
27,6490
27,6952
27,7155
27,7291
27,7502
27,7572
27,8005
27,8339
27,8679
27,9248
27,9308
27,9347
27,9732
27,9857
27,10094
27,10183
27,10459
27,10805
27,10857
27,10870
27,10967
27,11009
27,11289
27,11663
27,11909
27,11912
27,12018
27,12026
27,12565
27,12736
27,13263
27,13634
27,13707
27,13862
27,13951
27,13963
27,14219
27,14466
27,14532
27,14806
27,14829
27,15218
27,15340
27,15510
27,15555
27,15573
27,15685
27,15859
27,15902
27,16216
27,16526
27,17185
27,17329
27,17435
27,17474
27,17923
27,18238
27,18286
27,18340
27,18607
27,18909
27,19190
27,19289
27,19327
27,19378
27,19559
27,19797
27,19967
27,20035
27,20225
27,20748
27,20873
27,21326
27,21718
27,22036
27,22122
27,22151
27,22194
27,22655
27,22920
27,23231
27,23244
27,23276
27,23620
27,23633
27,24082
27,24581
27,24993
27,25112
27,25341
27,25346
27,25683
27,25719
27,26572
27,26607
27,26752
27,26930
27,27109
27,27138
27,27213
27,27637
27,28003
27,28110
27,28119
27,28192
27,28653
27,28852
27,28985
27,29120
27,29137
27,29272
27,29457
28,36
28,281
28,394
28,503
28,613
28,639
28,694
28,1052
28,1475
28,1828
28,1890
28,1905
28,2164
28,2176
28,2305
28,2697
28,2817
28,2870
28,2931
28,2997
28,3068
28,3205
28,3470
28,3743
28,3956
28,4284
28,4475
28,4499
28,4501
28,4715
28,4738
28,4752
28,4828
28,5156
28,5493
28,5642
28,5735
28,5938
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6591
28,6777
28,6830
28,6944
28,6960
28,7094
28,7336
28,7503
28,7902
28,7996
28,8208
28,8476
28,8528
28,8546
28,8808
28,8861
28,8874
28,8893
28,9002
28,9008
28,9154
28,9279
28,9346
28,9449
28,9682
28,9697
28,9798
28,9904
28,10036
28,10232
28,10749
28,10936
28,10967
28,11045
28,11053
28,11342
28,11349
28,11418
28,11804
28,11821
28,11861
28,12544
28,12558
28,12723
28,12897
28,12931
28,13328
28,13713
28,13719
28,13808
28,14114
28,14257
28,14399
28,14576
28,14668
28,15126
28,15474
28,15715
28,16078
28,16079
28,16237
28,16515
28,16516
28,16840
28,16889
28,17018
28,17091
28,17159
28,17591
28,17956
28,17968
28,18121
28,18253
28,18260
28,18400
28,18658
28,18713
28,19093
28,19105
28,19208
28,19538
28,19704
28,19766
28,19835
28,20030
28,20112
28,20274
28,20416
28,20475
28,20899
28,20913
28,21055
28,21259
28,21939
28,22017
28,22025
28,22326
28,22462
28,22726
28,22777
28,22807
28,23336
28,23364
28,23388
28,23573
28,23649
28,23817
28,23918
28,23934
28,24050
28,24059
28,24211
28,24482
28,24547
28,24548
28,24941
28,25117
28,25409
28,25535
28,26108
28,26450
28,26542
28,26668
28,26716
28,26836
28,26929
28,27049
28,27090
28,27168
28,27312
28,27851
28,27989
28,28033
28,28199
28,28265
28,28443
28,28839
28,29063
28,29067
28,29164
28,29340
29,317
29,454
29,500
29,536
29,609
29,642
29,651
29,664
29,695
29,791
29,813
29,1051
29,1063
29,1248
29,1265
29,1271
29,1285
29,1292
29,1478
29,1541
29,1960
29,1965
29,2066
29,2086
29,2145
29,2245
29,2347
29,2376
29,2404
29,2474
29,2553
29,2573
29,2644
29,2743
29,2847
29,3202
29,3255
29,3291
29,3343
29,3401
29,3407
29,3430
29,3555
29,3578
29,3606
29,3707
29,3759
29,3822
