layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,6023
16,21397
17,9903
17,13722
17,19840
24,2345
24,3611
24,7176
24,7543
24,9182
24,16783
24,18087
24,19625
24,20457
24,24452
24,25137
24,29310
25,1781
25,3059
25,4417
25,4909
25,8852
25,13480
25,14077
25,14982
25,17524
25,19096
25,19571
25,22271
25,22521
25,23966
25,24802
25,25655
25,26188
25,26701
25,27316
25,28189
26,316
26,1006
26,1092
26,1155
26,1264
26,1734
26,1798
26,2128
26,2629
26,2931
26,3421
26,3662
26,3892
26,4598
26,4733
26,5075
26,5147
26,5357
26,5410
26,6860
26,7056
26,7249
26,7707
26,8676
26,9681
26,10160
26,11091
26,11189
26,11617
26,11917
26,12014
26,12064
26,12369
26,12648
26,13031
26,13861
26,14185
26,14194
26,14352
26,14851
26,15898
26,16478
26,16680
26,16740
26,16941
26,17239
26,17243
26,17278
26,17572
26,18532
26,18711
26,19595
26,19864
26,19909
26,19955
26,20711
26,22734
26,22798
26,22852
26,22913
26,23222
26,23228
26,23337
26,23646
26,23862
26,23895
26,24787
26,26231
26,26297
26,26529
26,26675
26,26971
26,27327
26,27500
26,27932
26,28037
26,28266
26,28338
26,28425
26,28570
26,28626
26,28736
26,28754
26,28778
26,28820
26,28971
26,29323
26,29383
26,29433
27,60
27,87
27,176
27,180
27,187
27,189
27,227
27,312
27,399
27,655
27,660
27,702
27,869
27,882
27,1027
27,1594
27,1634
27,1740
27,1820
27,1842
27,2218
27,2505
27,3045
27,3046
27,3246
27,3300
27,3420
27,3549
27,3739
27,3780
27,3890
27,4209
27,4295
27,4299
27,4323
27,4426
27,4523
27,4603
27,4723
27,4910
27,5029
27,5119
27,5224
27,5341
27,5514
27,5771
27,5781
27,5786
27,5892
27,5950
27,5998
27,6013
27,6019
27,6117
27,6166
27,6263
27,6275
27,6384
27,6391
27,6598
27,6734
27,6746
27,6847
27,7040
27,7175
27,7291
27,7333
27,7350
27,7502
27,7509
27,7572
27,7660
27,8547
27,8674
27,8679
27,8892
27,8983
27,9185
27,9201
27,9227
27,9347
27,9386
27,9390
27,9728
27,9730
27,9743
27,9857
27,9969
27,10090
27,10094
27,10170
27,10183
27,10555
27,10805
27,10857
27,10964
27,11009
27,11289
27,11329
27,11431
27,11663
27,11736
27,11909
27,12018
27,12165
27,12439
27,12536
27,12932
27,13100
27,13186
27,13291
27,13327
27,13356
27,13419
27,13573
27,13589
27,13604
27,13707
27,13862
27,13903
27,13951
27,14219
27,14283
27,14422
27,14466
27,14532
27,14738
27,14806
27,14823
27,14949
27,15181
27,15218
27,15230
27,15328
27,15340
27,15510
27,15573
27,15685
27,15775
27,15859
27,15902
27,15993
27,16076
27,16266
27,16930
27,16958
27,17126
27,17293
27,17329
27,17338
27,17435
27,17923
27,18004
27,18177
27,18238
27,18397
27,18516
27,18528
27,18546
27,18574
27,18607
27,18611
27,18909
27,18925
27,18949
27,19103
27,19190
27,19289
27,19299
27,19389
27,19403
27,19419
27,19566
27,19590
27,19669
27,19692
27,19738
27,20035
27,20225
27,20475
27,20625
27,20712
27,20797
27,20873
27,20917
27,20980
27,21055
27,21218
27,21371
27,21633
27,21680
27,21718
27,21911
27,22036
27,22142
27,22194
27,22549
27,22655
27,22677
27,22871
27,22878
27,22988
27,23117
27,23147
27,23231
27,23244
27,23276
27,23504
27,23511
27,23620
27,23633
27,23776
27,23843
27,23936
27,24253
27,24272
27,24311
27,24993
27,25383
27,25596
27,25630
27,25641
27,25683
27,25702
27,25714
27,25778
27,25892
27,26035
27,26289
27,26299
27,26339
27,26366
27,26558
27,26572
27,26607
27,26752
27,27174
27,27350
27,27470
27,27498
27,27645
27,27683
27,27705
27,27746
27,27793
27,27814
27,27821
27,28003
27,28079
27,28110
27,28238
27,28274
27,28292
27,28607
27,28653
27,28724
27,28955
27,29059
27,29137
27,29272
27,29457
27,29540
28,485
28,503
28,694
28,796
28,888
28,1362
28,1465
28,1475
28,1694
28,1905
28,1983
28,2176
28,2245
28,2305
28,2383
28,2400
28,2586
28,2817
28,2870
28,3075
28,3129
28,3205
28,3427
28,3470
28,3669
28,3671
28,3673
28,3743
28,3965
28,4043
28,4187
28,4284
28,4475
28,4738
28,4742
28,4752
28,4771
28,4823
28,4828
28,5230
28,5310
28,5345
28,5523
28,5527
28,5899
28,6020
28,6098
28,6099
28,6102
28,6105
28,6126
28,6132
28,6135
28,6139
28,6201
28,6206
28,6210
28,6277
28,6386
28,6501
28,6519
28,6591
28,6747
28,6777
28,6868
28,7264
28,7290
28,7336
28,7420
28,7467
28,7580
28,7644
28,7661
28,7766
28,7996
28,8066
28,8170
28,8208
28,8220
28,8328
28,8456
28,8528
28,8555
28,8808
28,8861
28,8874
28,8893
28,9002
28,9268
28,9332
28,9346
28,9354
28,9449
28,9625
28,9639
28,9682
28,9697
28,9766
28,9790
28,9798
28,9904
28,9906
28,9911
28,9932
28,10002
28,10030
28,10130
28,10232
28,10693
28,10749
28,10781
28,10823
28,10877
28,10936
28,11045
28,11053
28,11349
28,11418
28,11454
28,11508
28,11552
28,11804
28,11821
28,11861
28,12049
28,12079
28,12203
28,12428
28,12544
28,12558
28,12723
28,12897
28,12950
28,13029
28,13059
28,13315
28,13326
28,13328
28,13336
28,13464
28,13660
28,13708
28,13713
28,13983
28,14114
28,14257
28,14295
28,14502
28,14562
28,14576
28,14660
28,14668
28,14989
28,15146
28,15238
28,15474
28,15486
28,15611
28,15787
28,15840
28,16064
28,16071
28,16169
28,16240
28,16253
28,16327
28,16380
28,16515
28,16516
28,16689
28,16693
28,16824
28,16977
28,17091
28,17128
28,17159
28,17187
28,17234
28,17364
28,17368
28,17524
28,17533
28,17644
28,17698
28,17709
28,17785
28,18121
28,18253
28,18260
28,18268
28,18287
28,18562
28,18566
28,18592
28,18713
28,18813
28,18845
28,18868
28,19093
28,19105
28,19117
28,19144
28,19192
28,19208
28,19463
28,19704
28,19790
28,20030
28,20154
28,20197
28,20207
28,20238
28,20274
28,20309
28,20416
28,20475
28,20744
28,20891
28,20893
28,20899
28,20913
28,20952
28,21054
28,21177
28,21259
28,21435
28,21477
28,22005
28,22025
28,22040
28,22407
28,22423
28,22624
28,22774
28,22777
28,22797
28,22806
28,22807
28,22965
28,23140
28,23286
28,23388
28,23416
28,23572
28,23601
28,23649
28,23777
28,23802
28,23817
28,23841
28,23918
28,23939
28,23987
28,24039
28,24121
28,24202
28,24484
28,24536
28,24548
28,24906
28,24941
28,25386
28,25470
28,25533
28,25535
28,25539
28,25829
28,25849
28,26049
28,26108
28,26141
28,26214
28,26286
28,26389
28,26494
28,26720
28,27040
28,27049
28,27074
28,27090
28,27131
28,27312
28,27361
28,27543
28,27683
28,28155
28,28233
28,28286
28,28443
28,28532
28,28740
28,28774
28,28920
28,29003
28,29063
28,29164
28,29257
28,29327
28,29503
29,123
29,221
29,222
29,317
29,359
29,377
29,516
29,536
29,607
29,609
29,625
29,642
29,654
29,664
29,695
29,791
29,813
29,881
29,1051
29,1063
29,1271
29,1402
29,1478
29,1541
29,1644
29,1730
29,1731
29,1745
29,1779
29,1784
29,1945
29,1960
29,2070
29,2086
29,2162
29,2176
29,2245
29,2309
29,2325
29,2347
29,2376
29,2377
29,2404
29,2474
29,2492
29,2567
29,2573
29,2730
29,2743
29,2893
29,2964
29,3083
29,3115
29,3255
29,3261
29,3291
29,3343
29,3350
29,3480
29,3598
29,3606
29,3703
29,3822
29,4053
29,4104
29,4145
29,4157
29,4241
29,4301
29,4438
29,4542
29,4831
29,4972
29,4998
29,5016
29,5054
29,5057
29,5087
29,5094
29,5106
29,5115
29,5119
29,5172
29,5257
29,5328
29,5348
29,5363
29,5370
29,5406
29,5554
29,5563
29,5674
29,5676
29,5683
29,5731
29,5739
29,5862
29,5908
29,5915
29,6094
29,6142
29,6249
29,6355
29,6454
29,6550
29,6670
29,6677
29,6697
29,6772
29,6806
29,6831
29,6859
29,6886
29,6895
29,6901
29,6987
29,7027
29,7293
29,7368
29,7407
29,7477
29,7525
29,7658
29,7728
29,7782
29,7838
29,7852
29,7940
29,7965
29,8026
29,8088
29,8188
29,8470
29,8478
29,8560
29,8640
29,8783
29,8800
29,8825
29,8854
29,8868
29,8941
29,8962
29,8977
29,8978
29,8998
29,9037
29,9048
29,9161
29,9222
29,9240
29,9386
29,9393
29,9445
29,9450
29,9509
29,9581
29,9596
29,9650
29,9679
29,9702
29,9724
29,9786
29,9873
29,10020
29,10175
29,10182
29,10185
29,10447
29,10483
29,10548
29,10571
29,10593
29,10642
29,10725
29,10763
29,10777
29,10993
29,11027
29,11132
29,11144
29,11379
29,11460
29,11491
29,11506
29,11528
29,11605
29,11643
29,11672
29,11736
29,11752
29,11809
29,11889
29,11904
29,12002
29,12142
29,12146
29,12301
29,12308
29,12332
29,12392
29,12643
29,12660
29,12713
29,12723
29,12735
29,12914
29,12952
29,12963
29,13031
29,13063
29,13070
29,13076
29,13140
29,13176
29,13324
29,13436
29,13445
29,13473
29,13702
29,13712
29,13786
29,13804
29,13811
29,13960
29,14015
29,14125
29,14220
29,14245
29,14257
29,14293
29,14298
29,14375
29,14409
29,14423
29,14545
29,14608
29,14614
29,14623
29,14636
29,14701
29,14755
29,14761
29,14818
29,14849
29,14895
29,14923
29,15123
29,15182
29,15204
29,15279
29,15328
29,15395
29,15432
29,15453
29,15527
29,15534
29,15648
29,15697
29,15711
29,15798
29,15904
29,15915
29,15945
29,15961
29,16066
29,16131
29,16239
29,16476
29,16547
29,16657
29,16759
29,16934
29,16950
29,16953
29,17029
29,17082
29,17108
29,17113
29,17164
29,17271
29,17272
29,17319
29,17332
29,17410
29,17443
29,17535
29,17563
29,17567
29,17572
29,17637
29,17642
29,17654
29,17800
29,17807
29,17911
29,17951
29,17954
29,18048
29,18188
29,18217
29,18470
29,18505
29,18519
29,18522
29,18544
29,18557
29,18577
29,18608
29,18653
29,18725
29,18729
29,18803
29,18890
29,19005
29,19077
29,19099
29,19116
29,19151
29,19202
29,19220
29,19226
29,19227
29,19296
29,19326
29,19353
29,19409
29,19472
29,19600
29,19640
29,19644
29,19671
29,19679
29,19750
29,19755
29,19757
29,19769
29,19984
29,20115
29,20271
29,20334
29,20367
29,20404
29,20432
29,20487
29,20504
29,20578
29,20659
29,20716
29,20858
29,20870
29,20931
29,20947
29,20972
29,20975
29,21097
29,21270
29,21352
29,21391
29,21394
29,21432
29,21474
