layer,neuron
4,13106
5,24328
7,1326
7,4784
7,5458
7,27871
16,100
16,818
16,2236
16,5325
16,5647
16,6023
16,10468
16,20820
16,21397
16,24414
17,9903
17,12951
17,23898
20,8130
21,12526
22,18868
23,7779
24,7176
24,7543
24,9182
24,16783
24,19625
24,20457
24,25137
24,26743
24,29310
25,86
25,1582
25,1781
25,3059
25,4417
25,8934
25,13480
25,14077
25,17524
25,19096
25,23966
25,24802
25,26188
25,27316
25,28071
26,316
26,1006
26,1031
26,1155
26,1264
26,1530
26,1798
26,2128
26,2168
26,2215
26,2629
26,2931
26,3421
26,3547
26,3662
26,3892
26,4598
26,4733
26,5075
26,5147
26,5247
26,5357
26,5410
26,5560
26,6860
26,7223
26,7236
26,7249
26,7707
26,8045
26,8272
26,9681
26,9721
26,9824
26,9943
26,10462
26,11091
26,11189
26,11601
26,11617
26,11629
26,12000
26,12014
26,12064
26,13031
26,13069
26,13754
26,13860
26,13861
26,14185
26,14194
26,14580
26,14851
26,15026
26,15270
26,15847
26,15898
26,16272
26,16941
26,17239
26,17243
26,17538
26,17572
26,17947
26,18229
26,18532
26,18711
26,18756
26,19238
26,19595
26,19841
26,19909
26,20711
26,21645
26,21729
26,22656
26,22734
26,22798
26,22820
26,22852
26,22873
26,22884
26,22913
26,23222
26,23228
26,23238
26,23337
26,23375
26,23646
26,23667
26,23862
26,23895
26,24465
26,24787
26,25440
26,25555
26,25851
26,26046
26,26231
26,26297
26,26529
26,26675
26,26971
26,27019
26,27026
26,27067
26,27327
26,27500
26,27932
26,28037
26,28308
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28808
26,28820
26,28971
26,29323
26,29368
26,29383
27,176
27,180
27,189
27,227
27,304
27,312
27,399
27,660
27,686
27,702
27,809
27,882
27,1027
27,1293
27,1594
27,1602
27,1820
27,1842
27,1869
27,1880
27,2218
27,2460
27,2505
27,3045
27,3055
27,3281
27,3300
27,3420
27,3549
27,3739
27,3780
27,3786
27,4209
27,4426
27,4523
27,4603
27,4723
27,4845
27,5059
27,5514
27,5651
27,5715
27,5781
27,5796
27,5950
27,5969
27,5998
27,6117
27,6275
27,6384
27,6390
27,6429
27,6490
27,6847
27,6952
27,7333
27,7502
27,7509
27,7572
27,8679
27,8793
27,8892
27,9040
27,9201
27,9227
27,9248
27,9302
27,9308
27,9347
27,9386
27,9459
27,9728
27,9730
27,9743
27,9857
27,9969
27,10090
27,10183
27,10459
27,10527
27,10555
27,10805
27,10857
27,10964
27,10967
27,11009
27,11255
27,11289
27,11329
27,11663
27,11909
27,12018
27,12053
27,12133
27,12165
27,12439
27,12605
27,12934
27,12994
27,13327
27,13377
27,13419
27,13573
27,13589
27,13604
27,13634
27,13707
27,13795
27,13862
27,13903
27,13938
27,13951
27,14219
27,14283
27,14466
27,14532
27,14738
27,14806
27,14829
27,14949
27,15218
27,15328
27,15340
27,15510
27,15525
27,15555
27,15720
27,15859
27,15902
27,15993
27,16076
27,16451
27,16930
27,16958
27,17622
27,17923
27,18238
27,18340
27,18397
27,18528
27,18557
27,18574
27,18607
27,18667
27,18909
27,18949
27,19103
27,19190
27,19299
27,19301
27,19327
27,19378
27,19389
27,19403
27,19419
27,19550
27,19692
27,19742
27,19967
27,20035
27,20055
27,20198
27,20225
27,20319
27,20873
27,20896
27,20917
27,21029
27,21055
27,21371
27,21595
27,21633
27,21718
27,21766
27,21865
27,21904
27,21911
27,22036
27,22194
27,22549
27,22677
27,22824
27,22871
27,23147
27,23160
27,23231
27,23244
27,23504
27,23554
27,23620
27,23633
27,23717
27,23936
27,24082
27,24272
27,24311
27,24347
27,24581
27,24664
27,24993
27,25346
27,25641
27,25683
27,25702
27,25714
27,25778
27,25892
27,26038
27,26106
27,26296
27,26299
27,26366
27,26572
27,26607
27,26752
27,26930
27,26936
27,27138
27,27213
27,27470
27,27683
27,27746
27,27793
27,27814
27,27821
27,28003
27,28079
27,28110
27,28274
27,28313
27,28608
27,28653
27,28852
27,28955
27,29059
27,29120
27,29137
27,29272
27,29540
28,281
28,503
28,613
28,694
28,796
28,888
28,1362
28,1465
28,1475
28,1905
28,1983
28,2176
28,2305
28,2383
28,2400
28,2817
28,2870
28,3068
28,3075
28,3205
28,3212
28,3393
28,3427
28,3669
28,3671
28,3673
28,3743
28,4090
28,4187
28,4284
28,4475
28,4657
28,4711
28,4738
28,4752
28,4771
28,4791
28,4828
28,5156
28,5230
28,5310
28,5345
28,5360
28,5493
28,5665
28,5730
28,5735
28,5899
28,6020
28,6099
28,6102
28,6105
28,6139
28,6277
28,6386
28,6519
28,6591
28,6621
28,6747
28,6777
28,6830
28,6872
28,7264
28,7290
28,7336
28,7350
28,7420
28,7467
28,7503
28,7580
28,7661
28,7877
28,7902
28,7996
28,8066
28,8170
28,8208
28,8220
28,8328
28,8528
28,8546
28,8808
28,8812
28,8839
28,8855
28,8861
28,8874
28,8893
28,9002
28,9154
28,9206
28,9324
28,9332
28,9346
28,9354
28,9449
28,9625
28,9697
28,9707
28,9766
28,9790
28,9798
28,9822
28,9904
28,9906
28,9932
28,10232
28,10823
28,10936
28,10967
28,10996
28,11045
28,11053
28,11103
28,11123
28,11172
28,11202
28,11349
28,11418
28,11454
28,11508
28,11795
28,11804
28,11821
28,11861
28,12049
28,12203
28,12544
28,12558
28,12723
28,12897
28,12910
28,12973
28,13029
28,13059
28,13210
28,13315
28,13326
28,13328
28,13336
28,13713
28,13791
28,13798
28,13839
28,13983
28,14114
28,14502
28,14562
28,14576
28,14660
28,14668
28,15048
28,15146
28,15474
28,15715
28,15840
28,16029
28,16064
28,16071
28,16106
28,16169
28,16237
28,16240
28,16253
28,16380
28,16391
28,16515
28,16516
28,16573
28,16689
28,16693
28,17091
28,17128
28,17159
28,17187
28,17240
28,17364
28,17368
28,17524
28,17646
28,18121
28,18253
28,18260
28,18268
28,18400
28,18479
28,18566
28,18592
28,18713
28,18813
28,18868
28,19093
28,19105
28,19117
28,19192
28,19194
28,19208
28,19704
28,19746
28,20003
28,20005
28,20030
28,20197
28,20274
28,20416
28,20475
28,20744
28,20891
28,20899
28,20913
28,20914
28,21054
28,21177
28,21379
28,21477
28,21542
28,21770
28,22005
28,22025
28,22040
28,22381
28,22423
28,22462
28,22624
28,22774
28,22777
28,22797
28,22806
28,22807
28,23140
28,23232
28,23286
28,23364
28,23388
28,23416
28,23572
28,23573
28,23649
28,23802
28,23817
28,23918
28,23939
28,23987
28,24002
28,24098
28,24121
28,24188
28,24482
28,24548
28,24699
28,24941
28,25096
28,25470
28,25535
28,25539
28,25604
28,26108
28,26366
28,26389
28,26494
28,26542
28,26668
28,26720
28,26928
28,27040
28,27049
28,27074
28,27090
28,27312
28,27683
28,27890
28,28033
28,28155
28,28211
28,28233
28,28286
28,28443
28,28520
28,28740
28,28774
28,28990
28,29008
28,29164
28,29324
28,29327
28,29503
29,221
29,317
29,359
29,377
29,489
29,501
29,516
29,536
29,607
29,609
29,642
29,654
29,664
29,736
29,757
29,791
29,813
29,836
29,880
29,881
29,971
29,1044
29,1051
29,1063
29,1271
29,1387
29,1402
29,1413
29,1478
29,1541
29,1644
29,1714
29,1730
29,1731
29,1736
29,1745
29,1784
29,1864
29,1945
29,1960
29,2070
29,2074
29,2086
29,2110
29,2145
29,2162
29,2176
29,2245
29,2309
29,2325
29,2347
29,2377
29,2383
29,2404
29,2474
29,2543
29,2567
29,2573
29,2743
29,2771
29,2934
29,2964
29,3083
29,3115
29,3243
29,3255
29,3270
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3454
29,3480
29,3492
29,3553
29,3578
29,3606
29,3608
29,3707
29,3759
29,3822
29,3907
29,3934
29,4041
29,4053
29,4104
29,4145
29,4157
29,4173
29,4195
29,4241
29,4301
29,4367
29,4373
29,4438
29,4463
29,4518
29,4542
29,4643
29,4757
29,4771
29,4776
29,4831
29,4998
29,5016
29,5054
29,5057
29,5081
29,5087
29,5106
29,5115
29,5119
29,5153
29,5172
29,5257
29,5287
29,5309
29,5328
29,5348
29,5363
29,5379
29,5406
29,5494
29,5554
29,5563
29,5616
29,5626
29,5644
29,5674
29,5676
29,5731
29,5831
29,5908
29,5915
29,6029
29,6094
29,6106
29,6142
29,6249
29,6258
29,6308
29,6355
29,6454
29,6496
29,6550
29,6677
29,6772
29,6809
29,6859
29,6886
29,6895
29,6900
29,6928
29,6975
29,7050
29,7293
29,7368
29,7420
29,7525
29,7658
29,7754
29,7769
29,7782
29,7797
29,7852
29,7917
29,7965
29,8026
29,8088
29,8188
29,8253
29,8298
29,8470
29,8478
29,8480
29,8738
29,8783
29,8800
29,8825
29,8868
29,8926
29,8941
29,8977
29,8998
29,9001
29,9037
29,9048
29,9085
29,9161
29,9222
29,9240
29,9261
29,9283
29,9296
29,9386
29,9450
29,9509
29,9524
29,9581
29,9596
29,9650
29,9679
29,9702
29,9724
29,9765
29,9786
29,9831
29,9862
29,9873
29,9967
29,10068
29,10154
29,10175
29,10185
29,10228
29,10304
29,10447
29,10476
29,10483
29,10548
29,10571
29,10593
29,10618
29,10688
29,10777
29,10993
29,10995
29,11027
29,11143
29,11301
29,11379
29,11426
29,11460
29,11476
29,11491
29,11506
29,11528
29,11605
29,11643
29,11672
29,11707
29,11736
29,11809
29,11855
29,11889
29,11904
29,12002
29,12040
29,12128
29,12142
29,12287
29,12298
29,12301
29,12308
29,12547
29,12634
29,12643
29,12660
29,12713
29,12813
29,12952
29,13001
29,13031
29,13050
29,13063
29,13070
29,13120
29,13140
29,13143
29,13176
29,13324
29,13702
29,13712
29,13726
29,13786
29,13804
29,13844
29,13885
29,13960
29,14118
29,14125
29,14220
29,14257
29,14298
29,14356
29,14375
29,14409
29,14423
29,14545
29,14614
29,14623
29,14664
29,14755
29,14761
29,14818
29,14877
29,14923
29,14935
29,15043
29,15047
29,15123
29,15190
29,15204
29,15208
29,15243
29,15275
29,15279
29,15320
29,15328
29,15395
29,15480
29,15512
29,15527
29,15534
29,15667
29,15671
29,15697
29,15711
29,15798
29,15817
29,15830
29,15915
29,15945
29,16066
29,16131
29,16239
29,16284
29,16363
29,16398
29,16476
29,16493
29,16498
29,16547
29,16577
29,16657
29,16754
29,16759
29,16888
29,16934
29,16950
29,16953
29,16964
29,17029
29,17082
29,17108
29,17126
29,17271
29,17272
29,17319
29,17342
29,17443
29,17563
29,17572
29,17637
29,17642
29,17800
29,17899
29,17911
29,17951
