layer,neuron
7,1326
16,21397
17,2233
17,9903
24,7176
24,16783
24,26743
25,4417
25,16675
25,17524
25,25655
26,2168
26,2931
26,3421
26,4465
26,4733
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,12000
26,12064
26,14352
26,14580
26,17239
26,19595
26,22873
26,22913
26,23646
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28971
26,29323
27,176
27,660
27,686
27,1027
27,1634
27,1869
27,1944
27,2218
27,2460
27,3300
27,3780
27,4603
27,4723
27,4845
27,5119
27,5341
27,5715
27,5928
27,6117
27,6275
27,6390
27,6429
27,6485
27,6847
27,7291
27,7572
27,8679
27,8892
27,9347
27,9716
27,9730
27,9969
27,10090
27,10094
27,10183
27,10459
27,11009
27,11289
27,11909
27,12018
27,12051
27,13197
27,13327
27,13419
27,13604
27,13634
27,13792
27,13862
27,13903
27,13951
27,14219
27,14422
27,14466
27,14899
27,15340
27,15555
27,16076
27,16266
27,17185
27,17980
27,18238
27,18607
27,19103
27,19190
27,19327
27,19419
27,19550
27,19967
27,20035
27,20198
27,20712
27,20868
27,20896
27,21029
27,21326
27,21718
27,22036
27,22194
27,22905
27,23244
27,23276
27,23620
27,23936
27,24082
27,24581
27,24993
27,25341
27,25346
27,25892
27,26558
27,26607
27,26752
27,26930
27,26936
27,26955
27,27174
27,27470
27,27683
27,27746
27,27821
27,28003
27,28079
27,28169
27,28653
27,28891
27,28955
27,29137
27,29432
27,29457
28,36
28,281
28,1074
28,1269
28,1475
28,1714
28,1905
28,2176
28,2305
28,2383
28,3068
28,3743
28,4501
28,4752
28,4771
28,4828
28,5230
28,5623
28,5899
28,6020
28,6102
28,6105
28,6126
28,6139
28,6157
28,6386
28,6407
28,6519
28,6591
28,6670
28,6777
28,7336
28,7503
28,7996
28,8170
28,8208
28,8220
28,8476
28,8528
28,8808
28,8861
28,8874
28,8893
28,9002
28,9346
28,9449
28,9697
28,9766
28,9798
28,9904
28,9906
28,10232
28,10754
28,10936
28,11053
28,11349
28,11418
28,11861
28,12049
28,12558
28,12723
28,12897
28,13296
28,13315
28,13660
28,13713
28,13791
28,14114
28,14668
28,15474
28,15715
28,16516
28,17091
28,17159
28,18121
28,18253
28,18260
28,18268
28,18786
28,18813
28,19093
28,19105
28,19194
28,19208
28,20274
28,20475
28,20899
28,21609
28,22025
28,22381
28,22624
28,22797
28,22807
28,23364
28,23388
28,23649
28,23817
28,23918
28,23934
28,24002
28,24298
28,24548
28,24941
28,25096
28,26542
28,26668
28,26720
28,26929
28,27090
28,27172
28,27312
28,27482
28,28286
28,28443
28,28774
28,29164
28,29503
29,221
29,536
29,607
29,609
29,791
29,813
29,1063
29,1478
29,1541
29,2074
29,2086
29,2145
29,2347
29,2376
29,2404
29,2474
29,2573
29,2743
29,2979
29,3177
29,3243
29,3255
29,3291
29,3343
29,3382
29,3397
29,3407
29,3555
29,3578
29,3703
29,3822
29,3860
29,4053
29,4157
29,4518
29,4542
29,4653
29,4831
29,5016
29,5054
29,5172
29,5236
29,5307
29,5309
