layer,neuron
4,13106
7,1326
7,4784
7,5458
7,27871
16,100
16,21397
16,24414
17,2233
17,9903
21,12526
24,7176
24,9182
24,16783
24,18087
24,19625
24,26743
24,27994
25,1781
25,4417
25,11386
25,16675
25,17524
25,19096
25,25655
25,27316
25,27475
26,1155
26,2168
26,2629
26,2931
26,3421
26,3547
26,3662
26,4465
26,4733
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,7707
26,11091
26,12000
26,12064
26,14352
26,14580
26,14851
26,15026
26,17239
26,17243
26,17572
26,18711
26,19595
26,21729
26,22873
26,22913
26,23222
26,23228
26,23375
26,23646
26,24671
26,24787
26,25555
26,26046
26,26231
26,26297
26,26971
26,27327
26,27500
26,27932
26,28037
26,28308
26,28338
26,28425
26,28626
26,28754
26,28820
26,28971
26,29323
27,176
27,180
27,189
27,227
27,660
27,686
27,809
27,1027
27,1634
27,1820
27,1821
27,1842
27,1869
27,1944
27,2218
27,2460
27,2622
27,3046
27,3281
27,3300
27,3736
27,3780
27,4209
27,4426
27,4603
27,4723
27,4845
27,5059
27,5119
27,5230
27,5341
27,5715
27,5928
27,6117
27,6275
27,6390
27,6429
27,6485
27,6490
27,6847
27,7291
27,7333
27,7572
27,8003
27,8679
27,8793
27,8892
27,9185
27,9201
27,9347
27,9716
27,9730
27,9743
27,9857
27,9969
27,10090
27,10094
27,10183
27,10459
27,10527
27,10555
27,10724
27,10805
27,10964
27,11009
27,11289
27,11329
27,11431
27,11909
27,12018
27,12051
27,12439
27,12934
27,13100
27,13197
27,13327
27,13377
27,13419
27,13604
27,13634
27,13712
27,13792
27,13862
27,13903
27,13951
27,14219
27,14283
27,14422
27,14466
27,14738
27,14899
27,15328
27,15340
27,15555
27,15902
27,15993
27,16076
27,16266
27,16451
27,16930
27,16958
27,17126
27,17185
27,17293
27,17980
27,18238
27,18607
27,19103
27,19190
27,19299
27,19327
27,19389
27,19403
27,19419
27,19550
27,19967
27,20035
27,20198
27,20319
27,20712
27,20868
27,20896
27,20917
27,21029
27,21055
27,21326
27,21718
27,21766
27,22036
27,22194
27,22677
27,22905
27,23160
27,23244
27,23276
27,23511
27,23620
27,23936
