layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11753
5,16089
5,24328
5,24627
5,28946
7,1326
7,5458
16,100
16,2236
16,21397
16,29218
17,9903
19,22505
24,2345
24,7176
24,9182
24,13708
24,16783
24,20457
24,25137
24,29310
25,86
25,1781
25,2003
25,4417
25,8852
25,14610
25,14982
25,19067
25,22148
25,24802
25,26188
25,27329
25,28129
26,316
26,1155
26,1172
26,1264
26,2171
26,2215
26,2931
26,3421
26,3662
26,3796
26,3892
26,4384
26,4733
26,5075
26,5147
26,5357
26,5410
26,5773
26,5786
26,6860
26,7056
26,7249
26,7707
26,8676
26,9824
26,10346
26,11632
26,12014
26,12064
26,13031
26,13754
26,13760
26,13899
26,14185
26,14352
26,14485
26,14580
26,15270
26,16031
26,16141
26,16941
26,17239
26,17243
26,17314
26,17572
26,17907
26,19595
26,19848
26,19853
26,20682
26,21721
26,22203
26,22242
26,22798
26,22873
26,22913
26,23202
26,23228
26,23332
26,23337
26,23646
26,23862
26,24098
26,24455
26,24465
26,25440
26,25735
26,26123
26,26529
26,26675
26,26971
26,27246
26,27500
26,27932
26,28037
26,28266
26,28312
26,28338
26,28425
26,28482
26,28568
26,28570
26,28626
26,28754
26,28778
26,28820
26,28971
26,29033
26,29323
26,29383
27,176
27,180
27,187
27,312
27,660
27,686
27,772
27,869
27,881
27,886
27,920
27,1027
27,1128
27,1319
27,1568
27,1634
27,1800
27,1869
27,1910
27,1983
27,2218
27,2359
27,2505
27,2936
27,3032
27,3045
27,3253
27,3300
27,3420
27,3437
27,3549
27,3780
27,3786
27,3859
27,4124
27,4323
27,4426
27,4523
27,4562
27,4603
27,4678
27,4726
27,4800
27,4845
27,4865
27,4905
27,4973
27,4993
27,5029
27,5119
27,5341
27,5520
27,5624
27,5641
27,5660
27,5771
27,5781
27,5796
27,5879
27,5928
27,5998
27,6013
27,6065
27,6117
27,6159
27,6180
27,6275
27,6390
27,6391
27,6429
27,6446
27,6485
27,6490
27,6546
27,6598
27,6734
27,6847
27,6952
27,7008
27,7155
27,7291
27,7333
27,7350
27,7470
27,7502
27,7572
27,7848
27,8005
27,8339
27,8547
27,8604
27,8674
27,8679
27,8751
27,8892
27,9092
27,9112
27,9308
27,9335
27,9347
27,9361
27,9386
27,9632
27,9662
27,9716
27,9728
27,9730
27,9732
27,9857
27,9969
27,10094
27,10183
27,10394
27,10459
27,10469
27,10857
27,10870
27,10969
27,11009
27,11289
27,11556
27,11663
27,11849
27,11864
27,11909
27,11912
27,11967
27,12018
27,12026
27,12165
27,12224
27,12421
27,12565
27,12573
27,12657
27,12736
27,12796
27,12994
27,13062
27,13186
27,13263
27,13327
27,13419
27,13573
27,13604
27,13707
27,13862
27,13951
27,13963
27,14071
27,14219
27,14230
27,14366
27,14422
27,14466
27,14532
27,14806
27,14823
27,14829
27,14841
27,15181
27,15218
27,15246
27,15340
27,15402
27,15510
27,15555
27,15573
27,15685
27,15719
27,15775
27,15859
27,15902
27,15993
27,16076
27,16266
27,16844
27,17017
27,17185
27,17329
27,17435
27,17474
27,17575
27,17923
27,18004
27,18216
27,18238
27,18278
27,18284
27,18286
27,18305
27,18397
27,18532
27,18574
27,18607
27,18611
27,18786
27,18836
27,18909
27,19103
27,19190
27,19234
27,19276
27,19299
27,19327
27,19328
27,19559
27,19686
27,19692
27,19967
27,20035
27,20225
27,20278
27,20452
27,20787
27,20797
27,20873
27,20896
27,21029
27,21073
27,21326
27,21451
27,21633
27,21680
27,21718
27,21835
27,22036
27,22083
27,22122
27,22194
27,22419
27,22519
27,22655
27,23117
27,23177
27,23231
27,23244
27,23276
27,23345
27,23504
27,23533
27,23620
27,23633
27,23644
27,23843
27,23936
27,24082
27,24224
27,24311
27,24581
27,24874
27,24993
27,25341
27,25346
27,25641
27,25682
27,25683
27,25702
27,26296
27,26558
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27138
27,27174
27,27213
27,27535
27,27620
27,27637
27,27645
27,27746
27,27814
27,28003
27,28079
27,28110
27,28119
27,28607
27,28653
27,28985
27,29059
27,29120
27,29137
27,29272
27,29457
28,146
28,281
28,435
28,503
28,557
28,639
28,653
28,694
28,796
28,924
28,1052
28,1362
28,1382
28,1394
28,1475
28,1631
28,1694
28,1905
28,1942
28,2164
28,2176
28,2256
28,2272
28,2290
28,2305
28,2697
28,2870
28,2931
28,3068
28,3205
28,3212
28,3241
28,3367
28,3470
28,3743
28,3956
28,4043
28,4060
28,4284
28,4329
28,4475
28,4499
28,4521
28,4738
28,4752
28,4771
28,4828
28,4839
28,5156
28,5230
28,5302
28,5360
28,5523
28,5642
28,5735
28,5899
28,6020
28,6093
28,6099
28,6102
28,6105
28,6126
28,6132
28,6135
28,6139
28,6157
28,6206
