layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11753
5,16089
5,19916
5,24328
5,24627
5,28946
7,1326
7,4784
16,100
16,2236
16,5325
16,6023
16,13177
16,20653
16,20820
16,21397
17,1530
17,9204
17,9903
17,15360
17,20875
20,8130
21,12526
22,8054
23,25992
24,3155
24,7176
24,16783
24,20457
24,26743
25,1781
25,4417
25,12698
25,14610
25,14982
25,24802
25,26188
25,29308
26,1155
26,1172
26,1264
26,2168
26,2171
26,2215
26,2931
26,3421
26,3662
26,3794
26,3796
26,3892
26,4311
26,5075
26,5147
26,5357
26,6860
26,7249
26,7707
26,9555
26,9824
26,10072
26,10926
26,12064
26,13031
26,13754
26,13899
26,15270
26,16031
26,16141
26,16941
26,17239
26,17243
26,17538
26,22798
26,22873
26,22884
26,22913
26,23646
26,24098
26,24465
26,24670
26,24798
26,25440
26,25555
26,25573
26,26529
26,26971
26,27201
26,27246
26,27327
26,27494
26,27932
26,28037
26,28081
26,28338
26,28425
26,28570
26,28626
26,28754
26,28778
26,28971
26,29323
26,29383
27,176
27,312
27,568
27,686
27,1568
27,1869
27,1910
27,2047
27,2218
27,2302
27,2505
27,2789
27,3151
27,3253
27,3420
27,3549
27,3780
27,3786
27,3859
27,4124
27,4217
27,4523
27,4603
27,4678
27,4726
27,4800
27,4845
27,5029
27,5119
27,5341
27,5624
27,5660
27,5781
27,5796
27,5928
27,5998
27,6065
27,6117
27,6159
27,6275
27,6390
27,6429
27,6485
27,6490
27,6546
27,6734
27,6847
27,7155
27,7291
27,7572
27,7975
27,8005
27,8679
27,8771
27,8783
27,8892
27,9248
27,9308
27,9347
27,9361
27,9632
27,9662
27,9716
27,9732
27,9857
27,9969
27,10094
27,10183
27,10459
27,10805
27,10857
27,10870
27,11009
27,11289
27,11864
27,11909
27,11912
27,12018
27,12026
27,12047
27,12165
27,12224
27,12421
27,12565
27,12796
27,12994
27,13062
27,13197
27,13263
27,13327
27,13419
27,13604
27,13862
27,13951
27,14219
27,14366
27,14466
27,14532
27,14829
27,14841
27,15181
27,15218
27,15246
27,15340
27,15402
27,15555
27,15573
27,15685
27,15719
27,15859
27,15902
27,16526
27,16844
27,17017
27,17158
27,17185
27,17329
27,17435
27,17474
27,17923
27,17980
27,18238
27,18340
27,18397
27,18557
27,18574
27,18607
27,18909
27,19103
27,19190
27,19276
27,19289
27,19327
27,19550
27,19559
27,19713
27,19967
27,20035
27,20225
27,20452
27,20709
27,20748
27,20873
27,21029
27,21073
27,21202
27,21326
27,21633
27,21680
27,21718
27,21835
27,22036
27,22122
27,22194
27,22519
27,22655
27,22824
27,22920
27,23117
27,23231
27,23244
27,23276
27,23504
27,23620
27,23633
27,23644
27,24082
27,24299
27,24311
27,24581
27,24664
27,24874
27,24993
27,25112
27,25341
27,25346
27,25525
27,25641
27,25682
27,25683
27,25778
27,26296
27,26572
27,26607
27,26712
27,26752
27,26930
27,26955
27,26992
27,27109
27,27138
27,27213
27,27637
27,27814
27,28003
27,28079
27,28110
27,28119
27,28169
27,28192
27,28653
27,28758
27,28852
27,29137
27,29272
27,29457
28,36
28,281
28,639
28,653
28,694
28,1052
28,1362
28,1475
28,1694
28,1828
28,1905
28,2164
28,2176
28,2290
28,2305
28,2341
28,2697
28,3068
28,3205
28,3212
28,3241
28,3470
28,3743
28,3956
28,4284
28,4475
28,4499
28,4521
28,4752
28,4828
28,4839
28,5100
28,5156
28,5230
28,5493
28,5642
28,5735
28,6020
28,6102
28,6105
28,6126
28,6139
28,6386
28,6407
28,6519
28,6591
28,6670
28,6777
28,6830
28,6908
28,6944
28,6960
28,6996
28,7094
28,7290
28,7336
28,7467
28,7503
28,7996
28,8066
28,8078
28,8208
28,8220
28,8286
28,8476
28,8528
28,8808
28,8839
28,8861
28,8874
28,8893
28,9002
28,9154
28,9346
28,9434
28,9449
28,9697
28,9798
28,9904
28,9906
28,9932
28,10232
28,10749
28,10936
28,10967
28,11045
28,11053
28,11172
28,11175
28,11342
28,11349
28,11418
28,11567
28,11700
28,11795
28,11804
28,11821
28,11861
28,12049
28,12544
28,12558
28,12723
28,12931
28,13306
28,13315
28,13328
28,13698
28,13713
28,13719
28,13808
28,14114
28,14399
28,14576
28,14660
28,14668
28,14929
28,15474
28,15715
28,15894
28,16079
28,16237
28,16380
28,16515
28,16516
28,16573
28,16693
28,16731
28,16840
28,16889
28,17018
28,17091
28,17100
28,17159
28,17558
28,17591
28,17644
28,17654
28,17670
28,18121
28,18253
28,18260
28,18400
28,18604
28,18624
28,18658
28,18713
28,18788
28,18813
28,19093
28,19105
28,19208
28,19538
28,19704
28,19766
28,20030
28,20112
28,20274
28,20281
28,20416
28,20444
28,20475
28,20899
28,20913
28,20914
28,21300
28,21379
28,22017
28,22025
