layer,neuron
5,19916
5,24627
7,1326
25,14982
26,3796
26,5786
26,22913
26,23228
26,23646
26,27500
26,27932
26,28037
26,28754
26,29033
27,176
27,686
27,869
27,1118
27,1568
27,1634
27,1910
27,3125
27,3780
27,4124
27,4678
27,4691
27,4723
27,4800
27,5119
27,5715
27,6065
27,6275
27,6429
27,6485
27,6546
27,6734
27,7008
27,7291
27,7572
27,8641
27,8679
27,8892
27,9347
27,9716
27,10459
27,11009
27,12018
27,12224
27,13263
27,13327
27,13377
27,13792
27,13862
27,13951
27,14219
27,14466
27,14829
27,14841
27,15340
27,15573
27,15685
27,15719
27,15810
27,17575
27,18238
27,18529
27,18959
27,19190
27,19465
27,19559
27,19916
27,20117
27,20709
27,22036
27,22122
27,22194
27,23117
27,23244
27,23276
27,23644
27,24161
27,24581
27,25341
27,25346
27,25682
27,26607
27,26752
27,26955
27,27470
27,27637
27,27683
27,28003
27,28119
27,29457
28,1052
28,2164
28,2256
28,2723
28,2880
28,3212
28,3411
28,3743
28,4052
28,4752
28,4771
28,4828
28,6020
28,6139
28,6386
28,6670
28,7336
28,7420
28,7766
28,7996
28,8170
28,8528
28,8794
28,8808
28,8845
28,8861
28,8874
28,9346
28,9625
28,9697
28,9798
28,9904
28,9906
28,10232
28,10972
28,11382
28,11418
28,11861
28,13306
28,13660
28,14493
28,14668
28,16516
28,17018
28,17159
28,17591
28,18260
28,19093
28,19208
28,19835
28,20143
28,20475
28,20555
28,20899
28,22797
28,23649
28,24050
28,24548
28,24906
28,26450
28,26542
28,26668
28,26929
28,27168
28,27312
28,28774
28,29164
29,377
29,454
29,536
29,607
29,609
29,766
29,1051
29,1541
29,2074
29,2347
29,2376
29,2743
29,3177
29,4076
29,4157
29,4518
29,5016
29,5054
29,5172
29,5406
29,5568
29,5616
29,5676
29,6100
29,6142
29,6550
29,6895
29,7047
29,7477
29,7917
29,7940
29,8253
29,8287
29,8422
29,8738
29,8926
29,8932
29,9048
29,9243
29,9298
29,9488
29,9696
29,9873
29,9943
29,9998
29,10063
29,10447
29,10544
29,11107
29,11236
29,11286
29,11301
29,11438
29,11451
29,11491
29,11586
29,11736
29,11809
29,11828
29,11951
29,12634
29,12660
29,13031
29,13050
29,13110
29,13140
29,13324
29,13786
29,13960
29,14164
29,14177
29,14220
29,14545
29,14623
29,14729
29,14818
29,14935
29,15208
29,15697
29,16019
29,16089
29,17082
29,17410
29,17563
29,17572
29,17790
29,17800
29,18003
29,18188
29,18217
29,18470
29,18575
29,18890
29,19227
29,19229
29,19296
29,19353
29,19409
29,19496
29,19679
29,20265
29,20404
29,20414
29,20578
29,20870
29,21138
29,21513
29,21682
29,21927
29,22518
29,22718
29,22740
29,22896
29,23118
29,23122
29,23619
29,23668
29,23706
29,24119
29,24154
29,24190
29,24543
29,24649
29,24849
29,25253
29,25301
29,25421
29,25856
29,26182
29,26585
29,26709
29,27920
29,27937
29,28046
29,28050
29,28070
29,28428
29,28935
29,29422
29,29426
29,29515
30,138
30,430
30,530
30,587
30,676
30,725
30,726
30,743
30,903
30,911
30,1355
30,1377
30,1422
30,1644
30,1734
30,1945
30,1970
30,2016
30,2103
30,2126
30,2264
30,2319
30,2325
30,2382
30,2471
30,2570
30,2631
30,2793
30,2823
30,2969
30,2989
30,3003
30,3010
30,3104
30,3106
30,3231
30,3296
30,3374
30,3456
30,3480
30,3709
30,3747
30,3880
30,3895
30,4076
30,4425
30,4501
30,4507
30,4581
30,4582
30,4644
30,4721
30,4759
30,4836
30,4914
30,4948
30,5024
30,5071
30,5225
30,5228
30,5316
30,5433
30,5855
30,5881
30,6175
30,6214
30,6230
30,6283
30,6397
30,6401
30,6698
30,6801
30,6822
30,7005
30,7182
30,7216
30,7360
30,7542
30,7547
30,7563
30,7575
30,7649
30,7777
30,7782
30,7918
30,7987
30,8184
30,8202
30,8237
30,8603
30,8627
30,8672
30,9135
30,9544
30,9562
30,9596
30,9632
30,9638
30,9643
30,9646
30,9660
30,9661
30,9690
30,9734
30,9770
30,9869
30,9963
30,9979
30,10043
30,10500
30,10504
30,10757
30,10808
30,10817
30,10819
30,10968
30,10986
30,11036
30,11089
30,11103
30,11149
30,11189
30,11325
30,11434
30,11503
30,11516
30,11534
30,11682
30,11786
30,11792
30,11856
30,12096
30,12253
