layer,neuron
7,1326
16,6023
24,7176
24,12257
24,16783
25,4417
25,17524
26,2629
26,2642
26,3662
26,4465
26,16478
26,18711
26,22913
26,23228
26,23646
26,26231
26,27327
26,27500
26,27932
26,28037
26,28425
26,29323
27,702
27,869
27,1294
27,3036
27,3780
27,4723
27,5573
27,6275
27,6429
27,7572
27,8679
27,9201
27,10090
27,10459
27,11009
27,12018
27,12934
27,13327
27,13377
27,13792
27,13862
27,13951
27,14466
27,14738
27,14829
27,15340
27,15573
27,15810
27,15993
27,16451
27,18238
27,18529
27,18667
27,19190
27,19327
27,19389
27,19403
27,19916
27,22036
27,23244
27,23276
27,24581
27,25341
27,26366
27,26607
27,26752
27,27470
27,27683
27,28186
27,29457
28,694
28,2070
28,2383
28,3212
28,3743
28,3807
28,4052
28,4343
28,4771
28,4828
28,4857
28,5310
28,5899
28,6139
28,6386
28,6670
28,6777
28,7336
28,7420
28,7996
28,8170
28,8208
28,8528
28,8794
28,8808
28,8861
28,9206
28,9346
28,9697
28,9798
28,9904
28,10232
28,10823
28,11418
28,11861
28,12049
28,12723
28,12897
28,13660
28,14668
28,16516
28,17159
28,18260
28,18713
28,20127
28,20143
28,20207
28,20475
28,20763
28,20899
28,22797
28,23649
28,24548
28,25429
28,26173
28,26389
28,26494
28,26668
28,26720
28,28233
28,28286
28,28774
28,29164
29,454
29,536
29,607
29,879
29,1044
29,1541
29,2074
29,2322
29,2347
29,2743
29,2771
29,3083
29,3243
29,3407
29,3822
29,4157
29,4998
29,5054
29,5094
29,5106
29,5172
29,5406
29,5616
29,5674
29,5676
29,7047
29,7368
29,7818
29,7917
29,7965
29,8188
29,8253
29,8470
29,8738
29,8932
29,8978
29,9048
29,9581
29,9873
29,10447
29,11107
29,11474
29,11491
29,11528
29,11586
29,11736
29,11809
29,11828
29,12142
29,12660
29,13031
29,13050
29,13140
29,13352
29,13786
29,13960
29,14220
29,14298
29,14614
29,14623
29,14648
29,14729
29,14818
29,14935
29,15208
29,15279
29,15667
29,16888
29,16950
29,17029
29,17082
29,17410
29,17572
29,17637
29,17800
29,17817
29,17911
29,17954
29,18003
29,18217
29,18261
29,18470
29,18729
29,19005
29,19202
29,19227
29,19409
29,19504
29,19679
29,19769
29,20578
29,20870
29,21682
29,21751
29,21927
29,22181
29,22798
29,22896
29,23407
29,23619
29,23737
29,24119
29,24190
29,24520
29,24543
29,25115
29,25129
29,25253
29,25283
29,26182
29,26535
29,27392
29,27920
29,27937
29,28050
29,28070
29,28166
29,28653
29,28935
29,28997
29,29422
29,29426
29,29544
29,29560
30,281
30,430
30,501
30,725
30,726
30,827
30,903
30,911
30,1004
30,1165
30,1422
30,1582
30,1734
30,1908
30,1958
30,1968
30,2016
30,2103
30,2186
30,2264
30,2349
30,2471
30,2595
30,2685
30,2733
30,2823
30,2877
30,2969
30,2989
30,3003
30,3013
30,3106
30,3231
30,3296
30,3374
30,3456
30,3480
30,3568
30,3664
30,3674
30,3895
30,4076
30,4174
30,4219
30,4265
30,4303
30,4477
30,4507
30,4581
30,4582
30,4644
30,4759
30,4948
30,5066
30,5228
30,5662
30,5708
30,5855
30,5942
30,6141
30,6144
30,6175
30,6188
30,6214
30,6225
30,6352
30,6401
30,6469
30,6491
30,6698
30,6771
30,6794
30,6801
30,6822
30,6929
30,7053
30,7182
30,7216
30,7218
30,7300
30,7397
30,7483
30,7499
30,7502
30,7563
30,7575
30,7649
30,7777
30,7782
30,7869
30,7918
30,7987
30,8202
30,8332
30,8379
30,8419
30,8420
30,8658
30,8672
30,8733
30,8876
30,8908
30,8968
30,8970
30,9102
30,9135
30,9196
30,9248
30,9342
30,9544
30,9596
30,9638
30,9643
30,9661
30,9690
30,9755
30,9770
30,9869
30,9979
30,10043
30,10078
30,10087
30,10313
30,10394
30,10504
30,10609
30,10634
30,10757
30,10808
30,10819
30,10892
30,10968
30,10986
30,11149
30,11189
30,11357
30,11360
30,11503
30,11516
30,11531
30,11534
30,11633
30,11682
30,11738
30,11786
30,11792
30,11840
30,11856
30,11893
30,11950
30,12092
30,12096
30,12166
30,12169
30,12175
30,12312
30,12345
30,12374
30,12530
30,12696
30,12809
30,12816
30,12823
30,12886
30,12976
30,13004
30,13299
30,13362
30,13368
30,13405
30,13417
30,13448
30,13546
30,13598
30,13742
30,13943
30,14049
30,14082
30,14111
30,14136
30,14306
30,14389
30,14397
30,14409
30,14523
30,14551
30,14570
30,14575
30,14662
30,14781
30,14847
30,15116
30,15158
30,15280
30,15436
30,15548
30,15611
30,15684
30,15890
30,15936
30,15988
30,16060
30,16329
30,16452
30,16643
30,16696
30,16910
30,17143
30,17277
30,17335
30,17416
30,17420
30,17475
30,17548
30,17593
30,18070
30,18080
30,18097
30,18101
30,18136
30,18278
30,18383
30,18567
30,18609
30,18615
30,18764
30,18767
30,19025
30,19042
30,19138
30,19233
30,19396
30,19422
30,19559
30,19624
30,19632
30,19692
30,19741
30,19928
30,20066
30,20224
30,20320
30,20332
30,20383
30,20428
30,20497
30,20563
30,20674
30,20704
30,20711
30,20794
30,20820
30,20953
30,21075
30,21166
30,21169
30,21277
30,21470
30,21506
30,21515
30,21714
30,21738
30,21807
30,21882
30,21886
30,21955
30,21977
30,22053
30,22087
30,22210
30,22212
30,22287
30,22391
30,22403
30,22645
30,22683
30,22686
30,22761
30,22779
30,22780
30,22798
30,22959
30,22985
30,23062
30,23102
30,23156
30,23198
30,23405
30,23415
30,23495
30,23523
30,23572
30,23590
30,23649
30,23756
30,23815
30,24180
30,24245
30,24253
30,24268
30,24270
30,24309
30,24409
30,24758
30,24781
30,24910
30,24956
30,25060
30,25106
30,25126
30,25183
30,25224
30,25327
30,25372
30,25378
30,25454
30,25508
30,25532
30,25601
30,25631
30,25683
30,25717
30,25753
30,25806
30,26108
30,26164
30,26210
30,26224
30,26260
30,26277
30,26314
30,26401
30,26504
30,26514
30,26696
30,26817
30,26847
30,26875
30,26890
30,27122
30,27286
30,27356
30,27398
30,27573
30,27621
30,27644
30,27662
30,27827
30,27843
30,27869
30,28068
30,28193
30,28444
30,28579
30,28626
30,28796
30,28804
30,28925
30,29004
30,29009
30,29151
30,29243
30,29311
30,29319
30,29332
30,29401
30,29409
31,12
31,37
31,55
31,69
31,101
31,108
31,123
31,131
31,159
31,177
31,180
31,184
31,227
31,249
31,310
31,321
31,341
31,343
31,381
31,462
31,490
31,555
31,595
31,672
31,691
31,744
31,745
31,801
31,846
31,960
31,1010
31,1082
31,1109
31,1115
31,1126
31,1248
31,1252
31,1271
31,1295
31,1344
31,1369
31,1404
31,1438
31,1478
31,1490
31,1493
31,1511
31,1535
31,1549
31,1553
31,1647
31,1669
31,1693
31,1719
31,1734
31,1753
31,1766
31,1840
31,1946
31,1980
31,1998
31,2043
31,2057
31,2091
31,2101
31,2159
31,2191
31,2227
31,2267
31,2346
31,2413
31,2689
31,2708
31,2722
31,2755
31,2766
31,2788
31,2790
31,2796
31,2808
31,2818
31,2821
31,2832
31,2843
31,2873
31,2874
31,2892
31,2907
31,2921
31,2931
31,2940
31,2971
31,2991
31,3088
31,3089
31,3101
31,3120
31,3135
31,3137
31,3176
31,3202
31,3206
31,3294
31,3305
31,3324
31,3325
31,3393
31,3395
31,3433
31,3442
31,3532
31,3545
31,3570
31,3586
31,3600
31,3749
31,3752
31,3756
31,3855
31,3933
31,3937
31,3961
31,3987
31,4114
31,4182
31,4309
31,4346
31,4372
31,4379
31,4455
31,4464
31,4478
31,4488
31,4510
31,4536
31,4574
31,4695
31,4719
31,4745
31,4795
31,4808
31,4816
31,4825
31,4845
31,4854
31,4883
31,4899
31,4922
31,4951
31,4986
31,5025
31,5105
31,5150
31,5165
31,5167
31,5182
31,5249
31,5259
31,5354
31,5419
31,5492
31,5522
31,5536
31,5538
31,5568
31,5609
31,5621
31,5623
31,5705
31,5707
31,5733
31,5804
31,5805
31,5834
31,5905
31,5945
31,5963
31,5981
31,6038
31,6086
31,6118
31,6139
31,6141
31,6145
31,6165
31,6226
31,6264
31,6293
31,6310
31,6329
31,6374
31,6427
31,6446
31,6468
31,6503
31,6519
31,6529
31,6530
31,6549
31,6551
31,6587
31,6653
31,6655
31,6745
31,6768
31,6785
31,6794
31,6859
31,6950
31,6966
31,7001
31,7029
31,7059
31,7101
31,7144
31,7279
31,7423
31,7624
31,7629
31,7636
31,7700
31,7739
31,7784
31,7814
31,7825
31,7828
31,7859
31,7860
31,7903
31,7921
31,7982
31,8003
31,8051
31,8056
31,8060
31,8092
31,8112
31,8162
31,8191
31,8204
31,8273
31,8295
31,8326
31,8471
31,8545
31,8581
31,8600
31,8718
31,8764
31,8767
31,8797
31,8833
31,8881
31,8894
31,8931
31,8952
31,9017
31,9043
31,9076
31,9078
31,9079
31,9087
31,9104
31,9139
31,9157
31,9161
31,9306
31,9319
31,9331
31,9371
31,9373
31,9431
31,9474
31,9498
31,9595
31,9718
31,9766
31,9817
31,9840
31,9867
31,9916
31,9919
31,9952
31,9957
31,9981
31,9988
31,9991
31,10003
31,10088
31,10100
31,10113
31,10120
31,10128
31,10157
31,10208
31,10338
31,10400
31,10424
31,10445
31,10463
31,10510
31,10518
31,10599
31,10629
31,10633
31,10637
31,10657
31,10680
31,10698
31,10763
31,10774
31,10893
31,10915
31,10938
31,10954
31,11010
31,11023
31,11026
31,11031
31,11077
31,11097
31,11236
31,11258
31,11259
31,11327
31,11355
31,11358
31,11384
31,11445
31,11462
31,11502
31,11580
31,11584
31,11590
31,11605
31,11633
31,11657
31,11746
31,11804
31,11832
31,11834
31,11930
31,11936
31,11975
31,11983
31,11996
31,12024
31,12049
31,12234
31,12242
31,12277
31,12307
31,12312
31,12318
31,12373
31,12476
31,12479
31,12484
31,12500
31,12545
31,12602
31,12641
31,12662
31,12687
31,12728
31,12747
31,12851
31,12869
31,12909
31,13051
31,13088
31,13141
31,13184
31,13236
31,13252
