layer,neuron
4,13106
5,793
5,5225
5,6132
5,9469
5,11555
5,11753
5,16089
5,24328
5,24627
5,28946
7,1326
7,5458
16,100
16,429
16,2236
16,5325
16,6023
16,13177
16,20820
16,21397
17,1530
17,9903
17,14660
17,20875
20,8130
22,8054
22,10932
23,1299
23,4248
23,20517
23,25992
24,3155
24,7176
24,11959
24,16783
24,20457
25,1781
25,2028
25,4417
25,10514
25,12698
25,17440
25,19096
25,24802
25,28476
25,29308
26,1155
26,1747
26,1757
26,2168
26,2171
26,2215
26,2931
26,3662
26,3794
26,3796
26,4311
26,4465
26,5075
26,5147
26,6777
26,6860
26,7225
26,8272
26,9555
26,9824
26,10072
26,12000
26,12064
26,13031
26,13069
26,13271
26,13613
26,13899
26,14851
26,16031
26,16141
26,16272
26,17239
26,17243
26,17538
26,17572
26,18488
26,18980
26,19841
26,21522
26,21906
26,22351
26,22798
26,22873
26,22884
26,22913
26,23228
26,23646
26,24098
26,24455
26,24465
26,24557
26,24670
26,25440
26,25555
26,25573
26,26140
26,26529
26,26971
26,27246
26,27327
26,27494
26,27500
26,27932
26,28037
26,28338
26,28425
26,28626
26,28754
26,28971
26,29323
26,29383
27,176
27,227
27,312
27,334
27,568
27,686
27,1213
27,1568
27,1602
27,1910
27,2218
27,2302
27,2359
27,2505
27,2789
27,3253
27,3420
27,3549
27,3780
27,3786
27,4124
27,4603
27,4678
27,4800
27,4845
27,5067
27,5119
27,5341
27,5624
27,5651
27,5796
27,5928
27,5998
27,6065
27,6117
27,6159
27,6275
27,6390
27,6429
27,6485
27,6490
27,6546
27,6847
27,7155
27,7291
27,7572
27,8005
27,8679
27,8892
27,9201
27,9248
27,9308
27,9347
27,9632
27,9716
27,9730
27,9857
27,9969
27,10094
27,10183
27,10459
27,10469
27,10805
27,10857
27,11009
27,11255
27,11289
27,11663
27,11909
27,11912
27,12018
27,12026
27,12133
27,12224
27,12565
27,12736
27,13062
27,13263
27,13604
27,13634
27,13792
27,13862
27,13951
27,13963
27,14219
27,14466
27,14532
27,14812
27,14829
27,15026
27,15181
27,15218
27,15246
27,15340
27,15402
27,15555
27,15685
27,15859
27,15902
27,16216
27,16266
27,16844
27,17329
27,17435
27,17474
27,17923
27,18170
27,18238
27,18278
27,18340
27,18557
27,18607
27,18786
27,18909
27,19190
27,19249
27,19276
27,19289
27,19301
27,19327
27,19378
27,19559
27,19967
27,20035
27,20225
27,20748
27,20873
27,21680
27,21718
27,22036
27,22122
27,22194
27,22519
27,22677
27,22824
27,22920
27,23117
27,23231
27,23244
27,23276
27,23620
27,23633
27,24047
27,24082
27,24161
27,24299
27,24581
27,24993
27,25112
27,25346
27,25525
27,25641
27,25683
27,26572
27,26607
27,26712
27,26752
27,26930
27,27109
27,27138
27,27213
27,27826
27,28003
27,28110
27,28119
27,28192
27,28653
27,28683
27,29102
27,29120
27,29137
27,29272
27,29457
28,888
28,1052
28,1093
28,1362
28,1465
28,1475
28,1905
28,2089
28,2164
28,2176
28,2290
28,2474
28,2697
28,2819
28,2931
28,3068
28,3205
28,3212
28,3743
28,4284
28,4475
28,4521
28,4657
28,4715
28,4752
28,4791
28,4828
28,4879
28,5156
28,5230
28,5310
28,5345
28,5351
28,5603
28,5642
28,5730
28,5735
28,6020
28,6102
28,6105
28,6139
28,6377
28,6386
28,6407
28,6519
28,6591
28,6830
28,6908
28,6944
28,7013
28,7094
28,7336
28,7745
28,7877
28,7902
28,7973
28,7996
28,8208
28,8286
28,8420
28,8528
28,8808
28,8839
28,8845
28,8861
28,8874
28,8893
28,9002
28,9008
28,9154
28,9324
28,9346
28,9354
28,9434
28,9449
28,9682
28,9798
28,9822
28,9904
28,9906
28,10232
28,10677
28,10936
28,10967
28,10996
28,11045
28,11053
28,11172
28,11576
28,11793
28,11804
28,11821
28,11861
28,12049
28,12311
28,12493
28,12544
28,12558
28,12723
28,12931
28,13315
28,13326
28,13328
28,13698
28,13791
28,14280
28,14502
28,14576
28,14660
28,14668
28,15048
28,15474
28,15715
28,15724
28,16106
28,16515
28,16516
28,16573
28,16840
28,16889
28,17018
28,17091
28,17100
28,17159
28,17235
28,17279
28,17591
28,17654
28,17670
28,18019
28,18121
28,18253
28,18260
28,18400
28,18658
28,18713
28,18788
28,19093
28,19105
28,19194
28,19208
28,19704
28,19766
28,20030
28,20112
28,20416
28,20444
28,20475
28,20899
28,20913
28,21379
28,21939
28,22017
28,22025
28,22423
28,22462
28,22777
28,23336
28,23364
28,23388
28,23649
28,23802
28,23817
28,23918
28,23934
28,24002
28,24211
28,24259
28,24547
28,24548
28,24706
28,24908
28,24941
28,25056
28,26108
28,26450
28,26542
28,26720
28,26805
28,26836
28,26928
28,26929
28,27049
28,27090
28,27168
28,27312
28,27851
28,28199
28,28265
