layer,neuron
5,793
5,6132
5,9469
5,19916
5,24627
5,28946
7,1326
16,100
16,2236
16,20820
16,21397
17,9903
17,15360
17,25932
20,8130
23,25992
24,6482
24,7176
24,16783
24,23873
24,26743
25,4417
25,14982
25,17524
25,18953
25,24802
25,29308
26,135
26,688
26,1155
26,2168
26,2171
26,2215
26,2931
26,3421
26,3662
26,3892
26,4384
26,4465
26,5075
26,5147
26,5357
26,5786
26,6860
26,7236
26,7249
26,11632
26,12000
26,12014
26,12064
26,13031
26,13899
26,14352
26,14851
26,15270
26,16031
26,16645
26,16941
26,17239
26,17243
26,17406
26,17907
26,18488
26,18711
26,22798
26,22873
26,22913
26,23228
26,23646
26,24098
26,24670
26,25440
26,25555
26,26529
26,27246
26,27500
26,27932
26,28037
26,28338
26,28425
26,28570
26,28626
26,28754
26,28820
26,28971
26,29033
26,29323
27,176
27,660
27,686
27,1568
27,1634
27,1869
27,1910
27,2460
27,2505
27,2767
27,2936
27,3045
27,3241
27,3253
27,3300
27,3437
27,3780
27,3786
27,3859
27,4124
27,4148
27,4243
27,4523
27,4603
27,4678
27,4800
27,4845
27,5029
27,5077
27,5119
27,5341
27,5624
27,5796
27,5928
27,5998
27,6065
27,6117
27,6180
27,6275
27,6390
27,6429
27,6446
27,6485
27,6490
27,6546
27,6734
27,6847
27,6952
27,7008
27,7155
27,7291
27,7405
27,7572
27,7975
27,8679
27,8817
27,8892
27,9308
27,9335
27,9347
27,9361
27,9632
27,9662
27,9716
27,9969
27,10090
27,10094
27,10183
27,10459
27,11009
27,11289
27,11329
27,11330
27,11663
27,11864
27,11909
27,12018
27,12026
27,12051
27,12224
27,12736
27,12796
27,12994
27,13062
27,13197
27,13263
27,13327
27,13419
27,13449
27,13604
27,13634
27,13792
27,13862
27,13903
27,13951
27,13963
27,14219
27,14230
27,14466
27,14812
27,14829
27,14841
27,14899
27,15181
27,15328
27,15340
27,15402
27,15555
27,15573
27,15698
27,15719
27,15775
27,15859
27,15902
27,15993
27,16526
27,17018
27,17185
27,17329
27,17435
27,17474
27,17923
27,17980
27,18238
27,18284
27,18529
27,18607
27,18836
27,18959
27,19103
27,19190
27,19276
27,19301
27,19327
27,19389
27,19419
27,19550
27,19559
27,19713
27,19875
27,19967
27,20035
27,20225
27,20278
27,20319
27,20452
27,20709
27,20712
27,20748
27,20797
27,20831
27,20873
27,21029
27,21326
27,21633
27,21718
27,21766
27,21835
27,22036
27,22122
27,22194
27,22920
27,23117
27,23160
27,23177
27,23244
27,23276
27,23504
27,23620
27,23633
27,23644
27,23936
27,24082
27,24161
27,24581
27,24874
27,25341
27,25346
27,25525
27,25682
27,25778
27,25892
27,26572
27,26607
27,26712
27,26752
27,26930
27,26936
27,26955
27,27138
27,27153
27,27213
27,27637
27,27683
27,27821
27,28003
27,28079
27,28169
27,28274
27,28576
27,28653
27,28891
27,29059
27,29120
27,29137
27,29272
27,29390
27,29457
28,36
28,281
28,608
28,653
28,1052
28,1362
28,1475
28,1631
28,1694
28,1890
28,1905
28,2164
28,2305
28,2383
28,2634
28,2697
28,2880
28,3068
28,3212
28,3411
28,3475
28,3743
28,4475
28,4521
28,4556
28,4738
28,4752
28,4771
28,4828
28,4839
28,5156
28,5351
28,5360
28,5629
28,5642
28,5730
28,5735
28,5899
28,6102
28,6105
28,6126
28,6139
28,6153
28,6386
28,6407
28,6519
28,6591
28,6670
28,6830
28,6893
28,6960
28,7290
28,7336
28,7420
28,7443
28,7503
28,7766
28,7902
28,7996
28,8170
28,8208
28,8220
28,8286
28,8428
28,8458
28,8476
28,8528
28,8808
28,8839
28,8845
28,8861
28,8874
28,8931
28,9002
28,9154
28,9346
28,9434
28,9449
28,9512
28,9697
28,9766
28,9798
28,9822
28,9904
28,9906
28,9932
28,10232
28,10749
28,10823
28,10967
28,10980
28,11007
28,11045
28,11058
28,11263
28,11342
28,11349
28,11382
28,11418
28,11729
28,11793
28,11804
28,11821
28,11861
28,12049
28,12051
28,12544
28,12558
28,12723
28,12897
28,12931
28,13032
28,13059
28,13306
28,13315
28,13328
28,13660
28,13698
28,13713
28,13719
28,14114
28,14493
28,14668
28,15465
28,15474
28,15715
28,15966
28,16380
28,16515
28,16516
28,16573
28,16693
28,16840
28,17018
28,17091
28,17159
28,17368
28,17558
28,17591
28,17654
28,17956
28,18121
28,18253
28,18260
28,18624
28,18658
28,18713
28,18813
28,19093
28,19105
28,19194
28,19208
28,19538
28,19663
28,19766
28,19790
28,19835
28,19850
28,20127
28,20143
28,20274
28,20416
28,20475
28,20555
28,20899
28,21379
28,21939
28,22025
28,22115
28,22326
28,22423
28,22569
28,22797
28,22807
28,23098
28,23336
28,23364
28,23471
28,23496
28,23649
28,23817
28,23934
28,24002
28,24548
28,24706
28,24906
28,24941
28,25050
28,25096
28,25470
28,26016
28,26108
28,26450
28,26610
28,26668
28,26716
28,26720
28,26836
28,26929
28,27049
28,27172
28,27312
28,27482
28,27687
28,27693
28,28140
28,28233
28,28265
28,28286
28,28443
28,28709
28,28774
28,28839
28,29063
28,29164
28,29304
28,29503
29,105
29,347
29,377
29,536
29,607
29,609
29,664
29,791
29,813
29,892
29,1044
29,1051
29,1063
29,1265
29,1271
29,1478
29,1481
29,1570
29,1694
29,1753
29,1784
29,1945
29,1960
29,2066
29,2074
29,2086
29,2110
29,2245
29,2347
29,2376
29,2404
29,2474
29,2553
29,2573
29,2707
29,2743
29,3115
29,3177
29,3243
29,3291
29,3343
29,3350
29,3382
29,3397
29,3407
29,3430
29,3555
29,3606
29,3707
29,3822
29,3860
29,4023
29,4053
29,4104
29,4145
29,4157
29,4211
29,4301
29,4377
29,4438
29,4518
29,4542
29,4607
29,4678
29,4784
29,4831
29,4844
29,4998
29,5016
29,5106
29,5172
29,5379
29,5406
29,5554
29,5563
29,5568
29,5613
29,5616
