layer,neuron
4,13106
7,1326
7,4784
7,5458
16,100
16,20820
16,21397
16,24414
17,25932
20,8130
24,7176
24,9182
24,16783
24,20457
25,4417
25,13480
25,17524
25,26188
25,27316
25,27475
26,688
26,1155
26,2168
26,2215
26,2629
26,2931
26,3662
26,3869
26,3892
26,4465
26,4733
26,5075
26,5147
26,5357
26,6860
26,7236
26,7249
26,11091
26,12000
26,12014
26,12064
26,13031
26,14851
26,15026
26,15591
26,16941
26,17239
26,17243
26,17572
26,17907
26,18229
26,18711
26,19595
26,20711
26,21729
26,22873
26,22913
26,23222
26,23646
26,24787
26,24959
26,25555
26,25851
26,26046
26,26297
26,26529
26,27246
26,27327
26,27500
26,27932
26,28037
26,28338
26,28425
26,28754
26,28808
26,28820
26,28971
26,29323
27,176
27,180
27,189
27,227
27,312
27,660
27,809
27,1880
27,2460
27,3300
27,3311
27,3780
27,4603
27,4723
27,5119
27,5341
27,5750
27,5950
27,5998
27,6117
27,6275
27,6384
27,6390
27,6429
27,6490
27,6847
27,6952
27,7572
27,8679
27,8892
27,9347
27,9730
27,9743
27,9969
27,10090
27,10183
27,10459
27,10555
27,10805
27,10964
27,11009
27,11289
27,11329
27,11663
27,12018
27,12051
27,12994
27,13327
27,13377
27,13419
27,13573
27,13604
27,13634
27,13712
27,13862
27,13903
27,13951
27,13963
27,14219
27,14466
27,14738
27,15328
27,15340
27,15510
27,15555
27,15573
27,15902
27,15993
27,16076
27,17923
27,18284
27,18529
27,18607
27,18836
27,18949
27,19103
27,19190
27,19301
27,19389
27,19403
27,19419
27,19550
27,19967
27,20035
27,20319
27,20917
27,21029
27,21055
27,21326
27,21624
27,21633
27,21718
27,21766
27,22036
27,22677
27,22791
27,22830
27,23160
27,23276
27,23620
27,23633
27,23936
27,24581
27,25341
27,25346
27,25702
27,25778
27,25892
27,26366
27,26474
27,26607
27,26752
27,27683
27,27793
27,27821
27,28003
27,28079
27,28110
27,28274
27,28852
27,28955
27,29137
27,29272
27,29457
28,503
28,653
28,1362
28,1465
28,1508
28,1631
28,1890
28,1905
28,2305
28,2383
28,2400
28,3068
28,3470
28,4475
28,4738
28,4752
28,4771
28,4828
