layer,neuron
5,19916
5,24627
7,1326
16,2236
16,21397
16,24414
17,15360
20,8130
24,7176
24,16783
25,2028
25,4417
25,11386
25,17524
26,2168
26,2215
26,2931
26,6860
26,9555
26,11632
26,12064
26,13899
26,16137
26,17239
26,17406
26,17907
26,22873
26,22913
26,23646
26,24798
26,25555
26,26020
26,27327
26,27932
26,28338
26,28425
26,28626
26,28754
26,29033
27,176
27,528
27,686
27,1027
27,1519
27,1634
27,1910
27,2278
27,2505
27,2767
27,4124
27,4243
27,4603
27,4678
27,4800
27,4845
27,5029
27,5119
27,5928
27,5998
27,6117
27,6275
27,6390
27,6429
27,6546
27,6952
27,7291
27,7572
27,7975
27,8679
27,8817
27,9308
27,9347
27,9969
27,10340
27,10459
27,11009
27,11289
27,11909
27,12018
27,12026
27,12051
27,12224
27,13197
27,13263
27,13449
27,13604
27,13792
27,13862
27,13951
27,13963
27,14219
27,14829
27,14841
27,15340
27,15573
27,15984
27,15993
27,17185
27,17923
27,17932
27,18284
27,18529
27,18607
27,19103
27,19190
27,19327
27,19389
27,19550
27,19559
27,19713
27,19967
27,20035
27,20452
27,21029
27,21326
27,21633
27,21718
27,22036
27,22122
27,22920
27,23177
27,23276
27,23533
27,23620
27,23633
27,23644
27,24161
27,25341
27,25346
27,25682
27,26607
27,26712
27,26752
27,26992
27,27354
27,27637
27,27683
27,27821
27,28171
27,28576
27,28891
27,29120
27,29137
27,29457
28,36
28,281
28,653
28,694
28,1052
28,1348
28,1362
28,1694
28,1905
28,2164
28,2383
28,2880
28,3411
28,3743
28,4475
28,4521
28,4752
28,4771
28,4828
28,5629
28,5730
28,5735
28,5899
28,6126
28,6139
28,6386
28,6519
28,6611
28,6830
28,6960
28,7420
28,7443
28,7503
28,8208
28,8286
28,8528
28,8678
28,8788
28,8808
28,8845
28,8861
28,9346
28,9512
28,9697
28,9798
28,9904
28,10967
28,11418
28,11729
28,11804
28,11861
28,12049
28,12723
28,13032
28,13059
28,13660
28,13698
28,13719
28,13791
28,14668
28,15474
28,16516
28,16840
28,17018
28,17091
28,17159
28,17558
28,17591
28,17956
28,18121
28,18253
28,18260
28,18713
28,18813
28,19093
28,19208
28,19538
28,19663
28,19835
28,20143
28,20555
28,20899
28,21005
28,21130
28,21654
28,22050
28,22115
28,22326
28,22807
28,23098
28,23364
28,23496
28,23934
28,24002
28,24548
28,24906
28,25096
28,25470
28,26450
28,26668
28,26720
28,27312
28,28233
28,28265
28,28709
28,29164
28,29432
29,105
29,536
29,607
29,609
29,664
29,1044
29,1063
29,1478
29,1481
29,1570
29,1753
29,1881
29,1960
29,2086
29,2347
29,2376
29,2383
29,2573
29,2608
29,2743
29,2832
29,3177
29,3243
29,3291
29,3430
29,3555
29,3606
29,3707
29,3822
29,3860
29,4023
29,4145
29,4157
29,4167
29,4195
29,4211
29,4377
29,4518
29,4607
29,4653
29,4678
29,4784
29,4844
29,4922
29,4998
29,5016
29,5106
29,5172
29,5379
29,5406
29,5563
29,5616
29,5674
29,5722
29,5831
29,6094
29,6142
29,6249
29,6454
29,6550
29,6677
29,6772
29,6895
29,7050
29,7104
29,7320
29,7602
29,7634
29,7640
29,7769
29,7798
29,7917
29,7940
29,7965
29,8118
29,8188
29,8253
29,8470
29,8480
29,8738
29,8926
29,8941
29,8955
29,9048
29,9243
29,9288
29,9386
29,9509
29,9542
29,9693
29,9696
29,9706
29,9873
29,9943
29,9998
29,10020
29,10049
29,10068
29,10164
29,10447
29,10688
29,10777
29,11027
29,11107
29,11186
29,11406
29,11491
29,11661
29,11664
29,11809
29,11889
29,12002
29,12142
29,12638
29,12660
29,13050
29,13063
29,13120
29,13140
29,13149
29,13324
29,13722
29,13786
29,13855
29,13960
29,14015
29,14220
29,14440
29,14545
29,14614
29,14623
29,14923
29,15047
29,15190
29,15208
29,15328
29,15453
29,15510
29,15527
29,15562
29,15643
29,15697
29,15747
29,15843
29,15915
29,16210
29,16217
29,16396
29,16498
29,16547
29,16828
29,16888
29,16934
29,16943
29,17082
29,17126
29,17563
29,17788
29,17800
29,17807
29,17927
29,17951
29,18003
29,18188
29,18470
29,18523
29,18557
29,18575
29,18631
29,18660
29,18729
29,18876
29,18887
29,18890
29,19226
29,19227
29,19296
29,19353
29,19409
29,19496
29,19531
29,19679
