layer,neuron
16,21397
16,24414
20,8130
24,7176
25,4417
25,17524
26,2168
26,2931
26,6860
26,12064
26,17239
26,19595
26,22873
26,23646
26,25555
26,27327
26,27932
26,28425
26,28754
27,1737
27,4243
27,4603
27,6117
27,6275
27,9969
27,10459
27,11009
27,12018
27,13862
27,13963
27,15340
27,15573
27,18529
27,19103
27,19190
27,19301
27,19389
27,19419
27,19967
27,20035
27,21029
27,21326
27,21718
27,22036
27,23620
27,23936
27,26752
27,29137
28,281
28,694
28,1362
28,1905
28,2305
28,2383
28,4752
28,4771
28,4828
28,5899
28,6126
28,6139
28,6386
28,6519
28,6830
28,8208
28,8528
28,8861
28,9346
28,9697
28,9798
28,10967
28,11861
28,12049
28,13059
28,13328
28,14668
28,16351
28,16516
28,18121
28,18253
28,18260
28,18813
28,19093
28,20274
28,22423
28,24002
28,24548
28,26612
28,28265
28,28286
29,536
29,607
29,1044
29,1063
29,1265
29,1541
29,1864
29,2074
29,2086
29,2743
29,3188
29,3347
29,3606
29,3822
29,3860
29,4157
29,4195
29,4209
29,4518
29,4831
29,5406
29,5554
29,5722
29,5831
29,6142
29,6249
29,6550
29,7050
29,7320
29,7477
29,7658
29,7769
29,7917
29,7965
29,8188
29,8470
29,8738
29,8926
29,8941
29,8998
29,9048
29,9693
29,9696
29,9706
29,9873
29,10049
29,10068
29,10642
29,11107
29,11809
29,11889
29,12142
29,13063
29,13140
29,13722
29,13786
29,13960
29,14015
29,14614
29,14623
29,14935
29,15453
29,15510
29,15527
29,15697
29,15915
29,16498
29,16547
29,16934
29,17082
29,17563
29,17788
29,17899
29,17927
29,18188
29,18470
29,18729
29,19226
29,19296
29,19409
29,19769
29,20014
29,20504
29,20578
29,20870
29,20931
29,21394
29,21682
29,21927
29,22571
29,22896
29,22947
29,23091
29,23478
29,23600
29,23619
29,24252
29,24520
29,24543
29,24649
29,25094
29,25253
29,25301
29,25345
29,25988
29,26303
29,26431
29,26506
29,26535
29,27478
29,27920
29,28007
29,28050
29,28070
29,28167
29,28198
29,28658
29,28935
29,28974
29,29426
30,266
30,827
30,911
30,937
30,1165
30,1249
30,1333
30,1422
30,1467
30,1592
30,1703
30,1734
30,1873
30,1945
30,1994
30,2264
30,2278
30,2382
30,2430
30,2468
30,2471
30,2625
30,2793
30,2823
30,2888
30,3003
30,3106
30,3379
30,3456
30,3480
30,3664
30,3674
30,3762
30,3997
30,4027
30,4076
30,4247
30,4478
30,4550
30,4581
30,4582
30,4836
30,4914
30,5057
30,5066
30,5149
30,5243
30,5295
30,5704
30,5708
30,5850
30,5855
30,6153
30,6175
30,6177
30,6182
30,6258
30,6352
30,6401
30,6485
30,6516
30,6590
30,6646
30,6886
30,6914
30,6915
30,6990
30,7014
30,7036
30,7053
30,7216
30,7300
30,7302
30,7400
30,7553
30,7575
30,7637
30,7649
30,7938
30,7987
30,8120
30,8234
30,8323
30,8383
30,8627
30,9544
30,9558
30,9596
30,9625
30,9638
30,9690
30,9714
30,9838
30,9869
30,9914
30,9924
30,9979
30,10013
30,10064
30,10081
30,10087
30,10294
30,10297
30,10322
30,10487
30,10511
30,10581
30,10609
30,10819
30,10951
30,10968
30,11009
30,11044
30,11056
30,11093
30,11149
30,11189
30,11389
30,11412
30,11503
30,11516
30,11529
30,11531
30,11575
30,11682
30,11738
30,11779
30,11786
30,11792
30,11856
30,11933
30,12128
30,12169
30,12185
30,12198
30,12374
30,12530
30,12627
30,12661
30,12679
30,12837
30,12900
30,13088
30,13249
30,13368
30,13405
30,13411
30,13417
30,13530
30,13598
30,13943
30,13995
30,14049
30,14136
30,14235
30,14295
30,14306
30,14381
30,14409
30,14433
30,14523
30,14864
30,15255
30,15339
30,15399
30,15436
30,15443
30,15545
30,15607
30,15611
30,15890
30,15988
30,16060
30,16121
30,16604
30,16673
30,16696
30,16791
30,16935
30,17046
30,17072
30,17249
30,17420
30,17421
30,17475
30,17771
30,17954
30,18080
30,18136
30,18238
30,18274
30,18373
30,18383
30,18615
30,18798
30,18953
30,18962
30,19042
30,19184
30,19233
30,19396
30,19559
30,19691
30,19741
30,19823
30,19924
30,20042
30,20332
30,20383
30,20428
30,20608
30,20731
30,20820
30,20828
30,20838
30,21134
30,21165
30,21506
30,21515
30,21536
30,21738
30,21820
30,21882
30,21888
30,21956
30,22052
30,22103
30,22210
30,22257
30,22391
30,22402
30,22742
30,22761
30,22779
30,22798
30,22844
30,22959
30,23102
30,23198
30,23389
30,23411
30,23507
30,23579
30,23580
30,23756
30,23763
30,23840
30,23849
30,23975
30,23979
30,23994
30,24147
30,24210
30,24253
30,24270
30,24311
30,24570
30,24635
30,24758
30,25183
30,25208
30,25224
30,25225
30,25241
30,25247
30,25300
30,25323
30,25370
30,25447
30,25601
30,25663
30,25717
30,25778
30,25795
30,25806
30,25969
30,26055
30,26060
30,26143
30,26164
30,26167
30,26262
30,26298
30,26321
30,26369
30,26406
30,26421
30,26446
30,26571
30,26592
30,26616
30,26670
30,26765
30,26781
30,26875
30,27038
30,27043
30,27153
30,27398
30,27515
30,27564
30,27662
30,27706
30,28007
30,28126
30,28193
30,28229
30,28294
30,28337
30,28444
30,28505
30,28796
30,28804
30,28899
30,28925
30,29004
30,29009
30,29144
30,29153
30,29154
30,29311
30,29319
30,29360
30,29401
30,29505
31,41
31,54
31,69
31,131
31,152
31,159
31,171
31,177
31,249
31,302
31,310
31,318
31,341
31,381
31,490
31,558
31,651
31,744
31,822
31,965
31,968
31,977
31,979
31,1066
31,1115
31,1126
31,1189
31,1252
31,1259
31,1271
31,1344
31,1367
31,1381
31,1404
31,1478
31,1490
31,1511
31,1535
31,1553
31,1647
31,1693
31,1719
31,1753
31,1768
31,1815
31,2091
31,2159
31,2226
31,2227
31,2249
31,2375
31,2494
31,2543
31,2652
31,2664
31,2668
31,2708
31,2772
31,2790
31,2808
31,2821
31,2832
31,2873
31,2919
31,2921
31,2971
31,2991
31,3088
31,3089
31,3120
31,3137
31,3250
31,3273
31,3364
31,3395
31,3424
31,3454
31,3530
31,3544
31,3545
31,3577
31,3738
31,3825
31,3869
31,3916
31,3960
31,3961
31,3989
31,4027
31,4033
31,4071
31,4083
31,4085
31,4136
31,4182
31,4233
31,4250
31,4430
31,4464
31,4478
31,4510
31,4532
31,4614
31,4658
31,4695
31,4719
31,4722
31,4795
31,4845
31,4922
31,5005
31,5019
31,5030
31,5071
31,5086
31,5105
31,5223
31,5230
31,5249
31,5370
31,5411
31,5509
31,5536
31,5562
31,5811
31,5850
31,5853
31,5855
31,5905
31,5963
31,5977
31,5981
31,6017
31,6092
31,6102
31,6145
31,6250
31,6307
31,6366
31,6376
31,6405
31,6445
31,6503
31,6510
31,6529
31,6603
31,6625
